Bulk ID,Miller Index,Trajectory ID in OC22,Bulk Symbols,Energy_type,Melting_point (K),ΔEhull (meV/atom),Is_stable,Esurf.,Predicted Eadh (J/m2) ,Predicted Contact Angle θ ,Is_NNMD or iGAM
mp-684697,"(1, 0, 0)",Sc20O19_mp-684697_clean_nZSg3yaZgm,Sc40O38,GGA,2697,60.34,Unstable,3.87,-1.83,81.76,6-features iGAM
mp-563025,"(1, 0, 0)",Na6PbO5_mp-563025_clean_Ug83cjAPuP,Na12Pb2O10,GGA,816,33.76,Unstable,3.64,-1.72,85.7,6-features iGAM
mp-29525,"(1, 0, 0)",Rb3BiO3_mp-29525_clean_9jiCfrhhwA,Rb12Bi4O12,GGA,998,0,Stable,2.57,-1.76,84.24,6-features iGAM
mp-1184051,"(1, 1, 0)",CuBiO3_mp-1184051_clean_FFsGW2R1ZX,Cu1Bi1O3,GGA,984,167.38,Unstable,6.63,-1.96,77.12,6-features iGAM
mp-560875,"(1, 0, 0)",K2Ge4O9_mp-560875_clean_CUzTaqc4q3,K12Ge24O54,GGA,1346,5.84,Meta-stable,6.27,-1.87,80.51,6-features iGAM
mp-22588,"(1, 0, 0)",LuFeO3_mp-22588_clean_L0KPuiXPGS,Lu4Fe4O12,GGA+U,Not Found,36.04,Unstable,11.75,-1.82,82.05,6-features iGAM
mp-23494,"(1, 1, 1)",Ti-Bi3O5-4_mp-23494_clean_JP33t4JXXM,Ti2Bi24O40,GGA,1223,7.39,Meta-stable,2.74,-1.47,94.77,6-features iGAM
mp-17022,"(1, 0, 0)",Cs-MoO3-3_mp-17022_clean_0A51hD9ZcZ,Cs4Mo12O36,GGA+U,831,46.28,Unstable,11.19,-1.97,76.91,6-features iGAM
mp-30303,"(1, -1, -2)",Bi4O7_mp-30303_clean_D5Ps6kegX3,Bi8O14,GGA,1071,0,Stable,5.42,-2.12,71.33,6-features iGAM
mp-552098,"(1, 1, 3)",235508583253254_Bi2SeO2_mp-552098_clean_jAfg05KqaX,Bi4Se2O4,GGA,953,0,Stable,3.62,-1.82,82.03,6-features iGAM
mvc-11435,"(1, 0, 0)",Mn2AlO4_mvc-11435_clean_pxuKenBzqa,Mn16Al8O32,GGA+U,2078,121.07,Unstable,11.78,-1.95,77.42,6-features iGAM
mp-1235229,"(1, -1, 0)",Sr2LiO12_mp-1235229_clean_fFcPLaO68B,Sr2Li1O12,GGA,1139,130.74,Unstable,2.1,-1.46,95.16,6-features iGAM
mp-754959,"(0, 1, 1)",CrAgO4_mp-754959_clean_Dw01sL5VtF,Cr4Ag4O16,GGA+U,612,2.8,Meta-stable,5.56,-2.06,73.48,6-features iGAM
mp-18921,"(1, 0, -2)",NaCoO2_mp-18921_clean_DiHeRrKjXM,Na3Co3O6,GGA+U,1323,0,Stable,11.3,-2.1,72.05,6-features iGAM
mp-755959,"(1, 1, 0)",1010404_NaLiO_mp-755959_clean_MAkXjjq9Qs,Na8Li8O8,GGA,921,104.1,Unstable,1.61,-1.6,90,6-features iGAM
mvc-5744,"(1, 1, 0)",ReWO6_mvc-5744_clean_SaUx0E7Xse,Re4W4O24,GGA+U,997,25.33,Unstable,16.45,-1.84,81.41,6-features iGAM
mp-1183290,"(1, 1, 0)",BaPtO3_mp-1183290_clean_IZoIxVN5Oi,Ba1Pt1O3,GGA,1922,99.32,Unstable,5.67,-1.96,77,6-features iGAM
mp-18700,"(0, 1, 0)",K4SiO4_mp-18700_clean_YOWmagUHk3,K16Si4O16,GGA,1339,0,Stable,3.19,-1.65,88.39,6-features iGAM
