FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,13.33,15.13,13.91,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,13.33,15.13,13.91,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,13.33,14.3,14.73,91.7,2,91.7,14.3,-0.09703337559148892,-0.48516687795744456,21.776744614152264,-1.5544746769756523
3,13.33,14.39,14.65,91.05,3,91.05,14.39,-0.09816750686038973,-0.49083753430194865,21.512915740713648,-1.5726434599034436
4,13.33,14.3,14.74,91.75,4,91.75,14.3,-0.09694614867901774,-0.48473074339508865,21.786103385338908,-1.553077301837864
5,13.33,14.1,14.94,93.33,5,93.33,14.1,-0.09419132504022623,-0.47095662520113113,22.410719971673373,-1.5089450271444242
6,13.33,14.08,14.96,93.48,6,93.48,14.08,-0.09392998789495811,-0.46964993947479056,22.472663151747515,-1.504758406077229
7,13.33,13.96,15.08,94.42,7,94.42,13.96,-0.09229329394873911,-0.46146646974369554,22.855791137142756,-1.4785385690588007
8,13.33,14.02,15.02,93.96,8,93.96,14.02,-0.09309399742855945,-0.4654699871427972,22.665299506089028,-1.4913658388055224
9,13.33,13.97,15.07,94.34,9,94.34,13.97,-0.09243251249488049,-0.46216256247440246,22.823289039059464,-1.4807688501679854
10,13.33,14.02,15.01,93.92,10,93.92,14.02,-0.09316364559743315,-0.4658182279871657,22.657669970996018,-1.492481602470879
11,13.33,13.88,15.15,95.0,11,95.0,13.88,-0.09128442572523418,-0.4564221286261709,23.105967338911377,-1.4623765001182516
12,13.33,13.97,15.06,94.29,12,94.29,13.97,-0.09251953159530994,-0.46259765797654967,22.813720767530565,-1.4821628961568651
13,13.33,13.83,15.2,95.41,13,95.41,13.83,-0.09057179297738202,-0.4528589648869101,23.272993190977594,-1.45096012349766
14,13.33,14.01,15.02,93.98,14,93.98,14.01,-0.09305917460421419,-0.4652958730210709,22.686117020515226,-1.4908079771595113
15,13.33,13.92,15.12,94.71,15,94.71,13.92,-0.09178875465803527,-0.4589437732901763,22.980513517464775,-1.4704558496217248
16,13.33,13.97,15.07,94.33,16,94.33,13.97,-0.09244991585604928,-0.46224957928024635,22.82137543521437,-1.4810476520139095
17,13.33,13.84,15.2,95.36,17,95.36,13.84,-0.09065867429262496,-0.45329337146312476,23.245665592680623,-1.4523519621678518
18,13.33,13.74,15.29,96.13,18,96.13,13.74,-0.08932153091239259,-0.44660765456196294,23.573223725068477,-1.4309309252165292
19,13.33,13.63,15.4,96.99,19,96.99,13.63,-0.08783038904333908,-0.43915194521669537,23.941659971077094,-1.407042832474292
20,13.33,13.77,15.27,95.9,20,95.9,13.77,-0.08972074632127533,-0.4486037316063766,23.474646815705977,-1.4373263560668308
21,13.33,13.45,15.59,98.43,21,98.43,13.45,-0.0853399009703729,-0.4266995048518645,24.563995274010413,-1.3671452135453739
22,13.33,13.28,15.75,99.69,22,99.69,13.28,-0.08316826607102035,-0.41584133035510173,25.147120784377282,-1.332355622457746
23,13.33,13.43,15.6,98.54,23,98.54,13.43,-0.08515001616199276,-0.4257500808099638,24.62427399544536,-1.364103258915124
24,13.33,13.4,15.63,98.82,24,98.82,13.4,-0.08466692162630396,-0.42333460813151974,24.737824051312067,-1.3563640844533893
25,13.33,13.33,15.7,99.32,25,99.32,13.33,-0.08380517111192338,-0.4190258555596169,24.97419865805119,-1.3425588412130125
26,13.33,13.16,15.87,100.66,26,100.66,13.16,-0.08150194229474018,-0.4075097114737009,25.583905147488,-1.3056611155617377
27,13.33,13.12,15.91,100.96,27,100.96,13.12,-0.08098763561219101,-0.404938178060955,25.726536892503542,-1.2974219225072998
28,13.33,13.04,15.98,101.56,28,101.56,13.04,-0.07996060003350136,-0.3998030001675068,26.01437758075572,-1.2809688125366918
29,13.33,13.35,15.68,99.2,29,99.2,13.35,-0.08401188123081653,-0.4200594061540826,24.91095327575185,-1.3458703373176808
30,13.33,13.23,15.8,100.16,30,100.16,13.23,-0.08236024009327876,-0.4118012004663938,25.34134288539632,-1.3194110462943258
31,13.33,13.18,15.85,100.51,31,100.51,13.18,-0.08175928669290958,-0.40879643346454786,25.512908554942896,-1.3097837728204114
32,13.33,13.21,15.82,100.3,32,100.3,13.21,-0.08211977848836505,-0.41059889244182524,25.409814540496875,-1.315558851383608
33,13.33,13.11,15.91,101.02,33,101.02,13.11,-0.08088483637275977,-0.4044241818637988,25.759307556313203,-1.2957750786916116
34,13.33,13.07,15.96,101.39,34,101.39,13.07,-0.08025137522260942,-0.40125687611304706,25.91713183025731,-1.2856270310662028
35,13.33,12.77,16.25,103.66,35,103.66,12.77,-0.07638401808348548,-0.38192009041742736,27.027236421513624,-1.2236719696974374
36,13.33,12.75,16.27,103.86,36,103.86,12.75,-0.07604497039580782,-0.3802248519790391,27.113034291287214,-1.2182404257408412
37,13.33,12.67,16.35,104.47,37,104.47,12.67,-0.07501269511630455,-0.37506347558152275,27.419605587844096,-1.201703375763199
38,13.33,12.63,16.38,104.74,38,104.74,12.63,-0.0745566837027946,-0.37278341851397295,27.567074550568403,-1.1943980729187695
39,13.33,12.68,16.34,104.37,39,104.37,12.68,-0.07518172958590758,-0.3759086479295379,27.376190355382313,-1.2044113079662393
40,13.33,13.02,16.0,101.73,40,101.73,13.02,-0.07967000125998791,-0.39835000629993955,26.09092688885099,-1.2763134201850064
41,13.33,13.13,15.9,100.87,41,100.87,13.13,-0.08114187352870657,-0.4057093676435328,25.687781303384504,-1.299892813929879
42,13.33,13.06,15.96,101.42,42,101.42,13.06,-0.08020004924786056,-0.4010002462393028,25.944112540294253,-1.2848047889507261
43,13.33,12.95,16.07,102.26,43,102.26,12.95,-0.07876517720724635,-0.3938258860362317,26.34743981922232,-1.2618181388600864
44,13.33,13.08,15.95,101.28,44,101.28,13.08,-0.0804396166777952,-0.40219808338897595,25.874059739081314,-1.2886426591782791
45,13.33,13.16,15.87,100.69,45,100.69,13.16,-0.08145048857271357,-0.4072524428635678,25.589929856163394,-1.3048368269348714
46,13.33,13.19,15.84,100.43,46,100.43,13.19,-0.08189658827003139,-0.40948294135015695,25.476487222631558,-1.3119833440859028
47,13.33,12.81,16.21,103.38,47,103.38,12.81,-0.07685916734570114,-0.38429583672850565,26.88093578720531,-1.2312838608781322
48,13.33,12.67,16.35,104.45,48,104.45,12.67,-0.07504649593744578,-0.37523247968722884,27.415486221265986,-1.2022448649178814
49,13.33,12.75,16.27,103.81,49,103.81,12.75,-0.07612970511487178,-0.3806485255743589,27.102775913309706,-1.219597875940246
50,13.33,12.77,16.25,103.67,50,103.67,12.77,-0.07636705883060624,-0.38183529415303114,27.02928619332856,-1.223400282466312
51,13.33,12.73,16.29,104.02,51,104.02,12.73,-0.07577394220431044,-0.37886971102155215,27.190867930414083,-1.2138985541130531
52,13.33,12.59,16.43,105.08,52,105.08,12.59,-0.07398325207462844,-0.3699162603731422,27.729937782636597,-1.1852116982355476
53,13.33,12.66,16.35,104.51,53,104.51,12.66,-0.07494510261202217,-0.3747255130601108,27.450719910834856,-1.2006205438445952
54,13.33,12.77,16.25,103.7,54,103.7,12.77,-0.07631618539343815,-0.3815809269671907,27.035434986461016,-1.222585290002879
55,13.33,13.05,15.97,101.5,55,101.5,13.05,-0.08006320655828031,-0.4003160327914015,25.981238888271566,-1.2826125690636505
56,13.33,12.94,16.09,102.39,56,102.39,12.94,-0.07854351375723763,-0.39271756878618813,26.395336587733805,-1.2582670903909468
57,13.33,12.83,16.19,103.21,57,103.21,12.83,-0.07714792117943589,-0.3857396058971794,26.80199062309101,-1.235909697294563
58,13.33,13.0,16.03,101.91,58,101.91,13.0,-0.07936250357094032,-0.39681251785470156,26.169728590875227,-1.2713873072064639
59,13.33,12.92,16.1,102.49,59,102.49,12.92,-0.07837307851555791,-0.3918653925777896,26.45878548350892,-1.2555367178192378
60,13.33,12.95,16.08,102.31,60,102.31,12.95,-0.0786799090348368,-0.393399545174184,26.357594631257317,-1.2604521427380857
61,13.33,12.7,16.32,104.22,61,104.22,12.7,-0.07543542288075737,-0.3771771144037868,27.299833485801074,-1.208475474549733
62,13.33,12.78,16.24,103.63,62,103.63,12.78,-0.07643490015636037,-0.3821745007818018,26.998771354188015,-1.2244871005048932
63,13.33,12.79,16.23,103.56,63,103.56,12.79,-0.07655365009314374,-0.3827682504657187,26.962163883282226,-1.2263894744921628
64,13.33,12.69,16.32,104.26,64,104.26,12.69,-0.075367754801513,-0.376838774007565,27.330780012085945,-1.2073914319202383
65,13.33,12.84,16.19,103.17,65,103.17,12.84,-0.07721589258893875,-0.38607946294469375,26.771796798500414,-1.2369985992747987
66,13.33,12.6,16.42,105.01,66,105.01,12.6,-0.07410123729803866,-0.3705061864901933,27.692230109177462,-1.1871018215145794
67,13.33,12.5,16.51,105.73,67,105.73,12.5,-0.07288955269207845,-0.3644477634603922,28.07610571456803,-1.1676906341270967
68,13.33,12.37,16.64,106.76,68,106.76,12.37,-0.07116366085255509,-0.3558183042627754,28.60377355834145,-1.1400418468579325
69,13.33,12.38,16.62,106.63,69,106.63,12.38,-0.07138098952528792,-0.35690494762643954,28.55220686352287,-1.1435234521951123
70,13.33,12.32,16.68,107.08,70,107.08,12.32,-0.07062933273763974,-0.3531466636881987,28.79359912717003,-1.1314819104569886
71,13.33,12.62,16.39,104.8,71,104.8,12.62,-0.07445542420642097,-0.3722771210321048,27.602536228265684,-1.192775895786864
72,13.33,12.54,16.47,105.43,72,105.43,12.54,-0.07339391197648977,-0.36696955988244884,27.91935529719217,-1.1757704698633662
73,13.33,12.39,16.62,106.62,73,106.62,12.39,-0.07139771323225381,-0.35698856616126906,28.525760197679737,-1.1437913659807062
74,13.33,11.86,17.12,110.54,74,110.54,11.86,-0.0649138783588493,-0.3245693917942465,30.723918457182293,-1.039920331308766
75,13.33,12.11,16.89,108.73,75,108.73,12.11,-0.06788910952442583,-0.33944554762212914,29.672361001450966,-1.0875835345813016
76,13.33,12.08,16.91,108.92,76,108.92,12.08,-0.06757523554524056,-0.33787617772620276,29.790589102497712,-1.0825552734347537
77,13.33,11.96,17.02,109.81,77,109.81,11.96,-0.06610978702419465,-0.3305489351209732,30.2969663570859,-1.0590787881275983
78,13.33,12.07,16.92,109.03,78,109.03,12.07,-0.06739368178251533,-0.3369684089125766,29.840005319709107,-1.0796467821558955
79,13.33,11.82,17.16,110.86,79,110.86,11.82,-0.06439142853208302,-0.3219571426604151,30.902620940252977,-1.03155068508397
