FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,17.9,15.13,13.91,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,17.9,15.13,13.91,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,17.9,14.44,14.6,90.64,2,90.64,14.44,-0.09888301250705779,-0.49441506253528894,21.358760533023936,-1.5841058603630658
3,17.9,14.49,14.55,90.22,3,90.22,14.49,-0.09961602850807576,-0.49808014254037875,21.2038674134859,-1.5958487766993736
4,17.9,14.61,14.43,89.27,4,89.27,14.61,-0.10127405588358884,-0.5063702794179442,20.847273153477722,-1.6224103752550931
5,17.9,14.55,14.49,89.76,5,89.76,14.55,-0.1004188777955404,-0.502094388977702,21.027556495805257,-1.6087104222845572
6,17.9,14.54,14.49,89.81,6,89.81,14.54,-0.10033161195010593,-0.5016580597505296,21.051928594026297,-1.6073124234406968
7,17.9,14.58,14.46,89.54,7,89.54,14.58,-0.10080284283103964,-0.5040142141551982,20.941806723841147,-1.614861542153255
8,17.9,14.43,14.61,90.73,8,90.73,14.43,-0.09872594411641118,-0.4936297205820559,21.390986400617223,-1.581589624744907
9,17.9,14.43,14.61,90.71,9,90.71,14.43,-0.09876084794519667,-0.4938042397259833,21.387276894572828,-1.5821487840820505
10,17.9,14.28,14.76,91.87,10,91.87,14.28,-0.09673681370417408,-0.4836840685208704,21.840631879389445,-1.5497237555408687
11,17.9,14.36,14.68,91.25,11,91.25,14.36,-0.0978185114965439,-0.48909255748271946,21.597370478796034,-1.5670525541746332
12,17.9,14.31,14.73,91.64,12,91.64,14.31,-0.09713805086277053,-0.4856902543138526,21.749546322886378,-1.5561515748215837
13,17.9,14.32,14.72,91.58,13,91.58,14.32,-0.09724272927253025,-0.48621364636265124,21.722387519543485,-1.5578285229459345
14,17.9,14.38,14.65,91.06,14,91.06,14.38,-0.09815005652654984,-0.4907502826327492,21.53047901057458,-1.5723639055553285
15,17.9,14.38,14.65,91.06,15,91.06,14.38,-0.09815005652654984,-0.4907502826327492,21.53047901057458,-1.5723639055553285
16,17.9,14.34,14.69,91.37,16,91.37,14.34,-0.09760912676485528,-0.48804563382427635,21.651389126924762,-1.5636982107729815
17,17.9,14.16,14.87,92.81,17,92.81,14.16,-0.0950975906392439,-0.4754879531962195,22.212738604194474,-1.5234634020406872
18,17.9,14.17,14.87,92.77,18,92.77,14.17,-0.09516732105472836,-0.4758366052736418,22.188721120631367,-1.5245804832967482
19,17.9,14.09,14.94,93.35,19,93.35,14.09,-0.09415647774817537,-0.47078238874087686,22.431226640258284,-1.5083867735257694
20,17.9,14.11,14.92,93.19,20,93.19,14.11,-0.09443527566433726,-0.4721763783216863,22.367491252364587,-1.512853116142683
21,17.9,13.98,15.06,94.27,21,94.27,13.98,-0.09255434083426953,-0.4627717041713476,22.79274646565722,-1.4827205401649979
22,17.9,14.14,14.9,93.0,22,93.0,14.14,-0.09476640437570562,-0.4738320218785281,22.28169559784106,-1.518157798098804
23,17.9,13.95,15.08,94.46,23,94.46,13.95,-0.0922236902929379,-0.46111845146468944,22.880676041222983,-1.477423518492865
24,17.9,14.0,15.04,94.11,24,94.11,14.0,-0.09283284704996082,-0.4641642352498041,22.727975402938707,-1.4871822097403724
25,17.9,14.12,14.92,93.17,25,93.17,14.12,-0.09447012849964731,-0.47235064249823655,22.347061792358897,-1.5134114585643499
26,17.9,13.98,15.06,94.28,26,94.28,13.98,-0.09253693610112079,-0.4626846805056039,22.794658781738246,-1.482441716339955
27,17.9,14.0,15.03,94.06,27,94.06,14.0,-0.09291989180644747,-0.4645994590322373,22.718425862597915,-1.4885766667392883
28,17.9,13.98,15.05,94.23,28,94.23,13.98,-0.09262396202964011,-0.46311981014820053,22.785096952714408,-1.4838358717148346
29,17.9,14.18,14.86,92.71,29,92.71,14.18,-0.09527192108368857,-0.4763596054184428,22.160964667086347,-1.5262561757606907
30,17.9,14.15,14.88,92.87,30,92.87,14.15,-0.09499299950671514,-0.47496499753357563,22.24057361855384,-1.5217878520975765
31,17.9,13.87,15.17,95.14,31,95.14,13.87,-0.09104103570099849,-0.4552051785049924,23.150445964294548,-1.4584773919299958
32,17.9,14.06,14.97,93.6,32,93.6,14.06,-0.0937209480470687,-0.46860474023534343,22.529079521730235,-1.5014095877140405
33,17.9,13.95,15.08,94.44,33,94.44,13.95,-0.09225849164919883,-0.46129245824599413,22.876843657446774,-1.4779810362201653
34,17.9,13.95,15.08,94.47,34,94.47,13.95,-0.09220628996986227,-0.4610314498493113,22.88259219401185,-1.4771447653171936
35,17.9,14.05,14.98,93.66,35,93.66,14.05,-0.09361643839444188,-0.46808219197220935,22.557349779973702,-1.4997353430789588
36,17.9,13.77,15.27,95.92,36,95.92,13.77,-0.08968602526975328,-0.44843012634876633,23.47852292049183,-1.4367701248214475
37,17.9,13.89,15.15,94.95,37,94.95,13.89,-0.09137136342020766,-0.45685681710103826,23.078863004388293,-1.4637692419917265
38,17.9,13.9,15.14,94.88,38,94.88,13.9,-0.0914930872177572,-0.457465436088786,23.04795441346652,-1.4657192572284703
39,17.9,13.84,15.19,95.34,39,95.34,13.84,-0.09069342881429872,-0.4534671440714936,23.241806383392007,-1.4529087296050653
40,17.9,13.94,15.1,94.55,40,94.55,13.94,-0.09206709597653907,-0.46033547988269535,22.915185190310126,-1.4749148775441558
41,17.9,13.96,15.07,94.38,41,94.38,13.96,-0.09236290136069528,-0.46181450680347635,22.84813162291949,-1.4796536797983384
42,17.9,14.07,14.97,93.53,42,93.53,14.07,-0.0938428846699089,-0.46921442334954444,22.498949531967586,-1.5033630124119404
43,17.9,13.92,15.11,94.69,43,94.69,13.92,-0.09182354386555554,-0.4591177193277777,22.9766737928026,-1.4710131727261997
44,17.9,13.95,15.09,94.51,44,94.51,13.95,-0.09213669105696003,-0.4606834552848001,22.89025654314377,-1.4760297907324995
45,17.9,13.98,15.05,94.23,45,94.23,13.98,-0.09262396202964011,-0.46311981014820053,22.785096952714408,-1.4838358717148346
