FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,17.2,15.13,13.91,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,17.2,15.13,13.91,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,17.2,14.93,14.1,86.72,2,86.72,14.93,-0.10572155364244383,-0.5286077682122191,19.923010724346973,-1.6936592893519502
3,17.2,14.93,14.1,86.73,3,86.73,14.93,-0.10570412885398923,-0.5285206442699462,19.924797614523214,-1.6933801442409075
4,17.2,15.22,13.82,84.48,4,84.48,15.22,-0.10961932054943778,-0.5480966027471889,19.133851004377323,-1.7561015152019932
5,17.2,15.44,13.6,82.75,5,82.75,15.44,-0.11261989691358298,-0.5630994845679149,18.551525787019962,-1.8041707485555993
6,17.2,15.47,13.57,82.51,6,82.51,15.47,-0.1130353150461073,-0.5651765752305364,18.472841698556326,-1.8108257470386389
7,17.2,15.57,13.47,81.72,7,81.72,15.57,-0.11440107825522522,-0.572005391276126,18.214710881591913,-1.832705273648708
8,17.2,15.7,13.34,80.72,8,80.72,15.7,-0.11612593336350206,-0.5806296668175103,17.889202606617392,-1.860337452483303
9,17.2,15.7,13.34,80.72,9,80.72,15.7,-0.11612593336350206,-0.5806296668175103,17.889202606617392,-1.860337452483303
10,17.2,15.77,13.27,80.15,10,80.15,15.77,-0.11710693648611026,-0.5855346824305513,17.71119215655954,-1.8760531225074863
11,17.2,15.84,13.21,79.65,11,79.65,15.84,-0.11796607485931926,-0.5898303742965962,17.54657145579478,-1.8898165192462946
12,17.2,15.96,13.06,78.57,12,78.57,15.96,-0.11981705820480196,-0.5990852910240098,17.231705083642698,-1.9194692724409272
13,17.2,15.93,13.12,78.95,13,78.95,15.93,-0.11916655539320548,-0.5958327769660273,17.327948710693153,-1.9090482173991516
14,17.2,15.9,13.15,79.18,14,79.18,15.9,-0.11877241860973504,-0.5938620930486752,17.39995751154713,-1.9027341461279554
15,17.2,15.94,13.11,78.85,15,78.85,15.94,-0.1193378232505908,-0.596689116252954,17.3001889022049,-1.9117919284744644
16,17.2,15.8,13.22,79.86,16,79.86,15.8,-0.11760539961798262,-0.5880269980899131,17.62786458197206,-1.8840385018800816
