FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,17.28,15.13,13.91,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,17.28,15.13,13.91,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,17.28,14.74,14.3,88.29,2,88.29,14.74,-0.1029840699738681,-0.5149203498693404,20.47678158448234,-1.6498048009813668
3,17.28,14.68,14.36,88.75,3,88.75,14.68,-0.10218148850345612,-0.5109074425172806,20.648316505492414,-1.636947445825367
4,17.28,14.65,14.38,88.93,4,88.93,14.65,-0.10186739375093752,-0.5093369687546876,20.725514850711967,-1.631915647890019
5,17.28,14.82,14.21,87.6,5,87.6,14.82,-0.10418756537291998,-0.5209378268645999,20.23654544268576,-1.669084797274178
6,17.28,14.77,14.27,88.05,6,88.05,14.77,-0.10340273505021676,-0.5170136752510838,20.389759442696953,-1.6565118155044725
7,17.28,14.71,14.33,88.52,7,88.52,14.71,-0.10258280004859187,-0.5129140002429593,20.562363676520974,-1.6433764567784417
8,17.28,14.69,14.35,88.65,8,88.65,14.69,-0.10235597648336102,-0.511779882416805,20.615377645866314,-1.6397427432634435
9,17.28,14.83,14.2,87.51,9,87.51,14.83,-0.1043445019893332,-0.521722509946666,20.20603549852886,-1.6715989218691178
10,17.28,14.86,14.18,87.31,10,87.31,14.86,-0.10469321108212265,-0.5234660554106132,20.1273467235076,-1.6771852415356048
11,17.28,14.76,14.28,88.09,11,88.09,14.76,-0.1033329614852438,-0.516664807426219,20.411483252263846,-1.6553940429936056
12,17.28,14.98,14.05,86.33,12,86.33,14.98,-0.10640097920350058,-0.5320048960175029,19.78391130473255,-1.7045436868400794
13,17.28,14.83,14.21,87.54,13,87.54,14.83,-0.10429219095581005,-0.5214609547790502,20.211437844034506,-1.670760899112077
14,17.28,14.79,14.24,87.82,14,87.82,14.79,-0.10380389981961957,-0.5190194990980979,20.319309297062247,-1.6629384751103056
15,17.28,14.78,14.26,87.97,15,87.97,14.78,-0.1035422771708015,-0.5177113858540074,20.3608356073801,-1.65874728027624
16,17.28,14.86,14.18,87.31,16,87.31,14.86,-0.10469321108212265,-0.5234660554106132,20.1273467235076,-1.6771852415356048
17,17.28,14.91,14.13,86.95,17,86.95,14.91,-0.10532074048737364,-0.5266037024368682,19.99217573038605,-1.6872382626077256
18,17.28,14.85,14.18,87.37,18,87.37,14.85,-0.10458860416542946,-0.5229430208271473,20.152340014187384,-1.6755094387301799
19,17.28,14.93,14.11,86.76,19,86.76,14.93,-0.10565185344820245,-0.5282592672410122,19.930158391745987,-1.6925426922402032
20,17.28,14.89,14.15,87.09,20,87.09,14.89,-0.10507672487161164,-0.5253836243580582,20.045410627302317,-1.6833291324432185
21,17.28,14.79,14.25,87.88,21,87.88,14.79,-0.10369925378826123,-0.5184962689413061,20.3301471020743,-1.6612620456879448
22,17.28,14.87,14.16,87.21,22,87.21,14.87,-0.10486754444956166,-0.5243377222478083,20.095208023427595,-1.6799780620819778
23,17.28,14.93,14.1,86.74,23,86.74,14.93,-0.10568670389177695,-0.5284335194588847,19.926584522518077,-1.6931009963462667
24,17.28,14.86,14.17,87.28,24,87.28,14.86,-0.10474551261763312,-0.5237275630881656,20.121956787268193,-1.6780231121344826
