FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,16.85,15.13,13.91,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,16.85,15.13,13.91,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,16.85,15.53,13.51,82.06,2,82.06,15.53,-0.11381360185428005,-0.5690680092714002,18.321597732246783,-1.8232939017055663
3,16.85,15.71,13.31,80.52,3,80.52,15.71,-0.11647033171901576,-0.5823516585950788,17.843812229538766,-1.8658547141386324
4,16.85,15.99,13.03,78.33,4,78.33,15.99,-0.12022745477176172,-0.6011372738588086,17.15875595695055,-1.9260438254436227
5,16.85,16.02,13.01,78.17,5,78.17,16.02,-0.12050085575527239,-0.6025042787763619,17.099142263267886,-1.9304237091994636
6,16.85,16.14,12.88,77.18,6,77.18,16.14,-0.1221888875453675,-0.6109444377268375,16.80681392885426,-1.9574659784767872
7,16.85,16.33,12.72,75.85,7,75.85,16.33,-0.12444612919163667,-0.6222306459581833,16.391919427150185,-1.9936269896500194
8,16.85,16.4,12.65,75.29,8,75.29,16.4,-0.1253926760789337,-0.6269633803946685,16.230906973676916,-2.008790670784518
9,16.85,16.21,12.82,76.7,9,76.7,16.21,-0.12300497371881046,-0.6150248685940523,16.654238691878437,-1.9705396789753435
10,16.85,16.62,12.43,73.59,10,73.59,16.62,-0.12825088844158813,-0.6412544422079407,15.744764995546735,-2.054579232834242
11,16.85,16.89,12.16,71.5,11,71.5,16.89,-0.13173046564050922,-0.658652328202546,15.168711055551418,-2.1103220595609575
12,16.85,17.09,12.0,70.14,12,70.14,17.09,-0.13397230223685955,-0.6698615111842977,14.784109632714484,-2.14623628183449
13,16.85,17.31,11.79,68.54,13,68.54,17.31,-0.1365851583463751,-0.6829257917318755,14.35882861156698,-2.1880942367089293
14,16.85,17.32,11.78,68.45,14,68.45,17.32,-0.1367313029566913,-0.6836565147834565,14.337360594024286,-2.1904354733661946
15,16.85,17.18,11.89,69.4,15,69.4,17.18,-0.1351841648404702,-0.6759208242023509,14.596099327547147,-2.1656503207443323
16,16.85,17.33,11.73,68.16,16,68.16,17.33,-0.13720159503869817,-0.6860079751934908,14.287470618478563,-2.1979695525199445
17,16.85,17.21,11.86,69.15,17,69.15,17.21,-0.13559226163891588,-0.6779613081945793,14.533517933307358,-2.1721880314554323
18,16.85,17.42,11.65,67.54,18,67.54,17.42,-0.13820383495704908,-0.6910191747852453,14.123123395378581,-2.214025436011926
19,16.85,17.42,11.63,67.45,19,67.45,17.42,-0.1383489523534424,-0.691744761767212,14.110456155116522,-2.216350216702147
20,16.85,17.53,11.55,66.74,20,66.74,17.53,-0.13949042096887151,-0.6974521048443576,13.919294352596301,-2.2346365439213214
21,16.85,17.66,11.45,65.9,21,65.9,17.66,-0.14083304603813848,-0.7041652301906924,13.697118062658243,-2.2561453975309784
22,16.85,17.73,11.34,65.24,22,65.24,17.73,-0.14188182320446985,-0.7094091160223492,13.550964194595265,-2.272946807735607
23,16.85,17.91,11.18,63.92,23,63.92,17.91,-0.14396256723002399,-0.7198128361501199,13.232843253091428,-2.306280327024984
24,16.85,18.02,11.01,62.86,24,62.86,18.02,-0.14561662819488597,-0.7280831409744298,13.009455661498825,-2.332778383682073
25,16.85,17.75,11.24,64.68,25,64.68,17.75,-0.1427673421688682,-0.713836710844341,13.45927520707333,-2.2871328215452684
26,16.85,17.89,11.11,63.68,26,63.68,17.89,-0.14433840966225772,-0.7216920483112886,13.21632148088315,-2.3123013227893687
27,16.85,17.95,11.08,63.39,27,63.39,17.95,-0.14479151403727517,-0.7239575701863759,13.132036078601372,-2.3195600548771482
