FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,21.48,15.13,13.91,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,21.48,15.13,13.91,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,21.48,14.54,14.48,89.77,2,89.77,14.54,-0.10040142464984639,-0.5020071232492319,21.04456792975567,-1.608430822890539
3,21.48,14.21,14.8,92.33,3,92.33,14.21,-0.09593450360306584,-0.4796725180153292,22.04027057137996,-1.5368707477211148
4,21.48,13.99,15.02,94.08,4,94.08,13.99,-0.09288507325312333,-0.4644253662656166,22.739313970304238,-1.4880188735150357
5,21.48,14.31,14.7,91.52,5,91.52,14.31,-0.09734741070597541,-0.48673705352987706,21.727100114382008,-1.559505519509726
6,21.48,14.23,14.78,92.17,6,92.17,14.23,-0.09621354089902243,-0.4810677044951121,21.977649377250636,-1.5413409252023391
7,21.48,14.13,14.88,92.99,7,92.99,14.13,-0.0947838338287185,-0.47391916914359244,22.296365829345874,-1.5184370179360702
8,21.48,13.97,15.05,94.27,8,94.27,13.97,-0.09255434083426953,-0.4627717041713476,22.809893283122708,-1.4827205401649979
9,21.48,14.0,15.02,94.02,9,94.02,14.0,-0.09298953149692224,-0.46494765748461114,22.71078580407686,-1.4896922945806943
10,21.48,14.0,15.01,93.97,10,93.97,14.0,-0.0930765859109372,-0.46538292955468596,22.701235204224155,-1.491086906293214
11,21.48,13.94,15.1,94.59,11,94.59,13.94,-0.09199750476251913,-0.4599875238125956,22.92285446980379,-1.4738000262955564
12,21.48,13.81,15.2,95.47,12,95.47,13.81,-0.09046754488249903,-0.4523377244124951,23.3200363794897,-1.4492900690176345
13,21.48,14.07,14.95,93.46,13,93.46,14.07,-0.09396483048301447,-0.46982415241507236,22.485640979942573,-1.505316584337892
14,21.48,13.87,15.14,94.99,14,94.99,13.87,-0.09130181273536433,-0.45650906367682165,23.121554623532653,-1.4626550400205367
15,21.48,13.77,15.24,95.78,15,95.78,13.77,-0.08992909878473755,-0.44964549392368774,23.451387267237017,-1.4406641625314955
16,21.48,13.63,15.38,96.91,16,96.91,13.63,-0.08796898941531212,-0.4398449470765606,23.92602001697301,-1.4092632104333
17,21.48,13.66,15.35,96.66,17,96.66,13.66,-0.08840226551910389,-0.4420113275955194,23.821960473549996,-1.4162042936160444
