FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,24.55,15.13,13.91,85.18,0,85.18,15.13,-0.10840256798546362,-0.5420128399273181,19.376093880487513,-1.7366091391271272
1,24.55,15.13,13.91,85.18,1,85.18,15.13,-0.10840256798546362,-0.5420128399273181,19.376093880487513,-1.7366091391271272
2,24.55,15.32,13.72,83.68,2,83.68,15.32,-0.1110081262224782,-0.555040631112391,18.864503576553435,-1.7783501820841008
3,24.55,15.3,13.71,83.73,3,83.73,15.3,-0.11092138593334147,-0.5546069296667073,18.898985397908632,-1.7769606026521303
4,24.55,15.81,13.23,79.84,4,79.84,15.81,-0.11763975990672122,-0.5881987995336061,17.61289118498688,-1.884588953705674
5,24.55,15.91,13.14,79.09,5,79.09,15.91,-0.1189266824235485,-0.5946334121177425,17.373727301695,-1.9052054524252469
6,24.55,15.9,13.12,79.09,6,79.09,15.9,-0.1189266824235485,-0.5946334121177425,17.385146389612313,-1.9052054524252469
7,24.55,15.74,13.25,80.19,7,80.19,15.74,-0.11703814826957576,-0.5851907413478787,17.753159327930042,-1.8749511352786037
8,24.55,16.03,13.0,78.07,8,78.07,16.03,-0.12067165032137073,-0.6033582516068536,17.07173920368515,-1.933159838148359
9,24.55,15.79,13.23,79.92,9,79.92,15.79,-0.11750230589752762,-0.5875115294876381,17.649505043468935,-1.8823869404783924
10,24.55,16.16,12.89,77.18,10,77.18,16.16,-0.1221888875453675,-0.6109444377268375,16.785090913498586,-1.9574659784767872
11,24.55,16.07,12.98,77.83,11,77.83,16.07,-0.12108129937453288,-0.6054064968726643,16.988454740646063,-1.9397224159800166
12,24.55,16.24,12.81,76.55,12,76.55,16.24,-0.12325967222412926,-0.6162983611206463,16.598196021361222,-1.9746199490305507
13,24.55,16.24,12.77,76.36,13,76.36,16.24,-0.12358206125312084,-0.6179103062656042,16.56791953401011,-1.9797846212749957
14,24.55,16.25,12.75,76.23,14,76.23,16.25,-0.12380249401842625,-0.6190124700921312,16.53658591769367,-1.9833159541751884
15,24.55,16.27,12.76,76.2,15,76.2,16.27,-0.1238533457578581,-0.6192667287892905,16.51059606688414,-1.9841305990408866
16,24.55,15.99,13.01,78.26,16,78.26,15.99,-0.12034708723691878,-0.6017354361845939,17.14733739316734,-1.9279603375354388
17,24.55,16.33,12.7,75.72,17,75.72,16.33,-0.12466607473812386,-0.6233303736906193,16.37138254203465,-1.9971505173047441
18,24.55,16.35,12.66,75.51,18,75.51,16.35,-0.12502110266020935,-0.6251055133010468,16.317370545502833,-2.002838064616554
19,24.55,16.28,12.73,76.07,19,76.07,16.28,-0.12407362754853074,-0.6203681377426536,16.479373564023295,-1.9876595133274624
20,24.55,16.54,12.46,73.97,20,73.97,16.54,-0.1276140633457252,-0.638070316728626,15.882897011740114,-2.0443772947985175
21,24.55,16.65,12.35,73.1,21,73.1,16.65,-0.12907021935982527,-0.6453510967991263,15.640203947889354,-2.0677049141444006
22,24.55,16.68,12.32,72.93,22,72.93,16.68,-0.12935398328964856,-0.6467699164482428,15.584947865758947,-2.0722508123001697
23,24.55,16.79,12.2,71.99,23,71.99,16.79,-0.13091829803433258,-0.6545914901716628,15.336586611415715,-2.097311134510008
24,24.55,16.42,12.53,74.68,24,74.68,16.42,-0.12642097279380024,-0.6321048639690012,16.114808307931984,-2.02526398415668
25,24.55,16.61,12.34,73.24,25,73.24,16.61,-0.12883633914744494,-0.6441816957372246,15.700949856818257,-2.063958153142068
26,24.55,16.64,12.33,73.08,26,73.08,16.64,-0.1291036166828272,-0.645518083414136,15.646950692702788,-2.0682399392588917
27,24.55,16.81,12.22,72.02,27,72.02,16.81,-0.13086849942036596,-0.6543424971018298,15.322071718425718,-2.0965133607142628
28,24.55,16.79,12.2,71.99,28,71.99,16.79,-0.13091829803433258,-0.6545914901716628,15.336586611415715,-2.097311134510008
29,24.55,16.97,12.0,70.55,29,70.55,16.97,-0.13329841223496844,-0.6664920611748422,14.953528174028062,-2.1354405640041945
30,24.55,17.02,12.0,70.35,30,70.35,17.02,-0.1336273542130134,-0.668136771065067,14.878328507730089,-2.1407102144924743
31,24.55,16.89,12.1,71.25,31,71.25,16.89,-0.13214394653031616,-0.6607197326515808,15.131437688341197,-2.116946023415665
32,24.55,16.74,12.17,72.04,32,72.04,16.74,-0.13083529564200413,-0.6541764782100207,15.39191159608285,-2.095981436184906
33,24.55,16.62,12.29,72.96,33,72.96,16.62,-0.12930392600850577,-0.6465196300425288,15.64822982938396,-2.071448894656262
34,24.55,16.77,12.19,72.06,34,72.06,16.77,-0.1308020881064551,-0.6540104405322755,15.366214089957708,-2.0954494514654107
35,24.55,16.86,12.08,71.23,35,71.23,16.86,-0.13217699866841576,-0.6608849933420787,15.156523707833655,-2.1174755186680203
36,24.55,16.76,12.2,72.09,36,72.09,16.76,-0.13075226976725673,-0.6537613488362837,15.380302408418906,-2.094651361671453
37,24.55,16.96,11.99,70.52,37,70.52,16.96,-0.13334777949500673,-0.6667388974750336,14.958287428211344,-2.136231427510008
38,24.55,16.8,12.12,71.62,38,71.62,16.8,-0.13153177975114622,-0.657658898755731,15.271456142991356,-2.107139111613362
39,24.55,16.95,12.02,70.68,39,70.68,16.95,-0.13308438212522164,-0.6654219106261081,14.99114275402653,-2.1320118016460508
40,24.55,16.92,11.98,70.61,40,70.61,16.92,-0.133199650341583,-0.6659982517079149,15.008479379421177,-2.1338583984721593
41,24.55,17.25,11.71,68.36,41,68.36,17.25,-0.13687735693616876,-0.6843867846808438,14.38508591372791,-2.1927752581174236
42,24.55,17.15,11.77,68.93,42,68.93,17.15,-0.13595082654662635,-0.6797541327331318,14.554682393166013,-2.177932241276954
43,24.55,17.26,11.67,68.13,43,68.13,17.26,-0.1372501917543152,-0.6862509587715759,14.343545641251193,-2.198748071904129
44,24.55,17.33,11.6,67.57,44,67.57,17.33,-0.1381554415263036,-0.690777207631518,14.203759394959873,-2.213250173251384
45,24.55,17.17,11.7,68.55,45,68.55,17.17,-0.13656891447750544,-0.6828445723875272,14.482248138802944,-2.187834009929637
46,24.55,17.14,11.69,68.58,46,68.58,17.14,-0.1365201761891588,-0.682600880945794,14.51298580371237,-2.1870532225503236
47,24.55,16.96,11.85,69.91,47,69.91,16.96,-0.13434957864853556,-0.6717478932426778,14.868368436202635,-2.1522802499495395
48,24.55,17.31,11.53,67.35,48,67.35,17.31,-0.13851008291275782,-0.6925504145637891,14.189690596566669,-2.21893152826238
49,24.55,17.33,11.51,67.2,49,67.2,17.33,-0.1387515586452103,-0.6937577932260515,14.151443121814715,-2.222799969496269
50,24.55,17.34,11.52,67.17,50,67.17,17.34,-0.13879982197276908,-0.6939991098638454,14.13871048893788,-2.2235731480037604
51,24.55,17.31,11.52,67.3,51,67.3,17.31,-0.13859060423243186,-0.6929530211621593,14.182615401822563,-2.220221479803558
52,24.55,17.21,11.62,68.07,52,68.07,17.21,-0.13734735453517502,-0.6867367726758751,14.37836906783011,-2.2003046196535037
