FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,22.84,15.13,13.91,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,22.84,15.13,13.91,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,22.84,14.13,14.9,93.05,2,93.05,14.13,-0.09467925951262639,-0.4733962975631319,22.307727639925634,-1.5167617373922746
3,22.84,13.12,15.91,101.01,3,101.01,13.12,-0.080901968126673,-0.4045098406333649,25.736599921286547,-1.2960495293893013
4,22.84,12.97,16.05,102.13,4,102.13,12.97,-0.0789869499748063,-0.3949347498740315,26.27822224077761,-1.265370938596397
5,22.84,12.37,16.63,106.7,5,106.7,12.37,-0.0712639480150288,-0.356319740075144,28.59123799997299,-1.1416484472007615
6,22.84,11.73,17.24,111.5,6,111.5,11.73,-0.06334987732757029,-0.3167493866378514,31.291702967902655,-1.014865034787676
7,22.84,11.82,17.15,110.84,7,110.84,11.82,-0.0644240492742875,-0.32212024637143755,30.898342375916986,-1.0320732693740857
8,22.84,11.86,17.12,110.58,8,110.58,11.86,-0.06484851194419482,-0.32424255972097404,30.732461336615845,-1.038873161346001
9,22.84,12.02,16.97,109.37,9,109.37,12.02,-0.06683327838544775,-0.33416639192723874,30.043631911523615,-1.070669119734873
10,22.84,11.57,17.39,112.71,10,112.71,11.57,-0.061393295028282335,-0.3069664751414117,32.01330685062203,-0.983520586353083
11,22.84,11.99,17.0,109.61,11,109.61,11.99,-0.06643840153168586,-0.33219200765842927,30.174244475090447,-1.0643431925376075
12,22.84,11.91,17.07,110.2,12,110.2,11.91,-0.06547018010014653,-0.3273509005007327,30.514914457842444,-1.0488322852043475
13,22.84,11.73,17.24,111.53,13,111.53,11.73,-0.06330116580377669,-0.31650582901888347,31.29814398097482,-1.0140846761765026
14,22.84,11.65,17.32,112.16,14,112.16,11.65,-0.06228056848126236,-0.3114028424063118,31.66200561102553,-0.9977347070698229
15,22.84,11.95,17.04,109.91,15,109.91,11.95,-0.06594563437347227,-0.32972817186736136,30.345099128379,-1.0564490626630256
16,22.84,12.05,16.94,109.15,16,109.15,12.05,-0.06719576022318784,-0.33597880111593914,29.917869619616287,-1.076476078775469
17,22.84,12.27,16.73,107.48,17,107.48,12.27,-0.06996271288274636,-0.3498135644137318,29.001736346006474,-1.1208026603815966
18,22.84,12.2,16.8,108.02,18,108.02,12.2,-0.06906510431065482,-0.3453255215532741,29.291632288082802,-1.1064229710566902
19,22.84,11.97,17.01,109.74,19,109.74,11.97,-0.06622475533456754,-0.33112377667283766,30.2552840588397,-1.060920580459772
20,22.84,11.77,17.2,111.24,20,111.24,11.77,-0.06377246332954543,-0.3188623166477272,31.1233135840779,-1.021634862539318
21,22.84,12.2,16.8,108.01,21,108.01,12.2,-0.06908170196566742,-0.34540850982833704,29.289527052293195,-1.106688865489992
22,22.84,11.98,17.01,109.7,22,109.7,11.98,-0.06629047415769178,-0.3314523707884589,30.22004355383982,-1.0619733960062223
23,22.84,12.06,16.93,109.05,23,109.05,12.06,-0.06736068490005784,-0.33680342450028916,29.87043373240597,-1.0791181720989265
24,22.84,11.76,17.21,111.3,24,111.3,11.76,-0.06367487695270217,-0.3183743847635109,31.164234454675675,-1.0200715287822888
25,22.84,11.89,17.09,110.37,25,110.37,11.89,-0.06519187601393509,-0.3259593800696754,30.60556402904375,-1.04437385374324
26,22.84,11.86,17.12,110.6,26,110.6,11.86,-0.06481583515952985,-0.3240791757976492,30.736731936940874,-1.0383496792556681
27,22.84,11.68,17.28,111.87,27,111.87,11.68,-0.06274980824568482,-0.3137490412284241,31.51344769314216,-1.005251928095871
28,22.84,11.73,17.24,111.52,28,111.52,11.73,-0.0633174018611236,-0.316587009305618,31.295997124348958,-1.0143447778152
29,22.84,11.82,17.15,110.85,29,110.85,11.82,-0.06440773836108413,-0.3220386918054206,30.900481729187426,-1.0318119685445677
