FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,20.87,14.71,14.32,88.46,0,88.46,14.71,-0.10268748343405194,-0.5134374171702597,20.55146017954478,-1.645053484613512
1,20.87,14.71,14.32,88.46,1,88.46,14.71,-0.10268748343405194,-0.5134374171702597,20.55146017954478,-1.645053484613512
2,20.87,14.82,14.22,87.63,2,87.63,14.82,-0.10413525085223674,-0.5206762542611837,20.241951969483384,-1.6682467186528325
3,20.87,14.67,14.36,88.78,3,88.78,14.67,-0.10212914078948741,-0.510645703947437,20.66854428382486,-1.6361088354475883
4,20.87,14.71,14.33,88.5,4,88.5,14.71,-0.10261769483078731,-0.5130884741539365,20.5587291441596,-1.6439354711892127
5,20.87,14.88,14.16,87.15,5,87.15,14.88,-0.10497213738686578,-0.5248606869343289,20.07029152975253,-1.6816536409375897
6,20.87,14.67,14.36,88.78,6,88.78,14.67,-0.10212914078948741,-0.510645703947437,20.66854428382486,-1.6361088354475883
7,20.87,14.79,14.25,87.87,7,87.87,14.79,-0.10371669507830106,-0.5185834753915053,20.328340771741875,-1.661541455154383
8,20.87,14.65,14.38,88.94,8,88.94,14.65,-0.10184994347345017,-0.5092497173672508,20.72734022409225,-1.6316360944446717
9,20.87,14.7,14.34,88.57,9,88.57,14.7,-0.1024955617255639,-0.5124778086278194,20.586123685366907,-1.6419788988435335
10,20.87,14.65,14.38,88.93,10,88.93,14.65,-0.10186739375093752,-0.5093369687546876,20.725514850711967,-1.631915647890019
11,20.87,14.98,14.06,86.37,11,86.37,14.98,-0.10633130764712669,-0.5316565382356334,19.791031050928027,-1.7034275485069694
12,20.87,14.87,14.17,87.22,12,87.22,14.87,-0.1048501117712881,-0.5242505588564405,20.097003282423973,-1.6796987905760352
13,20.87,14.66,14.37,88.85,13,88.85,14.66,-0.10200699387835893,-0.5100349693917946,20.696097026364328,-1.63415204193131
14,20.87,14.9,14.14,87.03,14,87.03,14.9,-0.10518130678910623,-0.5259065339455311,20.020565253004087,-1.6850045347614817
15,20.87,14.68,14.35,88.7,15,88.7,14.68,-0.10226873335727814,-0.5113436667863906,20.63920987870828,-1.6383451083835958
16,20.87,14.73,14.3,88.31,16,88.31,14.73,-0.10294917875278552,-0.5147458937639275,20.494985525887834,-1.649245843619624
17,20.87,14.66,14.38,88.91,17,88.91,14.66,-0.1019022941347285,-0.5095114706736424,20.70704123139084,-1.6324747520383505
18,20.87,14.58,14.46,89.55,18,89.55,14.58,-0.10078539008887114,-0.5039269504443556,20.943641548988694,-1.6145819492237155
19,20.87,14.78,14.25,87.9,19,87.9,14.78,-0.10366437087065564,-0.5183218543532782,20.348181842918073,-1.6607032213479032
20,20.87,14.49,14.54,90.19,20,90.19,14.49,-0.0996683880498941,-0.4983419402494705,21.198326926518405,-1.5966875765593034
21,20.87,14.48,14.55,90.27,21,90.27,14.48,-0.09952876284606267,-0.49764381423031334,21.22847292404783,-1.5944507807939239
22,20.87,14.47,14.57,90.4,22,90.4,14.47,-0.09930187397020383,-0.4965093698510191,21.267909893361274,-1.5908160210026654
23,20.87,14.52,14.51,89.96,23,89.96,14.52,-0.10006981316440877,-0.5003490658220439,21.10999255957653,-1.6031184068938285
24,20.87,14.55,14.48,89.72,24,89.72,14.55,-0.10048869024540247,-0.5024434512270123,21.02020116471296,-1.6098288177313476
25,20.87,14.62,14.41,89.16,25,89.16,14.62,-0.10146602405296608,-0.5073301202648304,20.812194043578053,-1.6254857053285166
