FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,20.92,15.13,13.91,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,20.92,15.13,13.91,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,20.92,14.94,14.1,86.71,2,86.71,14.94,-0.10573897825660993,-0.5286948912830496,19.907252332151536,-1.693938431670891
3,20.92,14.68,14.36,88.76,3,88.76,14.68,-0.1021640393312098,-0.5108201966560489,20.650137851879947,-1.636667910085981
4,20.92,14.69,14.35,88.64,4,88.64,14.69,-0.1023734248954022,-0.511867124477011,20.61355767885113,-1.6400222668243432
5,20.92,14.76,14.28,88.12,5,88.12,14.76,-0.10328063024361232,-0.5164031512180616,20.41691455519187,-1.6545556965026693
6,20.92,14.57,14.47,89.58,6,89.58,14.57,-0.10073303172094605,-0.5036651586047303,20.96422823475179,-1.6137431681695558
7,20.92,14.71,14.32,88.45,7,88.45,14.71,-0.10270493038153317,-0.5135246519076658,20.54964295956981,-1.6453329847121614
8,20.92,14.67,14.37,88.82,8,88.82,14.67,-0.10205934293200697,-0.5102967146600348,20.675834999163172,-1.6349906737707516
9,20.92,14.59,14.43,89.36,9,89.36,14.59,-0.10111698749294223,-0.5055849374647111,20.89374882716207,-1.6198941396369346
10,20.92,14.62,14.4,89.14,10,89.14,14.62,-0.10150092679667239,-0.5075046339833619,20.80853521051835,-1.6260448472826916
11,20.92,14.73,14.31,88.35,11,88.35,14.73,-0.10287939523682635,-0.5143969761841317,20.5022436136262,-1.648127911693958
12,20.92,14.77,14.27,88.0,12,88.0,14.77,-0.10348994967025012,-0.5174497483512506,20.380714122952444,-1.6579089937174067
13,20.92,14.8,14.24,87.78,13,87.78,14.8,-0.10387366153014065,-0.5193683076507032,20.297698025627405,-1.6640560577128531
14,20.92,14.7,14.33,88.54,14,88.54,14.7,-0.10254790495169004,-0.5127395247584502,20.580667888340074,-1.6428174373260744
15,20.92,14.6,14.43,89.34,15,89.34,14.6,-0.10115189183157523,-0.5057594591578761,20.875074582092925,-1.6204533071418352
16,20.92,14.71,14.32,88.46,16,88.46,14.71,-0.10268748343405194,-0.5134374171702597,20.55146017954478,-1.645053484613512
17,20.92,14.67,14.37,88.81,17,88.81,14.67,-0.10207679249180267,-0.5103839624590133,20.67401231036094,-1.6352702157186787
18,20.92,14.66,14.38,88.88,18,88.88,14.66,-0.10195464427448214,-0.5097732213724107,20.70156910087013,-1.633313401277204
