FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,17.57,15.13,13.91,85.2,0,85.2,15.13,-0.10836778433323156,-0.5418389216661578,19.37961152320364,-1.7360519050183696
1,17.57,15.13,13.91,85.2,1,85.2,15.13,-0.10836778433323156,-0.5418389216661578,19.37961152320364,-1.7360519050183696
2,17.57,14.75,14.29,88.2,2,88.2,14.75,-0.10314107590781281,-0.515705379539064,20.44592054770984,-1.6523200360431611
3,17.57,14.9,14.11,86.88,3,86.88,14.9,-0.10544273647350091,-0.5272136823675045,19.993699401636164,-1.6891926383054845
4,17.57,14.88,14.14,87.09,4,87.09,14.88,-0.10507672487161164,-0.5253836243580582,20.059528445539396,-1.6833291324432185
5,17.57,14.78,14.19,87.64,5,87.64,14.78,-0.10411781242603349,-0.5205890621301674,20.301187258874002,-1.6679673550650564
6,17.57,14.76,14.26,88.03,6,88.03,14.76,-0.10343762121290921,-0.517188106064546,20.40062093240302,-1.6570706918308056
7,17.57,14.6,14.34,88.98,7,88.98,14.6,-0.10178014180529137,-0.5089007090264568,20.809120899262744,-1.6305178717207676
8,17.57,14.7,14.29,88.37,8,88.37,14.7,-0.10284450295045265,-0.5142225147522632,20.549753124394993,-1.6475689372662514
9,17.57,14.53,14.44,89.65,9,89.65,14.53,-0.10061086143906783,-0.5030543071953392,21.037664591080297,-1.6117860002538666
10,17.57,14.52,14.49,89.88,10,89.88,14.52,-0.10020943935712195,-0.5010471967856097,21.09524987396237,-1.6053552185010938
11,17.57,14.56,14.41,89.39,11,89.39,14.56,-0.1010646307311314,-0.5053231536556569,20.944420529778583,-1.6190553843127249
12,17.57,14.62,14.34,88.9,12,88.9,14.62,-0.10191974423996897,-0.5095987211998448,20.76463083668438,-1.6327543027243028
13,17.57,14.35,14.62,91.05,13,91.05,14.35,-0.09816750686038973,-0.49083753430194865,21.57586092703167,-1.5726434599034436
14,17.57,14.57,14.37,89.22,14,89.22,14.57,-0.10136131476707495,-0.5068065738353748,20.898128623316815,-1.6238082625685406
15,17.57,14.55,14.47,89.67,15,89.67,14.55,-0.10057595546879966,-0.5028797773439982,21.011007036556773,-1.6112268066101705
16,17.57,14.35,14.67,91.27,16,91.27,14.35,-0.09778361335193858,-0.48891806675969285,21.61689908109838,-1.566493485898056
