FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,16.76,15.13,13.91,85.2,0,85.2,15.13,-0.10836778433323156,-0.5418389216661578,19.37961152320364,-1.7360519050183696
1,16.76,15.13,13.91,85.2,1,85.2,15.13,-0.10836778433323156,-0.5418389216661578,19.37961152320364,-1.7360519050183696
2,16.76,14.3,14.74,91.74,2,91.74,14.3,-0.0969635938775864,-0.4848179693879319,21.784231650835366,-1.553356773918934
3,16.76,13.9,15.13,94.85,3,94.85,13.9,-0.09154525845718914,-0.4577262922859457,23.042187504676416,-1.4665550404841698
4,16.76,13.28,15.76,99.76,4,99.76,13.28,-0.08304784867492537,-0.41523924337462687,25.16108622545581,-1.3304265357723044
5,16.76,12.48,16.53,105.91,5,105.91,12.48,-0.07258729299570166,-0.3629364649785083,28.16107994012107,-1.1628484337911404
6,16.76,12.3,16.71,107.29,6,107.29,12.3,-0.07027917676458494,-0.35139588382292464,28.88714070595637,-1.1258724117686507
7,16.76,10.91,17.98,117.49,7,117.49,10.91,-0.0538406206392412,-0.269203103196206,35.15356234749373,-0.862526742640644
8,16.76,9.7,19.01,125.95,8,125.95,9.7,-0.041292097194275956,-0.20646048597137978,41.887691023202414,-0.6614993970523008
9,16.76,9.32,19.32,128.5,9,128.5,9.32,-0.037748536336238064,-0.1887426816811903,44.32201237354869,-0.6047315521065337
10,16.76,8.64,19.83,132.9,10,132.9,8.64,-0.03192791310410822,-0.1596395655205411,49.1579322442098,-0.5114851679278136
11,16.76,8.2,20.14,135.69,11,135.69,8.2,-0.02844291736590392,-0.1422145868295196,52.69390316092298,-0.4556555362017808
12,16.76,7.24,20.78,141.58,12,141.58,7.24,-0.021652341189323833,-0.10826170594661916,61.85305057651181,-0.3468705058529678
13,16.76,7.69,20.49,138.84,13,138.84,7.69,-0.024712542250748284,-0.12356271125374141,57.276978028256174,-0.3958949268569875
14,16.76,7.0,20.93,142.99,14,142.99,7.0,-0.020146953865250797,-0.10073476932625397,64.52671632245391,-0.32275420092131774
15,16.76,7.52,20.6,139.91,15,139.91,7.52,-0.023496618995126586,-0.11748309497563292,58.94869274265538,-0.3764158363019279
16,16.76,7.74,20.46,138.58,16,138.58,7.74,-0.025011981745287994,-0.12505990872643996,56.8124402953047,-0.40069194755951365
17,16.76,7.36,20.71,140.88,17,140.88,7.36,-0.02241737875954808,-0.1120868937977404,60.58448243724687,-0.35912640772796023
18,16.76,7.02,20.91,142.88,18,142.88,7.02,-0.02026266790712965,-0.10131333953564825,64.29854229987077,-0.324607939872217
19,16.76,6.86,21.01,143.83,19,143.83,6.86,-0.019273055808227392,-0.09636527904113695,66.17964415928643,-0.3087543540478028
20,16.76,7.0,20.92,142.99,20,142.99,7.0,-0.020146953865250797,-0.10073476932625397,64.52671632245391,-0.32275420092131774
21,16.76,7.05,20.84,142.6,21,142.6,7.05,-0.020558537946458212,-0.10279268973229105,63.93094406206884,-0.32934777790226055
22,16.76,6.6,21.04,145.14,22,145.14,6.6,-0.017944889085297223,-0.08972444542648611,69.38048728612236,-0.2874771231464615
23,16.76,7.1,20.77,142.24,23,142.24,7.1,-0.020941729037124702,-0.1047086451856235,63.35075023436872,-0.3354864991747377
24,16.76,6.3,21.23,146.94,24,146.94,6.3,-0.016190023646664175,-0.08095011823332088,73.4919176386574,-0.2593641788195601
25,16.76,6.76,21.01,144.35,25,144.35,6.76,-0.018740754661833215,-0.09370377330916607,67.38407271546069,-0.3002268896825681
26,16.76,6.98,20.82,142.92,26,142.92,6.98,-0.020220556046142913,-0.10110278023071456,64.71252644174916,-0.3239333078592095
27,16.76,7.25,20.74,141.47,27,141.47,7.25,-0.021771789831246058,-0.10885894915623029,61.733235572617424,-0.34878407309656184
28,16.76,7.44,20.57,140.22,28,140.22,7.44,-0.02314930827809234,-0.1157465413904617,59.71556526721653,-0.3708519186150393
29,16.76,7.36,20.62,140.72,29,140.72,7.36,-0.02259387457900948,-0.11296937289504738,60.54596090507521,-0.3619538707557318
30,16.76,7.43,20.64,140.42,30,140.42,7.43,-0.022926430122403387,-0.11463215061201693,59.8514505706319,-0.36728141056090224
31,16.76,7.84,20.37,137.91,31,137.91,7.84,-0.025790715880697757,-0.12895357940348878,55.86593831277239,-0.41316726840877804
32,16.76,7.98,20.3,137.06,32,137.06,7.98,-0.026793251250828723,-0.1339662562541436,54.60140123631514,-0.42922788503827614
33,16.76,7.98,20.3,137.07,33,137.07,7.98,-0.026781362622524164,-0.13390681311262081,54.60377722361112,-0.4290374292128371
34,16.76,7.91,20.35,137.51,34,137.51,7.91,-0.02626047616846794,-0.1313023808423397,55.233979772341634,-0.4206928282188564
35,16.76,8.32,20.06,134.93,35,134.93,8.32,-0.029375764022587292,-0.14687882011293646,51.692939177084405,-0.4705997396418484
36,16.76,8.13,20.19,136.14,36,136.14,8.13,-0.02789649781552116,-0.1394824890776058,53.29296830387876,-0.446901895004649
37,16.76,8.25,20.11,135.36,37,135.36,8.25,-0.028846432279071434,-0.14423216139535716,52.2701612026346,-0.46211984511072435
38,16.76,8.74,19.76,132.28,38,132.28,8.74,-0.03272457074444003,-0.16362285372220015,48.406790303294784,-0.5242476233259293
39,16.76,8.84,19.68,131.6,39,131.6,8.84,-0.03360737873477584,-0.1680368936738792,47.658478403956394,-0.5383902073311089
40,16.76,9.2,19.41,129.25,40,129.25,9.2,-0.0367294671437484,-0.18364733571874198,45.11838881940669,-0.5884060636428493
41,16.76,9.13,19.47,129.77,41,129.77,9.13,-0.036029266055378165,-0.1801463302768908,45.61157547543621,-0.5771888422071582
42,16.76,9.1,19.48,129.91,42,129.91,9.1,-0.035841648262330106,-0.17920824131165053,45.80592904302099,-0.5741832051625283
