FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,21.64,15.13,13.91,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,21.64,15.13,13.91,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,21.64,14.68,14.31,88.5,2,88.5,14.68,-0.10261769483078731,-0.5130884741539365,20.602785244336452,-1.6439354711892127
3,21.64,14.33,14.64,91.2,3,91.2,14.33,-0.09790575801166432,-0.48952879005832156,21.63549344583764,-1.5684502433468623
4,21.64,14.34,14.68,91.34,4,91.34,14.34,-0.09766147200044732,-0.48830736000223657,21.64578933358118,-1.564536781447166
5,21.64,14.19,14.75,92.23,5,92.23,14.19,-0.09610889833589714,-0.4805444916794857,22.054031121330613,-1.5396645513410723
6,21.64,14.09,14.9,93.22,6,93.22,14.09,-0.09438299768403324,-0.4719149884201662,22.406542258820483,-1.5120156228982125
7,21.64,14.53,14.44,89.67,7,89.67,14.53,-0.10057595546879966,-0.5028797773439982,21.04134754041258,-1.6112268066101705
8,21.64,13.96,15.01,94.16,8,94.16,13.96,-0.09274580775157293,-0.46372903875786464,22.80599707338397,-1.4857878401801983
9,21.64,14.07,14.83,93.0,9,93.0,14.07,-0.09476640437570562,-0.4738320218785281,22.39816124135133,-1.518157798098804
10,21.64,13.94,14.98,94.1,10,94.1,13.94,-0.09285025556673142,-0.46425127783365705,22.82887731553144,-1.4874610941790374
11,21.64,13.77,15.13,95.41,11,95.41,13.77,-0.09057179297738202,-0.4528589648869101,23.37963972714975,-1.45096012349766
12,21.64,13.87,15.02,94.56,12,94.56,13.87,-0.09204969780923401,-0.46024848904617005,23.038696857424338,-1.4746361589039287
13,21.64,13.76,15.23,95.82,13,95.82,13.76,-0.08985964301001353,-0.4492982150500676,23.477071056915435,-1.4395514810204169
14,21.64,13.87,14.96,94.36,14,94.36,13.87,-0.09239770646462969,-0.46198853232314846,23.00014117449936,-1.4802112575633677
15,21.64,13.94,15.01,94.24,15,94.24,13.94,-0.09260655639244153,-0.46303278196220765,22.85573411213035,-1.4835570334069133
16,21.64,13.7,15.15,95.75,16,95.75,13.7,-0.08998119383879238,-0.4499059691939619,23.5715858658965,-1.441498725297454
17,21.64,13.66,15.17,95.97,17,95.97,13.66,-0.08959922814838092,-0.4479961407419046,23.68720479427533,-1.4353796349370622
18,21.64,13.45,15.45,97.9,18,97.9,13.45,-0.08625554539628533,-0.43127772698142663,24.459216204903203,-1.381813837248491
19,21.64,13.53,15.27,96.93,19,96.93,13.53,-0.08793433711285015,-0.43967168556425074,24.11608870867383,-1.4087080805478593
20,21.64,13.62,15.25,96.44,20,96.44,13.62,-0.08878373141267314,-0.44391865706336564,23.852495523859858,-1.4223153772310235
21,21.64,13.58,15.27,96.67,21,96.67,13.58,-0.08838493018059362,-0.4419246509029681,23.971606863248283,-1.41592658149311
22,21.64,13.63,15.24,96.38,22,96.38,13.63,-0.08888779650215067,-0.4444389825107533,23.82233991522367,-1.4239824999644537
23,21.64,13.69,15.09,95.54,23,95.54,13.69,-0.0903459353252319,-0.4517296766261595,23.54872986294466,-1.447341883910215
24,21.64,13.6,15.32,96.84,24,96.84,13.6,-0.08809028399051302,-0.4404514199525651,23.96783784855557,-1.4112063495280187
25,21.64,13.24,15.65,99.55,25,99.55,13.24,-0.08340917605384393,-0.4170458802692196,25.19913897944377,-1.3362150003825797
26,21.64,13.65,15.23,96.26,26,96.26,13.65,-0.08909596312465307,-0.4454798156232653,23.76216383819294,-1.427317329256942
27,21.64,13.49,15.33,97.32,27,97.32,13.49,-0.08725891626697911,-0.4362945813348955,24.268412113370953,-1.3978878385970053
28,21.64,13.43,15.38,97.75,28,97.75,13.43,-0.0865149069726277,-0.4325745348631385,24.467841843603633,-1.3859688097014957
29,21.64,13.72,15.22,95.96,29,95.96,13.72,-0.08961658694111929,-0.4480829347055964,23.57630324287154,-1.435657722796731
30,21.64,13.74,15.13,95.51,30,95.51,13.74,-0.09039805195302388,-0.45199025976511936,23.45276969174725,-1.4481767922874424
31,21.64,13.68,15.22,96.11,31,96.11,13.68,-0.08935623855731159,-0.4467811927865579,23.67808862268019,-1.4314869416881317
32,21.64,13.54,15.29,96.95,32,96.95,13.54,-0.08789968628055264,-0.4394984314027632,24.101280378621407,-1.4081529742144532
33,21.64,13.52,15.29,97.02,33,97.02,13.52,-0.08777842000601108,-0.43889210003005535,24.15260826425985,-1.4062102884962975
34,21.64,13.79,15.04,95.0,34,95.0,13.79,-0.09128442572523418,-0.4564221286261709,23.26454886928467,-1.4623765001182516
35,21.64,13.71,15.05,95.35,35,95.35,13.71,-0.09067605141144999,-0.45338025705724994,23.47557324007864,-1.452630343611429
36,21.64,13.57,15.3,96.84,36,96.84,13.57,-0.08809028399051302,-0.4404514199525651,24.02360044618694,-1.4112063495280187
37,21.64,13.87,15.01,94.53,37,94.53,13.87,-0.09210189303556937,-0.46050946517784686,23.03291417769617,-1.4754723264298213
38,21.64,13.81,15.02,94.81,38,94.81,13.81,-0.09161482371293889,-0.4580741185646944,23.192349315219523,-1.467669475881281
39,21.64,13.77,15.15,95.44,39,95.44,13.77,-0.09051966763039707,-0.4525983381519853,23.385458770584666,-1.450125075438961
40,21.64,13.58,15.3,96.83,40,96.83,13.58,-0.08810761324235594,-0.44053806621177966,24.003021131738837,-1.411483964142542
41,21.64,13.63,15.29,96.6,41,96.6,13.63,-0.08850628495071336,-0.44253142475356677,23.86539047179662,-1.417870684910428
42,21.64,13.84,15.06,94.83,42,94.83,13.84,-0.09158004057209074,-0.4579002028604537,23.14335529943842,-1.4671122499648936
43,21.64,13.92,14.96,94.13,43,94.13,13.92,-0.09279803067192181,-0.463990153359609,22.86911856835009,-1.4866244513641873
44,21.64,14.06,14.82,93.01,44,93.01,14.06,-0.0947489750821172,-0.47374487541058596,22.416801989892534,-1.5178785808155175
45,21.64,13.93,14.97,94.15,45,94.15,13.93,-0.09276321517142089,-0.4638160758571044,22.855702403882674,-1.4860667070461626
46,21.64,13.83,15.02,94.7,46,94.7,13.83,-0.09180614913699592,-0.4590307456849796,23.13582369071619,-1.4707345091746746
47,21.64,14.14,14.74,92.39,47,92.39,14.14,-0.09582987267378884,-0.4791493633689442,22.166237517872403,-1.5351945602340973
48,21.64,13.95,14.97,94.03,48,94.03,13.95,-0.09297212125265106,-0.46486060626325526,22.798257567468386,-1.4894133824674698
49,21.64,13.88,14.97,94.35,49,94.35,13.88,-0.09241510936423061,-0.46207554682115304,22.98079441243441,-1.4804900520149744
50,21.64,14.14,14.67,92.12,50,92.12,14.14,-0.0963007462117388,-0.481503731058694,22.115115961453906,-1.5427379543120556
51,21.64,14.09,14.79,92.79,51,92.79,14.09,-0.09513245555043837,-0.4756622777521918,22.324872167506697,-1.5240219379180227
52,21.64,13.84,15.11,95.02,52,95.02,13.84,-0.0912496525019783,-0.4562482625098915,23.180042229587986,-1.4618194330816925
53,21.64,13.62,15.18,96.2,53,96.2,13.62,-0.08920006442939771,-0.44600032214698854,23.80547934710285,-1.4289850321589512
54,21.64,13.79,14.99,94.75,54,94.75,13.79,-0.09171917924877959,-0.4585958962438979,23.216088927424746,-1.469341251565449
55,21.64,13.86,15.04,94.68,55,94.68,13.86,-0.09184093884318423,-0.45920469421592114,23.079318465241695,-1.4712918402678112
56,21.64,13.86,14.95,94.33,56,94.33,13.86,-0.09244991585604928,-0.46224957928024635,23.01179906762423,-1.4810476520139095
57,21.64,14.01,14.89,93.46,57,93.46,14.01,-0.09396483048301447,-0.46982415241507236,22.586833492446345,-1.505316584337892
58,21.64,13.8,14.91,94.42,58,94.42,13.8,-0.09229329394873911,-0.46146646974369554,23.13445341124604,-1.4785385690588007
59,21.64,13.77,15.03,95.03,59,95.03,13.77,-0.09123226628991177,-0.4561613314495588,23.30590740467098,-1.4615409059643865
60,21.64,13.94,14.87,93.7,60,93.7,13.94,-0.09354676917470423,-0.46773384587352107,22.752118236013814,-1.4986192421787616
61,21.64,13.83,14.99,94.61,61,94.61,13.83,-0.09196271061600898,-0.4598135530800449,23.118425584287063,-1.473242624068464
62,21.64,13.92,14.95,94.07,62,94.07,13.92,-0.09290248242168403,-0.4645124121084201,22.85759010914804,-1.4882977683953782
63,21.64,13.85,14.97,94.45,63,94.45,13.85,-0.0922410908528934,-0.461205454264467,23.05243835743665,-1.4777022754633524
64,21.64,13.83,15.04,94.8,64,94.8,13.83,-0.09163221566676848,-0.45816107833384234,23.155152283200625,-1.467948094981631
65,21.64,14.14,14.69,92.21,65,92.21,14.14,-0.09614377872182012,-0.48071889360910053,22.132157527277894,-1.5402233351235581
66,21.64,13.82,15.05,94.89,66,94.89,13.82,-0.09147569732217768,-0.45737848661088837,23.190176140029333,-1.4654406711012864
67,21.64,13.91,14.97,94.19,67,94.19,13.91,-0.092693586820002,-0.46346793410001,22.897936777206812,-1.4849512608564321
68,21.64,13.77,15.08,95.23,68,95.23,13.77,-0.09088459883980111,-0.45442299419900556,23.344719462721812,-1.4559712734136139
69,21.64,14.01,14.79,93.1,69,93.1,14.01,-0.09459211870152248,-0.4729605935076124,22.51806632722679,-1.51536574159839
70,21.64,13.96,14.89,93.7,70,93.7,13.96,-0.09354676917470423,-0.46773384587352107,22.717860260933243,-1.4986192421787616
