FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,16.19,15.13,13.91,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,16.19,15.13,13.91,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,16.19,14.29,14.74,91.77,2,91.77,14.29,-0.0969112585614888,-0.484556292807444,21.805855557357138,-1.5525183621550505
3,16.19,14.39,14.65,91.05,3,91.05,14.39,-0.09816750686038973,-0.49083753430194865,21.512915740713648,-1.5726434599034436
4,16.19,14.43,14.6,90.68,4,90.68,14.43,-0.09881320397014627,-0.49406601985073134,21.381712605560164,-1.5829875276017433
5,16.19,14.26,14.78,92.04,5,92.04,14.26,-0.09644028054411413,-0.48220140272057066,21.904704002210334,-1.5449732943167083
6,16.19,14.45,14.59,90.54,6,90.54,14.45,-0.09905753615668561,-0.495287680783428,21.32472900529889,-1.5869017292301035
7,16.19,14.65,14.39,88.98,7,88.98,14.65,-0.10178014180529137,-0.5089007090264568,20.73464177600446,-1.6305178717207676
8,16.19,14.41,14.63,90.88,8,90.88,14.41,-0.09846417064250473,-0.4923208532125236,21.450005636217178,-1.5773960136929257
9,16.19,14.31,14.73,91.67,9,91.67,14.31,-0.09708571282764555,-0.48542856413822777,21.755157668553913,-1.5553131194988816
10,16.19,14.53,14.5,89.87,10,89.87,14.53,-0.10022689260808398,-0.5011344630404199,21.07817736694145,-1.6056348195815053
11,16.19,14.14,14.9,93.0,11,93.0,14.14,-0.09476640437570562,-0.4738320218785281,22.28169559784106,-1.518157798098804
12,16.19,14.19,14.85,92.62,12,92.62,14.19,-0.09542883081300316,-0.47714415406501576,22.127591125627514,-1.5287698696243106
13,16.19,14.08,14.95,93.44,13,93.44,14.08,-0.09399967380643794,-0.46999836903218967,22.465063656803483,-1.5058747743791356
14,16.19,14.19,14.84,92.55,14,92.55,14.19,-0.09555087953117114,-0.4777543976558557,22.11438963617149,-1.5307250900893616
15,16.19,14.15,14.88,92.88,15,92.88,14.15,-0.09497556818202306,-0.47487784091011526,22.24246468890339,-1.5215086022760094
16,16.19,14.35,14.69,91.35,16,91.35,14.35,-0.097644023516639,-0.488220117583195,21.631821211952545,-1.564257256736557
17,16.19,14.06,14.98,93.63,17,93.63,14.06,-0.09366869235287333,-0.4683434617643666,22.53478670662781,-1.5005724514930305
18,16.19,13.96,15.08,94.42,18,94.42,13.96,-0.09229329394873911,-0.46146646974369554,22.855791137142756,-1.4785385690588007
19,16.19,13.94,15.1,94.56,19,94.56,13.94,-0.09204969780923401,-0.46024848904617005,22.917102550276024,-1.4746361589039287
20,16.19,13.95,15.08,94.45,20,94.45,13.95,-0.0922410908528934,-0.461205454264467,22.878759862348502,-1.4777022754633524
21,16.19,13.95,15.09,94.48,21,94.48,13.95,-0.09218888988419666,-0.4609444494209833,22.88450832065673,-1.4768660159448304
22,16.19,13.8,15.24,95.68,22,95.68,13.8,-0.09010275962189351,-0.4505137981094675,23.378435973453914,-1.443446209142734
23,16.19,13.76,15.28,96.01,23,96.01,13.76,-0.08952979615097138,-0.4476489807548569,23.513921846828207,-1.4342673343385615
24,16.19,13.77,15.27,95.93,24,95.93,13.77,-0.08966866521500028,-0.4483433260750013,23.480460920303507,-1.4364920167443045
25,16.19,13.82,15.22,95.51,25,95.51,13.82,-0.09039805195302388,-0.45199025976511936,23.31002205537943,-1.4481767922874424
26,16.19,13.75,15.28,96.03,26,96.03,13.75,-0.08949508206379551,-0.44747541031897753,23.535788706134138,-1.4337112146620041
27,16.19,13.62,15.42,97.09,27,97.09,13.62,-0.08765717197370743,-0.4382858598685371,23.9797170402469,-1.404267895018793
28,16.19,13.57,15.46,97.46,28,97.46,13.57,-0.0870165998619482,-0.4350829993097409,24.1453209552593,-1.39400592978841
29,16.19,13.55,15.49,97.66,29,97.66,13.55,-0.08667056839638078,-0.4333528419819039,24.222118660255454,-1.38846250571002
30,16.19,13.39,15.64,98.87,30,98.87,13.39,-0.08458069294603174,-0.42290346473015866,24.767192750384112,-1.3549827009954285
31,16.19,13.47,15.57,98.27,31,98.27,13.47,-0.0856161933254968,-0.428080966627484,24.49403235366066,-1.3715714170744588
32,16.19,13.52,15.51,97.83,32,97.83,13.52,-0.08637656918367985,-0.4318828459183992,24.312150728120763,-1.3837526383225511
33,16.19,13.49,15.55,98.11,33,98.11,13.49,-0.08589259784843452,-0.4294629892421726,24.424274713473817,-1.375999417531921
34,16.19,13.36,15.67,99.07,34,99.07,13.36,-0.08423589630620824,-0.4211794815310412,24.865499916395844,-1.349459058825456
35,16.19,13.4,15.64,98.82,35,98.82,13.4,-0.08466692162630396,-0.42333460813151974,24.737824051312067,-1.3563640844533893
