FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,15.74,15.13,13.91,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,15.74,15.13,13.91,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,15.74,14.47,14.57,90.4,2,90.4,14.47,-0.09930187397020383,-0.4965093698510191,21.267909893361274,-1.5908160210026654
3,15.74,13.99,15.04,94.15,3,94.15,13.99,-0.09276321517142089,-0.4638160758571044,22.752692866857828,-1.4860667070461626
4,15.74,13.6,15.43,97.2,4,97.2,13.6,-0.08746667664356957,-0.4373333832178478,24.0383703378353,-1.4012161598299844
5,15.74,13.46,15.57,98.33,5,98.33,13.46,-0.0855125704319157,-0.42756285215957845,24.525039010427378,-1.3699113783192893
6,15.74,13.06,15.97,101.47,6,101.47,13.06,-0.08011451802638016,-0.4005725901319008,25.954208227887463,-1.28343457878261
7,15.74,13.08,15.94,101.24,7,101.24,13.08,-0.08050808602783796,-0.4025404301391898,25.86599097901405,-1.2897395381659642
8,15.74,13.08,15.95,101.31,8,101.31,13.08,-0.08038827091979321,-0.401941354598966,25.880110572067615,-1.2878201001350873
9,15.74,13.09,15.94,101.21,9,101.21,13.09,-0.08055944427665034,-0.40279722138325164,25.839112661730443,-1.2905622973119384
10,15.74,12.74,16.28,103.91,10,103.91,12.74,-0.07596025391954098,-0.3798012695977048,27.145764026406592,-1.2168832677910464
11,15.74,12.47,16.54,105.98,11,105.98,12.47,-0.0724698204600323,-0.3623491023001615,28.199503492099115,-1.1609665237697173
12,15.74,12.76,16.26,103.72,12,103.72,12.76,-0.07628227337504973,-0.38141136687524857,27.06190105274542,-1.2220420194682966
13,15.74,12.77,16.25,103.7,13,103.7,12.77,-0.07631618539343815,-0.3815809269671907,27.035434986461016,-1.222585290002879
14,15.74,12.64,16.38,104.69,14,104.69,12.64,-0.07464108793496349,-0.37320543967481745,27.53373134694751,-1.195750228718115
15,15.74,12.63,16.39,104.78,15,104.78,12.63,-0.074489174264833,-0.37244587132416496,27.575329564466006,-1.1933165717226246
16,15.74,12.47,16.54,105.97,16,105.97,12.47,-0.07248659973907982,-0.3624329986953991,28.197423911539513,-1.1612353278200587
17,15.74,12.49,16.52,105.79,17,105.79,12.49,-0.07278876958267284,-0.3639438479133642,28.112327654106124,-1.166076088714419
18,15.74,12.43,16.58,106.28,18,106.28,12.43,-0.07196683434220626,-0.35983417171103127,28.35796573436085,-1.1529086861621443
19,15.74,12.23,16.77,107.79,19,107.79,12.23,-0.06944708776201398,-0.3472354388100699,29.167304450296648,-1.112542345947464
20,15.74,12.32,16.69,107.14,20,107.14,12.32,-0.07052924770747086,-0.35264623853735433,28.8061631061291,-1.1298785482736833
21,15.74,12.42,16.59,106.36,21,106.36,12.42,-0.07183283394042635,-0.3591641697021317,28.39877688179437,-1.15076199972563
22,15.74,12.47,16.54,105.98,22,105.98,12.47,-0.0724698204600323,-0.3623491023001615,28.199503492099115,-1.1609665237697173
23,15.74,12.4,16.61,106.51,23,106.51,12.4,-0.07158173140096627,-0.3579086570048313,28.478500730534087,-1.1467393370434795
24,15.74,12.49,16.52,105.82,24,105.82,12.49,-0.07273838921123275,-0.36369194605616373,28.118561102631784,-1.1652689951639488
