FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,19.58,15.13,13.91,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,19.58,15.13,13.91,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,19.58,14.69,14.35,88.64,2,88.64,14.69,-0.1023734248954022,-0.511867124477011,20.61355767885113,-1.6400222668243432
3,19.58,14.09,14.94,93.36,3,93.36,14.09,-0.09413905436889035,-0.4706952718444517,22.433125304667566,-1.5081076509896234
4,19.58,13.02,16.01,101.78,4,101.78,13.02,-0.07958456497873684,-0.39792282489368414,26.10104403940027,-1.274944730959364
5,19.58,11.28,17.66,114.88,5,114.88,11.28,-0.057928083036724545,-0.2896404151836227,33.36535434513833,-0.9280078902483272
6,19.58,5.55,21.71,151.32,6,151.32,5.55,-0.012268626011309859,-0.06134313005654929,85.79178557771647,-0.19654338870118393
7,19.58,1.7,22.92,171.5,7,171.5,1.7,-0.0010984136638083175,-0.0054920683190415875,369.40295534669076,-0.017596586894209246
8,0.0,0.0,0.0,180.0,8,180.0,0.0,-0.0,-0.0,inf,-0.0
9,0.0,0.0,0.0,180.0,9,180.0,0.0,-0.0,-0.0,inf,-0.0
10,0.0,0.0,0.0,180.0,10,180.0,0.0,-0.0,-0.0,inf,-0.0
11,0.0,0.0,0.0,180.0,11,180.0,0.0,-0.0,-0.0,inf,-0.0
12,0.0,0.0,0.0,180.0,12,180.0,0.0,-0.0,-0.0,inf,-0.0
13,0.0,0.0,0.0,180.0,13,180.0,0.0,-0.0,-0.0,inf,-0.0
14,0.0,0.0,0.0,180.0,14,180.0,0.0,-0.0,-0.0,inf,-0.0
15,0.0,0.0,0.0,180.0,15,180.0,0.0,-0.0,-0.0,inf,-0.0
