FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,13.96,15.13,13.91,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,13.96,15.13,13.91,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,13.96,14.89,14.14,87.05,2,87.05,14.89,-0.10514644677560442,-0.525732233878022,20.038240605177805,-1.6844460773451828
3,13.96,13.3,15.73,99.59,3,99.59,13.3,-0.08334033445956424,-0.4167016722978212,25.087363052377874,-1.335112158042219
4,13.96,12.12,16.87,108.63,4,108.63,12.12,-0.06805444840678253,-0.3402722420339126,29.62533425361379,-1.0902322634766561
5,13.96,10.97,17.93,117.07,5,117.07,10.97,-0.05449212695248129,-0.27246063476240645,34.85649259177459,-0.8729638737787503
6,13.96,9.9,18.83,124.55,6,124.55,9.9,-0.04328747930657754,-0.21643739653288768,40.66587990683692,-0.6934654184913721
7,13.96,9.6,19.1,126.64,7,126.64,9.6,-0.040321479804690724,-0.2016073990234536,42.51457239822215,-0.6459501064711454
8,13.96,9.46,19.21,127.55,8,127.55,9.46,-0.0390546471482319,-0.19527323574115946,43.40072059663099,-0.6256554473146749
9,13.96,9.6,19.1,126.64,9,126.64,9.6,-0.040321479804690724,-0.2016073990234536,42.51457239822215,-0.6459501064711454
10,13.96,9.53,19.15,127.09,10,127.09,9.53,-0.03969312260975837,-0.19846561304879184,42.95333210890438,-0.6358838242083291
11,13.96,9.1,19.49,129.95,11,129.95,9.1,-0.03578811348714274,-0.17894056743571368,45.81521214952675,-0.5733255780640266
12,13.96,9.79,18.94,125.3,12,125.3,9.79,-0.042214237561649486,-0.2110711878082474,41.327397635176446,-0.6762720857376248
13,13.96,9.74,18.98,125.66,13,125.66,9.74,-0.04170258720570968,-0.20851293602854837,41.63720173182849,-0.6680754470354691
14,13.96,9.17,19.43,129.48,14,129.48,9.17,-0.036419116626025615,-0.18209558313012808,45.33053179825702,-0.5834342483489303
15,13.96,9.01,19.56,130.55,15,130.55,9.01,-0.03498886196579342,-0.17494430982896708,46.44813351487008,-0.5605215686920105
16,13.96,9.51,19.16,127.2,16,127.2,9.51,-0.03954008851376252,-0.19770044256881258,43.07557859125557,-0.6334322179904756
17,13.96,9.48,19.19,127.41,17,127.41,9.48,-0.03924855180207373,-0.19624275901036864,43.27026871637097,-0.6287617998692212
18,13.96,9.55,19.14,126.97,18,126.97,9.55,-0.0398603223899556,-0.19930161194977797,42.829300683411,-0.6385623646870887
19,13.96,9.46,19.21,127.56,19,127.56,9.46,-0.03904081072587119,-0.19520405362935594,43.403021885749084,-0.6254337878284565
20,13.96,9.39,19.26,128.04,20,128.04,9.39,-0.03837885394643296,-0.19189426973216478,43.861503887030985,-0.6148292402218559
21,13.96,8.9,19.64,131.22,21,131.22,8.9,-0.034104793766628304,-0.17052396883314153,47.2238849030229,-0.5463587961413854
22,13.96,9.06,19.51,130.17,22,130.17,9.06,-0.0354942323401119,-0.1774711617005595,46.084158594889765,-0.5686176020885926
23,13.96,8.96,19.59,130.84,23,130.84,8.96,-0.034605107304175854,-0.17302553652087926,46.795024137311835,-0.5543738190128972
24,13.96,8.77,19.74,132.1,24,132.1,8.77,-0.0329573381041201,-0.16478669052060047,48.18615953416517,-0.5279765564280039
25,13.96,8.97,19.59,130.81,25,130.81,8.97,-0.03464472854013058,-0.17322364270065288,46.73185306504368,-0.5550085512128918
26,13.96,8.88,19.65,131.35,26,131.35,8.88,-0.03393429817981765,-0.16967149089908823,47.36888405398821,-0.5436274568406787
27,13.96,9.05,19.52,130.26,27,130.26,9.05,-0.035374282100318524,-0.1768714105015926,46.159901198027335,-0.5666959992471028
28,13.96,8.45,19.97,134.11,28,134.11,8.45,-0.030396187732426874,-0.15198093866213436,50.64124130554539,-0.4869469274734785
29,13.96,8.74,19.76,132.27,29,132.27,8.74,-0.03273748486633552,-0.1636874243316776,48.40445140071669,-0.524454507558695
30,13.96,9.39,19.26,128.03,30,128.03,9.39,-0.03839260076209905,-0.19196300381049525,43.859199195617975,-0.6150494642088268
31,13.96,8.64,19.83,132.94,31,132.94,8.64,-0.03187678855503282,-0.1593839427751641,49.16730724907718,-0.5106661526516257
32,13.96,8.76,19.74,132.12,32,132.12,8.76,-0.032931442346328,-0.16465721173164,48.250183530298195,-0.5275617063881746
33,13.96,9.04,19.53,130.3,33,130.3,9.04,-0.035321022048954036,-0.17660511024477016,46.22417661624656,-0.5658427732242436
34,13.96,9.14,19.46,129.69,34,129.69,9.14,-0.036136647776770024,-0.18068323888385013,45.53935548465045,-0.5789090973838558
35,13.96,9.13,19.46,129.72,35,129.72,9.13,-0.0360963650295838,-0.180481825147919,45.59998142529069,-0.5782637677739324
36,13.96,9.19,19.42,129.33,36,129.33,9.19,-0.03662140324271212,-0.18310701621356057,45.189729860739625,-0.5866748799482481
37,13.96,9.21,19.4,129.21,37,129.21,9.21,-0.03678354536337119,-0.18391772681685592,45.056454834271946,-0.5892723967212065
38,13.96,8.81,19.71,131.82,38,131.82,8.81,-0.03332073501495308,-0.16660367507476537,47.884971027011034,-0.5337981749395483
39,13.96,8.83,19.69,131.71,39,131.71,8.83,-0.03346393425323187,-0.16731967126615932,47.74237161965112,-0.5360922267367745
40,13.96,8.81,19.7,131.81,40,131.81,8.81,-0.03333374297961877,-0.16666871489809382,47.882635314816945,-0.5340065625334927
41,13.96,8.82,19.7,131.77,41,131.77,8.82,-0.033385795142021245,-0.16692897571010623,47.814757323419535,-0.5348404381751803
42,13.96,8.88,19.65,131.35,42,131.35,8.88,-0.03393429817981765,-0.16967149089908823,47.36888405398821,-0.5436274568406787
43,13.96,8.86,19.67,131.5,43,131.5,8.86,-0.03373799517842624,-0.1686899758921312,47.51919180608517,-0.5404826827583883
44,13.96,8.78,19.73,132.04,44,132.04,8.78,-0.03303507437854005,-0.16517537189270026,48.11294927636472,-0.5292218915442116
45,13.96,9.05,19.53,130.3,45,130.3,9.05,-0.035321022048954036,-0.17660511024477016,46.169191597797614,-0.5658427732242436
46,13.96,9.0,19.56,130.6,46,130.6,9.0,-0.03492257827341492,-0.17461289136707459,46.515344168878265,-0.559459703940107
47,13.96,9.12,19.47,129.78,47,129.78,9.12,-0.03601585210488217,-0.18007926052441087,45.667709375500486,-0.5769739507202124
48,13.96,9.1,19.49,129.95,48,129.95,9.1,-0.03578811348714274,-0.17894056743571368,45.81521214952675,-0.5733255780640266
49,13.96,9.46,19.2,127.53,49,127.53,9.46,-0.03908232556203659,-0.19541162781018295,43.3961170921387,-0.6260988555038262
50,13.96,9.19,19.42,129.33,50,129.33,9.19,-0.03662140324271212,-0.18310701621356057,45.189729860739625,-0.5866748799482481
51,13.96,9.07,19.51,130.13,51,130.13,9.07,-0.03554759466430374,-0.1777379733215187,46.02018278107042,-0.5694724665221459
52,13.96,8.61,19.86,133.13,52,133.13,8.61,-0.03163440079243334,-0.15817200396216669,49.396968198016964,-0.5067831006947822
53,13.96,8.7,19.79,132.53,53,132.53,8.7,-0.032402384749959226,-0.16201192374979612,48.705661502616564,-0.5190862036943468
54,13.96,8.75,19.75,132.2,54,132.2,8.75,-0.032827941067701,-0.16413970533850497,48.328402599843265,-0.5259036159045699
55,13.96,9.04,19.53,130.31,55,130.31,9.04,-0.035307711960684905,-0.17653855980342453,46.22650112224131,-0.5656295456101722
56,13.96,9.3,19.33,128.6,56,128.6,9.3,-0.0376120403290614,-0.188060201645307,44.44756474093249,-0.6025448860715636
57,13.96,9.19,19.42,129.34,57,129.34,9.19,-0.036607903938564404,-0.183039519692822,45.192046031891174,-0.5864586210958017
58,13.96,9.16,19.44,129.54,58,129.54,9.16,-0.03633832391916162,-0.1816916195958081,45.39767586937586,-0.5821399491849691
59,13.96,8.98,19.58,130.7,59,130.7,8.98,-0.0347901596169608,-0.17395079808480401,46.6502209625086,-0.557338357063712
60,13.96,9.25,19.37,128.97,60,128.97,9.25,-0.03710866078713271,-0.18554330393566354,44.79161456611276,-0.594480745809866
61,13.96,9.23,19.38,129.07,61,129.07,9.23,-0.03697306159503697,-0.18486530797518486,44.9191234812798,-0.5923084467524923
62,13.96,9.52,19.16,127.18,62,127.18,9.52,-0.03956789633594661,-0.19783948167973303,43.022433295709355,-0.6338776993018647
63,13.96,9.71,19.01,125.88,63,125.88,9.71,-0.041391043685639575,-0.20695521842819786,41.82545656098263,-0.663084519843946
64,13.96,9.0,19.56,130.56,64,130.56,9.0,-0.03497560126499712,-0.17487800632498562,46.50603978268708,-0.5603091322652539
65,13.96,9.43,19.23,127.76,65,127.76,9.43,-0.03876447279266233,-0.19382236396331165,43.5973945482449,-0.6210068541384506
66,13.96,9.23,19.39,129.09,66,129.09,9.23,-0.03694596478232837,-0.18472982391164183,44.92375101138523,-0.5918743558129004
67,13.96,8.97,19.59,130.78,67,130.78,8.97,-0.03468436769360365,-0.17342183846801823,46.72487219337855,-0.5556435704515305
68,13.96,8.94,19.61,130.97,68,130.97,8.94,-0.034433622593472546,-0.17216811296736273,46.93812453957899,-0.5516266339474302
69,13.96,9.24,19.38,129.03,69,129.03,9.24,-0.03702727825607525,-0.18513639128037623,44.857612104289146,-0.5931769976623255
70,13.96,8.92,19.62,131.08,70,131.08,8.92,-0.03428878374965153,-0.17144391874825765,47.07719265167687,-0.5493063156694176
71,13.96,9.51,19.17,127.24,71,127.24,9.51,-0.03948449497335219,-0.19742247486676096,43.08477280431295,-0.6325416094731021
72,13.96,9.63,19.07,126.39,72,126.39,9.63,-0.04067216029027994,-0.20336080145139968,42.31533910606004,-0.6515680078502846
73,13.96,9.22,19.39,129.14,73,129.14,9.22,-0.036878256370652396,-0.18439128185326198,44.98771743461144,-0.5907896670578514
74,13.96,8.81,19.7,131.81,74,131.81,8.81,-0.03333374297961877,-0.16666871489809382,47.882635314816945,-0.5340065625334927
75,13.96,8.59,19.87,133.24,75,133.24,8.59,-0.03149441448249331,-0.15747207241246652,49.54704715832351,-0.5045405200095427
76,13.96,8.71,19.78,132.49,76,132.49,8.71,-0.03245384818437904,-0.1622692409218952,48.6359540235364,-0.5199106479137522
77,13.96,8.3,20.08,135.11,77,135.11,8.3,-0.029153697523468348,-0.14576848761734174,51.87035372217816,-0.4670422343259629
78,13.96,9.23,19.38,129.07,78,129.07,9.23,-0.03697306159503697,-0.18486530797518486,44.9191234812798,-0.5923084467524923
79,13.96,8.95,19.6,130.94,79,130.94,8.95,-0.03447316606139004,-0.17236583030695019,46.874644259643944,-0.5522601203034684
80,13.96,8.97,19.58,130.76,80,130.76,8.97,-0.03471080374472955,-0.17355401872364773,46.720216526845,-0.5560670759905674
81,13.96,8.95,19.6,130.9,81,130.9,8.95,-0.03452591862826603,-0.17262959314133014,46.86533161214457,-0.5531052164248218
82,13.96,9.07,19.51,130.11,82,130.11,9.07,-0.0355742876080205,-0.17787143804010247,46.01553765732027,-0.5699000874804884
83,13.96,8.99,19.57,130.67,83,130.67,8.99,-0.034829864374987994,-0.17414932187493998,46.58735866595276,-0.5579744272873076
84,13.96,9.21,19.4,129.19,84,129.19,9.21,-0.03681059602892999,-0.18405298014464994,45.05182439772622,-0.5897057483834585
85,13.96,9.13,19.46,129.72,85,129.72,9.13,-0.0360963650295838,-0.180481825147919,45.59998142529069,-0.5782637677739324
86,13.96,9.08,19.5,130.06,86,130.06,9.08,-0.03564105430428506,-0.1782052715214253,45.949388490520754,-0.5709696899546467
87,13.96,9.45,19.22,127.63,87,127.63,9.45,-0.03894400778678863,-0.19472003893394313,43.468447075908195,-0.6238830047443539
88,13.96,9.41,19.24,127.86,88,127.86,9.41,-0.03862658341680977,-0.19313291708404884,43.71996242380347,-0.6187978663372925
89,13.96,9.0,19.56,130.57,89,130.57,9.0,-0.034962342544957274,-0.17481171272478635,46.50836640078181,-0.5600967275702156
90,13.96,9.12,19.47,129.8,90,129.8,9.12,-0.03598903005150444,-0.17994515025752217,45.67234943342926,-0.5765442614251011
91,13.96,8.06,20.25,136.6,91,136.6,8.06,-0.02734253290290242,-0.13671266451451208,53.90476099695143,-0.43802737710449674
92,13.96,8.09,20.22,136.38,92,136.38,8.09,-0.027606890530920226,-0.13803445265460113,53.63585934443522,-0.44226238630534204
93,13.96,8.89,19.65,131.31,93,131.31,8.89,-0.03398672217653115,-0.16993361088265574,47.302133628772545,-0.544467289268029
94,13.96,8.89,19.64,131.29,94,131.29,8.89,-0.034012946241761564,-0.17006473120880783,47.29747049974392,-0.5448873987930203
95,13.96,8.23,20.13,135.53,95,135.53,8.23,-0.02863826534008226,-0.1431913267004113,52.44802961215086,-0.4587850107481178
96,13.96,8.48,19.95,133.94,96,133.94,8.48,-0.03060953011697545,-0.15304765058487724,50.40761253794942,-0.49036467247394666
97,13.96,8.62,19.85,133.07,97,133.07,8.62,-0.0317108632037449,-0.1585543160187245,49.3210202130486,-0.5080080285239933
98,13.96,8.97,19.59,130.8,98,130.8,8.97,-0.03465793960098945,-0.17328969800494726,46.72952645833451,-0.555220192407851
99,13.96,9.11,19.48,129.87,99,129.87,9.11,-0.035895214307518734,-0.17947607153759365,45.74254625882682,-0.5750413332064501
100,13.96,9.43,19.23,127.73,100,127.73,9.43,-0.03880587599868155,-0.19402937999340775,43.59048479930041,-0.6216701334988785
101,13.96,9.69,19.02,125.98,101,125.98,9.69,-0.04124971837168456,-0.20624859185842281,41.94089363969112,-0.6608204883143867
102,13.96,9.26,19.37,128.91,102,128.91,9.26,-0.03719011228625474,-0.1859505614312737,44.725757924112045,-0.595785598825801
103,13.96,9.25,19.37,128.93,103,128.93,9.25,-0.037162954128941196,-0.18581477064470597,44.78236402766948,-0.5953505251456379
104,13.96,8.85,19.68,131.59,104,131.59,8.85,-0.033620431284746344,-0.16810215642373172,47.59808795044748,-0.5385993091816365
105,13.96,8.67,19.81,132.71,105,132.71,8.67,-0.03217120736674796,-0.16085603683373978,48.929848991932076,-0.5153827420153023
106,13.96,8.56,19.89,133.46,106,133.46,8.56,-0.031215199885628864,-0.15607599942814432,49.78640426413387,-0.5000675021677744
107,13.96,9.04,19.53,130.32,107,130.32,9.04,-0.0352944038430556,-0.176472019215278,46.228825284078745,-0.5654163495657507
108,13.96,8.63,19.84,133.01,108,133.01,8.63,-0.03178740050246797,-0.15893700251233983,49.2452477087424,-0.5092341560495369
109,13.96,8.84,19.69,131.65,109,131.65,8.84,-0.033542146329396595,-0.16771073164698297,47.670148686595,-0.5373451841969334
110,13.96,8.93,19.62,131.06,110,131.06,8.93,-0.034315100085425036,-0.17157550042712516,47.015733476131366,-0.5497279033685091
111,13.96,8.85,19.67,131.54,111,131.54,8.85,-0.03368572435720405,-0.16842862178602025,47.58642104438413,-0.5396453042024089
112,13.96,8.62,19.85,133.06,112,133.06,8.62,-0.03172361422194974,-0.15861807110974868,49.31867612549392,-0.5082122998356349
113,13.96,9.01,19.55,130.52,113,130.52,9.01,-0.03502865594868132,-0.1751432797434066,46.44115887884544,-0.5611590682978748
114,13.96,8.65,19.82,132.85,114,132.85,8.65,-0.03199186544340184,-0.15995932721700917,49.08485570465327,-0.5125096844032975
115,13.96,8.75,19.75,132.22,115,132.22,8.75,-0.03280208620194373,-0.16401043100971863,48.333079452529404,-0.5254894209551385
116,13.96,8.65,19.82,132.82,116,132.82,8.65,-0.032030261709849996,-0.16015130854924997,49.07782354795652,-0.5131247925917969
117,13.96,8.55,19.9,133.48,117,133.48,8.55,-0.03118986696597377,-0.15594933482986884,49.85402865427144,-0.49966166879489976
118,13.96,8.68,19.8,132.67,118,132.67,8.68,-0.03222252234571967,-0.16111261172859836,48.8596321344883,-0.5162048079784292
119,13.96,9.08,19.51,130.1,119,130.1,9.08,-0.035587637023861356,-0.17793818511930676,45.95867318245292,-0.5701139451222589
120,13.96,8.83,19.69,131.69,120,131.69,8.83,-0.03348999684230352,-0.16744998421151758,47.73770324650114,-0.5365097494137023
121,13.96,8.32,20.07,134.98,121,134.98,8.32,-0.02931400887177459,-0.14657004435887294,51.70473525751787,-0.46961042212582893
122,13.96,8.19,20.15,135.78,122,135.78,8.19,-0.028333279255076307,-0.14166639627538152,52.78494335235802,-0.4538991336663224
123,13.96,8.17,20.17,135.91,123,135.91,8.17,-0.028175225347904398,-0.140876126739522,52.955818139492905,-0.45136711007342845
124,13.96,8.65,19.83,132.87,124,132.87,8.65,-0.031966278290017816,-0.15983139145008907,49.08954191215898,-0.5120997782060854
125,13.96,8.63,19.84,132.99,125,132.99,8.63,-0.031812929562518126,-0.1590646478125906,49.2405604386876,-0.5096431315915404
126,13.96,9.01,19.55,130.51,126,130.51,9.01,-0.03504192456846344,-0.17520962284231717,46.43883330631377,-0.5613716315867843
127,13.96,8.93,19.62,131.06,127,131.06,8.93,-0.034315100085425036,-0.17157550042712516,47.015733476131366,-0.5497279033685091
128,13.96,9.0,19.56,130.61,128,130.61,9.0,-0.03490932748043907,-0.17454663740219534,46.51766939594502,-0.5592474262366338
129,13.96,9.0,19.56,130.59,129,130.59,9.0,-0.03493583104876237,-0.17467915524381183,46.51301859394827,-0.5596720134011731
130,13.96,8.98,19.58,130.73,130,130.73,8.98,-0.034750472736581196,-0.17375236368290597,46.65720185634098,-0.5567025732400307
131,13.96,8.58,19.88,133.31,131,133.31,8.58,-0.03140546372106051,-0.15702731860530256,49.62587144404328,-0.5031155288113894
132,13.96,8.36,20.04,134.72,132,134.72,8.36,-0.02963572242249799,-0.14817861211248995,51.37585177004146,-0.4747642732084178
133,13.96,8.88,19.65,131.34,133,131.34,8.88,-0.033947401161279415,-0.16973700580639706,47.36655127074942,-0.5438373666036962
134,13.96,8.69,19.8,132.62,134,132.62,8.69,-0.03228671252045077,-0.16143356260225383,48.787242562479264,-0.5172331345776213
135,13.96,8.51,19.93,133.76,135,133.76,8.51,-0.030836087845536,-0.15418043922768,50.17329261767952,-0.4939941272854867
136,13.96,9.06,19.52,130.18,136,130.18,9.06,-0.03548089667044322,-0.1774044833522161,46.08648203426659,-0.5684039646605004
137,13.96,8.99,19.57,130.66,137,130.66,8.99,-0.0348431032652597,-0.1742155163262985,46.585032744415734,-0.5581865143094604
138,13.96,8.92,19.63,131.14,138,131.14,8.92,-0.034209882795426715,-0.17104941397713358,47.091171871202725,-0.548042322382736
139,13.96,9.15,19.44,129.58,139,129.58,9.15,-0.03628450089402713,-0.18142250447013564,45.460328062062494,-0.5812777043223145
140,13.96,8.91,19.63,131.2,140,131.2,8.91,-0.03413105398813198,-0.17065526994065988,47.16211102183711,-0.5467794848898743
141,13.96,9.09,19.49,129.97,141,129.97,9.09,-0.035761357833953865,-0.17880678916976933,45.87410085495677,-0.5728969524999409
142,13.96,9.1,19.49,129.97,142,129.97,9.1,-0.035761357833953865,-0.17880678916976933,45.81985166799515,-0.5728969524999409
143,13.96,8.73,19.76,132.32,143,132.32,8.73,-0.03267293475405865,-0.16336467377029323,48.47598971558393,-0.5234204147600195
144,13.96,9.07,19.51,130.12,144,130.12,9.07,-0.03556094015469913,-0.17780470077349564,46.01786038999019,-0.56968626127828
145,13.96,8.79,19.72,131.97,145,131.97,8.79,-0.033125859506704984,-0.1656292975335249,48.037569111296754,-0.5306762692974138
146,13.96,8.66,19.82,132.81,146,132.81,8.66,-0.03204306460680585,-0.16021532303402924,49.01429334003153,-0.5133298950010298
147,13.96,8.9,19.64,131.25,147,131.25,8.9,-0.034065418489993116,-0.17032709244996558,47.23087808487895,-0.5457280042096897
148,13.96,8.81,19.7,131.8,148,131.8,8.81,-0.03334675297505473,-0.16673376487527364,47.880299237977425,-0.5342149826603768
149,13.96,9.0,19.56,130.58,149,130.58,9.0,-0.03494908580607771,-0.17474542903038853,46.51069267122584,-0.5598843546133649
150,13.96,8.21,20.14,135.66,150,135.66,8.21,-0.028479502651770995,-0.14239751325885497,52.61725892846265,-0.45624163248137134
151,13.96,8.1,20.22,136.36,151,136.36,8.1,-0.027630976026467947,-0.13815488013233973,53.559294973060304,-0.44264823594401653
152,13.96,8.23,20.12,135.51,152,135.51,8.23,-0.02866272299656676,-0.1433136149828338,52.44330250538634,-0.4591768224049995
153,13.96,8.2,20.14,135.69,153,135.69,8.2,-0.02844291736590392,-0.1422145868295196,52.69390316092298,-0.4556555362017808
154,13.96,8.55,19.9,133.52,154,133.52,8.55,-0.031139226282667146,-0.15569613141333571,49.863420569851925,-0.49885040504832767
155,13.96,8.62,19.85,133.06,155,133.06,8.62,-0.03172361422194974,-0.15861807110974868,49.31867612549392,-0.5082122998356349
156,13.96,8.34,20.05,134.83,156,134.83,8.34,-0.02949943562742631,-0.14749717813713153,51.535187630190165,-0.47258095875136946
157,13.96,8.23,20.12,135.51,157,135.51,8.23,-0.02866272299656676,-0.1433136149828338,52.44330250538634,-0.4591768224049995
158,13.96,8.27,20.1,135.26,158,135.26,8.27,-0.02896917614448378,-0.14484588072241888,52.109644185435904,-0.4640862018346301
159,13.96,8.67,19.81,132.72,159,132.72,8.67,-0.0321583837864862,-0.160791918932431,48.93219174171478,-0.5151773082595089
160,13.96,8.47,19.95,133.99,160,133.99,8.47,-0.030546718860018276,-0.15273359430009137,50.48373528784725,-0.48935843613749275
161,13.96,8.58,19.87,133.29,161,133.29,8.58,-0.031430867782586414,-0.15715433891293207,49.62117775701259,-0.5035225018770343
162,13.96,9.03,19.54,130.38,162,130.38,9.03,-0.035214596543412434,-0.17607298271706218,46.29790066285837,-0.5641378366254671
163,13.96,8.54,19.9,133.53,163,133.53,8.54,-0.031126571354924328,-0.15563285677462163,49.92887285666316,-0.4986476731058877
164,13.96,8.55,19.9,133.48,164,133.48,8.55,-0.03118986696597377,-0.15594933482986884,49.85402865427144,-0.49966166879489976
165,13.96,7.85,20.39,137.89,165,137.89,7.85,-0.025814118184366644,-0.1290705909218332,55.78380453835553,-0.41354217331355364
166,13.96,8.02,20.27,136.8,166,136.8,8.02,-0.027103137257858834,-0.13551568628929417,54.244199413606,-0.4341922588708985
167,13.96,7.88,20.36,137.68,167,137.68,7.88,-0.02606038757628795,-0.13030193788143973,55.50308229263695,-0.41748740897213293
168,13.96,8.12,20.2,136.23,168,136.23,8.12,-0.02778774655371499,-0.13893873276857494,53.38547806789918,-0.4451596997905141
169,13.96,7.94,20.33,137.34,169,137.34,7.94,-0.02646121392189841,-0.13230606960949204,54.96694384546703,-0.4239086470288125
170,13.96,8.2,20.15,135.72,170,135.72,8.2,-0.02840635169781688,-0.1420317584890844,52.70099849334628,-0.4550697541990264
171,13.96,8.17,20.16,135.87,171,135.87,8.17,-0.02822381797475795,-0.14111908987378974,52.94635151779195,-0.45214556395562233
172,13.96,8.11,20.21,136.25,172,136.25,8.11,-0.02776360379402445,-0.13881801897012225,53.46161875957404,-0.4447729327802717
173,13.96,7.45,20.65,140.31,173,140.31,7.45,-0.023048897065658214,-0.11524448532829107,59.649706345009434,-0.3692433309918446
174,13.96,8.04,20.26,136.71,174,136.71,8.04,-0.027210755554471812,-0.13605377777235905,54.07641901820698,-0.4359163039826384
175,13.96,7.99,20.29,137.0,175,137.0,7.99,-0.026864629838082955,-0.13432314919041477,54.51295462537429,-0.43037137000608894
176,13.96,8.25,20.11,135.39,176,135.39,8.25,-0.028809651367943515,-0.14404825683971756,52.277251443674004,-0.4615306149144551
177,13.96,8.59,19.87,133.24,177,133.24,8.59,-0.03149441448249331,-0.15747207241246652,49.54704715832351,-0.5045405200095427
178,13.96,8.11,20.21,136.27,178,136.27,8.11,-0.02773946983611965,-0.13869734918059823,53.46635817162417,-0.44438630677463675
179,13.96,8.18,20.16,135.85,179,135.85,8.18,-0.028248127408230295,-0.14124063704115147,52.87145973052054,-0.4525350010798493
180,13.96,8.09,20.22,136.37,180,136.37,8.09,-0.027618932176267364,-0.13809466088133682,53.63348827125582,-0.44245529346380313
181,13.96,8.11,20.21,136.28,181,136.28,8.11,-0.027727406158755942,-0.1386370307937797,53.46872722928524,-0.4441930466632702
182,13.96,8.06,20.24,136.59,182,136.59,8.06,-0.02735452594879091,-0.13677262974395454,53.902389955075606,-0.43821950569963036
