FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,18.48,15.13,13.91,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,18.48,15.13,13.91,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,18.48,14.2,14.84,92.53,2,92.53,14.2,-0.09558575182122331,-0.47792875910611654,22.094265672662992,-1.5312837441759974
3,18.48,14.09,14.94,93.36,3,93.36,14.09,-0.09413905436889035,-0.4706952718444517,22.433125304667566,-1.5081076509896234
4,18.48,13.88,15.16,95.03,4,95.03,13.88,-0.09123226628991177,-0.4561613314495588,23.111741676610727,-1.4615409059643865
5,18.48,14.01,15.03,94.01,5,94.01,14.01,-0.09300694195474449,-0.4650347097737224,22.69184308252303,-1.4899712101150067
6,18.48,13.89,15.14,94.92,6,94.92,13.89,-0.09142352919554862,-0.45711764597774307,23.07309233549859,-1.4646049377126888
7,18.48,13.97,15.06,94.3,7,94.3,13.97,-0.09250212731736723,-0.46251063658683617,22.81563447218045,-1.481884079624223
8,18.48,13.9,15.14,94.88,8,94.88,13.9,-0.0914930872177572,-0.457465436088786,23.04795441346652,-1.4657192572284703
9,18.48,13.76,15.27,95.96,9,95.96,13.76,-0.08961658694111929,-0.4480829347055964,23.504225501125866,-1.435657722796731
10,18.48,13.64,15.39,96.89,10,96.89,13.64,-0.08800364318371622,-0.44001821591858103,23.903657362248744,-1.4098183638031336
11,18.48,13.46,15.57,98.34,11,98.34,13.46,-0.08549530149117664,-0.42747650745588317,24.527013585096615,-1.3696347298886498
12,18.48,13.48,15.55,98.16,12,98.16,13.48,-0.08580620951596557,-0.4290310475798278,24.45321104948358,-1.3746154764457683
13,18.48,13.46,15.57,98.32,13,98.32,13.46,-0.08552983981396711,-0.42764919906983556,24.523064385297364,-1.3701880338197532
