FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,14.66,15.04,14.0,85.89,0,85.89,15.04,-0.1071671529500392,-0.535835764750196,19.623269797180235,-1.716817790259628
1,14.66,15.04,14.0,85.89,1,85.89,15.04,-0.1071671529500392,-0.535835764750196,19.623269797180235,-1.716817790259628
2,14.66,14.4,14.63,90.9,2,90.9,14.4,-0.09842926826881793,-0.49214634134408963,21.469356378304067,-1.5768368776664632
3,14.66,14.39,14.64,90.98,3,90.98,14.39,-0.09828966073048694,-0.49144830365243464,21.499895607662097,-1.5746003649024007
4,14.66,14.54,14.49,89.8,4,89.8,14.54,-0.10034906514152238,-0.5017453257076119,21.050088426220942,-1.6075920235671886
5,14.66,14.68,14.36,88.74,5,88.74,14.68,-0.10219893760925053,-0.5109946880462526,20.646495166041138,-1.6372269805001933
6,14.66,14.61,14.42,89.25,6,89.25,14.61,-0.10130895955713447,-0.5065447977856723,20.843611596252767,-1.6229695321052942
7,14.66,14.48,14.56,90.3,7,90.3,14.48,-0.09947640361685806,-0.4973820180842903,21.23401739264728,-1.593611985942066
8,14.66,14.52,14.52,90.01,8,90.01,14.52,-0.09998254670756866,-0.49991273353784327,21.119206747207485,-1.60172039825525
9,14.66,14.46,14.58,90.49,9,90.49,14.46,-0.09914479909131735,-0.4957239954565867,21.300000516128158,-1.5882996814429038
10,14.66,14.23,14.81,92.28,10,92.28,14.23,-0.09602169945465704,-0.48010849727328514,21.998338799005584,-1.5382676252636056
11,14.66,14.36,14.67,91.21,11,91.21,14.36,-0.09788830857892555,-0.48944154289462777,21.58991463574288,-1.5681707034343872
12,14.66,14.23,14.81,92.28,12,92.28,14.23,-0.09602169945465704,-0.48010849727328514,21.998338799005584,-1.5382676252636056
13,14.66,14.47,14.57,90.38,13,90.38,14.47,-0.0993367797464183,-0.49668389873209146,21.264210940521146,-1.5913752115376212
14,14.66,14.31,14.73,91.65,14,91.65,14.31,-0.09712060476317363,-0.4856030238158682,21.751416780865064,-1.5558720883060415
15,14.66,14.35,14.69,91.33,15,91.33,14.35,-0.09767892055549128,-0.4883946027774564,21.628090724134015,-1.5648163072989703
16,14.66,14.5,14.53,90.13,16,90.13,14.5,-0.09977310739191603,-0.49886553695958014,21.171915438165207,-1.5983651804184946
17,14.66,14.53,14.5,89.89,17,89.89,14.53,-0.10019198609978,-0.5009599304989,21.08186037304221,-1.6050756173184755
18,14.66,13.98,15.05,94.23,18,94.23,13.98,-0.09262396202964011,-0.46311981014820053,22.785096952714408,-1.4838358717148346
19,14.66,14.1,14.94,93.33,19,93.33,14.1,-0.09419132504022623,-0.47095662520113113,22.410719971673373,-1.5089450271444242
20,14.66,14.24,14.8,92.23,20,92.23,14.24,-0.09610889833589714,-0.4805444916794857,21.97272046893324,-1.5396645513410723
21,14.66,14.33,14.7,91.45,21,91.45,14.33,-0.09746954271344704,-0.4873477135672352,21.68219310997799,-1.5614620742694216
22,14.66,14.41,14.63,90.88,22,90.88,14.41,-0.09846417064250473,-0.4923208532125236,21.450005636217178,-1.5773960136929257
23,14.66,13.96,15.08,94.43,23,94.43,13.96,-0.09227589268132408,-0.4613794634066204,22.857705951262723,-1.4782598007548118
24,14.66,13.73,15.3,96.19,24,96.19,13.73,-0.08921741580138526,-0.4460870790069263,23.602940746549596,-1.4292630011381917
25,14.66,13.73,15.3,96.17,25,96.17,13.73,-0.08925211953020064,-0.4462605976510032,23.599054704170772,-1.4298189548738143
26,14.66,13.72,15.31,96.27,26,96.27,13.72,-0.08907861406665854,-0.4453930703332927,23.63659037026582,-1.4270393973478699
27,14.66,13.47,15.56,98.23,27,98.23,13.47,-0.08568528402468142,-0.4284264201234071,24.486138521344614,-1.3726782500753965
28,14.66,13.53,15.5,97.74,28,97.74,13.53,-0.08653220105028475,-0.4326610052514237,24.275539499556704,-1.3862458608255617
29,14.66,13.5,15.54,98.05,29,98.05,13.5,-0.08599627802289589,-0.4299813901144794,24.39341240115464,-1.377660373926792
30,14.66,13.44,15.59,98.48,30,98.48,13.44,-0.08525358295318451,-0.4262679147659225,24.593123382977954,-1.3657623989100158
31,14.66,13.62,15.41,97.06,31,97.06,13.62,-0.0877091331707713,-0.43854566585385646,23.973849101055144,-1.405100313395756
32,14.66,13.64,15.39,96.88,32,96.88,13.64,-0.08802097061632708,-0.4401048530816353,23.90170360691862,-1.4100959492735596
33,14.66,13.47,15.56,98.21,33,98.21,13.47,-0.08571983199268551,-0.42859915996342757,24.482191306024703,-1.3732317085228218
34,14.66,13.67,15.36,96.65,34,96.65,13.67,-0.0884196012109013,-0.44209800605450644,23.801677512964858,-1.4164820113986387
35,14.66,13.55,15.49,97.64,35,97.64,13.55,-0.08670516430381955,-0.43352582151909774,24.218190528216464,-1.3890167321471891
36,14.66,13.51,15.52,97.91,36,97.91,13.51,-0.08623825795430745,-0.4311912897715372,24.346846161994627,-1.3815368924280054
37,14.66,13.51,15.52,97.93,37,97.93,13.51,-0.08620368432849818,-0.4310184216424908,24.35078399830147,-1.3809830229425408
38,14.66,13.52,15.51,97.83,38,97.83,13.52,-0.08637656918367985,-0.4318828459183992,24.312150728120763,-1.3837526383225511
39,14.66,13.33,15.7,99.31,39,99.31,13.33,-0.0838223942543946,-0.41911197127197297,24.9722090906605,-1.3428347559554015
40,14.66,13.32,15.71,99.42,40,99.42,13.32,-0.08363296690651868,-0.4181648345325934,25.013855791341175,-1.3398001298424294
41,14.66,13.53,15.5,97.75,41,97.75,13.53,-0.0865149069726277,-0.4325745348631385,24.27750618056123,-1.3859688097014957
42,14.66,13.52,15.51,97.86,42,97.86,13.52,-0.08632469934573092,-0.4316234967286546,24.318053953781163,-1.3829216835186093
43,14.66,13.34,15.69,99.22,43,99.22,13.34,-0.08397742464958545,-0.4198871232479272,24.934598371360835,-1.3453183428863589
44,14.66,13.41,15.63,98.74,44,98.74,13.41,-0.08480491177517559,-0.4240245588758779,24.70255962102328,-1.3585746866383128
45,14.66,13.18,15.85,100.49,45,100.49,13.18,-0.08179360876378211,-0.4089680438189105,25.50889621534632,-1.3103336123957894
46,14.66,13.23,15.8,100.14,46,100.14,13.23,-0.08239460038201739,-0.4119730019100869,25.337342072957725,-1.3199614981199186
47,14.66,13.25,15.78,100.0,47,100.0,13.25,-0.08263518223330697,-0.41317591116653485,25.26908024727927,-1.3238156193775776
