FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,14.06,15.13,13.91,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,14.06,15.13,13.91,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,14.06,14.85,14.18,87.35,2,87.35,14.85,-0.10462347370243302,-0.5231173685121651,20.148743996857732,-1.6760680487129769
3,14.06,14.88,14.15,87.13,3,87.13,14.88,-0.10500700049328487,-0.5250350024664243,20.066703772085038,-1.6822121479024237
4,14.06,14.8,14.23,87.75,4,87.75,14.8,-0.10392598157590688,-0.5196299078795343,20.292283268497204,-1.6648942248460281
5,14.06,14.91,14.12,86.87,5,86.87,14.91,-0.10546016381258519,-0.5273008190629259,19.977857946223924,-1.6894718242776148
6,14.06,14.9,14.13,86.97,6,86.97,14.9,-0.10528588302466264,-0.5264294151233132,20.009818464216192,-1.6866798460550956
7,14.06,14.87,14.17,87.26,7,87.26,14.87,-0.10478037958607565,-0.5239018979303782,20.104184470011756,-1.678581680968932
8,14.06,14.78,14.26,87.93,8,87.93,14.78,-0.10361204565840212,-0.5180602282920106,20.35360481652009,-1.659864971447602
9,14.06,14.95,14.09,86.59,9,86.59,14.95,-0.10594805983890075,-0.5297402991945037,19.871889355460294,-1.69728791861919
10,14.06,14.85,14.18,87.35,10,87.35,14.85,-0.10462347370243302,-0.5231173685121651,20.148743996857732,-1.6760680487129769
11,14.06,14.82,14.22,87.62,11,87.62,14.82,-0.104152689152473,-0.520763445762365,20.24014978079273,-1.6685260802226174
12,14.06,14.9,14.14,86.99,12,86.99,14.9,-0.10525102491788281,-0.526255124589414,20.013400661539663,-1.6861214191844827
13,14.06,14.82,14.21,87.6,13,87.6,14.82,-0.10418756537291998,-0.5209378268645999,20.23654544268576,-1.669084797274178
14,14.06,14.81,14.22,87.68,14,87.68,14.81,-0.10404805747217526,-0.5202402873608762,20.265296058961628,-1.6668498807042476
15,14.06,14.83,14.21,87.58,15,87.58,14.83,-0.1042224410831248,-0.521112205415624,20.218641160158132,-1.6696435061516592
16,14.06,14.82,14.21,87.61,16,87.61,14.82,-0.10417012732621118,-0.5208506366310559,20.238347605175225,-1.6688054397659031
17,14.06,14.96,14.08,86.53,17,86.53,14.96,-0.10605259090319995,-0.5302629545159997,19.847274869403964,-1.698962506269263
18,14.06,14.88,14.16,87.17,18,87.17,14.88,-0.10493727367460687,-0.5246863683730343,20.073879349766912,-1.681095124267202
19,14.06,14.82,14.21,87.6,19,87.6,14.82,-0.10418756537291998,-0.5209378268645999,20.23654544268576,-1.669084797274178
20,14.06,14.92,14.12,86.82,20,86.82,14.92,-0.10554729800249792,-0.5277364900124896,19.954885330643673,-1.6908677140000166
21,14.06,14.87,14.17,87.25,21,87.25,14.87,-0.1047978128521344,-0.5239890642606719,20.102389150483848,-1.678860961891193
22,14.06,15.03,14.0,85.94,22,85.94,15.03,-0.10708010819355257,-0.5354005409677628,19.645810538622396,-1.715423333260712
23,14.06,15.07,13.97,85.65,23,85.65,15.07,-0.1075848906357694,-0.537924453178847,19.539932113669927,-1.7235099479850258
24,14.06,15.04,13.99,85.86,24,85.86,15.04,-0.10721937718828607,-0.5360968859414303,19.617955296394978,-1.7176544225563428
25,14.06,15.09,13.95,85.51,25,85.51,15.09,-0.10782850996352894,-0.5391425498176446,19.488102685072242,-1.7274127296157336
26,14.06,14.96,14.08,86.55,26,86.55,14.96,-0.10601774794692936,-0.5300887397346468,19.850840463466735,-1.6984043221098084
27,14.06,14.94,14.1,86.69,27,86.69,14.94,-0.1057738269599535,-0.5288691347997675,19.903681147748802,-1.6944967078984552
28,14.06,14.98,14.06,86.39,28,86.39,14.98,-0.10629647070964146,-0.5314823535482073,19.79459104249462,-1.7028694607684562
29,14.06,15.15,13.89,85.03,29,85.03,15.15,-0.10866341245001927,-0.5433170622500963,19.322965873008513,-1.7407878674493087
30,14.06,15.02,14.02,86.07,30,86.07,15.02,-0.10685376675848224,-0.5342688337924112,19.682577718413786,-1.7117973434708853
31,14.06,15.09,13.95,85.52,31,85.52,15.09,-0.10781111011580335,-0.5390555505790168,19.489867202894924,-1.7271339840551696
32,14.06,15.03,14.01,85.97,32,85.97,15.03,-0.10702787874734897,-0.5351393937367448,19.65112927374631,-1.7145866175325304
33,14.06,14.95,14.08,86.56,33,86.56,14.95,-0.10600032619356206,-0.5300016309678103,19.866537019297198,-1.698125225620864
34,14.06,14.95,14.08,86.57,34,86.57,14.95,-0.10598290425741444,-0.5299145212870722,19.868321112706397,-1.6978461262037792
35,14.06,15.09,13.94,85.47,35,85.47,15.09,-0.10789810696443065,-0.5394905348221533,19.481044856151374,-1.7285276735701791
36,14.06,15.19,13.85,84.73,36,84.73,15.19,-0.10918492145756212,-0.5459246072878106,19.21716698229599,-1.749142441750145
37,14.06,15.11,13.93,85.35,37,85.35,15.11,-0.1081068747348139,-0.5405343736740694,19.43289814671726,-1.7318721332517186
38,14.06,15.1,13.94,85.4,38,85.4,15.1,-0.10801989243288589,-0.5400994621644294,19.45519135368546,-1.730478676774832
39,14.06,15.0,14.03,86.17,39,86.17,15.0,-0.10667963389185331,-0.5333981694592665,19.727840728384493,-1.70900773494749
40,14.06,15.13,13.91,85.18,40,85.18,15.13,-0.10840256798546362,-0.5420128399273181,19.376093880487513,-1.7366091391271272
41,14.06,15.02,14.01,86.02,41,86.02,15.02,-0.10694082539578585,-0.5347041269789292,19.673706003102385,-1.7131920228404893
42,14.06,14.99,14.05,86.29,42,86.29,14.99,-0.10647064764011496,-0.5323532382005748,19.76296992123149,-1.7056597751946416
43,14.06,15.12,13.92,85.25,43,85.25,15.12,-0.10828082075122043,-0.5414041037561022,19.40183512181768,-1.7346587484345513
44,14.06,15.09,13.95,85.51,44,85.51,15.09,-0.10782850996352894,-0.5391425498176446,19.488102685072242,-1.7274127296157336
45,14.06,15.03,14.01,85.96,45,85.96,15.03,-0.1070452887775387,-0.5352264438876935,19.649356340165557,-1.71486552621617
46,14.06,15.09,13.95,85.53,46,85.53,15.09,-0.10779371003013774,-0.5389685501506887,19.491631744847098,-1.7268552346828066
47,14.06,14.96,14.07,86.48,47,86.48,14.96,-0.10613969505807155,-0.5306984752903577,19.838361215377574,-1.7003579148303063
48,14.06,14.94,14.1,86.7,48,86.7,14.94,-0.10575640269595675,-0.5287820134797837,19.90546673096551,-1.6942175711892271
49,14.06,15.03,14.01,85.96,49,85.96,15.03,-0.1070452887775387,-0.5352264438876935,19.649356340165557,-1.71486552621617
50,14.06,14.93,14.11,86.76,50,86.76,14.93,-0.10565185344820245,-0.5282592672410122,19.930158391745987,-1.6925426922402032
51,14.06,15.07,13.97,85.65,51,85.65,15.07,-0.1075848906357694,-0.537924453178847,19.539932113669927,-1.7235099479850258
52,14.06,14.97,14.07,86.43,52,86.43,14.97,-0.10622679453729829,-0.5311339726864914,19.815569964126137,-1.7017532484875186
53,14.06,15.0,14.04,86.21,53,86.21,15.0,-0.1066099750182446,-0.5330498750912229,19.734949235323192,-1.7078917997922785
54,14.06,15.05,13.99,85.83,54,85.83,15.05,-0.10727159944729975,-0.5363579972364987,19.59899077017275,-1.718491023145742
55,14.06,15.0,14.04,86.22,55,86.22,15.0,-0.10659255979513778,-0.5329627989756889,19.736726413561662,-1.7076128079181072
56,14.06,15.01,14.02,86.09,56,86.09,15.01,-0.10681894183840429,-0.5340947091920214,19.699866058186426,-1.7112394482512367
57,14.06,15.05,13.99,85.83,57,85.83,15.05,-0.10727159944729975,-0.5363579972364987,19.59899077017275,-1.718491023145742
58,14.06,15.01,14.03,86.11,58,86.11,15.01,-0.10678411608745896,-0.5339205804372947,19.70341745517911,-1.7106815397210924
59,14.06,15.23,13.8,84.35,59,84.35,15.23,-0.1098451362238892,-0.5492256811194459,19.098018541226416,-1.7597190823067048
60,14.06,15.1,13.93,85.38,60,85.38,15.1,-0.10805468609026632,-0.5402734304513316,19.451665377630917,-1.7310360711660664
61,14.06,14.95,14.09,86.59,61,86.59,14.95,-0.10594805983890075,-0.5297402991945037,19.871889355460294,-1.69728791861919
62,14.06,14.99,14.04,86.24,62,86.24,14.99,-0.10655772874699217,-0.5327886437349608,19.7540773099819,-1.7070548145268145
63,14.06,15.11,13.92,85.3,63,85.3,15.11,-0.1081938508630041,-0.5409692543150205,19.424090127993402,-1.7332654908253258
64,14.06,15.19,13.85,84.72,64,84.72,15.19,-0.10920230083375473,-0.5460115041687736,19.215416688886826,-1.7494208593567508
65,14.06,15.06,13.98,85.75,65,85.75,15.06,-0.10741084901953996,-0.5370542450976997,19.57120873417223,-1.72072180129303
