FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,22.23,15.13,13.91,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,22.23,15.13,13.91,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,22.23,15.45,13.59,82.69,2,82.69,15.45,-0.11272377249037213,-0.5636188624518607,18.52868522871352,-1.8058348352957616
3,22.23,15.9,13.14,79.16,3,79.16,15.9,-0.11880670347353539,-0.594033517367677,17.396665765506935,-1.9032833896460368
4,22.23,15.91,13.13,79.06,4,79.06,15.91,-0.11897809333590013,-0.5948904666795006,17.368794497770686,-1.90602905524112
5,22.23,15.88,13.17,79.35,5,79.35,15.88,-0.11848090533692156,-0.5924045266846077,17.4508856975734,-1.8980641034974832
6,22.23,15.93,13.12,78.94,6,78.94,15.93,-0.11918368481486297,-0.5959184240743148,17.32630732327961,-1.9093226307341047
7,22.23,16.14,12.91,77.33,7,77.33,16.14,-0.1219335385547371,-0.6096676927736855,16.830949669940416,-1.9533752876468882
8,22.23,16.28,12.78,76.27,8,76.27,16.28,-0.12373468155067786,-0.6186734077533893,16.51112331045878,-1.9822295984418594
9,22.23,16.27,12.76,76.22,9,76.22,16.27,-0.12381944532399079,-0.6190972266199539,16.513773625790854,-1.9835875140903325
10,22.23,16.31,12.7,75.79,10,75.79,16.31,-0.12454765822744365,-0.6227382911372182,16.403411428788452,-1.9952534848036472
11,22.23,16.12,12.89,77.31,11,77.31,16.12,-0.1219675938107665,-0.6098379690538325,16.84953706511262,-1.9539208528484793
12,22.23,16.15,12.86,77.04,12,77.04,16.15,-0.12242707609493814,-0.6121353804746906,16.77344624321517,-1.9612817590409088
13,22.23,16.01,12.99,78.12,13,78.12,16.01,-0.12058626087698815,-0.6029313043849407,17.102159475362495,-1.9317918992493501
14,22.23,16.22,12.79,76.54,14,76.54,16.22,-0.12327664647554995,-0.6163832323777497,16.617970772630738,-1.97489187653831
15,22.23,16.16,12.84,76.93,15,76.93,16.16,-0.12261413037673569,-0.6130706518836784,16.7449486553107,-1.9642783686353056
16,22.23,16.26,12.75,76.19,16,76.19,16.26,-0.12387029488512824,-0.6193514744256412,16.519608212135008,-1.9844021240597545
17,22.23,16.25,12.76,76.28,17,76.28,16.25,-0.12371772662495031,-0.6185886331247515,16.544541554054266,-1.981957980531704
18,22.23,16.29,12.72,75.98,18,75.98,16.29,-0.12422605779568958,-0.6211302889784479,16.454542773306056,-1.990101445886947
19,22.23,16.78,12.3,72.47,19,72.47,16.78,-0.1301205123289035,-0.6506025616445175,15.418525725839135,-2.084530607509034
20,22.23,16.49,12.54,74.51,20,74.51,16.49,-0.12670701867670275,-0.6335350933835138,16.01698716764319,-2.029846439200778
21,22.23,16.33,12.68,75.68,21,75.68,16.33,-0.12473372479681669,-0.6236686239840834,16.365065880908187,-1.9982342712450032
