FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,22.12,15.13,13.91,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,22.12,15.13,13.91,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,22.12,15.56,13.48,81.82,2,81.82,15.56,-0.11422834279413302,-0.571141713970665,18.24391898881826,-1.829938051562011
3,22.12,11.58,17.38,112.66,3,112.66,11.58,-0.061473810475176555,-0.30736905237588275,31.973187331869124,-0.9848104438123284
4,0.0,0.0,0.0,180.0,4,180.0,0.0,-0.0,-0.0,inf,-0.0
5,0.0,0.0,0.0,180.0,5,180.0,0.0,-0.0,-0.0,inf,-0.0
6,0.0,0.0,0.0,180.0,6,180.0,0.0,-0.0,-0.0,inf,-0.0
7,0.0,0.0,0.0,180.0,7,180.0,0.0,-0.0,-0.0,inf,-0.0
8,0.0,0.0,0.0,180.0,8,180.0,0.0,-0.0,-0.0,inf,-0.0
9,0.0,0.0,0.0,180.0,9,180.0,0.0,-0.0,-0.0,inf,-0.0
10,0.0,0.0,0.0,180.0,10,180.0,0.0,-0.0,-0.0,inf,-0.0
11,0.0,0.0,0.0,180.0,11,180.0,0.0,-0.0,-0.0,inf,-0.0
12,0.0,0.0,0.0,180.0,12,180.0,0.0,-0.0,-0.0,inf,-0.0
13,0.0,0.0,0.0,180.0,13,180.0,0.0,-0.0,-0.0,inf,-0.0
14,0.0,0.0,0.0,180.0,14,180.0,0.0,-0.0,-0.0,inf,-0.0
15,0.0,0.0,0.0,180.0,15,180.0,0.0,-0.0,-0.0,inf,-0.0
16,0.0,0.0,0.0,180.0,16,180.0,0.0,-0.0,-0.0,inf,-0.0
17,0.0,0.0,0.0,180.0,17,180.0,0.0,-0.0,-0.0,inf,-0.0
18,0.0,0.0,0.0,180.0,18,180.0,0.0,-0.0,-0.0,inf,-0.0
19,0.0,0.0,0.0,180.0,19,180.0,0.0,-0.0,-0.0,inf,-0.0
20,0.0,0.0,0.0,180.0,20,180.0,0.0,-0.0,-0.0,inf,-0.0
21,0.0,0.0,0.0,180.0,21,180.0,0.0,-0.0,-0.0,inf,-0.0
22,0.0,0.0,0.0,180.0,22,180.0,0.0,-0.0,-0.0,inf,-0.0
23,0.0,0.0,0.0,180.0,23,180.0,0.0,-0.0,-0.0,inf,-0.0
24,22.12,4.59,22.13,156.56,24,156.56,4.59,-0.008252285947708137,-0.04126142973854069,107.80210765795032,-0.13220162088228435
25,22.12,7.65,20.52,139.09,25,139.09,7.65,-0.024426081617355256,-0.12213040808677628,57.66315904910645,-0.3913058275100312
26,22.12,9.51,19.17,127.21,26,127.21,9.51,-0.039526187365030045,-0.1976309368251502,43.077877601576645,-0.6332095215877813
27,22.12,11.0,17.91,116.91,27,116.91,11.0,-0.05474096495484546,-0.2737048247742273,34.72013583485078,-0.8769502585766243
28,22.12,11.31,17.63,114.66,28,114.66,11.31,-0.058276728633823494,-0.29138364316911747,33.223429847566145,-0.9335931927138523
29,22.12,10.83,18.06,118.1,29,118.1,10.83,-0.052898811878059,-0.26449405939029497,35.565619987113934,-0.8474389662865052
30,22.12,9.56,19.12,126.86,30,126.86,9.56,-0.040013820615825924,-0.20006910307912962,42.75599786448522,-0.6410214062655313
31,22.12,7.17,20.82,141.99,31,141.99,7.17,-0.021209671159304357,-0.10604835579652178,62.613571738533615,-0.3397789319720558
32,22.12,5.62,21.68,150.95,32,150.95,5.62,-0.012580370204331483,-0.0629018510216574,84.5059193650839,-0.20153753067339034
33,22.12,2.71,22.73,166.39,33,166.39,2.71,-0.0028080054265895438,-0.014040027132947719,204.1166950355213,-0.04498424693396449
34,0.0,0.0,0.0,180.0,34,180.0,0.0,-0.0,-0.0,inf,-0.0
