FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,26.08,15.08,13.95,85.53,0,85.53,15.08,-0.10779371003013774,-0.5389685501506887,19.505169638068136,-1.7268552346828066
1,26.08,15.08,13.95,85.53,1,85.53,15.08,-0.10779371003013774,-0.5389685501506887,19.505169638068136,-1.7268552346828066
2,26.08,13.86,15.18,95.19,2,95.19,13.86,-0.09095412357990017,-0.4547706178995008,23.17764275517376,-1.4570850597500007
3,26.08,9.41,19.24,127.87,3,127.87,9.41,-0.03861280475477276,-0.19306402377386378,43.72226718223831,-0.6185771321714596
4,0.0,0.0,0.0,180.0,4,180.0,0.0,-0.0,-0.0,inf,-0.0
5,0.0,0.0,0.0,180.0,5,180.0,0.0,-0.0,-0.0,inf,-0.0
6,0.0,0.0,0.0,180.0,6,180.0,0.0,-0.0,-0.0,inf,-0.0
7,0.0,0.0,0.0,180.0,7,180.0,0.0,-0.0,-0.0,inf,-0.0
8,0.0,0.0,0.0,180.0,8,180.0,0.0,-0.0,-0.0,inf,-0.0
9,0.0,0.0,0.0,180.0,9,180.0,0.0,-0.0,-0.0,inf,-0.0
10,0.0,0.0,0.0,180.0,10,180.0,0.0,-0.0,-0.0,inf,-0.0
11,0.0,0.0,0.0,180.0,11,180.0,0.0,-0.0,-0.0,inf,-0.0
12,0.0,0.0,0.0,180.0,12,180.0,0.0,-0.0,-0.0,inf,-0.0
13,0.0,0.0,0.0,180.0,13,180.0,0.0,-0.0,-0.0,inf,-0.0
14,0.0,0.0,0.0,180.0,14,180.0,0.0,-0.0,-0.0,inf,-0.0
15,0.0,0.0,0.0,180.0,15,180.0,0.0,-0.0,-0.0,inf,-0.0
16,0.0,0.0,0.0,180.0,16,180.0,0.0,-0.0,-0.0,inf,-0.0
17,0.0,0.0,0.0,180.0,17,180.0,0.0,-0.0,-0.0,inf,-0.0
18,0.0,0.0,0.0,180.0,18,180.0,0.0,-0.0,-0.0,inf,-0.0
19,0.0,0.0,0.0,180.0,19,180.0,0.0,-0.0,-0.0,inf,-0.0
20,0.0,0.0,0.0,180.0,20,180.0,0.0,-0.0,-0.0,inf,-0.0
21,0.0,0.0,0.0,180.0,21,180.0,0.0,-0.0,-0.0,inf,-0.0
22,0.0,0.0,0.0,180.0,22,180.0,0.0,-0.0,-0.0,inf,-0.0
23,0.0,0.0,0.0,180.0,23,180.0,0.0,-0.0,-0.0,inf,-0.0
24,0.0,0.0,0.0,180.0,24,180.0,0.0,-0.0,-0.0,inf,-0.0
25,0.0,0.0,0.0,180.0,25,180.0,0.0,-0.0,-0.0,inf,-0.0
26,0.0,0.0,0.0,180.0,26,180.0,0.0,-0.0,-0.0,inf,-0.0
27,0.0,0.0,0.0,180.0,27,180.0,0.0,-0.0,-0.0,inf,-0.0
28,0.0,0.0,0.0,180.0,28,180.0,0.0,-0.0,-0.0,inf,-0.0
29,26.08,1.37,22.96,173.17,29,173.17,1.37,-0.0007096624177024392,-0.0035483120885121955,492.82340703317016,-0.011368791931593075
30,26.08,3.65,22.47,161.56,30,161.56,3.65,-0.005134458417194255,-0.02567229208597127,141.96944183547248,-0.08225402384345196
31,26.08,5.62,21.68,150.92,31,150.92,5.62,-0.012605806712808322,-0.0630290335640416,84.49844062907759,-0.2019450235391893
32,26.08,7.23,20.79,141.66,32,141.66,7.23,-0.02156565080665901,-0.10782825403329505,61.965935700324074,-0.34548172592267734
33,26.08,8.04,20.26,136.72,33,136.72,8.04,-0.027198789091951905,-0.1359939454597595,54.07879119179728,-0.4357246012530695
34,26.08,7.87,20.37,137.76,34,137.76,7.87,-0.025966453364222188,-0.12983226682111093,55.59880236701595,-0.4159825828948394
35,26.08,6.86,21.01,143.85,35,143.85,6.86,-0.019252459451526007,-0.09626229725763003,66.18449962323702,-0.30842440041344665
36,26.08,6.85,21.02,143.92,36,143.92,6.85,-0.019180449700417324,-0.09590224850208662,66.3076586246429,-0.30727080420068553
37,26.08,5.67,21.65,150.64,37,150.64,5.67,-0.012844368574472454,-0.06422184287236227,83.59689597848063,-0.2057667845630487
38,26.08,3.6,22.48,161.82,38,161.82,3.6,-0.0049918980899228416,-0.024959490449614208,144.35176646608693,-0.07997020740056392
39,26.08,2.26,22.82,168.69,39,168.69,2.26,-0.0019419555442564908,-0.009709777721282453,256.067445549593,-0.031110127818988982
40,0.0,0.0,0.0,180.0,40,180.0,0.0,-0.0,-0.0,inf,-0.0
41,0.0,0.0,0.0,180.0,41,180.0,0.0,-0.0,-0.0,inf,-0.0
42,0.0,0.0,0.0,180.0,42,180.0,0.0,-0.0,-0.0,inf,-0.0
43,0.0,0.0,0.0,180.0,43,180.0,0.0,-0.0,-0.0,inf,-0.0
44,0.0,0.0,0.0,180.0,44,180.0,0.0,-0.0,-0.0,inf,-0.0
45,0.0,0.0,0.0,180.0,45,180.0,0.0,-0.0,-0.0,inf,-0.0
46,0.0,0.0,0.0,180.0,46,180.0,0.0,-0.0,-0.0,inf,-0.0
47,0.0,0.0,0.0,180.0,47,180.0,0.0,-0.0,-0.0,inf,-0.0
48,0.0,0.0,0.0,180.0,48,180.0,0.0,-0.0,-0.0,inf,-0.0
49,0.0,0.0,0.0,180.0,49,180.0,0.0,-0.0,-0.0,inf,-0.0
50,0.0,0.0,0.0,180.0,50,180.0,0.0,-0.0,-0.0,inf,-0.0
51,0.0,0.0,0.0,180.0,51,180.0,0.0,-0.0,-0.0,inf,-0.0
52,0.0,0.0,0.0,180.0,52,180.0,0.0,-0.0,-0.0,inf,-0.0
53,0.0,0.0,0.0,180.0,53,180.0,0.0,-0.0,-0.0,inf,-0.0
54,0.0,0.0,0.0,180.0,54,180.0,0.0,-0.0,-0.0,inf,-0.0
55,0.0,0.0,0.0,180.0,55,180.0,0.0,-0.0,-0.0,inf,-0.0
56,0.0,0.0,0.0,180.0,56,180.0,0.0,-0.0,-0.0,inf,-0.0
57,0.0,0.0,0.0,180.0,57,180.0,0.0,-0.0,-0.0,inf,-0.0
58,0.0,0.0,0.0,180.0,58,180.0,0.0,-0.0,-0.0,inf,-0.0
59,0.0,0.0,0.0,180.0,59,180.0,0.0,-0.0,-0.0,inf,-0.0
60,0.0,0.0,0.0,180.0,60,180.0,0.0,-0.0,-0.0,inf,-0.0
61,0.0,0.0,0.0,180.0,61,180.0,0.0,-0.0,-0.0,inf,-0.0
62,0.0,0.0,0.0,180.0,62,180.0,0.0,-0.0,-0.0,inf,-0.0
63,0.0,0.0,0.0,180.0,63,180.0,0.0,-0.0,-0.0,inf,-0.0
64,0.0,0.0,0.0,180.0,64,180.0,0.0,-0.0,-0.0,inf,-0.0
