FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,21.94,15.13,13.91,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,21.94,15.13,13.91,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,21.94,14.46,14.57,90.44,2,90.44,14.46,-0.09923206267722175,-0.4961603133861087,21.290746514158617,-1.5896976440890924
3,21.94,14.6,14.43,89.32,3,89.32,14.6,-0.10118679602985375,-0.5059339801492687,20.8714103393249,-1.621012472398257
4,21.94,14.52,14.52,90.0,4,90.0,14.52,-0.1,-0.5,21.117363909569022,-1.602
5,21.94,14.56,14.48,89.7,5,89.7,14.56,-0.10052359638314196,-0.5026179819157097,21.001381998958205,-1.610388014057934
6,21.94,14.45,14.58,90.51,6,90.51,14.45,-0.09910989383559043,-0.4955494691779522,21.319172622179877,-1.5877404992461588
7,21.94,14.52,14.51,89.96,7,89.96,14.52,-0.10006981316440877,-0.5003490658220439,21.10999255957653,-1.6031184068938285
8,21.94,14.54,14.5,89.86,8,89.86,14.54,-0.10024434585213451,-0.5012217292606725,21.061129447907657,-1.6059144205511948
9,21.94,14.51,14.53,90.06,9,90.06,14.51,-0.09989528026402,-0.4994764013201,21.143697899541362,-1.6003223898296004
10,21.94,14.53,14.51,89.9,10,89.9,14.53,-0.10017453283658984,-0.5008726641829492,21.083701877046213,-1.604796016042169
11,21.94,14.45,14.59,90.56,11,90.56,14.45,-0.0990226311800751,-0.49511315590037547,21.328433245572047,-1.5863425515048029
12,21.94,14.52,14.51,89.95,12,89.95,14.52,-0.10008726645152353,-0.5004363322576176,21.108149722499427,-1.603398008553407
13,21.94,14.45,14.58,90.53,13,90.53,14.45,-0.0990749886883203,-0.4953749434416015,21.32287688056404,-1.5871813187868913
14,21.94,14.56,14.47,89.65,14,89.65,14.56,-0.10061086143906783,-0.5030543071953392,20.992194512411274,-1.6117860002538666
15,21.94,14.54,14.5,89.87,15,89.87,14.54,-0.10022689260808398,-0.5011344630404199,21.062969621262457,-1.6056348195815053
16,21.94,14.38,14.65,91.07,16,91.07,14.38,-0.0981326062490625,-0.49066303124531246,21.532340357804628,-1.5720843521099812
17,21.94,14.31,14.72,91.61,17,91.61,14.31,-0.09719038968251509,-0.48595194841257544,21.743934893097,-1.5569900427138916
18,21.94,14.34,14.7,91.42,18,91.42,14.34,-0.09752188616922515,-0.48760943084612574,21.660721959247976,-1.562300616430987
19,21.94,14.4,14.63,90.92,19,90.92,14.4,-0.09839436608652005,-0.49197183043260023,21.473073819738634,-1.5762777447060512
20,21.94,14.41,14.63,90.87,20,90.87,14.41,-0.09848162189978994,-0.4924081094989497,21.44814825151134,-1.577675582834635
21,21.94,14.21,14.83,92.46,21,92.46,14.21,-0.09570780904418996,-0.47853904522094975,22.06475491343142,-1.5332391008879231
22,21.94,14.52,14.52,90.0,22,90.0,14.52,-0.1,-0.5,21.117363909569022,-1.602
23,21.94,14.37,14.67,91.17,23,91.17,14.37,-0.09795810669051996,-0.48979053345259976,21.56669460468862,-1.5692888691821298
24,21.94,14.28,14.76,91.92,24,91.92,14.28,-0.09664959496989285,-0.48324797484946425,21.850003533465806,-1.5483265114176834
25,21.94,14.17,14.86,92.72,25,92.72,14.17,-0.09525448738236691,-0.4762724369118345,22.179278734069612,-1.525976887865518
26,21.94,14.22,14.81,92.34,26,92.34,14.22,-0.09591706480214901,-0.479585324010745,22.025876686202274,-1.536591378130427
27,21.94,14.11,14.92,93.19,27,93.19,14.11,-0.09443527566433726,-0.4721763783216863,22.367491252364587,-1.512853116142683
28,21.94,14.16,14.88,92.86,28,92.86,14.16,-0.09501043098392921,-0.47505215491964603,22.22218727122761,-1.5220671043625458
29,21.94,14.05,14.98,93.67,29,93.67,14.05,-0.09359902079649943,-0.4679951039824971,22.559253491907242,-1.4994563131599208
30,21.94,14.18,14.86,92.67,30,92.67,14.18,-0.09534165732391973,-0.47670828661959863,22.15341600857327,-1.5273733503291942
31,21.94,14.06,14.97,93.59,31,93.59,14.06,-0.09373836699504964,-0.4686918349752482,22.527177084907244,-1.5016886392606952
32,21.94,14.07,14.97,93.54,32,93.54,14.07,-0.09382546458544581,-0.46912732292722903,22.500850672272875,-1.5030839426588418
33,21.94,13.96,15.08,94.42,33,94.42,13.96,-0.09229329394873911,-0.46146646974369554,22.855791137142756,-1.4785385690588007
34,21.94,13.77,15.27,95.93,34,95.93,13.77,-0.08966866521500028,-0.4483433260750013,23.480460920303507,-1.4364920167443045
35,21.94,13.7,15.33,96.42,35,96.42,13.7,-0.08881841841479939,-0.4440920920739969,23.70209065854048,-1.422871063005086
36,21.94,13.9,15.13,94.85,36,94.85,13.9,-0.09154525845718914,-0.4577262922859457,23.042187504676416,-1.4665550404841698
37,21.94,13.52,15.51,97.86,37,97.86,13.52,-0.08632469934573092,-0.4316234967286546,24.318053953781163,-1.3829216835186093
38,21.94,13.5,15.53,98.02,38,98.02,13.5,-0.08604812387603265,-0.4302406193801632,24.387502703579422,-1.378490944494043
39,21.94,13.62,15.41,97.07,39,97.07,13.62,-0.08769181239664532,-0.4384590619832266,23.97580512314602,-1.404822834594258
40,21.94,13.76,15.27,95.96,40,95.96,13.76,-0.08961658694111929,-0.4480829347055964,23.504225501125866,-1.435657722796731
