FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,23.56,15.13,13.91,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,23.56,15.13,13.91,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,23.56,15.56,13.48,81.8,2,81.8,15.56,-0.11426289337055118,-0.5713144668527559,18.24052590977342,-1.83049155179623
3,23.56,15.31,13.66,83.45,3,83.45,15.31,-0.11140702255651064,-0.5570351127825531,18.83755705359127,-1.7847405013553004
4,23.56,15.24,13.71,83.96,4,83.96,15.24,-0.11052227450005968,-0.5526113725002983,19.016938263528452,-1.770566837490956
5,23.56,15.34,13.61,83.15,5,83.15,15.34,-0.11192704489853916,-0.5596352244926958,18.747163948683085,-1.7930712592745974
6,23.56,15.03,13.89,85.47,6,85.47,15.03,-0.10789810696443065,-0.5394905348221533,19.562510425176242,-1.7285276735701791
7,23.56,15.02,13.88,85.51,7,85.51,15.02,-0.10782850996352894,-0.5391425498176446,19.583246457498966,-1.7274127296157336
8,23.56,15.16,13.78,84.55,8,84.55,15.16,-0.10949770690839543,-0.5474885345419771,19.22542232838516,-1.7541532646724947
9,23.56,15.17,13.77,84.47,9,84.47,15.17,-0.10963669275887816,-0.5481834637943908,19.198135262763856,-1.756379817997228
10,23.56,15.38,13.59,82.96,10,82.96,15.38,-0.11225622415830071,-0.5612811207915035,18.6634165206592,-1.7983447110159774
11,23.56,15.31,13.66,83.49,11,83.49,15.31,-0.11133766230452101,-0.556688311522605,18.844485083053538,-1.7836293501184266
12,23.56,15.28,13.69,83.72,12,83.72,15.28,-0.11093873465865156,-0.5546936732932578,18.923143298283662,-1.777238529231598
13,23.56,15.29,13.66,83.56,13,83.56,15.29,-0.11121626858732687,-0.5560813429366344,18.88242911823983,-1.7816846227689764
14,23.56,15.17,13.79,84.54,14,84.54,15.17,-0.10951508115787117,-0.5475754057893558,19.210399789995964,-1.7544316001490963
15,23.56,15.09,13.85,85.09,15,85.09,15.09,-0.10855908168945634,-0.5427954084472817,19.41401543721367,-1.7391164886650905
16,23.56,15.05,13.92,85.53,16,85.53,15.05,-0.10779371003013774,-0.5389685501506887,19.545896153786654,-1.7268552346828066
17,23.56,15.1,13.85,85.07,17,85.07,15.1,-0.10859385965819222,-0.5429692982909611,19.397025732566746,-1.7396736317242394
18,23.56,15.28,13.67,83.65,18,83.65,15.28,-0.11106016637626744,-0.5553008318813372,18.910989196864456,-1.7791838653478043
19,23.56,15.14,13.8,84.69,19,84.69,15.14,-0.10925443727830625,-0.5462721863915312,19.27660262631935,-1.750256085198466
20,23.56,15.22,13.72,84.08,20,84.08,15.22,-0.11031397473024673,-0.5515698736512337,19.064036096512066,-1.7672298751785527
21,23.56,15.13,13.81,84.78,21,84.78,15.13,-0.10909802039035699,-0.5454901019517849,19.30576333928484,-1.7477502866535188
22,23.56,15.17,13.78,84.5,22,84.5,15.17,-0.10958457525202242,-0.547922876260112,19.203391312160534,-1.7555448955373991
23,23.56,15.11,13.83,84.94,23,84.94,15.11,-0.10881989074168674,-0.5440994537084337,19.36069145656413,-1.7432946496818216
24,23.56,15.09,13.86,85.14,24,85.14,15.09,-0.10847213221420736,-0.5423606610710368,19.42283297982492,-1.737723558071602
25,23.56,15.25,13.69,83.82,25,83.82,15.25,-0.11076523249817097,-0.5538261624908548,18.979515872732122,-1.7744590246206988
26,23.56,15.09,13.86,85.15,26,85.15,15.09,-0.10845474154281087,-0.5422737077140544,19.42459656707646,-1.7374449595158301
27,23.56,14.96,13.98,86.11,27,86.11,14.96,-0.10678411608745896,-0.5339205804372947,19.772415496579686,-1.7106815397210924
28,23.56,15.13,13.82,84.8,28,84.8,15.13,-0.10906325801977801,-0.54531629009889,19.309278829804544,-1.7471933934768435
29,23.56,15.2,13.75,84.28,29,84.28,15.2,-0.1099667083604403,-0.5498335418022015,19.125249371653517,-1.7616666679342536
