FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,22.69,15.26,13.78,84.14,0,84.14,15.26,-0.11020980782242373,-0.5510490391121187,19.022164555071775,-1.7655611213152282
1,22.69,15.26,13.78,84.14,1,84.14,15.26,-0.11020980782242373,-0.5510490391121187,19.022164555071775,-1.7655611213152282
2,22.69,14.93,14.11,86.74,2,86.74,14.93,-0.10568670389177695,-0.5284335194588847,19.926584522518077,-1.6931009963462667
3,22.69,15.57,13.47,81.72,3,81.72,15.57,-0.11440107825522522,-0.572005391276126,18.214710881591913,-1.832705273648708
4,22.69,15.55,13.49,81.91,4,81.91,15.55,-0.11407284380674138,-0.5703642190337068,18.271472493125582,-1.8274469577839967
5,22.69,15.79,13.25,79.98,5,79.98,15.79,-0.1173991929836482,-0.586995964918241,17.65947717984311,-1.8807350715980442
6,22.69,15.42,13.62,82.92,6,82.92,15.42,-0.11232550800255187,-0.5616275400127593,18.60588899287966,-1.799454638200881
7,22.69,15.52,13.52,82.16,7,82.16,15.52,-0.11364072117799884,-0.5682036058899942,18.350970805365687,-1.8205243532715414
8,22.69,15.45,13.59,82.7,8,82.7,15.45,-0.11270646086013505,-0.5635323043006752,18.53039800214838,-1.8055575029793636
9,22.69,15.59,13.45,81.55,9,81.55,15.59,-0.11469462757990018,-0.5734731378995008,18.161500899907544,-1.837407933830001
10,22.69,15.7,13.35,80.75,10,80.75,15.7,-0.11607425656038262,-0.5803712828019131,17.89423026939756,-1.8595095900973295
11,22.69,15.66,13.38,81.01,11,81.01,15.66,-0.11562620785232035,-0.5781310392616017,17.985733659321344,-1.8523318497941719
12,22.69,15.68,13.36,80.89,12,80.89,15.68,-0.1158330401064798,-0.579165200532399,17.94159586363956,-1.8556453025058062
13,22.69,15.86,13.18,79.45,13,79.45,15.86,-0.11830935077692693,-0.5915467538846346,17.490400223180835,-1.8953157994463694
14,22.69,15.93,13.12,78.96,14,78.96,15.93,-0.1191494253877013,-0.5957471269385065,17.329590154052458,-1.9087737947109749
15,22.69,15.98,13.06,78.53,15,78.53,15.98,-0.11988548197361987,-0.5994274098680993,17.20263660996775,-1.9205654212173902
16,22.69,15.95,13.09,78.74,16,78.74,15.95,-0.11952614983678451,-0.5976307491839226,17.270832966226664,-1.9148089203852878
17,22.69,16.1,12.95,77.61,17,77.61,16.1,-0.12145648624276238,-0.6072824312138119,16.919835434786304,-1.9457329096090532
18,22.69,16.08,12.96,77.74,18,77.74,16.08,-0.12123482279275365,-0.6061741139637682,16.96285129935053,-1.9421818611399133
19,22.69,16.17,12.88,77.1,19,77.1,16.17,-0.12232501160109516,-0.6116250580054757,16.761408813299557,-1.9596466858495443
20,22.69,16.2,12.85,76.85,20,76.85,16.2,-0.12275011753997765,-0.6137505876998882,16.688969977257255,-1.9664568829904419
21,22.69,16.08,12.96,77.74,21,77.74,16.08,-0.12123482279275365,-0.6061741139637682,16.96285129935053,-1.9421818611399133
22,22.69,15.89,13.15,79.23,22,79.23,15.89,-0.1186866964521633,-0.5934334822608165,17.41963707127354,-1.901360877163656
23,22.69,15.84,13.2,79.63,23,79.63,15.84,-0.11800041237110866,-0.5900020618555433,17.543261602404755,-1.8903666061851607
24,22.69,16.12,12.93,77.47,24,77.47,16.12,-0.1216950771639621,-0.6084753858198105,16.875328882678183,-1.949555136166673
25,22.69,16.1,12.95,77.59,25,77.59,16.1,-0.12149057853652906,-0.6074528926826452,16.916604648139465,-1.9462790681551956
26,22.69,16.19,12.86,76.89,26,76.89,16.19,-0.12268212948585384,-0.6134106474292692,16.706140117300226,-1.9653677143633785
27,22.69,16.09,12.96,77.68,27,77.68,16.09,-0.12133714265338161,-0.606685713266908,16.942136575525396,-1.9438210253071733
28,22.69,16.06,12.99,77.93,28,77.93,16.06,-0.12091065680875884,-0.6045532840437942,17.01571799537785,-1.9369887220763167
29,22.69,15.95,13.09,78.74,29,78.74,15.95,-0.11952614983678451,-0.5976307491839226,17.270832966226664,-1.9148089203852878
30,22.69,16.19,12.86,76.95,30,76.95,16.19,-0.12258012668691037,-0.6129006334345518,16.715750389781874,-1.9637336295243042
31,22.69,16.08,12.96,77.74,31,77.74,16.08,-0.12123482279275365,-0.6061741139637682,16.96285129935053,-1.9421818611399133
32,22.69,16.17,12.88,77.07,32,77.07,16.17,-0.12237604691527673,-0.6118802345763836,16.75659427090042,-1.9604642715827332
33,22.69,16.11,12.94,77.51,33,77.51,16.11,-0.1216269214844421,-0.6081346074222105,16.892724578891567,-1.9484632821807624
34,22.69,16.2,12.85,76.81,34,76.81,16.2,-0.12281809450597048,-0.6140904725298524,16.682569603226792,-1.967545873985647
35,22.69,16.28,12.78,76.26,35,76.26,16.28,-0.1237516357534057,-0.6187581787670284,16.50953517653469,-1.9825012047695592
36,22.69,16.42,12.63,75.13,36,75.13,16.42,-0.12566267645987095,-0.6283133822993547,16.18520736626616,-2.0131160768871323
37,22.69,16.35,12.7,75.69,37,75.69,16.35,-0.1247168134110041,-0.6235840670550205,16.345746541167344,-1.9979633508442856
38,22.69,16.35,12.71,75.73,38,75.73,16.35,-0.12464916034373359,-0.623245801718668,16.352055417174544,-1.996879548706612
39,22.69,16.38,12.68,75.48,39,75.48,16.38,-0.12507179360729567,-0.6253589680364784,16.28145882906748,-2.003650133588877
40,22.69,16.3,12.75,76.07,40,76.07,16.3,-0.12407362754853074,-0.6203681377426536,16.45826407503774,-1.9876595133274624
41,22.69,16.39,12.67,75.43,41,75.43,16.39,-0.1251562632376344,-0.625781316188172,16.26323337770605,-2.005003337066903
42,22.69,16.32,12.73,75.93,42,75.93,16.32,-0.12431071546153175,-0.6215535773076587,16.415056829309933,-1.9914576616937385
43,22.69,16.37,12.69,75.55,43,75.55,16.37,-0.12495350406255426,-0.6247675203127713,16.302857298344993,-2.001755135082119
44,22.69,16.37,12.68,75.52,44,75.52,16.37,-0.1250042041527882,-0.6250210207639411,16.298135373854752,-2.002567350527667
45,22.69,16.43,12.63,75.13,45,75.13,16.43,-0.12566267645987095,-0.6283133822993547,16.174926319097697,-2.0131160768871323
46,22.69,16.5,12.56,74.53,46,74.53,16.5,-0.1266733783743424,-0.6333668918717119,16.009965171849235,-2.029307521556965
47,22.69,16.52,12.54,74.42,47,74.42,16.52,-0.12685835970781098,-0.6342917985390548,15.972676036884664,-2.0322709225191318
48,22.69,16.52,12.54,74.41,48,74.41,16.52,-0.12687517129400103,-0.6343758564700052,15.971125133130798,-2.0325402441298963
