FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,22.22,15.29,13.75,83.94,0,83.94,15.29,-0.11055698666566083,-0.5527849333283041,18.9483714749336,-1.7711229263838864
1,22.22,15.29,13.75,83.94,1,83.94,15.29,-0.11055698666566083,-0.5527849333283041,18.9483714749336,-1.7711229263838864
2,22.22,14.84,14.19,87.44,2,87.44,14.84,-0.10446655641082864,-0.5223327820541431,20.179168471740144,-1.6735542337014748
3,22.22,15.51,13.53,82.22,3,82.22,15.51,-0.11353697279355973,-0.5676848639677986,18.373571357167,-1.818862304152827
4,22.22,14.98,14.05,86.33,4,86.33,14.98,-0.10640097920350058,-0.5320048960175029,19.78391130473255,-1.7045436868400794
5,22.22,14.96,14.08,86.55,5,86.55,14.96,-0.10601774794692936,-0.5300887397346468,19.850840463466735,-1.6984043221098084
6,22.22,14.83,14.21,87.55,6,87.55,14.83,-0.10427475368243222,-0.5213737684121611,20.2132386529484,-1.6704815539925641
7,22.22,14.96,14.08,86.51,7,86.51,14.96,-0.10608743312198071,-0.5304371656099035,19.84370935081095,-1.699520678614131
8,22.22,14.91,14.1,86.83,8,86.83,14.91,-0.1055298715003527,-0.5276493575017634,19.97069946233049,-1.6905885414356503
9,22.22,15.01,13.98,85.9,9,85.9,15.01,-0.10714974443326858,-0.5357487221663428,19.666132073744347,-1.7165389058209626
10,22.22,15.14,13.9,85.11,10,85.11,15.14,-0.10852430267782234,-0.5426215133891117,19.350389478062734,-1.7385593288987138
11,22.22,15.05,13.96,85.69,11,85.69,15.05,-0.10751527673217726,-0.5375763836608862,19.574210671113562,-1.7223947332494796
12,22.22,15.05,13.97,85.74,12,85.74,15.05,-0.10742825420577401,-0.53714127102887,19.583060190369068,-1.7210006323764997
13,22.22,15.08,13.94,85.51,13,85.51,15.08,-0.10782850996352894,-0.5391425498176446,19.501638127188365,-1.7274127296157336
14,22.22,14.9,14.12,86.92,14,86.92,14.9,-0.10537302546452021,-0.526865127322601,20.000863261433953,-1.6880758679416137
15,22.22,15.11,13.91,85.26,15,85.26,15.11,-0.10826342727595427,-0.5413171363797713,19.417044167673524,-1.7343801049607874
16,22.22,15.15,13.87,84.96,16,84.96,15.15,-0.10878511965507434,-0.5439255982753717,19.31067473622233,-1.742737616874291
17,22.22,15.04,13.97,85.76,17,85.76,15.04,-0.1073934436075585,-0.5369672180377925,19.600241756610302,-1.720442966593087
18,22.22,15.33,13.68,83.49,18,83.49,15.33,-0.11133766230452101,-0.556688311522605,18.818753351718634,-1.7836293501184266
19,22.22,15.23,13.78,84.3,19,84.3,15.23,-0.10993197497436391,-0.5496598748718196,19.089296975899455,-1.7611102390893099
20,22.22,15.2,13.75,84.27,20,84.27,15.2,-0.10998407459833803,-0.5499203729916902,19.123501606156346,-1.7619448750653752
21,22.22,15.27,13.75,84.02,21,84.02,15.27,-0.11041813032753184,-0.5520906516376591,18.988258861812845,-1.76889844784706
22,22.22,15.46,13.56,82.52,22,82.52,15.46,-0.11301801047313105,-0.5650900523656552,18.48705427346244,-1.8105485277795594
23,22.22,15.12,13.9,85.19,23,85.19,15.12,-0.10838517628706115,-0.5419258814353057,19.391274420961537,-1.7363305241187197
24,22.22,15.26,13.76,84.09,24,84.09,15.26,-0.1102966143613121,-0.5514830718065605,19.013464167300178,-1.7669517620682198
25,22.22,15.33,13.68,83.48,25,83.48,15.33,-0.11135500288688634,-0.5567750144344317,18.81702365756508,-1.783907146247919
26,22.22,15.27,13.75,83.99,26,83.99,15.27,-0.11047020384902864,-0.5523510192451432,18.983043249646258,-1.7697326656614387
27,22.22,15.37,13.64,83.19,27,83.19,15.37,-0.11185772716769776,-0.5592886358384888,18.71576539934209,-1.7919607892265181
28,22.22,15.17,13.84,84.74,28,84.74,15.17,-0.10916754180158084,-0.5458377090079042,19.245449126277695,-1.748864019661325
29,22.22,15.3,13.72,83.75,29,83.75,15.3,-0.11088668748519646,-0.5544334374259823,18.902453613857112,-1.7764047335128472
30,22.22,15.27,13.75,83.99,30,83.99,15.27,-0.11047020384902864,-0.5523510192451432,18.983043249646258,-1.7697326656614387
31,22.22,15.35,13.67,83.36,31,83.36,15.35,-0.11156306274454215,-0.5578153137227108,18.770638998835008,-1.7872402651675652
32,22.22,15.22,13.79,84.35,32,84.35,15.22,-0.1098451362238892,-0.5492256811194459,19.111155826054212,-1.7597190823067048
33,22.22,15.35,13.67,83.37,33,83.37,15.35,-0.11154572634775457,-0.5577286317387729,18.77236591740193,-1.7869625360910282
34,22.22,15.54,13.48,81.89,34,81.89,15.54,-0.11410740215156548,-0.5705370107578274,18.280373133289707,-1.828000582468079
35,22.22,15.27,13.74,83.98,35,83.98,15.27,-0.11048756105235125,-0.5524378052617562,18.9813047760761,-1.770010728058667
36,22.22,15.19,13.82,84.61,36,84.61,15.19,-0.10939345535441454,-0.5469672767720727,19.196165336367937,-1.7524831547777209
37,22.22,15.17,13.85,84.77,37,84.77,15.17,-0.10911540116019891,-0.5455770058009946,19.250707508790818,-1.7480287265863865
38,22.22,15.25,13.79,84.24,38,84.24,15.25,-0.11003617148512149,-0.5501808574256074,19.052637874846393,-1.7627794671916461
39,22.22,15.13,13.86,84.95,39,84.95,15.13,-0.10880250533245035,-0.5440125266622517,19.33564853891874,-1.7430161354258547
40,22.22,15.4,13.59,82.86,40,82.86,15.4,-0.11242942249468402,-0.5621471124734201,18.620858701617543,-1.801119348364838
41,22.22,15.3,13.69,83.61,41,83.61,15.3,-0.11112954852875367,-0.5556477426437684,18.878178910244728,-1.7802953674306339
42,22.22,15.52,13.52,82.15,42,82.15,15.52,-0.11365801112415737,-0.5682900556207868,18.349268248352228,-1.820801338209001
43,22.22,15.47,13.55,82.43,43,82.43,15.47,-0.11317373729081873,-0.5658686864540936,18.459165039700974,-1.813043271398916
44,22.22,15.5,13.54,82.26,44,82.26,15.5,-0.11346779894971526,-0.5673389947485763,18.39279320164745,-1.8177541391744385
45,22.22,15.35,13.66,83.34,45,83.34,15.35,-0.11159773448089615,-0.5579886724044807,18.767185267013407,-1.7877957063839562
46,22.22,15.45,13.59,82.67,46,82.67,15.45,-0.11275839458755413,-0.5637919729377706,18.525259796937295,-1.8063894812926171
47,22.22,15.22,13.8,84.41,47,84.41,15.22,-0.10974091983244012,-0.5487045991622006,19.121629897855797,-1.7580495357156907
48,22.22,15.36,13.66,83.3,48,83.3,15.36,-0.11166707370993333,-0.5583353685496666,18.747495911464355,-1.7889065208331318
49,22.22,15.32,13.7,83.62,49,83.62,15.32,-0.11111220349784937,-0.5555610174892468,18.85411494928479,-1.7800175000355467
50,22.22,15.38,13.63,83.09,50,83.09,15.38,-0.11203101058468788,-0.5601550529234394,18.685804771409984,-1.7947367895667
51,22.22,15.59,13.4,81.35,51,81.35,15.59,-0.11503981391128273,-0.5751990695564136,18.127669706639022,-1.8429378188587493
52,22.22,15.53,13.49,81.97,52,81.97,15.53,-0.11396915850071335,-0.5698457925035667,18.306290242930096,-1.8257859191814279
53,22.22,15.43,13.58,82.72,53,82.72,15.43,-0.11267183643900547,-0.5633591821950273,18.55896038871963,-1.8050028197528676
54,22.22,15.43,13.6,82.79,54,82.79,15.43,-0.11255063883354446,-0.5627531941677223,18.570967667903926,-1.8030612341133823
55,22.22,15.42,13.59,82.77,55,82.77,15.42,-0.11258526864030215,-0.5629263432015107,18.580136544908374,-1.8036160036176403
56,22.22,15.37,13.65,83.23,56,83.23,15.37,-0.11178840365754417,-0.5589420182877208,18.72266147077336,-1.7908502265938575
57,22.22,15.45,13.56,82.55,57,82.55,15.45,-0.11296609437700318,-0.5648304718850159,18.504710450808606,-1.8097168319195909
58,22.22,15.56,13.48,81.83,58,81.83,15.56,-0.11421106685553067,-0.5710553342776533,18.245615592213294,-1.8296612910256014
59,22.22,15.57,13.45,81.67,59,81.67,15.57,-0.11448742956808429,-0.5724371478404214,18.206236348533277,-1.8340886216807102
60,22.22,15.29,13.72,83.81,60,83.81,15.29,-0.11078258419861475,-0.5539129209930738,18.925806874724802,-1.7747369988618082
61,22.22,15.33,13.68,83.48,61,83.48,15.33,-0.11135500288688634,-0.5567750144344317,18.81702365756508,-1.783907146247919
62,22.22,15.31,13.71,83.67,62,83.67,15.31,-0.11102547327643922,-0.5551273663821961,18.875667997219885,-1.7786280818885563
63,22.22,15.3,13.69,83.64,63,83.64,15.3,-0.11107751242107787,-0.5553875621053893,18.88338007825616,-1.7794617489856674
64,22.22,15.36,13.66,83.29,64,83.29,15.36,-0.11168440763001422,-0.5584220381500711,18.7457704160757,-1.7891842102328277
65,22.22,15.41,13.59,82.82,65,82.82,15.41,-0.11249869125736925,-0.5624934562868462,18.601342377543347,-1.8022290339430553
66,22.22,15.38,13.62,83.06,66,83.06,15.38,-0.11208298848733306,-0.5604149424366652,18.680637701329562,-1.7955694755670755
67,22.22,15.43,13.58,82.69,67,82.69,15.43,-0.11272377249037213,-0.5636188624518607,18.553814984516983,-1.8058348352957616
68,22.22,15.48,13.54,82.36,68,82.36,15.48,-0.11329483569618044,-0.5664741784809022,18.434732580716595,-1.8149832678528106
69,22.22,15.3,13.74,83.86,69,83.86,15.3,-0.11069582242240411,-0.5534791121120205,18.921531160265463,-1.7733470752069138
70,22.22,15.22,13.77,84.29,70,84.29,15.22,-0.10994934181893923,-0.5497467090946961,19.10068283932434,-1.7613884559394064
71,22.22,15.27,13.72,83.9,71,83.9,15.27,-0.11062640713362332,-0.5531320356681165,18.967398143877055,-1.7722350422806454
72,22.22,15.18,13.84,84.7,72,84.7,15.18,-0.10923705874465617,-0.5461852937232808,19.225168136782788,-1.7499776810893917
73,22.22,15.34,13.68,83.44,73,83.44,15.34,-0.11142436175213409,-0.5571218087606704,18.797271543125948,-1.785018275269188
74,22.22,15.34,13.68,83.46,74,83.46,15.34,-0.1113896830134094,-0.556948415067047,18.800728329350502,-1.7844627218748186
75,22.22,15.37,13.65,83.2,75,83.2,15.37,-0.11184039683065011,-0.5592019841532505,18.717489363433693,-1.7916831572270147
76,22.22,15.06,13.95,85.63,76,85.63,15.06,-0.10761969620339217,-0.5380984810169608,19.549985358878725,-1.7240675331783424
77,22.22,15.13,13.88,85.04,77,85.04,15.13,-0.1086460246465923,-0.5432301232329615,19.351473304562983,-1.7405093148384085
78,22.22,15.36,13.66,83.3,78,83.3,15.36,-0.11166707370993333,-0.5583353685496666,18.747495911464355,-1.7889065208331318
79,22.22,15.38,13.64,83.13,79,83.13,15.38,-0.11196170158616003,-0.5598085079308002,18.69269470798634,-1.7936264594102838
80,22.22,15.42,13.6,82.82,80,82.82,15.42,-0.11249869125736925,-0.5624934562868462,18.588719752775354,-1.8022290339430553
81,22.22,15.16,13.86,84.85,81,84.85,15.16,-0.10897634727115056,-0.5448817363557528,19.2780377538918,-1.745801083283832
82,22.22,15.15,13.86,84.89,82,84.89,15.15,-0.10890681374723864,-0.5445340687361931,19.29838492369903,-1.7446871562307629
83,22.22,15.12,13.9,85.18,83,85.18,15.12,-0.10840256798546362,-0.5420128399273181,19.389514394311025,-1.7366091391271272
84,22.22,15.39,13.63,83.07,84,83.07,15.39,-0.11206566288714986,-0.5603283144357493,18.669656660100813,-1.7952919194521408
