FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,24.89,15.13,13.91,85.17,0,85.17,15.13,-0.10841995942790926,-0.5420997971395463,19.374335097929723,-1.7368877500351063
1,24.89,15.13,13.91,85.17,1,85.17,15.13,-0.10841995942790926,-0.5420997971395463,19.374335097929723,-1.7368877500351063
2,24.89,14.22,14.75,92.08,2,92.08,14.22,-0.09637051249344243,-0.48185256246721214,21.976937842185798,-1.5438556101449477
3,24.89,14.58,14.34,89.08,3,89.08,14.58,-0.10160563391347995,-0.5080281695673997,20.85740845266588,-1.6277222552939488
4,24.89,14.68,14.15,87.86,4,87.86,14.68,-0.10373413625512391,-0.5186706812756195,20.48625097403411,-1.661820862807085
5,24.89,14.65,14.06,87.66,5,87.66,14.65,-0.10408293519785101,-0.5204146759892551,20.493759775009522,-1.6674086218695732
6,24.89,14.48,14.28,89.24,6,89.24,14.48,-0.10132641133436329,-0.5066320566718164,21.0381147818893,-1.6232491095764998
7,24.89,14.2,14.52,91.27,7,91.27,14.2,-0.09778361335193858,-0.48891806675969285,21.856708178486365,-1.566493485898056
8,24.89,14.32,14.32,89.99,8,89.99,14.32,-0.10001745329243135,-0.5000872664621567,21.42511763519447,-1.6022796017447503
9,24.89,14.24,14.45,90.83,9,90.83,14.24,-0.09855142738613937,-0.4927571369306968,21.7094965831423,-1.5787938667259527
10,24.89,14.27,14.37,90.39,10,90.39,14.27,-0.09931932684794383,-0.4965966342397191,21.57900619200851,-1.5910956161040601
11,24.89,14.06,14.61,92.2,11,92.2,14.06,-0.09616121909124802,-0.48080609545624003,22.26256161848994,-1.5405027298417933
12,24.89,14.04,14.61,92.28,12,92.28,14.04,-0.09602169945465704,-0.48010849727328514,22.31114360797582,-1.5382676252636056
13,24.89,14.23,14.43,90.79,13,90.79,14.23,-0.09862123357850544,-0.49310616789252715,21.71798823120937,-1.579912161927657
14,24.89,13.92,14.55,92.54,14,92.54,13.92,-0.0955683156086988,-0.477841578043494,22.56335904833822,-1.5310044160513547
15,24.89,13.82,14.84,94.08,15,94.08,13.82,-0.09288507325312333,-0.4644253662656166,23.033438169124114,-1.4880188735150357
16,24.89,13.77,14.75,93.92,16,93.92,13.77,-0.09316364559743315,-0.4658182279871657,23.090296752083738,-1.492481602470879
17,24.89,13.81,14.69,93.56,17,93.56,13.81,-0.09379062498131158,-0.4689531249065579,22.950192248408385,-1.5025258122006113
18,24.89,13.99,14.51,92.1,18,92.1,13.99,-0.09633562912934439,-0.4816781456467219,22.36047467236526,-1.543296778652097
19,24.89,13.96,14.66,92.77,19,92.77,13.96,-0.09516732105472836,-0.4758366052736418,22.539536720009174,-1.5245804832967482
20,24.89,14.02,14.59,92.28,20,92.28,14.02,-0.09602169945465704,-0.48010849727328514,22.344587480041486,-1.5382676252636056
21,24.89,14.23,14.36,90.52,21,90.52,14.23,-0.09909244124813249,-0.4954622062406624,21.6671701494162,-1.5874609087950824
22,24.89,14.12,14.48,91.46,22,91.46,14.12,-0.09745209504830997,-0.4872604752415498,22.02283548773827,-1.5611825626739257
23,24.89,14.17,14.37,90.81,23,90.81,14.17,-0.09858633039619674,-0.49293165198098365,21.818353241944664,-1.5793530129470719
24,24.89,14.21,14.36,90.62,24,90.62,14.21,-0.09891791698179232,-0.4945895849089616,21.718044427056647,-1.584665030048313
25,24.89,14.13,14.42,91.16,25,91.16,14.13,-0.09797555637524649,-0.48987778187623243,21.949590938990678,-1.5695684131314487
26,24.89,14.06,14.51,91.82,26,91.82,14.06,-0.09682403492351366,-0.4841201746175683,22.19017118207868,-1.5511210394746888
27,24.89,14.27,14.35,90.35,27,90.35,14.27,-0.09938913856093219,-0.49694569280466094,21.5714994034215,-1.5922139997461338
28,24.89,14.24,14.42,90.72,28,90.72,14.24,-0.09874339601166474,-0.49371698005832365,21.68880871146449,-1.581869204106869
29,24.89,14.15,14.52,91.46,29,91.46,14.15,-0.09745209504830997,-0.4872604752415498,21.97379397055987,-1.5611825626739257
30,24.89,14.1,14.57,91.89,30,91.89,14.1,-0.096701925908535,-0.483509629542675,22.13733804046321,-1.5491648530547308
31,24.89,14.0,14.6,92.42,31,92.42,14.0,-0.09577755891687523,-0.47888779458437614,22.404915796592167,-1.5343564938483412
32,24.89,14.21,14.33,90.47,32,90.47,14.21,-0.09917970445124785,-0.4958985222562392,21.68976984482265,-1.5888588653089906
33,24.89,14.08,14.42,91.35,33,91.35,14.08,-0.097644023516639,-0.488220117583195,22.067634440354603,-1.564257256736557
34,24.89,13.98,14.59,92.45,34,92.45,13.98,-0.09572524631756779,-0.4786262315878389,22.44434850429212,-1.533518446007436
35,24.89,14.13,14.34,90.85,35,90.85,14.13,-0.09851652455258618,-0.49258262276293086,21.89081572352382,-1.5782347233324305
36,24.89,13.94,14.66,92.9,36,92.9,13.94,-0.09494070599232866,-0.4747035299616433,22.59849983459019,-1.5209501099971052
37,24.89,14.18,14.44,91.06,37,91.06,14.18,-0.09815005652654984,-0.4907502826327492,21.8494184532306,-1.5723639055553285
