FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,21.51,15.13,13.91,85.19,0,85.19,15.13,-0.10838517628706115,-0.5419258814353057,19.37785268893001,-1.7363305241187197
1,21.51,15.13,13.91,85.19,1,85.19,15.13,-0.10838517628706115,-0.5419258814353057,19.37785268893001,-1.7363305241187197
2,21.51,15.02,14.02,86.06,2,86.06,15.02,-0.10687117890561988,-0.5343558945280994,19.680803332584308,-1.7120762860680305
3,21.51,14.79,14.24,87.84,3,87.84,14.79,-0.10376901826699346,-0.5188450913349673,20.3229218513175,-1.662379672637235
4,21.51,14.65,14.39,88.96,4,88.96,14.65,-0.10181504274994949,-0.5090752137497474,20.730990988481352,-1.6310769848541906
5,21.51,14.6,14.44,89.36,5,89.36,14.6,-0.10111698749294223,-0.5055849374647111,20.87873883959537,-1.6198941396369346
6,21.51,14.6,14.44,89.37,6,89.37,14.6,-0.10109953527232184,-0.5054976763616091,20.880570973732475,-1.6196145550625958
7,21.51,14.47,14.57,90.4,7,90.4,14.47,-0.09930187397020383,-0.4965093698510191,21.267909893361274,-1.5908160210026654
8,21.51,14.55,14.49,89.74,8,89.74,14.55,-0.10045378404811756,-0.5022689202405878,21.02387882734636,-1.6092696204508432
9,21.51,14.54,14.49,89.79,9,89.79,14.54,-0.1003665183223057,-0.5018325916115285,21.048248259536678,-1.6078716235233372
10,21.51,14.37,14.66,91.15,10,91.15,14.37,-0.0979930061216411,-0.48996503060820545,21.562969311084718,-1.5698479580686904
11,21.51,14.33,14.7,91.46,11,91.46,14.33,-0.09745209504830997,-0.4872604752415498,21.684060995183447,-1.5611825626739257
12,21.51,14.37,14.66,91.14,12,91.14,14.37,-0.09801045592917224,-0.4900522796458612,21.561106654465483,-1.570127503985339
13,21.51,14.5,14.53,90.11,13,90.11,14.5,-0.09980801390022,-0.49904006950109997,21.168224437259052,-1.5989243826815243
14,21.51,14.76,14.28,88.1,14,88.1,14.76,-0.10331551783885265,-0.5165775891942632,20.41329367610945,-1.6551145957784195
15,21.51,14.66,14.38,88.92,15,88.92,14.66,-0.10188484397154084,-0.5094242198577041,20.7088652870862,-1.632195200424084
16,21.51,14.73,14.31,88.33,16,88.33,14.73,-0.10291428717235447,-0.5145714358617723,20.498614551290437,-1.6486868805011186
17,21.51,14.56,14.48,89.68,17,89.68,14.56,-0.10055850245708282,-0.5027925122854141,20.99770699890996,-1.6109472093624668
18,21.51,14.86,14.18,87.3,18,87.3,14.86,-0.10471064507096427,-0.5235532253548213,20.1255500632884,-1.6774645340368475
19,21.51,14.69,14.34,88.62,19,88.62,14.69,-0.10240832150205709,-0.5120416075102854,20.60991776749965,-1.6405813104629545
20,21.51,14.81,14.23,87.73,20,87.73,14.81,-0.10396086100934193,-0.5198043050467096,20.27431389319086,-1.6654529933696578
21,21.51,14.65,14.39,88.95,21,88.95,14.65,-0.10183249313961029,-0.5091624656980515,20.729165603367246,-1.6313565400965568
22,21.51,14.76,14.28,88.12,22,88.12,14.76,-0.10328063024361232,-0.5164031512180616,20.41691455519187,-1.6545556965026693
23,21.51,14.82,14.22,87.64,23,87.64,14.82,-0.10411781242603349,-0.5205890621301674,20.243754171192293,-1.6679673550650564
24,21.51,14.85,14.19,87.39,24,87.39,14.85,-0.10455373406931848,-0.5227686703465924,20.15593608917654,-1.6749508197904819
25,21.51,14.9,14.13,86.95,25,86.95,14.9,-0.10532074048737364,-0.5266037024368682,20.00623633308053,-1.6872382626077256
26,21.51,14.98,14.06,86.35,26,86.35,14.98,-0.1063661438131613,-0.5318307190658065,19.787471138196082,-1.703985623886844
27,21.51,14.57,14.47,89.63,27,89.63,14.57,-0.10064576733490443,-0.5032288366745221,20.973409036374566,-1.612345192705169
