FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,21.52,15.26,13.78,84.13,0,84.13,15.26,-0.11022716975433396,-0.5511358487716698,19.020424414962317,-1.7658392594644299
1,21.52,15.26,13.78,84.13,1,84.13,15.26,-0.11022716975433396,-0.5511358487716698,19.020424414962317,-1.7658392594644299
2,21.52,14.49,14.5,90.03,2,90.03,14.49,-0.09994764012483265,-0.4997382006241632,21.16877753727408,-1.601161194799819
3,21.52,14.53,14.37,89.37,3,89.37,14.53,-0.10109953527232184,-0.5054976763616091,20.986104329209294,-1.6196145550625958
4,21.52,14.54,14.43,89.58,4,89.58,14.54,-0.10073303172094605,-0.5036651586047303,21.00960511741344,-1.6137431681695558
5,21.52,14.53,14.44,89.65,5,89.65,14.53,-0.10061086143906783,-0.5030543071953392,21.037664591080297,-1.6117860002538666
6,21.52,14.51,14.51,90.01,6,90.01,14.51,-0.09998254670756866,-0.49991273353784327,21.134477050969696,-1.60172039825525
7,21.52,14.57,14.4,89.35,7,89.35,14.57,-0.10113443967953724,-0.5056721983976862,20.921997411791875,-1.6201737236661866
8,21.52,14.39,14.58,90.76,8,90.76,14.39,-0.09867358866563673,-0.4933679433281836,21.458973508395996,-1.5807508904235004
9,21.52,14.52,14.42,89.6,9,89.6,14.52,-0.10069812602979616,-0.5034906301489808,21.043651002439283,-1.6131839789973346
10,21.52,14.46,14.49,90.12,10,90.12,14.46,-0.09979056064287806,-0.4989528032143903,21.231519733358727,-1.5986447814989064
11,21.52,14.47,14.45,89.9,11,89.9,14.47,-0.10017453283658984,-0.5008726641829492,21.175434539928307,-1.604796016042169
12,21.52,14.37,14.58,90.83,12,90.83,14.37,-0.09855142738613937,-0.4927571369306968,21.50336137198393,-1.5787938667259527
13,21.52,14.78,14.12,87.41,13,87.41,14.78,-0.10451886341834876,-0.5225943170917438,20.259622421375568,-1.674392191961947
14,21.52,14.63,14.29,88.63,14,88.63,14.63,-0.10239087323514473,-0.5119543661757237,20.70039279130678,-1.6403017892270186
15,21.52,14.73,14.2,87.9,15,87.9,14.73,-0.10366437087065564,-0.5183218543532782,20.420599375090788,-1.6607032213479032
16,21.52,14.5,14.43,89.72,16,89.72,14.5,-0.10048869024540247,-0.5024434512270123,21.096249979516397,-1.6098288177313476
17,21.52,14.45,14.47,90.07,17,90.07,14.45,-0.0998778269827535,-0.4993891349137675,21.237676825103318,-1.6000427882637112
18,21.52,14.56,14.39,89.32,18,89.32,14.56,-0.10118679602985375,-0.5059339801492687,20.93155865710109,-1.621012472398257
19,21.52,14.49,14.41,89.66,19,89.66,14.49,-0.10059340846297189,-0.5029670423148594,21.100444795289857,-1.6115064035768096
20,21.52,14.52,14.35,89.32,20,89.32,14.52,-0.10118679602985375,-0.5059339801492687,20.992053891324755,-1.621012472398257
21,21.52,14.55,14.37,89.3,21,89.3,14.55,-0.10122170008352471,-0.5061085004176236,20.942972388700234,-1.6215716353380658
22,21.52,14.5,14.4,89.59,22,89.59,14.5,-0.10071557888627002,-0.50357789443135,21.072258860962055,-1.6134635737580456
23,21.52,14.57,14.35,89.16,23,89.16,14.57,-0.10146602405296608,-0.5073301202648304,20.887112500641404,-1.6254857053285166
24,21.52,14.36,14.54,90.71,24,90.71,14.36,-0.09876084794519667,-0.4938042397259833,21.496708496594444,-1.5821487840820505
25,21.52,14.6,14.3,88.78,25,88.78,14.6,-0.10212914078948741,-0.510645703947437,20.772482985574392,-1.6361088354475883
26,21.52,14.71,14.19,87.97,26,87.97,14.71,-0.1035422771708015,-0.5177113858540074,20.462427513253374,-1.65874728027624
27,21.52,14.4,14.52,90.49,27,90.49,14.4,-0.09914479909131735,-0.4957239954565867,21.39314498542988,-1.5882996814429038
28,21.52,14.58,14.34,89.06,28,89.06,14.58,-0.1016405359001362,-0.508202679500681,20.85373917008564,-1.628281385120182
29,21.52,14.52,14.38,89.47,29,89.47,14.52,-0.1009250113116797,-0.5046250565583985,21.019694907122982,-1.616818681213109
30,21.52,14.22,14.7,91.87,30,91.87,14.22,-0.09673681370417408,-0.4836840685208704,21.93740437854877,-1.5497237555408687
31,21.52,14.25,14.65,91.57,31,91.57,14.25,-0.09726017597122648,-0.48630087985613235,21.83255182017556,-1.5581080190590482
32,21.52,14.4,14.48,90.31,32,90.31,14.4,-0.09945895057164694,-0.4972947528582347,21.35968462126867,-1.5933323881577839
33,21.52,14.32,14.56,90.95,33,90.95,14.32,-0.09834201318123026,-0.49171006590615124,21.604615806730898,-1.5754390511633087
34,21.52,14.4,14.5,90.37,34,90.37,14.4,-0.0993542326650956,-0.496771163325478,21.37083815549277,-1.5916548072948316
35,21.52,14.43,14.47,90.15,35,90.15,14.43,-0.0997382009112582,-0.498691004556291,21.28340586204533,-1.5978059785983565
36,21.52,14.51,14.41,89.61,36,89.61,14.51,-0.10068067315205619,-0.5034033657602809,21.060710801690814,-1.61290438389594
37,21.52,14.42,14.43,90.07,37,90.07,14.42,-0.0998778269827535,-0.4993891349137675,21.284045275793922,-1.6000427882637112
38,21.52,14.64,14.23,88.39,38,88.39,14.64,-0.10280961031748492,-0.5140480515874246,20.641731076437317,-1.6470099572861083
39,21.52,14.4,14.5,90.4,39,90.4,14.4,-0.09930187397020383,-0.4965093698510191,21.376414895084274,-1.5908160210026654
40,21.52,14.64,14.23,88.39,40,88.39,14.64,-0.10280961031748492,-0.5140480515874246,20.641731076437317,-1.6470099572861083
41,21.52,14.24,14.63,91.56,41,91.56,14.24,-0.09727762275338246,-0.48638811376691227,21.846770612754977,-1.558387516509187
42,21.52,14.6,14.27,88.69,42,88.69,14.6,-0.10228618212283994,-0.5114309106141997,20.7559967862517,-1.6386246376078957
43,21.52,14.51,14.36,89.41,43,89.41,14.51,-0.10102972606021893,-0.5051486303010946,21.023828766869816,-1.6184962114847072
44,21.52,14.61,14.31,88.81,44,88.81,14.61,-0.10207679249180267,-0.5103839624590133,20.763062360487723,-1.6352702157186787
45,21.52,14.54,14.36,89.26,45,89.26,14.54,-0.10129150774003243,-0.5064575387001621,20.950722500139317,-1.6226899539953195
46,21.52,14.31,14.57,91.02,46,91.02,14.31,-0.09821985819470866,-0.49109929097354327,21.63356193656605,-1.5734821282792326
47,21.52,14.51,14.39,89.51,47,89.51,14.51,-0.10085520090868268,-0.5042760045434134,21.042269646649277,-1.6157003185570964
48,21.52,14.41,14.42,90.01,48,90.01,14.41,-0.09998254670756866,-0.49991273353784327,21.288400748106955,-1.60172039825525
49,21.52,14.47,14.36,89.57,49,89.57,14.47,-0.1007504845332927,-0.5037524226664635,21.114401141008642,-1.614022762223349
50,21.52,14.28,14.59,91.21,50,91.21,14.28,-0.09788830857892555,-0.48944154289462777,21.716903740867362,-1.5681707034343872
51,21.52,14.44,14.36,89.67,51,89.67,14.44,-0.10057595546879966,-0.5028797773439982,21.17896884179655,-1.6112268066101705
52,21.52,14.65,14.2,88.18,52,88.18,14.65,-0.10317596507648635,-0.5158798253824317,20.5886327142766,-1.6528789605253114
53,21.52,14.52,14.28,89.04,53,89.04,14.52,-0.10167543768689813,-0.5083771884344906,20.94045977285885,-1.628840511744108
54,21.52,14.45,14.38,89.71,54,89.71,14.45,-0.10050614332198123,-0.5025307166099061,21.170997660294827,-1.6101084160181391
55,21.52,14.36,14.45,90.38,55,90.38,14.36,-0.0993367797464183,-0.49668389873209146,21.435186482024392,-1.5913752115376212
56,21.52,14.82,14.03,86.86,56,86.86,14.82,-0.10547759098534336,-0.5273879549267168,20.10322570751291,-1.6897510075852005
57,21.52,14.75,14.06,87.24,57,87.24,14.75,-0.10481524597204345,-0.5240762298602172,20.27203994628694,-1.679140240472136
58,21.52,14.91,13.89,85.96,58,85.96,14.91,-0.1070452887775387,-0.5352264438876935,19.815076882985302,-1.71486552621617
59,21.52,14.82,14.0,86.74,59,86.74,14.82,-0.10568670389177695,-0.5284335194588847,20.081614603796464,-1.6931009963462667
60,21.52,14.79,13.99,86.83,60,86.83,14.79,-0.1055298715003527,-0.5276493575017634,20.14055675108124,-1.6905885414356503
61,21.52,14.71,14.1,87.57,61,87.57,14.71,-0.10423987874555843,-0.5211993937277921,20.389767495357283,-1.669922857503846
62,21.52,14.8,13.98,86.74,62,86.74,14.8,-0.10568670389177695,-0.5284335194588847,20.110060879840283,-1.6931009963462667
63,21.52,14.89,13.99,86.41,63,86.41,14.89,-0.10626163300495038,-0.5313081650247519,19.923557708133167,-1.702311360739305
64,21.52,14.9,13.95,86.25,64,86.25,14.9,-0.10654031292301432,-0.5327015646150716,19.880906832476203,-1.7067758130266892
65,21.52,14.78,14.03,87.03,65,87.03,14.78,-0.10518130678910623,-0.5259065339455311,20.190966934704182,-1.6850045347614817
66,21.52,14.84,13.95,86.45,66,86.45,14.84,-0.10619195531093018,-0.5309597765546509,20.001106272010993,-1.7011951240811014
67,21.52,14.66,14.1,87.74,67,87.74,14.66,-0.10394342135268614,-0.5197171067634306,20.493683356921014,-1.6651736100700318
