FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,24.52,15.13,13.91,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,24.52,15.13,13.91,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,24.52,15.19,13.84,84.67,2,84.67,15.19,-0.10928919349935816,-0.5464459674967908,19.206665646373867,-1.7508128798597176
3,24.52,15.1,13.94,85.41,3,85.41,15.1,-0.1080024952374809,-0.5400124761874044,19.456954378875473,-1.730199973704444
4,24.52,15.1,13.94,85.42,4,85.42,15.1,-0.1079850977983059,-0.5399254889915295,19.45871742876904,-1.7299212667288604
5,24.52,15.09,13.95,85.51,5,85.51,15.09,-0.10782850996352894,-0.5391425498176446,19.488102685072242,-1.7274127296157336
6,24.52,15.22,13.82,84.48,6,84.48,15.22,-0.10961932054943778,-0.5480966027471889,19.133851004377323,-1.7561015152019932
7,24.52,15.09,13.95,85.52,7,85.52,15.09,-0.10781111011580335,-0.5390555505790168,19.489867202894924,-1.7271339840551696
8,24.52,15.14,13.9,85.11,8,85.11,15.14,-0.10852430267782234,-0.5426215133891117,19.350389478062734,-1.7385593288987138
9,24.52,14.98,14.05,86.33,9,86.33,14.98,-0.10640097920350058,-0.5320048960175029,19.78391130473255,-1.7045436868400794
10,24.52,15.04,13.99,85.86,10,85.86,15.04,-0.10721937718828607,-0.5360968859414303,19.617955296394978,-1.7176544225563428
11,24.52,15.04,13.99,85.85,11,85.85,15.04,-0.10723678482857912,-0.5361839241428956,19.6161838408197,-1.7179332929538376
12,24.52,15.06,13.98,85.74,12,85.74,15.06,-0.10742825420577401,-0.53714127102887,19.569439992105973,-1.7210006323764997
13,24.52,15.02,14.02,86.08,13,86.08,15.02,-0.10683635440256688,-0.5341817720128343,19.684352125518767,-1.7115183975291213
14,24.52,14.91,14.13,86.94,14,86.94,14.91,-0.10533816897587606,-0.5266908448793802,19.990385948538062,-1.6875174669935344
15,24.52,15.04,14.0,85.91,15,85.91,15.04,-0.10713233569870434,-0.5356616784935216,19.626812908880304,-1.7162600178932435
16,24.52,14.98,14.06,86.38,16,86.38,14.98,-0.10631388927455013,-0.5315694463727506,19.7928110368841,-1.703148506178293
17,24.52,15.08,13.96,85.56,17,85.56,15.08,-0.10774150835080117,-0.5387075417540058,19.510467084946757,-1.7260189637798347
18,24.52,15.15,13.89,85.06,18,85.06,15.15,-0.10861124825014908,-0.5430562412507454,19.3282339039,-1.7399521969673881
19,24.52,15.04,14.0,85.88,19,85.88,15.04,-0.10718456124848584,-0.5359228062424292,19.621498274629204,-1.7170966712007432
20,24.52,15.27,13.77,84.09,20,84.09,15.27,-0.1102966143613121,-0.5514830718065605,19.00042973356556,-1.7669517620682198
21,24.52,15.15,13.89,85.03,21,85.03,15.15,-0.10866341245001927,-0.5433170622500963,19.322965873008513,-1.7407878674493087
22,24.52,15.08,13.96,85.58,22,85.58,15.08,-0.10770670605126093,-0.5385335302563046,19.513998835944257,-1.7254614309412
23,24.52,15.13,13.91,85.16,23,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
24,24.52,15.11,13.93,85.34,24,85.34,15.11,-0.10812427045647055,-0.5406213522823528,19.43113649274099,-1.7321508127126581
25,24.52,15.03,14.01,85.95,25,85.95,15.03,-0.10706269859311666,-0.5353134929655833,19.647583428439585,-1.715144431461729
26,24.52,15.06,13.97,85.7,26,85.7,15.06,-0.10749787268263278,-0.5374893634131639,19.5623652543265,-1.722115920375777
27,24.52,15.13,13.91,85.17,27,85.17,15.13,-0.10841995942790926,-0.5420997971395463,19.374335097929723,-1.7368877500351063
28,24.52,14.95,14.09,86.63,28,86.63,14.95,-0.10587836883186007,-0.5293918441593003,19.879026063188302,-1.6961714686863982
29,24.52,15.0,14.04,86.23,29,86.23,15.0,-0.10657514437121014,-0.5328757218560507,19.738503612293375,-1.7073338128267865
30,24.52,15.06,13.97,85.69,30,85.69,15.06,-0.10751527673217726,-0.5375763836608862,19.56059662777241,-1.7223947332494796
31,24.52,14.99,14.05,86.29,31,86.29,14.99,-0.10647064764011496,-0.5323532382005748,19.76296992123149,-1.7056597751946416
32,24.52,15.03,14.01,85.97,32,85.97,15.03,-0.10702787874734897,-0.5351393937367448,19.65112927374631,-1.7145866175325304
33,24.52,15.16,13.88,84.97,33,84.97,15.16,-0.10876773371008826,-0.5438386685504413,19.29909095881529,-1.742459094035614
34,24.52,15.09,13.95,85.49,34,85.49,15.09,-0.10786330894303997,-0.5393165447151999,19.484573722030333,-1.7279702092675002
35,24.52,15.06,13.97,85.69,35,85.69,15.06,-0.10751527673217726,-0.5375763836608862,19.56059662777241,-1.7223947332494796
36,24.52,15.31,13.72,83.73,36,83.73,15.31,-0.11092138593334147,-0.5546069296667073,18.88606473251056,-1.7769606026521303
37,24.52,15.28,13.76,84.02,37,84.02,15.28,-0.11041813032753184,-0.5520906516376591,18.97525058922821,-1.76889844784706
38,24.52,15.13,13.91,85.2,38,85.2,15.13,-0.10836778433323156,-0.5418389216661578,19.37961152320364,-1.7360519050183696
39,24.52,15.12,13.91,85.22,39,85.22,15.12,-0.10833299966141036,-0.5416649983070517,19.396554655792798,-1.7354946545757939
40,24.52,15.27,13.77,84.06,40,84.06,15.27,-0.11034869452504226,-0.5517434726252113,18.995213456122034,-1.767786086291177
41,24.52,15.23,13.8,84.36,41,84.36,15.23,-0.10982776757197799,-0.5491388378598899,19.099762944864846,-1.7594408365030874
42,24.52,15.09,13.95,85.48,42,85.48,15.09,-0.10788070807376536,-0.5394035403688268,19.482809276918612,-1.728248943341721
43,24.52,15.09,13.95,85.52,43,85.52,15.09,-0.10781111011580335,-0.5390555505790168,19.489867202894924,-1.7271339840551696
44,24.52,14.93,14.11,86.75,44,86.75,14.93,-0.10566927875633776,-0.5283463937816888,19.928371448277147,-1.692821845676531
45,24.52,15.3,13.74,83.84,45,83.84,15.3,-0.11073052811402867,-0.5536526405701433,18.918062220309064,-1.7739030603867392
46,24.52,15.2,13.84,84.65,46,84.65,15.2,-0.10932394858855005,-0.5466197429427502,19.189937726085564,-1.7513696563885717
47,24.52,15.06,13.98,85.74,47,85.74,15.06,-0.10742825420577401,-0.53714127102887,19.569439992105973,-1.7210006323764997
48,24.52,15.26,13.77,84.13,48,84.13,15.26,-0.11022716975433396,-0.5511358487716698,19.020424414962317,-1.7658392594644299
49,24.52,15.13,13.9,85.15,49,85.15,15.13,-0.10845474154281087,-0.5422737077140544,19.37081761068259,-1.7374449595158301
50,24.52,15.12,13.92,85.27,50,85.27,15.12,-0.1082460335489697,-0.5412301677448484,19.405355560226933,-1.7341014574544944
51,24.52,15.34,13.7,83.55,51,83.55,15.34,-0.11123361157615358,-0.5561680578807678,18.816285573189003,-1.7819624574499804
52,24.52,15.09,13.95,85.48,52,85.48,15.09,-0.10788070807376536,-0.5394035403688268,19.482809276918612,-1.728248943341721
53,24.52,15.29,13.75,83.91,53,83.91,15.29,-0.11060905250085938,-0.5530452625042969,18.943163772790722,-1.7719570210637672
54,24.52,15.11,13.93,85.34,54,85.34,15.11,-0.10812427045647055,-0.5406213522823528,19.43113649274099,-1.7321508127126581
55,24.52,15.11,13.93,85.33,55,85.33,15.11,-0.10814166593064783,-0.5407083296532391,19.4293748638268,-1.7324294882089784
56,24.52,15.19,13.85,84.69,56,84.69,15.19,-0.10925443727830625,-0.5462721863915312,19.210165978259223,-1.750256085198466
57,24.52,15.22,13.81,84.44,57,84.44,15.22,-0.10968880762377993,-0.5484440381188996,19.126867337069122,-1.7572146981329544
58,24.52,15.33,13.71,83.62,58,83.62,15.33,-0.11111220349784937,-0.5555610174892468,18.841242491446007,-1.7800175000355467
59,24.52,15.19,13.84,84.68,59,84.68,15.19,-0.10927181553005,-0.5463590776502499,19.208415798094368,-1.7505344847914008
60,24.52,15.26,13.78,84.16,60,84.16,15.26,-0.11017508302610664,-0.5508754151305332,19.025644928752342,-1.7650048300782284
61,24.52,15.19,13.85,84.73,61,84.73,15.19,-0.10918492145756212,-0.5459246072878106,19.21716698229599,-1.749142441750145
62,24.52,15.27,13.76,84.05,62,84.05,15.27,-0.11036605394984554,-0.5518302697492277,18.99347476005143,-1.7680641842765255
63,24.52,15.33,13.71,83.63,63,83.63,15.33,-0.11109485812844798,-0.5554742906422399,18.842972663098422,-1.7797396272177366
64,24.52,15.32,13.72,83.66,64,83.66,15.32,-0.11104281999454511,-0.5552140999727255,18.861040566350088,-1.7789059763126127
65,24.52,15.1,13.94,85.44,65,85.44,15.1,-0.10795030219076598,-0.5397515109538299,19.46224360245201,-1.729363841096071
66,24.52,15.12,13.91,85.23,66,85.23,15.12,-0.10831560694447831,-0.5415780347223915,19.398314785517734,-1.7352160232505425
67,24.52,15.03,14.0,85.95,67,85.95,15.03,-0.10706269859311666,-0.5353134929655833,19.647583428439585,-1.715144431461729
68,24.52,15.27,13.77,84.09,68,84.09,15.27,-0.1102966143613121,-0.5514830718065605,19.00042973356556,-1.7669517620682198
69,24.52,15.12,13.92,85.26,69,85.26,15.12,-0.10826342727595427,-0.5413171363797713,19.403595328285448,-1.7343801049607874
70,24.52,15.21,13.83,84.56,70,84.56,15.21,-0.10948033236960293,-0.5474016618480146,19.161000321877804,-1.753874924561039
71,24.52,15.21,13.83,84.57,71,84.57,15.21,-0.10946295754202306,-0.5473147877101153,19.16274774817237,-1.7535965798232094
72,24.52,15.22,13.82,84.5,72,84.5,15.22,-0.10958457525202242,-0.547922876260112,19.137343014941457,-1.7555448955373991
73,24.52,15.21,13.83,84.54,73,84.54,15.21,-0.10951508115787117,-0.5475754057893558,19.157505556473925,-1.7544316001490963
74,24.52,15.01,14.03,86.13,74,86.13,15.01,-0.10674928950988967,-0.5337464475494483,19.70696893646775,-1.7101236179484325
75,24.52,15.17,13.87,84.85,75,84.85,15.17,-0.10897634727115056,-0.5448817363557528,19.264731090380426,-1.745801083283832
76,24.52,15.12,13.91,85.23,76,85.23,15.12,-0.10831560694447831,-0.5415780347223915,19.398314785517734,-1.7352160232505425
77,24.52,15.19,13.85,84.71,77,84.71,15.19,-0.10921967992962921,-0.546098399648146,19.213666423708766,-1.7496992724726599
78,24.52,15.31,13.73,83.8,78,83.8,15.31,-0.11079993557060229,-0.5539996778530114,18.898195768184806,-1.7750149678410487
79,24.52,15.2,13.84,84.64,79,84.64,15.2,-0.10934132570737508,-0.5467066285368753,19.188188865514753,-1.7516480378321486
80,24.52,15.48,13.56,82.45,80,82.45,15.48,-0.11313913412686981,-0.565695670634349,18.450106107224777,-1.8124889287124544
81,24.52,15.36,13.68,83.38,81,83.38,15.36,-0.11152838959926409,-0.5576419479963204,18.761301143767458,-1.7866848013802106
82,24.52,15.27,13.77,84.11,82,84.11,15.27,-0.1102618926830133,-0.5513094634150665,19.003907409024684,-1.766395520781873
83,24.52,15.29,13.74,83.89,83,83.89,15.29,-0.11064376144268842,-0.5532188072134421,18.939692132893835,-1.7725130583118685
84,24.52,15.08,13.96,85.59,84,85.59,15.08,-0.10768930454908619,-0.5384465227454309,19.515764747205164,-1.7251826588763608
85,24.52,15.25,13.79,84.25,85,84.25,15.25,-0.11001880616120763,-0.5500940308060381,19.05437954972575,-1.7625012747025461
86,24.52,15.25,13.78,84.2,86,84.2,15.25,-0.11010562971829463,-0.5505281485914731,19.04567148248412,-1.76389218808708
87,24.52,15.15,13.89,85.03,87,85.03,15.15,-0.10866341245001927,-0.5433170622500963,19.322965873008513,-1.7407878674493087
88,24.52,15.32,13.72,83.67,88,83.67,15.32,-0.11102547327643922,-0.5551273663821961,18.862772054689824,-1.7786280818885563
89,24.52,15.16,13.88,84.97,89,84.97,15.16,-0.10876773371008826,-0.5438386685504413,19.29909095881529,-1.742459094035614
90,24.52,15.47,13.57,82.49,90,82.49,15.47,-0.11306992300029753,-0.5653496150014876,18.469422297403515,-1.8113801664647664
91,24.52,15.42,13.62,82.87,91,82.87,15.42,-0.11241210435613924,-0.5620605217806962,18.597303904278185,-1.8008419117853507
92,24.52,15.28,13.76,84.03,92,84.03,15.28,-0.1104007718516191,-0.5520038592580955,18.976987999197103,-1.768620365062938
93,24.52,15.29,13.75,83.96,93,83.96,15.29,-0.11052227450005968,-0.5526113725002983,18.951843437276967,-1.770566837490956
94,24.52,15.45,13.59,82.64,94,82.64,15.45,-0.11281032481718696,-0.5640516240859348,18.520121937789252,-1.807221403571335
95,24.52,15.43,13.6,82.79,95,82.79,15.43,-0.11255063883354446,-0.5627531941677223,18.570967667903926,-1.8030612341133823
96,24.52,15.49,13.55,82.38,96,82.38,15.49,-0.11326023816880625,-0.5663011908440312,18.42569567898936,-1.814429015464276
97,24.52,15.35,13.69,83.48,97,83.48,15.35,-0.11135500288688634,-0.5567750144344317,18.791364322304428,-1.783907146247919
98,24.52,15.53,13.51,82.01,98,82.01,15.53,-0.11390002644584463,-0.5695001322292231,18.313093155024227,-1.824678423662431
99,24.52,15.39,13.65,83.15,99,83.15,15.39,-0.11192704489853916,-0.5596352244926958,18.683427162575416,-1.7930712592745974
100,24.52,15.5,13.54,82.26,100,82.26,15.5,-0.11346779894971526,-0.5673389947485763,18.39279320164745,-1.8177541391744385
101,24.52,15.41,13.63,82.95,101,82.95,15.41,-0.11227354568070147,-0.5613677284035073,18.623678274740392,-1.7986222018048375
102,24.52,15.42,13.61,82.87,102,82.87,15.42,-0.11241210435613924,-0.5620605217806962,18.597303904278185,-1.8008419117853507
103,24.52,15.28,13.76,84.04,103,84.04,15.28,-0.11038341305888073,-0.5519170652944037,18.978725440877085,-1.7683422772032693
104,24.52,15.24,13.79,84.29,104,84.29,15.24,-0.10994934181893923,-0.5497467090946961,19.07444067125093,-1.7613884559394064
105,24.52,15.45,13.58,82.63,105,82.63,15.45,-0.11282763411398467,-0.5641381705699233,18.518409395219592,-1.8074986985060344
106,24.52,15.29,13.74,83.9,106,83.9,15.29,-0.11062640713362332,-0.5531320356681165,18.94142793665386,-1.7722350422806454
107,24.52,15.38,13.66,83.2,107,83.2,15.38,-0.11184039683065011,-0.5592019841532505,18.70475348952447,-1.7916831572270147
108,24.52,15.28,13.76,84.01,108,84.01,15.28,-0.11043548848609018,-0.5521774424304509,18.973513211023313,-1.7691765255471645
109,24.52,15.33,13.71,83.61,109,83.61,15.33,-0.11112954852875367,-0.5556477426437684,18.839512353558113,-1.7802953674306339
110,24.52,15.34,13.69,83.5,110,83.5,15.34,-0.1113203213767907,-0.5566016068839534,18.807642316386744,-1.7833515484561868
111,24.52,15.36,13.68,83.35,111,83.35,15.36,-0.11158039878909874,-0.5579019939454937,18.756123918026898,-1.787517988601362
