FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,23.93,15.13,13.91,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,23.93,15.13,13.91,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,23.93,14.78,14.25,87.91,2,87.91,14.78,-0.10364692924415252,-0.5182346462207625,20.34998948929023,-1.6604238064913233
3,23.93,14.62,14.42,89.23,3,89.23,14.62,-0.10134386307118731,-0.5067193153559365,20.82500010382646,-1.6235286864004208
4,23.93,14.8,14.24,87.81,4,87.81,14.8,-0.10382134042238811,-0.5191067021119405,20.303112892665734,-1.6632178735666574
5,23.93,14.82,14.21,87.59,5,87.59,14.82,-0.10420500329206822,-0.521025016460341,20.234743293379253,-1.669364152738933
6,23.93,15.0,14.04,86.24,6,86.24,15.0,-0.10655772874699217,-0.5327886437349608,19.740280831464197,-1.7070548145268145
7,23.93,14.83,14.21,87.58,7,87.58,14.83,-0.1042224410831248,-0.521112205415624,20.218641160158132,-1.6696435061516592
8,23.93,14.82,14.22,87.66,8,87.66,14.82,-0.10408293519785101,-0.5204146759892551,20.24735861344528,-1.6674086218695732
9,23.93,14.87,14.16,87.19,9,87.19,14.87,-0.10490240936075612,-0.5245120468037806,20.09161755129832,-1.680536597959313
10,23.93,14.86,14.17,87.28,10,87.28,14.86,-0.10474551261763312,-0.5237275630881656,20.121956787268193,-1.6780231121344826
11,23.93,14.88,14.16,87.18,11,87.18,14.88,-0.10491984159261494,-0.5245992079630747,20.075673283017583,-1.6808158623136913
12,23.93,14.94,14.1,86.69,12,86.69,14.94,-0.1057738269599535,-0.5288691347997675,19.903681147748802,-1.6944967078984552
13,23.93,14.87,14.17,87.23,13,87.23,14.87,-0.10483267894527165,-0.5241633947263582,20.098798556635273,-1.6794195167032517
14,23.93,14.81,14.23,87.71,14,87.71,14.81,-0.1039957399601581,-0.5199786998007905,20.270706721680348,-1.6660117541617327
15,23.93,14.95,14.08,86.57,15,86.57,14.95,-0.10598290425741444,-0.5299145212870722,19.868321112706397,-1.6978461262037792
16,23.93,14.75,14.28,88.15,16,88.15,14.75,-0.10322829810257744,-0.5161414905128872,20.436861582908634,-1.6537173356032906
17,23.93,14.78,14.26,87.93,17,87.93,14.78,-0.10361204565840212,-0.5180602282920106,20.35360481652009,-1.659864971447602
18,23.93,14.94,14.09,86.65,18,86.65,14.94,-0.10584352225182465,-0.5292176112591233,19.896538995662965,-1.695613226474231
19,23.93,14.91,14.13,86.91,19,86.91,14.91,-0.1053904534636002,-0.5269522673180009,19.98501670340547,-1.688355064486875
20,23.93,14.94,14.1,86.69,20,86.69,14.94,-0.1057738269599535,-0.5288691347997675,19.903681147748802,-1.6944967078984552
21,23.93,15.18,13.86,84.81,21,84.81,15.18,-0.10904587642009984,-0.5452293821004992,19.24443557054214,-1.7469149402499995
22,23.93,15.08,13.96,85.59,22,85.59,15.08,-0.10768930454908619,-0.5384465227454309,19.515764747205164,-1.7251826588763608
23,23.93,15.11,13.93,85.33,23,85.33,15.11,-0.10814166593064783,-0.5407083296532391,19.4293748638268,-1.7324294882089784
24,23.93,15.02,14.02,86.03,24,86.03,15.02,-0.10692341408906283,-0.5346170704453141,19.675480303289365,-1.7129130937067865
25,23.93,15.23,13.8,84.36,25,84.36,15.23,-0.10982776757197799,-0.5491388378598899,19.099762944864846,-1.7594408365030874
26,23.93,15.23,13.81,84.41,26,84.41,15.23,-0.10974091983244012,-0.5487045991622006,19.108485412999613,-1.7580495357156907
27,23.93,15.13,13.91,85.21,27,85.21,15.13,-0.1083503921245047,-0.5417519606225235,19.38137038325483,-1.7357732818345653
28,23.93,15.29,13.75,83.94,28,83.94,15.29,-0.11055698666566083,-0.5527849333283041,18.9483714749336,-1.7711229263838864
29,23.93,15.17,13.86,84.83,29,84.83,15.17,-0.10901111239461357,-0.5450555619730678,19.261225028459446,-1.7463580205617093
30,23.93,15.27,13.76,84.05,30,84.05,15.27,-0.11036605394984554,-0.5518302697492277,18.99347476005143,-1.7680641842765255
31,23.93,15.34,13.7,83.56,31,83.56,15.34,-0.11121626858732687,-0.5560813429366344,18.818014327090488,-1.7816846227689764
32,23.93,15.28,13.76,84.01,32,84.01,15.28,-0.11043548848609018,-0.5521774424304509,18.973513211023313,-1.7691765255471645
33,23.93,15.16,13.88,84.95,33,84.95,15.16,-0.10880250533245035,-0.5440125266622517,19.295581819297308,-1.7430161354258547
34,23.93,15.28,13.75,83.96,34,83.96,15.28,-0.11052227450005968,-0.5526113725002983,18.964826798311186,-1.770566837490956
35,23.93,15.2,13.84,84.63,35,84.63,15.2,-0.10935870254164703,-0.5467935127082352,19.186440033581814,-1.7519264147171854
36,23.93,15.13,13.91,85.16,36,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
37,23.93,15.21,13.83,84.54,37,84.54,15.21,-0.10951508115787117,-0.5475754057893558,19.157505556473925,-1.7544316001490963
38,23.93,15.23,13.81,84.42,38,84.42,15.23,-0.10972354939223994,-0.5486177469611997,19.110229996243103,-1.7577712612636838
39,23.93,15.15,13.89,85.03,39,85.03,15.15,-0.10866341245001927,-0.5433170622500963,19.322965873008513,-1.7407878674493087
40,23.93,15.22,13.82,84.45,40,84.45,15.22,-0.10967143629657841,-0.548357181482892,19.128613209535704,-1.7569364094711861
41,23.93,15.17,13.87,84.86,41,84.86,15.17,-0.10895896429900154,-0.5447948214950077,19.266484162731512,-1.7455226080700046
42,23.93,15.2,13.83,84.59,42,84.59,15.2,-0.109428207022618,-0.54714103511309,19.179444993294144,-1.7530398765023403
43,23.93,15.25,13.79,84.25,43,84.25,15.25,-0.11001880616120763,-0.5500940308060381,19.05437954972575,-1.7625012747025461
44,23.93,15.26,13.78,84.16,44,84.16,15.26,-0.11017508302610664,-0.5508754151305332,19.025644928752342,-1.7650048300782284
45,23.93,15.3,13.74,83.83,45,83.83,15.3,-0.11074788046979939,-0.5537394023489969,18.916327799312015,-1.7741810451261861
46,23.93,15.17,13.87,84.86,46,84.86,15.17,-0.10895896429900154,-0.5447948214950077,19.266484162731512,-1.7455226080700046
47,23.93,15.32,13.71,83.65,47,83.65,15.32,-0.11106016637626744,-0.5553008318813372,18.85930911158698,-1.7791838653478043
48,23.93,15.17,13.86,84.84,48,84.84,15.17,-0.1089937299698644,-0.5449686498493219,19.262978045605273,-1.7460795541172276
49,23.93,15.41,13.63,82.99,49,82.99,15.41,-0.11220425735313333,-0.5610212867656666,18.63055212491512,-1.797512202797196
50,23.93,15.29,13.75,83.94,50,83.94,15.29,-0.11055698666566083,-0.5527849333283041,18.9483714749336,-1.7711229263838864
51,23.93,15.44,13.6,82.77,51,82.77,15.44,-0.11258526864030215,-0.5629263432015107,18.554954151580276,-1.8036160036176403
52,23.93,15.22,13.82,84.46,52,84.46,15.22,-0.10965406467476808,-0.5482703233738404,19.13035911161139,-1.7566581160897847
53,23.93,15.22,13.82,84.47,53,84.47,15.22,-0.10963669275887816,-0.5481834637943908,19.132105043242987,-1.756379817997228
54,23.93,15.21,13.83,84.57,54,84.57,15.21,-0.10946295754202306,-0.5473147877101153,19.16274774817237,-1.7535965798232094
55,23.93,15.12,13.92,85.27,55,85.27,15.12,-0.1082460335489697,-0.5412301677448484,19.405355560226933,-1.7341014574544944
56,23.93,15.23,13.81,84.38,56,84.38,15.23,-0.10979302937057195,-0.5489651468528597,19.103251842289644,-1.7588843305165627
57,23.93,15.26,13.77,84.12,57,84.12,15.26,-0.11024453137470674,-0.5512226568735337,19.01868430607742,-1.766117392622802
58,23.93,15.31,13.72,83.73,58,83.73,15.31,-0.11092138593334147,-0.5546069296667073,18.88606473251056,-1.7769606026521303
59,23.93,15.18,13.86,84.79,59,84.79,15.18,-0.10908063934337356,-0.5454031967168678,19.240932148753476,-1.7474718422808444
60,23.93,15.3,13.74,83.83,60,83.83,15.3,-0.11074788046979939,-0.5537394023489969,18.916327799312015,-1.7741810451261861
61,23.93,15.25,13.79,84.24,61,84.24,15.25,-0.11003617148512149,-0.5501808574256074,19.052637874846393,-1.7627794671916461
62,23.93,15.45,13.59,82.7,62,82.7,15.45,-0.11270646086013505,-0.5635323043006752,18.53039800214838,-1.8055575029793636
63,23.93,15.24,13.8,84.29,63,84.29,15.24,-0.10994934181893923,-0.5497467090946961,19.07444067125093,-1.7613884559394064
64,23.93,15.43,13.61,82.84,64,82.84,15.43,-0.11246405763538046,-0.5623202881769023,18.5795454332361,-1.801674203318795
65,23.93,15.39,13.65,83.17,65,83.17,15.39,-0.11189238675764408,-0.5594619337882204,18.686870150168474,-1.7925160358574581
66,23.93,15.35,13.69,83.48,66,83.48,15.35,-0.11135500288688634,-0.5567750144344317,18.791364322304428,-1.783907146247919
67,23.93,15.32,13.72,83.72,67,83.72,15.32,-0.11093873465865156,-0.5546936732932578,18.871429998191704,-1.777238529231598
68,23.93,15.3,13.73,83.81,68,83.81,15.3,-0.11078258419861475,-0.5539129209930738,18.91285905554439,-1.7747369988618082
69,23.93,15.08,13.96,85.57,69,85.57,15.08,-0.10772410731867593,-0.5386205365933796,19.512232948506856,-1.7257401992451884
70,23.93,15.34,13.69,83.5,70,83.5,15.34,-0.1113203213767907,-0.5566016068839534,18.807642316386744,-1.7833515484561868
71,23.93,15.09,13.94,85.46,71,85.46,15.09,-0.10791550561450587,-0.5395775280725293,19.479280459782366,-1.7288063999443841
72,23.93,15.04,14.0,85.91,72,85.91,15.04,-0.10713233569870434,-0.5356616784935216,19.626812908880304,-1.7162600178932435
73,23.93,15.31,13.73,83.75,73,83.75,15.31,-0.11088668748519646,-0.5544334374259823,18.88953057734457,-1.7764047335128472
74,23.93,15.18,13.85,84.76,74,84.76,15.18,-0.10913278165236978,-0.5456639082618489,19.23567722528199,-1.7483071620709638
75,23.93,15.21,13.83,84.55,75,84.55,15.21,-0.10949770690839543,-0.5474885345419771,19.159252924627236,-1.7541532646724947
76,23.93,15.39,13.65,83.11,76,83.11,15.39,-0.11199635681628382,-0.5599817840814191,18.676541620919615,-1.7941816361968668
77,23.93,15.49,13.55,82.38,77,82.38,15.49,-0.11326023816880625,-0.5663011908440312,18.42569567898936,-1.814429015464276
78,23.93,15.2,13.84,84.64,78,84.64,15.2,-0.10934132570737508,-0.5467066285368753,19.188188865514753,-1.7516480378321486
79,23.93,15.22,13.82,84.5,79,84.5,15.22,-0.10958457525202242,-0.547922876260112,19.137343014941457,-1.7555448955373991
80,23.93,15.29,13.75,83.95,80,83.95,15.29,-0.11053963074338798,-0.5526981537169399,18.950107440049067,-1.7708448845090754
81,23.93,15.34,13.7,83.56,81,83.56,15.34,-0.11121626858732687,-0.5560813429366344,18.818014327090488,-1.7816846227689764
82,23.93,15.44,13.59,82.71,82,82.71,15.44,-0.11268914884283705,-0.5634457442141853,18.544669515034855,-1.8052801644622496
83,23.93,15.47,13.57,82.53,83,82.53,15.47,-0.11300070550360351,-0.5650035275180175,18.47626125664073,-1.8102713021677281
84,23.93,15.35,13.69,83.45,84,83.45,15.35,-0.11140702255651064,-0.5570351127825531,18.78618252274019,-1.7847405013553004
85,23.93,15.45,13.59,82.65,85,82.65,15.45,-0.11279301513016443,-0.5639650756508221,18.521834518966866,-1.8069441023852342
86,23.93,15.53,13.51,82.02,86,82.02,15.53,-0.1138827423722637,-0.5694137118613185,18.314793987343226,-1.8244015328036645
87,23.93,15.5,13.54,82.29,87,82.29,15.5,-0.11341591425733573,-0.5670795712866786,18.397909232080234,-1.8169229464025183
88,23.93,15.31,13.73,83.78,88,83.78,15.31,-0.11083463732709425,-0.5541731866354712,18.89472959289748,-1.77557088998005
89,23.93,15.51,13.53,82.17,89,82.17,15.51,-0.11362343081632016,-0.5681171540816008,18.36505201328212,-1.820247361677449
90,23.93,15.52,13.52,82.14,90,82.14,15.52,-0.11367530065426908,-0.5683765032713454,18.347565732307284,-1.8210783164813906
91,23.93,15.54,13.5,82.0,91,82.0,15.54,-0.11391731009600654,-0.5695865504800327,18.29906647420544,-1.8249553077380247
92,23.93,15.48,13.56,82.43,92,82.43,15.48,-0.11317373729081873,-0.5658686864540936,18.446689490034657,-1.813043271398916
93,23.93,15.68,13.36,80.88,93,80.88,15.68,-0.1158502730052093,-0.5792513650260465,17.9399170299077,-1.8559213735434528
94,23.93,15.64,13.4,81.15,94,81.15,15.64,-0.11538481698727901,-0.576924084936395,18.03336509676041,-1.8484647681362096
95,23.93,15.55,13.49,81.87,95,81.87,15.55,-0.11414195877744544,-0.5707097938872272,18.264680412227136,-1.828554179614676
96,23.93,15.52,13.52,82.15,96,82.15,15.52,-0.11365801112415737,-0.5682900556207868,18.349268248352228,-1.820801338209001
97,23.93,15.47,13.57,82.48,97,82.48,15.47,-0.1130872263804572,-0.565436131902286,18.46771265580666,-1.8116573666149245
98,23.93,15.36,13.68,83.36,98,83.36,15.36,-0.11156306274454215,-0.5578153137227108,18.757849624895304,-1.7872402651675652
99,23.93,15.53,13.51,82.07,99,82.07,15.53,-0.11379631567150184,-0.5689815783575092,18.3232987721205,-1.8230169770574594
100,23.93,15.37,13.67,83.32,100,83.32,15.37,-0.11163240480410137,-0.5581620240205069,18.738179716086602,-1.788351124961704
101,23.93,15.49,13.55,82.39,101,82.39,15.49,-0.11324293879896075,-0.5662146939948037,18.427402615536167,-1.8141518795593512
102,23.93,15.18,13.85,84.75,102,84.75,15.18,-0.10915016186634026,-0.5457508093317013,19.233925640127993,-1.7485855930987708
103,23.93,15.29,13.75,83.93,103,83.93,15.29,-0.11057434226634943,-0.5528717113317472,18.946635541983476,-1.7714009631069179
104,23.93,15.57,13.47,81.75,104,81.75,15.57,-0.11434926219911792,-0.5717463109955896,18.219796118468004,-1.8318751804298692
105,23.93,15.38,13.65,83.18,105,83.18,15.38,-0.11187505714353839,-0.5593752857176919,18.701307943309846,-1.792238415439485
106,23.93,15.33,13.71,83.6,106,83.6,15.33,-0.11114689322063256,-0.5557344661031628,18.837782249487436,-1.7805732293945336
