FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,19.3,12.85,16.17,103.04,0,103.04,12.85,-0.07743687619000623,-0.38718438095003116,26.72328020031503,-1.2405387565639
1,19.3,12.85,16.17,103.04,1,103.04,12.85,-0.07743687619000623,-0.38718438095003116,26.72328020031503,-1.2405387565639
2,19.3,12.73,16.29,103.98,2,103.98,12.73,-0.07584168162350097,-0.3792084081175048,27.18265348103652,-1.2149837396084855
3,19.3,12.18,16.81,108.14,3,108.14,12.18,-0.06886600609687747,-0.3443300304843873,29.367817735099816,-1.1032334176719771
4,19.3,11.22,17.7,115.26,4,115.26,11.22,-0.057327340939410866,-0.2866367046970543,33.638234168561574,-0.9183840018493621
5,19.3,11.46,17.49,113.51,5,113.51,11.46,-0.060109087997149584,-0.3005454399857479,32.513530358211604,-0.9629475897143362
6,19.3,11.5,17.46,113.26,6,113.26,11.5,-0.06050957903112848,-0.3025478951556424,32.339437333355725,-0.9693634560786782
7,19.3,11.66,17.31,112.07,7,112.07,11.66,-0.062426091766715666,-0.3121304588335783,31.613845525429067,-1.0000659901027849
8,19.3,11.43,17.52,113.76,8,113.76,11.43,-0.05970935642863373,-0.29854678214316865,32.65845175140039,-0.9565438899867124
9,19.3,11.46,17.49,113.53,9,113.53,11.46,-0.06007708142242554,-0.3003854071121277,32.517868358056056,-0.9624348443872571
10,19.3,11.46,17.49,113.5,10,113.5,11.46,-0.06012509310747538,-0.3006254655373769,32.51136111121463,-0.9632039915817555
11,19.3,11.85,17.13,110.62,11,110.62,11.85,-0.0647831626619486,-0.32391581330974295,30.768487981504332,-1.0378262658444166
12,19.3,11.73,17.24,111.53,12,111.53,11.73,-0.06330116580377669,-0.31650582901888347,31.29814398097482,-1.0140846761765026
13,19.3,11.7,17.27,111.75,13,111.75,11.7,-0.06294425624901638,-0.31472128124508186,31.4305524451785,-1.0083669851092425
14,19.3,11.77,17.2,111.26,14,111.26,11.77,-0.06373993011776362,-0.3186996505888181,31.127599880952747,-1.0211136804865732
15,19.3,11.96,17.02,109.81,15,109.81,11.96,-0.06610978702419465,-0.3305489351209732,30.2969663570859,-1.0590787881275983
16,19.3,12.07,16.92,108.98,16,108.98,12.07,-0.06747619136165464,-0.3373809568082732,29.829420541534073,-1.0809685856137072
17,19.3,11.99,17.0,109.6,17,109.6,11.99,-0.06645484302497451,-0.33227421512487254,30.172120368896273,-1.0646065852600917
18,19.3,12.06,16.93,109.08,18,109.08,12.06,-0.06731119703450576,-0.3365559851725288,29.876787877696913,-1.0783253764927823
19,19.3,11.76,17.21,111.29,19,111.29,11.76,-0.06369113858541618,-0.31845569292708087,31.162090030384345,-1.0203320401383673
20,19.3,11.82,17.16,110.9,20,110.9,11.82,-0.06432620006803746,-0.3216310003401873,30.911176361162987,-1.03050572508996
21,19.3,12.02,16.97,109.38,21,109.38,12.02,-0.06681681351652356,-0.33408406758261777,30.045753416934012,-1.0704053525347075
22,19.3,11.75,17.22,111.37,22,111.37,11.75,-0.06356107653418244,-0.3178053826709122,31.207369072606443,-1.0182484460776027
23,19.3,11.75,17.22,111.36,23,111.36,11.75,-0.06357733041081018,-0.31788665205405087,31.205223737484182,-1.0185088331811791
24,19.3,11.9,17.08,110.25,24,110.25,11.9,-0.06538829429225071,-0.3269414714612535,30.552741372135586,-1.0475204745618563
25,19.3,11.85,17.13,110.62,25,110.62,11.85,-0.0647831626619486,-0.32391581330974295,30.768487981504332,-1.0378262658444166
26,19.3,11.7,17.27,111.8,26,111.8,11.7,-0.06286321644497653,-0.3143160822248826,31.441297284222337,-1.007068727448524
27,19.3,11.55,17.4,112.83,27,112.83,11.55,-0.06120017802723093,-0.3060008901361546,32.0980793055648,-0.9804268519962395
28,19.3,11.69,17.28,111.83,28,111.83,11.69,-0.06281460613361628,-0.3140730306680814,31.476265746098917,-1.0062899902605327
29,19.3,11.89,17.09,110.37,29,110.37,11.89,-0.06519187601393509,-0.3259593800696754,30.60556402904375,-1.04437385374324
30,19.3,11.85,17.13,110.64,30,110.64,11.85,-0.06475049445543216,-0.32375247227716075,30.7727612781397,-1.0373029211760232
31,19.3,11.19,17.73,115.48,31,115.48,11.19,-0.05698039911133812,-0.2849019955566906,33.78231141790919,-0.9128259937636367
32,19.3,11.5,17.45,113.21,32,113.21,11.5,-0.06058976770305276,-0.3029488385152638,32.32860910682353,-0.9706480786029051
33,19.3,11.39,17.55,114.02,33,114.02,11.39,-0.0592944494188439,-0.2964722470942195,32.83683174930031,-0.9498970796898794
34,19.3,11.57,17.39,112.73,34,112.73,11.57,-0.06136109707828357,-0.30680548539141783,32.017626774713825,-0.9830047751941028
35,19.3,11.52,17.44,113.1,35,113.1,11.52,-0.06076628833964386,-0.3038314416982193,32.24526028529968,-0.9734759392010947
36,19.3,11.57,17.38,112.69,36,112.69,11.57,-0.061425497682390987,-0.3071274884119549,32.00898629539074,-0.9840364728719035
37,19.3,11.62,17.34,112.33,37,112.33,11.62,-0.0620059453832441,-0.3100297269162205,31.78538349154899,-0.9933352450395705
38,19.3,11.44,17.51,113.67,38,113.67,11.44,-0.059853171823299814,-0.29926585911649906,32.608619690683774,-0.958847812609263
39,19.3,11.76,17.21,111.29,39,111.29,11.76,-0.06369113858541618,-0.31845569292708087,31.162090030384345,-1.0203320401383673
40,19.3,11.63,17.34,112.3,40,112.3,11.63,-0.0620543840470995,-0.3102719202354975,31.74993399792471,-0.994111232434534
41,19.3,11.29,17.64,114.76,41,114.76,11.29,-0.058118176795530135,-0.29059088397765065,33.307784077457434,-0.9310531922643928
42,19.3,11.68,17.28,111.9,42,111.9,11.68,-0.0627012217424191,-0.3135061087120955,31.519901336942983,-1.004473572313554
43,19.3,11.58,17.38,112.62,43,112.62,11.58,-0.06153824395998169,-0.30769121979990843,31.96455036045636,-0.9858426682389066
44,19.3,11.59,17.37,112.56,44,112.56,11.59,-0.06163492932573436,-0.3081746466286718,31.922346499776417,-0.9873915677982644
45,19.3,11.42,17.53,113.86,45,113.86,11.42,-0.05954967815675626,-0.2977483907837813,32.7105342370011,-0.9539858440712353
46,19.3,11.97,17.01,109.74,46,109.74,11.97,-0.06622475533456754,-0.33112377667283766,30.2552840588397,-1.060920580459772
47,19.3,12.2,16.8,108.02,47,108.02,12.2,-0.06906510431065482,-0.3453255215532741,29.291632288082802,-1.1064229710566902
48,19.3,12.25,16.75,107.63,48,107.63,12.25,-0.06971310612540026,-0.34856553062700124,29.08334137554351,-1.1168039601289121
49,19.3,12.27,16.73,107.46,49,107.46,12.27,-0.0699960093758724,-0.34998004687936196,28.9975385217016,-1.1213360702014759
50,19.3,12.29,16.71,107.32,50,107.32,12.29,-0.07022918696556896,-0.3511459348278448,28.91828880451749,-1.1250715751884146
51,19.3,12.05,16.94,109.16,51,109.16,12.05,-0.06717927324322125,-0.3358963662161062,29.91998837534657,-1.0762119573564044
52,19.3,12.13,16.87,108.58,52,108.58,12.13,-0.0681371543713345,-0.3406857718566725,29.588934534798746,-1.0915572130287785
53,19.3,12.15,16.84,108.36,53,108.36,12.15,-0.06850134803446953,-0.3425067401723476,29.491001751279292,-1.0973915955122018
54,19.3,12.16,16.84,108.34,54,108.34,12.16,-0.06853447965810046,-0.3426723982905023,29.46112339452131,-1.0979223641227693
55,19.3,12.24,16.76,107.69,55,107.69,12.24,-0.06961332144994022,-0.34806660724970107,29.12108709078765,-1.1152054096280422
56,19.3,12.1,16.89,108.77,56,108.77,12.1,-0.06782300133158424,-0.3391150066579212,29.70677342909945,-1.0865244813319794
57,19.3,11.91,17.07,110.21,57,110.21,11.91,-0.06545380083289479,-0.3272690041644739,30.517045581037276,-1.0485698893429745
58,19.3,11.99,17.0,109.6,58,109.6,11.99,-0.06645484302497451,-0.33227421512487254,30.172120368896273,-1.0646065852600917
59,19.3,11.9,17.08,110.26,59,110.26,11.9,-0.06537192029167471,-0.32685960145837356,30.554873706510442,-1.0472581630726288
60,19.3,11.76,17.22,111.35,60,111.35,11.76,-0.0635935853969359,-0.31796792698467946,31.174954386058424,-1.018769238058913
