FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,22.37,15.13,13.91,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,22.37,15.13,13.91,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,22.37,15.53,13.51,82.04,2,82.04,15.53,-0.11384817295695081,-0.569240864784754,18.31819577677312,-1.8238477307703518
3,22.37,15.47,13.55,82.41,3,82.41,15.47,-0.11320833884958775,-0.5660416942479387,18.455746270440773,-1.8135975883703959
4,22.37,16.01,12.99,78.14,4,78.14,16.01,-0.12055210070593987,-0.6027605035296993,17.105415706996865,-1.9312446533091567
5,22.37,15.33,13.64,83.35,5,83.35,15.33,-0.11158039878909874,-0.5579019939454937,18.79454079245254,-1.787517988601362
6,22.37,15.6,13.35,81.13,6,81.13,15.6,-0.11541930705396829,-0.5770965352698414,18.078347763297373,-1.849017299004572
7,22.37,16.03,12.95,77.89,7,77.89,16.03,-0.12097892150788046,-0.6048946075394023,17.042487534496747,-1.938082322556245
8,22.37,15.63,13.28,80.7,8,80.7,15.63,-0.11616038211033611,-0.5808019105516805,17.969622517912768,-1.8608893214075843
9,22.37,16.13,12.81,76.9,9,76.9,16.13,-0.12266513074368549,-0.6133256537184274,16.772652554454986,-1.9650953945138414
10,22.37,15.51,13.3,81.21,10,81.21,15.51,-0.11528133555646275,-0.5764066777823137,18.20168648445441,-1.8468069956145332
11,22.37,15.68,13.15,79.96,11,79.96,15.68,-0.11743356608056449,-0.5871678304028224,17.785672183230826,-1.881285728610643
12,22.37,15.86,12.98,78.6,12,78.6,15.86,-0.11976573403791263,-0.5988286701895631,17.350201890344753,-1.9186470592873603
13,22.37,15.69,13.12,79.78,13,79.78,15.69,-0.11774282786008422,-0.588714139300421,17.743711096761054,-1.886240102318549
14,22.37,15.75,13.06,79.35,14,79.35,15.75,-0.11848090533692156,-0.5924045266846077,17.601474421158095,-1.8980641034974832
15,22.37,16.01,12.81,77.32,15,77.32,16.01,-0.12195056651707806,-0.6097528325853903,16.972110501721986,-1.9536480756035903
16,22.37,16.02,12.8,77.22,16,77.22,16.02,-0.12212080927902472,-0.6106040463951236,16.944825005215908,-1.956375364649976
17,22.37,15.54,13.27,80.97,17,80.97,15.54,-0.11569515959787113,-0.5784757979893557,18.12423567058508,-1.8534364567578956
18,22.37,15.88,12.94,78.37,18,78.37,15.88,-0.1201590797960499,-0.6007953989802495,17.289549333918696,-1.9249484583327192
19,22.37,15.94,12.88,77.86,19,77.86,15.94,-0.12103011332396907,-0.6051505666198453,17.138135402830876,-1.9389024154499843
20,22.37,15.76,13.03,79.2,20,79.2,15.76,-0.11873813145857247,-0.5936906572928623,17.56487257918398,-1.902184865966331
21,22.37,16.14,12.61,76.01,21,76.01,16.14,-0.12417525433644308,-0.6208762716822154,16.619061337966105,-1.9892875744698182
22,22.37,16.29,12.49,74.98,22,74.98,16.29,-0.12591562010474916,-0.6295781005237457,16.29637953856292,-2.0171682340780817
23,22.37,15.86,12.91,78.27,23,78.27,15.86,-0.12032999874001211,-0.6016499937000606,17.29588310446482,-1.927686579814994
24,22.37,15.89,12.79,77.64,24,77.64,15.89,-0.121405342901396,-0.60702671450698,17.158443691945777,-1.9449135932803638
25,22.37,16.57,12.15,72.5,25,72.5,16.57,-0.1300705799504273,-0.6503528997521365,15.626990571653883,-2.0837306908058455
26,22.37,16.54,12.13,72.51,26,72.51,16.54,-0.13005393399158804,-0.6502696699579402,15.658097849219532,-2.0834640225452405
