FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,21.25,15.13,13.91,85.19,0,85.19,15.13,-0.10838517628706115,-0.5419258814353057,19.37785268893001,-1.7363305241187197
1,21.25,15.13,13.91,85.19,1,85.19,15.13,-0.10838517628706115,-0.5419258814353057,19.37785268893001,-1.7363305241187197
2,21.25,14.75,14.24,88.02,2,88.02,14.75,-0.10345506413744726,-0.5172753206872363,20.413309486638433,-1.6573501274819051
3,21.25,14.7,14.34,88.59,3,88.59,14.7,-0.10246066586049817,-0.5123033293024908,20.589760923094964,-1.6414198670851805
4,21.25,14.34,14.67,91.28,4,91.28,14.34,-0.09776616438064262,-0.4888308219032131,21.634589542671645,-1.5662139533778947
5,21.25,14.64,14.38,88.96,5,88.96,14.64,-0.10181504274994949,-0.5090752137497474,20.745841607885964,-1.6310769848541906
6,21.25,14.42,14.61,90.76,6,90.76,14.42,-0.09867358866563673,-0.4933679433281836,21.41212235230133,-1.5807508904235004
7,21.25,14.63,14.41,89.13,7,89.13,14.63,-0.10151837810021005,-0.5075918905010502,20.791790351213738,-1.626324417165365
8,21.25,14.55,14.44,89.56,8,89.56,14.55,-0.10076793732277828,-0.5038396866138913,20.99078012713711,-1.614302355910908
9,21.25,14.43,14.54,90.46,9,90.46,14.43,-0.09919715716896037,-0.4959857858448018,21.340906861281546,-1.5891384578467451
10,21.25,14.51,14.53,90.06,10,90.06,14.51,-0.09989528026402,-0.4994764013201,21.143697899541362,-1.6003223898296004
11,21.25,14.48,14.54,90.25,11,90.25,14.48,-0.09956366907152536,-0.49781834535762676,21.224776603954055,-1.5950099785258363
12,21.25,14.4,14.61,90.84,12,90.84,14.4,-0.09853397594703393,-0.4926698797351696,21.458203933502887,-1.5785142946714836
13,21.25,14.42,14.57,90.59,13,90.59,14.42,-0.0989702739397811,-0.4948513696989055,21.380568313524204,-1.5855037885152932
14,21.25,14.28,14.73,91.76,14,91.76,14.28,-0.09692870357347473,-0.48464351786737364,21.82001331056174,-1.5527978312470652
15,21.25,14.16,14.87,92.81,15,92.81,14.16,-0.0950975906392439,-0.4754879531962195,22.212738604194474,-1.5234634020406872
16,21.25,14.41,14.6,90.76,16,90.76,14.41,-0.09867358866563673,-0.4933679433281836,21.427716707291598,-1.5807508904235004
17,21.25,14.21,14.81,92.38,17,92.38,14.21,-0.09584731084752701,-0.47923655423763506,22.04968790041339,-1.5354739197773828
18,21.25,14.47,14.57,90.37,18,90.37,14.47,-0.0993542326650956,-0.496771163325478,21.26236146086158,-1.5916548072948316
19,21.25,14.64,14.37,88.93,19,88.93,14.64,-0.10186739375093752,-0.5093369687546876,20.740361547292157,-1.631915647890019
20,21.25,14.77,14.26,87.99,20,87.99,14.77,-0.1035073922774523,-0.5175369613872615,20.378905091860396,-1.6581884242847857
21,21.25,14.48,14.54,90.24,21,90.24,14.48,-0.09958112220445964,-0.49790561102229813,21.22292844176782,-1.5952895777154434
22,21.25,14.6,14.41,89.25,22,89.25,14.6,-0.10130895955713447,-0.5065447977856723,20.85858561211635,-1.6229695321052942
23,21.25,14.54,14.47,89.73,23,89.73,14.54,-0.10047123715393734,-0.5023561857696867,21.037207286113244,-1.609549219206076
24,21.25,14.84,14.19,87.43,24,87.43,14.84,-0.10448399221676924,-0.5224199610838461,20.177369086125804,-1.673833555312643
25,21.25,14.65,14.39,88.96,25,88.96,14.65,-0.10181504274994949,-0.5090752137497474,20.730990988481352,-1.6310769848541906
26,21.25,14.62,14.41,89.17,26,89.17,14.62,-0.10144857261386064,-0.5072428630693032,20.814023467157917,-1.6252061332740475
27,21.25,14.59,14.45,89.46,27,89.46,14.59,-0.10094246384331443,-0.5047123192165721,20.912083491615093,-1.617098270769897
28,21.25,14.59,14.43,89.36,28,89.36,14.59,-0.10111698749294223,-0.5055849374647111,20.89374882716207,-1.6198941396369346
29,21.25,14.56,14.45,89.57,29,89.57,14.56,-0.1007504845332927,-0.5037524226664635,20.977494638719325,-1.614022762223349
30,21.25,14.62,14.42,89.22,30,89.22,14.62,-0.10136131476707495,-0.5068065738353748,20.823170653328276,-1.6238082625685406
31,21.25,14.54,14.5,89.85,31,89.85,14.54,-0.10026179908874183,-0.5013089954437091,21.059289275337623,-1.6061940214016441
32,21.25,14.63,14.41,89.14,32,89.14,14.63,-0.10150092679667239,-0.5075046339833619,20.79361844915569,-1.6260448472826916
33,21.25,14.53,14.51,89.9,33,89.9,14.53,-0.10017453283658984,-0.5008726641829492,21.083701877046213,-1.604796016042169
34,21.25,14.6,14.43,89.34,34,89.34,14.6,-0.10115189183157523,-0.5057594591578761,20.875074582092925,-1.6204533071418352
35,21.25,14.41,14.58,90.69,35,90.69,14.41,-0.09879575192496905,-0.4939787596248452,21.414714539837945,-1.582707945838004
36,21.25,14.1,14.87,93.05,36,93.05,14.1,-0.09467925951262639,-0.4733962975631319,22.357588281147578,-1.5167617373922746
37,21.25,14.51,14.53,90.1,37,90.1,14.51,-0.09982546716341019,-0.49912733581705093,21.151074572668673,-1.5992039839578311
38,21.25,14.35,14.69,91.34,38,91.34,14.35,-0.09766147200044732,-0.48830736000223657,21.629955971850816,-1.564536781447166
39,21.25,14.09,14.92,93.28,39,93.28,14.09,-0.0942784463575562,-0.47139223178778095,22.417935449502856,-1.5103407106480502
40,21.25,14.12,14.92,93.15,40,93.15,14.12,-0.09450498200875543,-0.4725249100437771,22.34327220442195,-1.513969811780262
41,21.25,14.13,14.91,93.09,41,93.09,14.13,-0.09460954653639982,-0.47304773268199907,22.3153018288894,-1.515644935513125
