FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,30.18,15.13,13.91,85.19,0,85.19,15.13,-0.10838517628706115,-0.5419258814353057,19.37785268893001,-1.7363305241187197
1,30.18,15.13,13.91,85.19,1,85.19,15.13,-0.10838517628706115,-0.5419258814353057,19.37785268893001,-1.7363305241187197
2,30.18,14.45,14.59,90.57,2,90.57,14.45,-0.0990051787361626,-0.49502589368081296,21.330285360997507,-1.5860629633533248
3,30.18,14.22,14.81,92.32,3,92.32,14.22,-0.09595194252782477,-0.4797597126391238,22.02211246905161,-1.5371501192957528
4,30.18,14.22,14.82,92.37,4,92.37,14.22,-0.09586474914776329,-0.4793237457388164,22.03152291111148,-1.5357532813471677
5,30.18,14.17,14.86,92.71,5,92.71,14.17,-0.09527192108368857,-0.4763596054184428,22.17739020954941,-1.5262561757606907
6,30.18,14.23,14.81,92.31,6,92.31,14.23,-0.09596938157589456,-0.47984690787947276,22.0039810973245,-1.5374294928458307
7,30.18,14.17,14.87,92.76,7,92.76,14.17,-0.09518475402795659,-0.47592377013978293,22.186832674982675,-1.5248597595278646
8,30.18,14.24,14.79,92.17,8,92.17,14.24,-0.09621354089902243,-0.4810677044951121,21.96144345993217,-1.5413409252023391
9,30.18,14.01,15.02,93.98,9,93.98,14.01,-0.09305917460421419,-0.4652958730210709,22.686117020515226,-1.4908079771595113
10,30.18,14.01,15.03,94.04,10,94.04,14.01,-0.09295471122246131,-0.46477355611230653,22.697568934357133,-1.4891344737838301
11,30.18,14.22,14.82,92.36,11,92.36,14.22,-0.09588218757396652,-0.4794109378698326,22.029640849660424,-1.5360326449349435
12,30.18,13.95,15.08,94.45,12,94.45,13.95,-0.0922410908528934,-0.461205454264467,22.878759862348502,-1.4777022754633524
13,30.18,14.08,14.95,93.44,13,93.44,14.08,-0.09399967380643794,-0.46999836903218967,22.465063656803483,-1.5058747743791356
14,30.18,13.74,15.29,96.11,14,96.11,13.74,-0.08935623855731159,-0.4467811927865579,23.569340219164012,-1.4314869416881317
15,30.18,14.03,15.01,93.88,15,93.88,14.03,-0.09323329709826295,-0.4661664854913147,22.63307687935703,-1.4935974195141724
16,30.18,13.79,15.25,95.74,16,95.74,13.79,-0.08999855946789653,-0.4499927973394826,23.407878366794108,-1.4417769226757025
17,30.18,13.93,15.1,94.6,17,94.6,13.93,-0.09198010756711412,-0.4599005378355706,22.942069669081555,-1.4735213232251683
18,30.18,13.86,15.17,95.16,18,95.16,13.86,-0.09100627003013562,-0.4550313501506781,23.17186109702673,-1.4579204458827726
19,30.18,13.96,15.08,94.4,19,94.4,13.96,-0.09232809718731814,-0.4616404859365907,22.851961431463135,-1.4790961169408365
20,30.18,13.72,15.31,96.28,20,96.28,13.72,-0.08906126534134845,-0.44530632670674225,23.63853452927932,-1.4267614707684022
21,30.18,13.76,15.28,95.98,21,95.98,13.76,-0.08958186967246817,-0.4479093483623408,23.50810414583124,-1.43510155215294
22,30.18,13.79,15.25,95.78,22,95.78,13.79,-0.08992909878473755,-0.44964549392368774,23.41562082426745,-1.4406641625314955
23,30.18,13.79,15.24,95.73,23,95.73,13.79,-0.09001592540166198,-0.4500796270083099,23.40594266738044,-1.442055124934625
24,30.18,13.6,15.43,97.22,24,97.22,13.6,-0.08743204607165583,-0.43716023035827917,24.042287194258215,-1.4006613780679265
