FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,24.24,15.3,13.74,83.85,0,83.85,15.3,-0.11071317543138737,-0.5535658771569368,18.919796673977828,-1.7736250704108256
1,24.24,15.3,13.74,83.85,1,83.85,15.3,-0.11071317543138737,-0.5535658771569368,18.919796673977828,-1.7736250704108256
2,24.24,14.37,14.67,91.16,2,91.16,14.37,-0.09797555637524649,-0.48987778187623243,21.564831961178005,-1.5695684131314487
3,24.24,13.98,15.01,94.05,3,94.05,13.98,-0.09293730140688333,-0.46468650703441666,22.750669310256463,-1.488855568538271
4,24.24,13.98,15.03,94.15,4,94.15,13.98,-0.09276321517142089,-0.4638160758571044,22.769796745576212,-1.4860667070461626
5,24.24,13.88,15.14,94.98,5,94.98,13.88,-0.09131920001045636,-0.4565960000522818,23.102117633390506,-1.4629335841675108
6,24.24,13.73,15.29,96.15,6,96.15,13.73,-0.08928682456861263,-0.4464341228430631,23.59516851514638,-1.4303749295891743
7,24.24,13.42,15.57,98.5,7,98.5,13.42,-0.08521905888703894,-0.42609529443519467,24.635674859650816,-1.3652093233703637
8,24.24,13.31,15.68,99.33,8,99.33,13.31,-0.08378794846277482,-0.4189397423138741,25.015720242127067,-1.3422829343736526
9,24.24,13.03,15.95,101.53,9,101.53,13.03,-0.08001190055596541,-0.40005950277982705,26.029359277705005,-1.2817906469065659
10,24.24,13.13,15.86,100.76,10,100.76,13.13,-0.08133044968912811,-0.4066522484456405,25.66564777219677,-1.3029138040198323
11,24.24,13.24,15.74,99.87,11,99.87,13.24,-0.08285867253016961,-0.41429336265084804,25.263187005805182,-1.3273959339333172
12,24.24,13.34,15.64,99.07,12,99.07,13.34,-0.08423589630620824,-0.4211794815310412,24.90476404993487,-1.349459058825456
13,24.24,13.19,15.79,100.27,13,100.27,13.19,-0.08217129703711237,-0.41085648518556184,25.444398708568563,-1.3163841785345403
14,24.24,13.04,15.94,101.42,14,101.42,13.04,-0.08020004924786056,-0.4010002462393028,25.986068458504416,-1.2848047889507261
15,24.24,12.83,16.15,103.09,15,103.09,12.83,-0.0773518686889022,-0.38675934344451096,26.777462248640802,-1.2391769363962133
16,24.24,12.99,15.99,101.78,16,101.78,12.99,-0.07958456497873684,-0.39792282489368414,26.16461436903421,-1.274944730959364
17,24.24,12.92,16.04,102.3,17,102.3,12.92,-0.07869696137250236,-0.39348480686251175,26.420118939858533,-1.2607253211874878
18,24.24,12.9,16.06,102.46,18,102.46,12.9,-0.07842420219434831,-0.39212101097174157,26.49594762005607,-1.25635571915346
19,24.24,12.79,16.16,103.28,19,103.28,12.79,-0.07702899803312445,-0.3851449901656222,26.904806002678296,-1.2340045484906537
20,24.24,12.73,16.22,103.76,20,103.76,12.73,-0.0762144580122037,-0.38107229006101845,27.13744859426984,-1.2209556173555032
21,24.24,12.56,16.39,105.09,21,105.09,12.56,-0.0739664002086674,-0.369832001043337,27.80197716933385,-1.1849417313428519
22,24.24,12.44,16.5,105.95,22,105.95,12.44,-0.07252016081098195,-0.36260080405490974,28.26512116297513,-1.1617729761919309
23,24.24,12.95,16.0,102.01,23,102.01,12.95,-0.07919175933877508,-0.39595879669387535,26.29663702562713,-1.2686519846071767
24,24.24,12.97,15.98,101.88,24,101.88,12.97,-0.07941373912301188,-0.39706869561505936,26.227477454054753,-1.2722081007506503
25,24.24,12.93,16.03,102.21,25,102.21,12.93,-0.07885046155089723,-0.3942523077544861,26.38025498439629,-1.2631843940453735
26,24.24,12.59,16.35,104.81,26,104.81,12.59,-0.07443855034415632,-0.3721927517207816,27.674077352812528,-1.1925055765133843
27,24.24,12.48,16.47,105.69,27,105.69,12.48,-0.0729567579551333,-0.3647837897756665,28.115328177193277,-1.1687672624412355
28,24.24,12.34,16.6,106.76,28,106.76,12.34,-0.07116366085255509,-0.3558183042627754,28.67729756074709,-1.1400418468579325
29,24.24,12.62,16.35,104.69,29,104.69,12.62,-0.07464108793496349,-0.37320543967481745,27.57981437926826,-1.195750228718115
30,24.24,12.56,16.39,105.09,30,105.09,12.56,-0.0739664002086674,-0.369832001043337,27.80197716933385,-1.1849417313428519
31,24.24,12.95,16.03,102.14,31,102.14,12.95,-0.07896988667603091,-0.39484943338015455,26.323060427492123,-1.2650975845500152
32,24.24,12.7,16.25,104.01,32,104.01,12.7,-0.07579087595344577,-0.37895437976722884,27.256621818934946,-1.2141698327742012
33,24.24,12.71,16.24,103.89,33,103.89,12.71,-0.07599413831678277,-0.37997069158391383,27.209292275333574,-1.21742609583486
34,24.24,12.78,16.17,103.38,34,103.38,12.78,-0.07685916734570114,-0.38429583672850565,26.947534855977395,-1.2312838608781322
35,24.24,12.8,16.15,103.18,35,103.18,12.8,-0.0771988986942035,-0.3859944934710175,26.86213907105164,-1.23672635708114
36,24.24,12.78,16.17,103.35,36,103.35,12.78,-0.07691010917390878,-0.38455054586954385,26.941382881572157,-1.2320999489660187
37,24.24,12.78,16.18,103.4,37,103.4,12.78,-0.07682520965058426,-0.3841260482529213,26.95163574671042,-1.2307398586023597
38,24.24,12.8,16.15,103.22,38,103.22,12.8,-0.07713093006605143,-0.38565465033025714,26.870333746621863,-1.2356374996581438
39,24.24,12.81,16.14,103.11,39,103.11,12.81,-0.07731787051414618,-0.38658935257073085,26.825677543926,-1.2386322856366219
