FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,25.78,15.13,13.9,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,25.78,15.13,13.9,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,25.78,14.32,14.71,91.54,2,91.54,14.32,-0.09731251656594808,-0.48656258282974035,21.714910862227462,-1.5589465153864883
3,25.78,14.65,14.39,88.97,3,88.97,14.65,-0.10179759230499932,-0.5089879615249966,20.732816379378953,-1.6307974287260891
4,25.78,14.64,14.39,89.0,4,89.0,14.64,-0.10174524064372836,-0.5087262032186418,20.753148436111747,-1.6299587551125283
5,25.78,14.31,14.73,91.64,5,91.64,14.31,-0.09713805086277053,-0.4856902543138526,21.749546322886378,-1.5561515748215837
6,25.78,14.4,14.63,90.92,6,90.92,14.4,-0.09839436608652005,-0.49197183043260023,21.473073819738634,-1.5762777447060512
7,25.78,14.37,14.67,91.17,7,91.17,14.37,-0.09795810669051996,-0.48979053345259976,21.56669460468862,-1.5692888691821298
8,25.78,14.34,14.7,91.41,8,91.41,14.34,-0.09753933413950183,-0.48769667069750916,21.658855408706952,-1.5625801329148192
9,25.78,14.29,14.74,91.77,9,91.77,14.29,-0.0969112585614888,-0.484556292807444,21.805855557357138,-1.5525183621550505
10,25.78,14.3,14.73,91.68,10,91.68,14.3,-0.09706826699277715,-0.48534133496388576,21.77300103740757,-1.5550336372242899
11,25.78,14.1,14.93,93.27,11,93.27,14.1,-0.09429587114601079,-0.4714793557300539,22.399335837834872,-1.5106198557590929
12,25.78,14.38,14.66,91.1,12,91.1,14.38,-0.09808025576003104,-0.4904012788001552,21.53792436286249,-1.5712456972756972
13,25.78,14.5,14.54,90.14,13,90.14,14.5,-0.09975565414786551,-0.4987782707393275,21.173760937550156,-1.5980855794488054
14,25.78,14.4,14.64,90.97,14,90.97,14.4,-0.09830711149601024,-0.4915355574800512,21.482367331168636,-1.574879926166084
15,25.78,14.41,14.62,90.82,15,90.82,14.41,-0.09856887886937082,-0.4928443943468541,21.43886125527213,-1.5790734394873205
16,25.78,14.27,14.77,91.97,16,91.97,14.27,-0.09656237878709079,-0.48281189393545393,21.875458253593514,-1.5469293081691944
17,25.78,14.18,14.86,92.66,17,92.66,14.18,-0.0953590917400583,-0.4767954587002915,22.151528805400734,-1.5276526496757339
18,25.78,14.29,14.75,91.82,18,91.82,14.29,-0.09682403492351366,-0.4841201746175683,21.815220852731965,-1.5511210394746888
19,25.78,14.22,14.82,92.38,19,92.38,14.22,-0.09584731084752701,-0.47923655423763506,22.03340495896741,-1.5354739197773828
20,25.78,14.08,14.95,93.43,20,93.43,14.08,-0.0940170957425856,-0.47008547871292794,22.463163733090674,-1.5061538737962212
21,25.78,14.09,14.95,93.39,21,93.39,14.09,-0.09408678530436597,-0.4704339265218298,22.438821180932187,-1.5072703005759427
22,25.78,14.2,14.84,92.52,22,92.52,14.2,-0.09560318816821353,-0.47801594084106763,22.092381052162242,-1.5315630744547808
23,25.78,14.23,14.81,92.3,23,92.3,14.23,-0.09598682074674404,-0.4799341037337202,22.00210034438316,-1.5377088683628395
24,25.78,14.26,14.77,92.02,24,92.02,14.26,-0.09647516522218683,-0.4823758261109341,21.900950123253153,-1.545532146859433
25,25.78,14.25,14.79,92.13,25,92.13,14.25,-0.09628330492169895,-0.48141652460849477,21.93774865514673,-1.5424585448456172
26,25.78,14.12,14.92,93.17,26,93.17,14.12,-0.09447012849964731,-0.47235064249823655,22.347061792358897,-1.5134114585643499
27,25.78,14.14,14.9,93.02,27,93.02,14.14,-0.09473154594848415,-0.4736577297424207,22.285480089663686,-1.517599366094716
28,25.78,14.25,14.78,92.1,28,92.1,14.25,-0.09633562912934439,-0.4816781456467219,21.93211399022413,-1.543296778652097
29,25.78,14.48,14.55,90.27,29,90.27,14.48,-0.09952876284606267,-0.49764381423031334,21.22847292404783,-1.5944507807939239
30,25.78,14.68,14.35,88.69,30,88.69,14.68,-0.10228618212283994,-0.5114309106141997,20.63738857477052,-1.6386246376078957
