FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,20.39,15.1,13.94,85.44,0,85.44,15.1,-0.10795030219076598,-0.5397515109538299,19.46224360245201,-1.729363841096071
1,20.39,15.1,13.94,85.44,1,85.44,15.1,-0.10795030219076598,-0.5397515109538299,19.46224360245201,-1.729363841096071
2,20.39,14.21,14.83,92.45,2,92.45,14.21,-0.09572524631756779,-0.4786262315878389,22.06287158562706,-1.533518446007436
3,20.39,14.63,14.4,89.09,3,89.09,14.63,-0.10158818284652041,-0.507940914232602,20.78447800845418,-1.627442689201257
4,20.39,14.53,14.51,89.9,4,89.9,14.53,-0.10017453283658984,-0.5008726641829492,21.083701877046213,-1.604796016042169
5,20.39,14.31,14.73,91.63,5,91.63,14.31,-0.09715549704954735,-0.48577748524773673,21.747675855560818,-1.5564310627337485
6,20.39,14.16,14.86,92.77,6,92.77,14.16,-0.09516732105472836,-0.4758366052736418,22.20517937882104,-1.5245804832967482
7,20.39,14.34,14.67,91.28,7,91.28,14.34,-0.09776616438064262,-0.4888308219032131,21.634589542671645,-1.5662139533778947
8,20.39,14.51,14.53,90.1,8,90.1,14.51,-0.09982546716341019,-0.49912733581705093,21.151074572668673,-1.5992039839578311
9,20.39,14.38,14.66,91.1,9,91.1,14.38,-0.09808025576003104,-0.4904012788001552,21.53792436286249,-1.5712456972756972
10,20.39,14.37,14.67,91.17,10,91.17,14.37,-0.09795810669051996,-0.48979053345259976,21.56669460468862,-1.5692888691821298
11,20.39,14.32,14.72,91.58,11,91.58,14.32,-0.09724272927253025,-0.48621364636265124,21.722387519543485,-1.5578285229459345
12,20.39,14.26,14.78,92.05,12,92.05,14.26,-0.09642283836746506,-0.48211419183732523,21.906580924214712,-1.54469387064679
13,20.39,14.08,14.96,93.48,13,93.48,14.08,-0.09392998789495811,-0.46964993947479056,22.472663151747515,-1.504758406077229
14,20.39,14.3,14.74,91.73,14,91.73,14.3,-0.09698103916864921,-0.48490519584324604,21.782359906407926,-1.5536362474817602
15,20.39,14.35,14.69,91.36,15,91.36,14.35,-0.09762657510459781,-0.488132875522989,21.633686444382377,-1.5639777331756568
16,20.39,14.35,14.68,91.3,16,91.3,14.35,-0.09773126664272189,-0.4886563332136094,21.622494935861305,-1.5656548916164046
17,20.39,14.42,14.61,90.75,17,90.75,14.42,-0.09869104044286556,-0.49345520221432776,21.410266264037443,-1.5810304678947062
18,20.39,14.45,14.58,90.51,18,90.51,14.45,-0.09910989383559043,-0.4955494691779522,21.319172622179877,-1.5877404992461588
19,20.39,14.25,14.79,92.15,19,92.15,14.25,-0.09624842268180153,-0.48124211340900763,21.94150503756352,-1.5418997313624605
20,20.39,14.1,14.93,93.27,20,93.27,14.1,-0.09429587114601079,-0.4714793557300539,22.399335837834872,-1.5106198557590929
21,20.39,14.3,14.74,91.72,21,91.72,14.3,-0.09699848455167488,-0.4849924227583744,21.780488152113573,-1.5539157225178315
22,20.39,14.37,14.67,91.2,22,91.2,14.37,-0.09790575801166432,-0.48952879005832156,21.572282495157005,-1.5684502433468623
23,20.39,14.25,14.79,92.14,23,92.14,14.25,-0.09626586374487608,-0.4813293187243804,21.939626852479762,-1.5421791371929148
24,20.39,14.33,14.71,91.48,24,91.48,14.33,-0.09741719995140813,-0.48708599975704064,21.68779674061035,-1.5606235432215583
25,20.39,14.11,14.92,93.19,25,93.19,14.11,-0.09443527566433726,-0.4721763783216863,22.367491252364587,-1.512853116142683
26,20.39,14.03,15.01,93.85,26,93.85,14.03,-0.09328553789006011,-0.4664276894503005,22.627358502846736,-1.4944343169987628
27,20.39,14.28,14.76,91.87,27,91.87,14.28,-0.09673681370417408,-0.4836840685208704,21.840631879389445,-1.5497237555408687
28,20.39,14.17,14.85,92.69,28,92.69,14.17,-0.09530678891787739,-0.4765339445893869,22.173613113761373,-1.5268147584643956
29,20.39,14.07,14.96,93.5,29,93.5,14.07,-0.09389514604651433,-0.4694757302325716,22.49324598846954,-1.5042002396651595
30,20.39,14.04,14.99,93.75,30,93.75,14.04,-0.09345968707698571,-0.46729843538492855,22.591376485349606,-1.497224186973311
31,20.39,14.05,14.98,93.68,31,93.68,14.05,-0.09358160339354193,-0.4679080169677097,22.561157182529275,-1.4991772863645418
32,20.39,14.09,14.95,93.39,32,93.39,14.09,-0.09408678530436597,-0.4704339265218298,22.438821180932187,-1.5072703005759427
33,20.39,13.93,15.08,94.53,33,94.53,13.93,-0.09210189303556937,-0.46050946517784686,22.928638209862413,-1.4754723264298213
34,20.39,14.2,14.84,92.5,34,92.5,14.2,-0.09563806126346641,-0.47819030631733206,22.08861176778892,-1.5321217414407318
35,20.39,14.31,14.73,91.67,35,91.67,14.31,-0.09708571282764555,-0.48542856413822777,21.755157668553913,-1.5553131194988816
36,20.39,14.2,14.83,92.5,36,92.5,14.2,-0.09563806126346641,-0.47819030631733206,22.08861176778892,-1.5321217414407318
37,20.39,14.11,14.92,93.19,37,93.19,14.11,-0.09443527566433726,-0.4721763783216863,22.367491252364587,-1.512853116142683
38,20.39,14.01,15.03,94.0,38,94.0,14.01,-0.09302435262558748,-0.46512176312793735,22.689934418462208,-1.4902501290619112
39,20.39,14.32,14.72,91.6,39,91.6,14.32,-0.09720783612764311,-0.48603918063821555,21.726125794438854,-1.5572695347648426
40,20.39,14.44,14.6,90.62,40,90.62,14.44,-0.09891791698179232,-0.4945895849089616,21.35505365412385,-1.584665030048313
41,20.39,14.39,14.65,91.03,41,91.03,14.39,-0.0982024076950007,-0.49101203847500346,21.50919573159823,-1.5732025712739113
42,20.39,14.24,14.79,92.18,42,92.18,14.24,-0.09619610018038045,-0.48098050090190225,21.9633229928415,-1.5410615248896948
43,20.39,14.24,14.8,92.2,43,92.2,14.24,-0.09616121909124802,-0.48080609545624003,21.967082021140936,-1.5405027298417933
44,20.39,14.34,14.69,91.39,44,91.39,14.34,-0.09757423030439222,-0.4878711515219611,21.655122283625758,-1.5631391694763632
45,20.39,14.16,14.88,92.84,45,92.84,14.16,-0.09504529439379922,-0.47522647196899603,22.2184078534418,-1.5226256161886633
46,20.39,14.2,14.83,92.49,46,92.49,14.2,-0.0956554980106668,-0.47827749005333403,22.08672710403116,-1.532401078130882
47,20.39,14.06,14.97,93.59,47,93.59,14.06,-0.09373836699504964,-0.4686918349752482,22.527177084907244,-1.5016886392606952
48,20.39,13.93,15.11,94.66,48,94.66,13.93,-0.09187572954352945,-0.4593786477176472,22.953581298382932,-1.4718491872873416
