FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,20.02,15.13,13.9,85.15,0,85.15,15.13,-0.10845474154281087,-0.5422737077140544,19.37081761068259,-1.7374449595158301
1,20.02,15.13,13.9,85.15,1,85.15,15.13,-0.10845474154281087,-0.5422737077140544,19.37081761068259,-1.7374449595158301
2,20.02,15.8,13.19,79.72,2,79.72,15.8,-0.11784587635626094,-0.5892293817813047,17.604623261403326,-1.8878909392273002
3,20.02,16.06,12.9,77.56,3,77.56,16.06,-0.12154171206607765,-0.6077085603303882,16.955759886722714,-1.947098227298564
4,20.02,16.26,12.63,75.68,4,75.68,16.26,-0.12473372479681669,-0.6236686239840834,16.438625144284934,-1.9982342712450032
5,20.02,16.14,12.7,76.41,5,76.41,16.14,-0.12349724703254215,-0.6174862351627107,16.683146998540185,-1.9784258974613254
6,20.02,16.41,12.44,74.31,6,74.31,16.41,-0.1270432420448667,-0.6352162102243335,16.067250377338386,-2.0352327375587644
7,20.02,16.29,12.51,75.07,7,75.07,16.29,-0.12576387512162696,-0.6288193756081347,16.310584683444503,-2.0147372794484637
8,20.02,16.42,12.36,73.94,8,73.94,16.42,-0.12766438353919843,-0.6383219176959921,15.99937197825195,-2.0451834242979587
9,20.02,16.46,12.33,73.68,9,73.68,16.46,-0.1281001727065251,-0.6405008635326255,15.91844176586192,-2.052164766758532
10,20.02,16.23,12.53,75.33,10,75.33,16.23,-0.12532514496123281,-0.6266257248061641,16.41477529001432,-2.0077088222789494
11,20.02,16.55,12.15,72.58,11,72.58,16.55,-0.1299373866742474,-0.649686933371237,15.658958008718034,-2.081596934521443
12,20.02,16.51,12.21,72.99,12,72.99,16.51,-0.1292538606935254,-0.646269303467627,15.76164137159309,-2.0706468483102767
13,20.02,16.35,12.3,73.92,13,73.92,16.35,-0.12769792612217223,-0.6384896306108612,16.06774775682492,-2.045720776477199
14,20.02,16.5,12.17,72.84,14,72.84,16.5,-0.12950410679282812,-0.6475205339641406,15.748494297001173,-2.0746557908211063
15,20.02,16.36,12.26,73.68,15,73.68,16.36,-0.1281001727065251,-0.6405008635326255,16.020008983795602,-2.052164766758532
16,20.02,16.62,12.01,71.72,16,71.72,16.62,-0.13136610248328778,-0.6568305124164389,15.45918382105136,-2.10448496178227
17,20.02,16.5,12.04,72.26,17,72.26,16.5,-0.13046980699606464,-0.6523490349803232,15.659293766377226,-2.0901263080769557
18,20.02,16.42,12.13,72.92,18,72.92,16.42,-0.12937066726236027,-0.6468533363118013,15.840963237517197,-2.0725180895430113
19,20.02,16.51,12.01,72.07,19,72.07,16.51,-0.1307854829309998,-0.653927414654999,15.620256737528257,-2.095183436554617
20,20.02,16.61,11.91,71.27,20,71.27,16.61,-0.1321108904755742,-0.6605544523778709,15.400573211738061,-2.1164164654186988
21,20.02,16.76,11.74,70.01,21,70.01,16.76,-0.13418561308153426,-0.6709280654076712,15.06829906058733,-2.149653521566179
22,20.02,16.82,11.71,69.7,22,69.7,16.82,-0.13469356515732558,-0.6734678257866279,14.966265393881812,-2.1577909138203557
23,20.02,16.87,11.66,69.32,23,69.32,16.87,-0.13531482906848477,-0.6765741453424238,14.863946649930703,-2.167743561677126
24,20.02,16.76,11.74,70.03,24,70.03,16.76,-0.1341528074559087,-0.6707640372795436,15.071280255325506,-2.1491279754436574
25,20.02,16.72,11.78,70.35,25,70.35,16.72,-0.1336273542130134,-0.668136771065067,15.156753445098769,-2.1407102144924743
26,20.02,16.79,11.72,69.83,26,69.83,16.79,-0.13448067578906336,-0.6724033789453168,15.013460487519097,-2.154380426140795
27,20.02,16.06,12.34,75.11,27,75.11,16.06,-0.12569641247952296,-0.6284820623976147,16.56101160449258,-2.013656527921958
28,20.02,16.92,11.57,68.71,28,68.71,16.92,-0.13630886141458382,-0.681544307072919,14.728716594924842,-2.1836679598616326
29,20.02,16.91,11.58,68.81,29,68.81,16.91,-0.1361461843374802,-0.680730921687401,14.752443070045642,-2.181061873086433
30,20.02,16.94,11.55,68.55,30,68.55,16.94,-0.13656891447750544,-0.6828445723875272,14.687219665335153,-2.187834009929637
