FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,21.82,15.13,13.91,85.17,0,85.17,15.13,-0.10841995942790926,-0.5420997971395463,19.374335097929723,-1.7368877500351063
1,21.82,15.13,13.91,85.17,1,85.17,15.13,-0.10841995942790926,-0.5420997971395463,19.374335097929723,-1.7368877500351063
2,21.82,15.6,13.16,80.31,2,80.31,15.6,-0.11683173392897968,-0.5841586696448984,17.940010736660742,-1.8716443775422544
3,21.82,16.15,12.37,74.88,3,74.88,16.15,-0.1260841506289897,-0.6304207531449485,16.428000880513693,-2.019868093076415
4,21.82,15.47,12.89,79.61,4,79.61,15.47,-0.11803474768960241,-0.590173738448012,17.978878211127373,-1.8909166579874306
5,21.82,16.26,12.13,73.44,5,73.44,16.26,-0.1285019262469976,-0.642509631234988,16.085196904677147,-2.0586008584769018
6,21.82,15.87,12.39,75.94,6,75.94,15.87,-0.12429378540739387,-0.6214689270369693,16.903171289124394,-1.9911864422264498
7,21.82,15.72,12.48,76.87,7,76.87,15.72,-0.12271612489686119,-0.613580624484306,17.225096192283008,-1.9659123208477163
8,21.82,15.61,12.56,77.63,8,77.63,15.61,-0.12142239133458795,-0.6071119566729397,17.478670700671262,-1.9451867091800987
9,21.82,15.85,12.28,75.56,9,75.56,15.85,-0.1249366025115354,-0.624683012557677,16.8635425063524,-2.0014843722347972
10,21.82,16.13,11.99,73.28,10,73.28,16.13,-0.1287694845459613,-0.6438474227298064,16.195291735207125,-2.0628871424263
11,21.82,16.11,12.04,73.55,11,73.55,16.11,-0.12831785085997763,-0.6415892542998881,16.259063781766972,-2.0556519707768417
12,21.82,16.08,11.99,73.44,12,73.44,16.08,-0.1285019262469976,-0.642509631234988,16.273283022143914,-2.0586008584769018
13,21.82,16.19,11.86,72.47,13,72.47,16.19,-0.1301205123289035,-0.6506025616445175,16.005327132902266,-2.084530607509034
14,21.82,16.04,12.0,73.62,14,73.62,16.04,-0.12820065759001295,-0.6410032879500647,16.344339301147922,-2.0537745345920073
15,21.82,15.98,12.04,73.97,15,73.97,15.98,-0.1276140633457252,-0.638070316728626,16.464484137242476,-2.0443772947985175
16,21.82,16.25,11.83,72.1,16,72.1,16.25,-0.13073566177998072,-0.6536783088999036,15.885890417027959,-2.094385301715291
17,21.82,16.27,11.81,71.97,17,71.97,16.27,-0.130951492402027,-0.654757462010135,15.845271865470249,-2.0978429082804726
18,21.82,16.25,11.81,72.02,18,72.02,16.25,-0.13086849942036596,-0.6543424971018298,15.87342326523091,-2.0965133607142628
19,21.82,16.12,11.91,72.91,19,72.91,16.12,-0.12938735034039028,-0.6469367517019514,16.14730837913327,-2.072785352453052
20,21.82,16.21,11.82,72.2,20,72.2,16.21,-0.13056953049631057,-0.6528476524815529,15.942456350771248,-2.091723878550895
21,21.82,16.36,11.65,70.91,21,70.91,16.36,-0.1327052969298325,-0.6635264846491624,15.59083966704621,-2.1259388568159165
22,21.82,16.24,11.72,71.65,22,71.65,16.24,-0.13148208663321462,-0.6574104331660731,15.82600527209468,-2.106343027864098
23,21.82,16.3,11.64,71.07,23,71.07,16.3,-0.132441274290911,-0.6622063714545549,15.675453983215297,-2.121709214140394
24,21.82,16.17,11.74,71.98,24,71.98,16.17,-0.13093489568934522,-0.654674478446726,15.94917413503253,-2.09757702894331
25,21.82,16.1,11.78,72.38,25,72.38,16.1,-0.1302702598633306,-0.651351299316653,16.084590311167638,-2.086929563010556
26,21.82,16.24,11.67,71.42,26,71.42,16.24,-0.13186284562866554,-0.6593142281433276,15.790247092153963,-2.112442786971222
27,21.82,16.41,11.49,70.0,27,70.0,16.41,-0.1342020143325669,-0.6710100716628344,15.402218330595995,-2.1499162696077216
28,21.82,16.38,11.54,70.33,28,70.33,16.38,-0.13366022594127924,-0.6683011297063962,15.482089703095482,-2.1412368195792935
29,21.82,16.12,11.74,72.12,29,72.12,16.12,-0.1307024429971492,-0.653512214985746,16.022843946289715,-2.0938531368143303
30,21.82,16.23,11.61,71.16,30,71.16,16.23,-0.13229265025006576,-0.6614632512503288,15.760015716160396,-2.119328257006053
31,21.82,16.43,11.47,69.84,31,69.84,16.43,-0.1344642923174517,-0.6723214615872585,15.358316971802076,-2.154117962925576
32,21.82,16.35,11.5,70.23,32,70.23,16.35,-0.1338245229815732,-0.6691226149078661,15.49642199893294,-2.1438688581648027
33,21.82,16.39,11.45,69.88,33,69.88,16.39,-0.13439874793757256,-0.6719937396878628,15.403536093443217,-2.1530679419599124
34,21.82,16.42,11.45,69.75,34,69.75,16.42,-0.1346117057077493,-0.6730585285387465,15.354393337677767,-2.1564795254381437
