FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,21.24,15.13,13.91,85.19,0,85.19,15.13,-0.10838517628706115,-0.5419258814353057,19.37785268893001,-1.7363305241187197
1,21.24,15.13,13.91,85.19,1,85.19,15.13,-0.10838517628706115,-0.5419258814353057,19.37785268893001,-1.7363305241187197
2,21.24,16.4,12.36,74.0,2,74.0,16.4,-0.12756373558169992,-0.6378186779084996,16.029092616567556,-2.0435710440188326
3,21.24,16.32,12.28,73.91,3,73.91,16.32,-0.12771469614832398,-0.6385734807416199,16.09701502860277,-2.04598943229615
4,21.24,16.16,12.34,74.74,4,74.74,16.16,-0.1263199597604749,-0.6315997988023744,16.3951241575204,-2.0236457553628076
5,21.24,15.91,12.51,76.35,5,76.35,15.91,-0.12359902194425135,-0.6179951097212567,16.92542296961498,-1.9800563315469066
6,21.24,16.5,11.94,71.77,6,71.77,16.5,-0.13128322798783412,-0.6564161399391706,15.584159077740612,-2.1031573123651026
7,21.24,15.88,12.49,76.4,7,76.4,15.88,-0.123514211310259,-0.617571056551295,16.96699364541956,-1.9786976651903492
8,21.24,15.87,12.46,76.29,8,76.29,15.87,-0.12370077097673947,-0.6185038548836973,16.960220065239202,-1.9816863510473663
9,21.24,15.69,12.56,77.35,9,77.35,15.69,-0.1218994806261726,-0.609497403130863,17.339038704750028,-1.9528296796312852
10,21.24,15.72,12.51,77.01,10,77.01,15.72,-0.12247809912608942,-0.6123904956304471,17.24822303783171,-1.9620991479999526
11,21.24,15.71,12.52,77.09,11,77.09,15.71,-0.12234202405323871,-0.6117101202661935,17.272932455914983,-1.959919225332884
12,21.24,15.61,12.56,77.64,12,77.64,15.61,-0.121405342901396,-0.60702671450698,17.480339353040122,-1.9449135932803638
