FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,34.47,15.13,13.91,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,34.47,15.13,13.91,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,34.47,14.64,14.35,88.86,2,88.86,14.64,-0.10198954407082778,-0.5099477203541388,20.727574950246858,-1.633872496014661
3,34.47,14.87,14.1,86.92,3,86.92,14.87,-0.10537302546452021,-0.526865127322601,20.04315237682164,-1.6880758679416137
4,34.47,14.95,14.02,86.29,4,86.29,14.95,-0.10647064764011496,-0.5323532382005748,19.818373750537095,-1.7056597751946416
5,34.47,15.15,13.79,84.61,5,84.61,15.15,-0.10939345535441454,-0.5469672767720727,19.249239283086048,-1.7524831547777209
6,34.47,14.93,13.97,86.22,6,86.22,14.93,-0.10659255979513778,-0.5329627989756889,19.833690137084524,-1.7076128079181072
7,34.47,15.24,13.64,83.66,7,83.66,15.24,-0.11104281999454511,-0.5552140999727255,18.96469369754652,-1.7789059763126127
8,34.47,15.3,13.57,83.14,8,83.14,15.3,-0.1119443734242728,-0.559721867121364,18.796734671411674,-1.79334886225685
9,34.47,15.47,13.45,82.0,9,82.0,15.47,-0.11391731009600654,-0.5695865504800327,18.385697140001234,-1.8249553077380247
10,34.47,15.54,13.36,81.4,10,81.4,15.54,-0.11495353434437094,-0.5747676717218547,18.1971658814486,-1.8415556201968224
11,34.47,15.58,13.3,81.0,11,81.0,15.58,-0.1156434465040231,-0.5782172325201155,18.080638480466295,-1.85260801299445
12,34.47,15.74,13.1,79.54,12,79.54,15.74,-0.11815490397172822,-0.590774519858641,17.64479825854221,-1.892841561627086
13,34.47,15.63,13.22,80.45,13,80.45,15.63,-0.11659082394615608,-0.5829541197307804,17.92754846774669,-1.8677849996174203
14,34.47,15.44,13.39,81.88,14,81.88,15.44,-0.11412468067963669,-0.5706234033981834,18.402545002080593,-1.8282773844877798
15,34.47,15.32,13.51,82.81,15,82.81,15.32,-0.11251600749752953,-0.5625800374876476,18.713992175519813,-1.8025064401104232
16,34.47,15.52,13.36,81.44,16,81.44,15.52,-0.11488450248849523,-0.5744225124424761,18.228494507638757,-1.8404497298656934
17,34.47,15.53,13.3,81.16,17,81.16,15.53,-0.11536757125069924,-0.5768378562534962,18.168679997906537,-1.848188491436202
18,34.47,15.52,13.34,81.35,18,81.35,15.52,-0.11503981391128273,-0.5751990695564136,18.213200847975934,-1.8429378188587493
19,34.47,15.67,13.19,80.2,19,80.2,15.67,-0.11702094991660326,-0.5851047495830163,17.83776477342852,-1.8746756176639843
20,34.47,15.55,13.28,81.01,20,81.01,15.55,-0.11562620785232035,-0.5781310392616017,18.118819975807966,-1.8523318497941719
21,34.47,15.47,13.43,81.92,21,81.92,15.47,-0.1140555639910411,-0.5702778199552054,18.37203711475202,-1.8271701351364782
22,34.47,15.47,13.34,81.51,22,81.51,15.47,-0.11476367930475198,-0.5738183965237599,18.30207255380977,-1.8385141424621267
