FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,22.7,15.3,13.74,83.87,0,83.87,15.3,-0.11067846908760742,-0.5533923454380371,18.92326567911915,-1.773069074783471
1,22.7,15.3,13.74,83.87,1,83.87,15.3,-0.11067846908760742,-0.5533923454380371,18.92326567911915,-1.773069074783471
2,22.7,14.64,14.39,89.02,2,89.02,14.64,-0.10171033926951308,-0.5085516963475654,20.756801883837625,-1.6293996350975994
3,22.7,14.96,14.08,86.55,3,86.55,14.96,-0.10601774794692936,-0.5300887397346468,19.850840463466735,-1.6984043221098084
4,22.7,14.92,14.12,86.83,4,86.83,14.92,-0.1055298715003527,-0.5276493575017634,19.956673651651556,-1.6905885414356503
5,22.7,14.89,14.14,87.05,5,87.05,14.89,-0.10514644677560442,-0.525732233878022,20.038240605177805,-1.6844460773451828
6,22.7,15.01,14.03,86.14,6,86.14,15.01,-0.10673187591244714,-0.5336593795622356,19.70874470858782,-1.709844652117403
7,22.7,15.11,13.92,85.31,7,85.31,15.11,-0.10817645613444449,-0.5408822806722224,19.425851681399347,-1.7329868272738007
8,22.7,14.98,14.06,86.4,8,86.4,14.98,-0.10627905195293133,-0.5313952597646566,19.79637106770536,-1.7025904122859599
9,22.7,14.78,14.26,87.95,9,87.95,14.78,-0.10357716163253497,-0.5178858081626748,20.35722018936355,-1.65930612935321
10,22.7,14.87,14.17,87.22,10,87.22,14.87,-0.1048501117712881,-0.5242505588564405,20.097003282423973,-1.6796987905760352
11,22.7,14.88,14.16,87.18,11,87.18,14.88,-0.10491984159261494,-0.5245992079630747,20.075673283017583,-1.6808158623136913
12,22.7,14.62,14.42,89.19,12,89.19,14.62,-0.1014136696038033,-0.5070683480190165,20.817682328139032,-1.6246469870529288
13,22.7,14.75,14.29,88.2,13,88.2,14.75,-0.10314107590781281,-0.515705379539064,20.44592054770984,-1.6523200360431611
14,22.7,14.67,14.37,88.79,14,88.79,14.67,-0.10211169142107444,-0.5105584571053722,20.67036695263626,-1.6358292965656125
15,22.7,14.72,14.32,88.43,15,88.43,14.72,-0.10273982402877356,-0.5136991201438678,20.531373990165864,-1.6458919809409525
16,22.7,14.82,14.22,87.62,16,87.62,14.82,-0.104152689152473,-0.520763445762365,20.24014978079273,-1.6685260802226174
17,22.7,14.68,14.35,88.71,17,88.71,14.68,-0.10225128452260679,-0.511256422613034,20.6410311898597,-1.6380655780521607
18,22.7,14.85,14.18,87.37,18,87.37,14.85,-0.10458860416542946,-0.5229430208271473,20.152340014187384,-1.6755094387301799
19,22.7,14.77,14.26,87.99,19,87.99,14.77,-0.1035073922774523,-0.5175369613872615,20.378905091860396,-1.6581884242847857
20,22.7,14.8,14.24,87.79,20,87.79,14.8,-0.10385622127817991,-0.5192811063908995,20.29950296916815,-1.663776664876442
21,22.7,14.88,14.16,87.18,21,87.18,14.88,-0.10491984159261494,-0.5245992079630747,20.075673283017583,-1.6808158623136913
22,22.7,14.83,14.2,87.53,22,87.53,14.83,-0.10430962809844027,-0.5215481404922013,20.20963704862338,-1.6710402421370132
23,22.7,14.85,14.19,87.39,23,87.39,14.85,-0.10455373406931848,-0.5227686703465924,20.15593608917654,-1.6749508197904819
24,22.7,14.76,14.28,88.08,24,88.08,14.76,-0.10335040503010716,-0.5167520251505358,20.409672838955508,-1.6556734885823166
25,22.7,14.76,14.27,88.08,25,88.08,14.76,-0.10335040503010716,-0.5167520251505358,20.409672838955508,-1.6556734885823166
26,22.7,14.71,14.32,88.46,26,88.46,14.71,-0.10268748343405194,-0.5134374171702597,20.55146017954478,-1.645053484613512
27,22.7,14.62,14.42,89.2,27,89.2,14.62,-0.10139621803391455,-0.5069810901695727,20.819511765428835,-1.624367412903311
28,22.7,14.53,14.51,89.92,28,89.92,14.53,-0.10013962629479144,-0.5006981314739571,21.087384886680983,-1.6042368132425588
29,22.7,14.67,14.37,88.81,29,88.81,14.67,-0.10207679249180267,-0.5103839624590133,20.67401231036094,-1.6352702157186787
30,22.7,14.66,14.38,88.87,30,88.87,14.66,-0.10197209420269165,-0.5098604710134582,20.699745069736906,-1.6335929491271202
31,22.7,14.77,14.27,88.0,31,88.0,14.77,-0.10348994967025012,-0.5174497483512506,20.380714122952444,-1.6579089937174067
32,22.7,14.72,14.31,88.37,32,88.37,14.72,-0.10284450295045265,-0.5142225147522632,20.520478724158426,-1.6475689372662514
33,22.7,14.65,14.36,88.83,33,88.83,14.65,-0.10204189330948006,-0.5102094665474003,20.70726145335106,-1.6347111308178706
34,22.7,14.69,14.35,88.64,34,88.64,14.69,-0.1023734248954022,-0.511867124477011,20.61355767885113,-1.6400222668243432
