FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,29.53,15.13,13.91,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,29.53,15.13,13.91,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,29.53,14.67,14.37,88.84,2,88.84,14.67,-0.10202444362475352,-0.5101222181237676,20.67948039636982,-1.6344315868685513
3,29.53,14.55,14.48,89.72,3,89.72,14.55,-0.10048869024540247,-0.5024434512270123,21.02020116471296,-1.6098288177313476
4,29.53,14.44,14.6,90.65,4,90.65,14.44,-0.09886556032046276,-0.49432780160231377,21.360613967081928,-1.5838262763338133
5,29.53,14.78,14.26,87.96,5,87.96,14.78,-0.10355971945588585,-0.5177985972794292,20.359027892752724,-1.6590267056832912
6,29.53,14.54,14.49,89.79,6,89.79,14.54,-0.1003665183223057,-0.5018325916115285,21.048248259536678,-1.6078716235233372
7,29.53,14.54,14.49,89.79,7,89.79,14.54,-0.1003665183223057,-0.5018325916115285,21.048248259536678,-1.6078716235233372
8,29.53,14.46,14.58,90.49,8,90.49,14.46,-0.09914479909131735,-0.4957239954565867,21.300000516128158,-1.5882996814429038
9,29.53,14.44,14.59,90.58,9,90.58,14.44,-0.09898772632255404,-0.49493863161277013,21.34763985476814,-1.5857833756873156
10,29.53,14.5,14.54,90.16,10,90.16,14.5,-0.09972074768262576,-0.49860373841312877,21.17745193390272,-1.5975263778756645
11,29.53,14.62,14.42,89.22,11,89.22,14.62,-0.10136131476707495,-0.5068065738353748,20.823170653328276,-1.6238082625685406
12,29.53,14.37,14.67,91.17,12,91.17,14.37,-0.09795810669051996,-0.48979053345259976,21.56669460468862,-1.5692888691821298
13,29.53,14.47,14.56,90.35,13,90.35,14.47,-0.09938913856093219,-0.49694569280466094,21.258662495345135,-1.5922139997461338
14,29.53,14.6,14.44,89.39,14,89.39,14.6,-0.1010646307311314,-0.5053231536556569,20.884235252499398,-1.6190553843127249
15,29.53,14.71,14.32,88.45,15,88.45,14.71,-0.10270493038153317,-0.5135246519076658,20.54964295956981,-1.6453329847121614
16,29.53,14.78,14.26,87.97,16,87.97,14.78,-0.1035422771708015,-0.5177113858540074,20.3608356073801,-1.65874728027624
17,29.53,14.59,14.45,89.45,17,89.45,14.59,-0.10095991634624,-0.5047995817312,20.910250010676044,-1.6173778598667647
18,29.53,14.52,14.51,89.95,18,89.95,14.52,-0.10008726645152353,-0.5004363322576176,21.108149722499427,-1.603398008553407
19,29.53,14.36,14.68,91.26,19,91.26,14.36,-0.09780106239074948,-0.48900531195374736,21.599234421955003,-1.5667730194998066
20,29.53,14.54,14.5,89.84,20,89.84,14.54,-0.10027925231737425,-0.5013962615868712,21.05744910360842,-1.6064736221243354
21,29.53,14.46,14.57,90.45,21,90.45,14.46,-0.09921460991112886,-0.4960730495556443,21.29259731973947,-1.5894180507762843
22,29.53,14.37,14.66,91.13,22,91.13,14.37,-0.09802790579730837,-0.49013952898654184,21.559243991377052,-1.57040705087288
23,29.53,14.44,14.6,90.62,23,90.62,14.44,-0.09891791698179232,-0.4945895849089616,21.35505365412385,-1.584665030048313
24,29.53,14.47,14.57,90.39,24,90.39,14.47,-0.09931932684794383,-0.4965966342397191,21.266060418039824,-1.5910956161040601
25,29.53,14.3,14.74,91.74,25,91.74,14.3,-0.0969635938775864,-0.4848179693879319,21.784231650835366,-1.553356773918934
26,29.53,14.51,14.53,90.1,26,90.1,14.51,-0.09982546716341019,-0.49912733581705093,21.151074572668673,-1.5992039839578311
27,29.53,14.39,14.65,91.02,27,91.02,14.39,-0.09821985819470866,-0.49109929097354327,21.507335718257412,-1.5734821282792326
28,29.53,14.54,14.5,89.84,28,89.84,14.54,-0.10027925231737425,-0.5013962615868712,21.05744910360842,-1.6064736221243354
29,29.53,14.28,14.75,91.86,29,91.86,14.28,-0.09675425775136286,-0.48377128875681424,21.83875751630344,-1.550003209176833
30,29.53,14.35,14.68,91.29,30,91.29,14.35,-0.09774871547739322,-0.48874357738696605,21.620629658252376,-1.5659344219478393
31,29.53,14.36,14.68,91.29,31,91.29,14.36,-0.09774871547739322,-0.48874357738696605,21.604826208273053,-1.5659344219478393
