FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,22.87,15.13,13.91,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,22.87,15.13,13.91,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,22.87,14.87,14.17,87.24,2,87.24,14.87,-0.10481524597204345,-0.5240762298602172,20.100593846006788,-1.679140240472136
3,22.87,14.98,14.05,86.34,3,86.34,14.98,-0.10638356160555813,-0.5319178080277907,19.785691211528658,-1.7042646569210413
4,22.87,15.1,13.94,85.45,4,85.45,15.1,-0.10793290402346095,-0.5396645201173047,19.464006726134002,-1.7290851224558443
5,22.87,14.97,14.06,86.4,5,86.4,14.97,-0.10627905195293133,-0.5313952597646566,19.810226033972594,-1.7025904122859599
6,22.87,15.26,13.78,84.19,6,84.19,15.26,-0.11012299350832258,-0.5506149675416129,19.0308657221322,-1.7641703560033277
7,22.87,15.15,13.89,85.03,7,85.03,15.15,-0.10866341245001927,-0.5433170622500963,19.322965873008513,-1.7407878674493087
8,22.87,15.25,13.79,84.22,8,84.22,15.25,-0.11007090121526245,-0.5503545060763122,19.049154617128124,-1.7633358374685044
9,22.87,15.05,13.99,85.83,9,85.83,15.05,-0.10727159944729975,-0.5363579972364987,19.59899077017275,-1.718491023145742
10,22.87,15.3,13.74,83.86,10,83.86,15.3,-0.11069582242240411,-0.5534791121120205,18.921531160265463,-1.7733470752069138
11,22.87,15.15,13.88,84.99,11,84.99,15.15,-0.1087329610194044,-0.543664805097022,19.31594220518861,-1.7419020355308583
12,22.87,15.02,14.02,86.07,12,86.07,15.02,-0.10685376675848224,-0.5342688337924112,19.682577718413786,-1.7117973434708853
13,22.87,15.53,13.51,82.01,13,82.01,15.53,-0.11390002644584463,-0.5695001322292231,18.313093155024227,-1.824678423662431
14,22.87,15.18,13.86,84.82,14,84.82,15.18,-0.10902849454486857,-0.5451424727243428,19.246187323118686,-1.7466364826087946
15,22.87,14.98,14.06,86.35,15,86.35,14.98,-0.1063661438131613,-0.5318307190658065,19.787471138196082,-1.703985623886844
16,22.87,15.07,13.96,85.62,16,85.62,15.07,-0.10763709863930476,-0.5381854931965238,19.534630342679897,-1.7243463202016622
