FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,29.32,15.13,13.9,85.15,0,85.15,15.13,-0.10845474154281087,-0.5422737077140544,19.37081761068259,-1.7374449595158301
1,29.32,15.13,13.9,85.15,1,85.15,15.13,-0.10845474154281087,-0.5422737077140544,19.37081761068259,-1.7374449595158301
2,29.32,15.96,13.09,78.7,2,78.7,15.96,-0.11959461442425177,-0.5979730721212588,17.25297838280155,-1.9159057230765133
3,29.32,16.04,13.01,78.08,3,78.08,16.04,-0.12065457368980236,-0.6032728684490117,17.06224516696689,-1.9328862705106338
4,29.32,16.01,13.04,78.35,4,78.35,16.01,-0.12019326851415008,-0.6009663425707503,17.139620475254194,-1.9254961615966841
5,29.32,16.03,13.02,78.19,5,78.19,16.03,-0.12046668933150131,-0.6023334466575065,17.091251124540108,-1.929876363090651
6,29.32,15.92,13.12,79.0,6,79.0,15.92,-0.1190808995376545,-0.5954044976882724,17.34753597687873,-1.907676010593225
7,29.32,16.15,12.9,77.26,7,77.26,16.15,-0.12205272023126822,-0.610263601156341,16.808807703830958,-1.9552845781049168
8,29.32,16.16,12.89,77.13,8,77.13,16.16,-0.12227397016638503,-0.6113698508319251,16.777059247146447,-1.9588290020654882
9,29.32,16.17,12.88,77.07,9,77.07,16.17,-0.12237604691527673,-0.6118802345763836,16.75659427090042,-1.9604642715827332
10,29.32,16.1,12.94,77.58,10,77.58,16.1,-0.12150762370171136,-0.6075381185085568,16.91498934784782,-1.946552131701416
11,29.32,16.14,12.91,77.28,11,77.28,16.14,-0.12201867167473016,-0.6100933583736508,16.82290283593126,-1.954739120229177
12,29.32,16.2,12.85,76.84,12,76.84,16.2,-0.12276711282228239,-0.6138355641114119,16.68736978575246,-1.9667291474129638
13,29.32,16.1,12.95,77.63,13,77.63,16.1,-0.12142239133458795,-0.6071119566729397,16.92306646918983,-1.9451867091800987
14,29.32,16.12,12.93,77.46,14,77.46,16.12,-0.12171211443296506,-0.6085605721648253,16.87371642289236,-1.9498280732161002
15,29.32,16.2,12.83,76.79,15,76.79,16.2,-0.12285207882056413,-0.6142603941028206,16.679369808687692,-1.9680903027054373
16,29.32,16.22,12.83,76.66,16,76.66,16.22,-0.1230729088092824,-0.6153645440464119,16.637129002235344,-1.971627999124704
17,29.32,16.34,12.72,75.79,17,75.79,16.34,-0.12454765822744365,-0.6227382911372182,16.371973444387162,-1.9952534848036472
18,29.32,16.14,12.91,77.29,18,77.29,16.14,-0.1220016463901112,-0.610008231950556,16.824512076134116,-1.9544663751695814
19,29.32,16.13,12.92,77.42,19,77.42,16.13,-0.12178025688989898,-0.6089012844494949,16.856345523391802,-1.9509197153761815
20,29.32,16.29,12.77,76.18,20,76.18,16.29,-0.12388724328526757,-0.6194362164263378,16.48625986279066,-1.9846736374299865
21,29.32,16.11,12.94,77.56,21,77.56,16.11,-0.12154171206607765,-0.6077085603303882,16.900794290127912,-1.947098227298564
22,29.32,16.29,12.76,76.16,22,76.16,16.29,-0.12392113790208895,-0.6196056895104447,16.483086921367843,-1.9852166291914648
23,29.32,16.19,12.86,76.94,23,76.94,16.19,-0.122597128875997,-0.6129856443799849,16.71414851540588,-1.9640060045934717
24,29.32,16.0,13.04,78.35,24,78.35,16.0,-0.12019326851415008,-0.6009663425707503,17.150812405024435,-1.9254961615966841
25,29.32,16.17,12.86,77.01,25,77.01,16.17,-0.12247809912608942,-0.6123904956304471,16.746966923567253,-1.9620991479999526
26,29.32,16.17,12.86,77.0,26,77.0,16.17,-0.12249510543438649,-0.6124755271719324,16.7453625914756,-1.9623715890588715
27,29.32,16.16,12.87,77.06,27,77.06,16.16,-0.12239305732413477,-0.6119652866206738,16.765817605710964,-1.960736778332639
28,29.32,16.18,12.87,76.98,28,76.98,16.18,-0.12252911599474235,-0.6126455799737117,16.731348304079198,-1.9629164382357724
29,29.32,16.19,12.86,76.95,29,76.95,16.19,-0.12258012668691037,-0.6129006334345518,16.715750389781874,-1.9637336295243042
30,29.32,16.15,12.9,77.26,30,77.26,16.15,-0.12205272023126822,-0.610263601156341,16.808807703830958,-1.9552845781049168
31,29.32,16.02,13.03,78.24,31,78.24,16.02,-0.1203812623707885,-0.6019063118539425,17.110534764907047,-1.9285078231800317
32,29.32,16.04,13.01,78.11,32,78.11,16.04,-0.12060334002213235,-0.6030167001106618,17.067119344226793,-1.9320655071545603
33,29.32,16.14,12.89,77.24,33,77.24,16.14,-0.1220867661007492,-0.610433830503746,16.81646650958531,-1.9558299929340022
34,29.32,16.16,12.89,77.12,34,77.12,16.16,-0.12229098465715003,-0.6114549232857501,16.775453105829435,-1.9591015742075435
35,29.32,15.99,13.03,78.34,35,78.34,15.99,-0.1202103619507773,-0.6010518097538865,17.16038741598961,-1.9257699984514525
36,29.32,16.2,12.83,76.76,36,76.76,16.2,-0.12290305007030473,-0.6145152503515237,16.674570608570786,-1.9689068621262817
37,29.32,16.16,12.89,77.13,37,77.13,16.16,-0.12227397016638503,-0.6113698508319251,16.777059247146447,-1.9588290020654882
38,29.32,16.05,12.97,77.89,38,77.89,16.05,-0.12097892150788046,-0.6048946075394023,17.020302773754185,-1.938082322556245
39,29.32,16.22,12.81,76.62,39,76.62,16.22,-0.1231408326542989,-0.6157041632714945,16.63074186409691,-1.9727161391218684
40,29.32,16.03,13.02,78.18,40,78.18,16.03,-0.12048377285537254,-0.6024188642768626,17.089624803522085,-1.930150041143068
41,29.32,16.2,12.83,76.73,41,76.73,16.2,-0.12295401504104429,-0.6147700752052214,16.669771999653477,-1.9697233209575296
42,29.32,16.16,12.86,77.04,42,77.04,16.16,-0.12242707609493814,-0.6121353804746906,16.76260628695356,-1.9612817590409088
43,29.32,16.19,12.86,76.95,43,76.95,16.19,-0.12258012668691037,-0.6129006334345518,16.715750389781874,-1.9637336295243042
44,29.32,16.2,12.83,76.79,44,76.79,16.2,-0.12285207882056413,-0.6142603941028206,16.679369808687692,-1.9680903027054373
45,29.32,16.16,12.87,77.08,45,77.08,16.16,-0.1223590358248053,-0.6117951791240265,16.769029182036963,-1.9601917539133809
46,29.32,16.15,12.9,77.2,46,77.2,16.15,-0.12215484976194674,-0.6107742488097336,16.79916060136168,-1.9569206931863867
47,29.32,16.14,12.88,77.18,47,77.18,16.14,-0.1221888875453675,-0.6109444377268375,16.80681392885426,-1.9574659784767872
48,29.32,16.15,12.87,77.1,48,77.1,16.15,-0.12232501160109516,-0.6116250580054757,16.783087202338706,-1.9596466858495443
49,29.32,16.09,12.94,77.6,49,77.6,16.09,-0.12147353271670634,-0.6073676635835317,16.929203058650597,-1.9460059941216354
50,29.32,16.18,12.85,76.93,50,76.93,16.18,-0.12261413037673569,-0.6130706518836784,16.723333438745318,-1.9642783686353056
51,29.32,16.3,12.76,76.11,51,76.11,16.3,-0.12400586168321726,-0.6200293084160863,16.464603707300153,-1.9865739041651405
52,29.32,16.23,12.8,76.54,52,76.54,16.23,-0.12327664647554995,-0.6163832323777497,16.607279484833636,-1.97489187653831
53,29.32,16.2,12.82,76.72,53,76.72,16.2,-0.12297100196687556,-0.6148550098343778,16.66817259495279,-1.9699954515093465
54,29.32,16.14,12.89,77.24,54,77.24,16.14,-0.1220867661007492,-0.610433830503746,16.81646650958531,-1.9558299929340022
55,29.32,16.23,12.8,76.49,55,76.49,16.23,-0.12336150708660505,-0.6168075354330252,16.599304851844057,-1.976251343527413
56,29.32,16.14,12.91,77.31,56,77.31,16.14,-0.1219675938107665,-0.6098379690538325,16.827730746536336,-1.9539208528484793
57,29.32,16.19,12.84,76.81,57,76.81,16.19,-0.12281809450597048,-0.6140904725298524,16.69333006792092,-1.967545873985647
58,29.32,16.2,12.83,76.76,58,76.76,16.2,-0.12290305007030473,-0.6145152503515237,16.674570608570786,-1.9689068621262817
59,29.32,16.12,12.9,77.33,59,77.33,16.12,-0.1219335385547371,-0.6096676927736855,16.852760159778427,-1.9533752876468882
60,29.32,16.22,12.81,76.63,60,76.63,16.22,-0.12312385274911677,-0.6156192637455838,16.63233854932504,-1.9724441210408508
61,29.32,16.05,12.98,77.93,61,77.93,16.05,-0.12091065680875884,-0.6045532840437942,17.02679299187596,-1.9369887220763167
62,29.32,16.16,12.86,77.03,62,77.03,16.16,-0.12244408445584716,-0.6122204222792358,16.761000724285367,-1.9615542329826714
63,29.32,16.16,12.86,77.03,63,77.03,16.16,-0.12244408445584716,-0.6122204222792358,16.761000724285367,-1.9615542329826714
64,29.32,16.07,12.95,77.75,64,77.75,16.07,-0.12121776721564465,-0.6060888360782232,16.975497024464488,-1.9419086307946272
65,29.32,16.21,12.82,76.66,65,76.66,16.21,-0.1230729088092824,-0.6153645440464119,16.647846381111034,-1.971627999124704
66,29.32,16.19,12.84,76.82,66,76.82,16.19,-0.12280110130579652,-0.6140055065289826,16.69493109539956,-1.9672736429188602
67,29.32,16.14,12.89,77.2,67,77.2,16.14,-0.12215484976194674,-0.6107742488097336,16.810031200736802,-1.9569206931863867
68,29.32,16.12,12.91,77.4,68,77.4,16.12,-0.12181432413965426,-0.6090716206982713,16.864042980409963,-1.9514654727172611
69,29.32,16.22,12.81,76.59,69,76.59,16.22,-0.12319176813831603,-0.6159588406915801,16.62595220631934,-1.9735321255758227
70,29.32,16.17,12.86,77.01,70,77.01,16.17,-0.12247809912608942,-0.6123904956304471,16.746966923567253,-1.9620991479999526
71,29.32,16.14,12.89,77.22,71,77.22,16.14,-0.12212080927902472,-0.6106040463951236,16.813248727777836,-1.956375364649976
72,29.32,16.18,12.85,76.92,72,76.92,16.18,-0.1226311311886086,-0.613155655943043,16.72173066031497,-1.96455072164151
73,29.32,16.2,12.83,76.77,73,76.77,16.2,-0.12288606035070132,-0.6144303017535065,16.676170276319212,-1.9686346868182352
74,29.32,16.16,12.87,77.05,74,77.05,16.16,-0.12241006705086128,-0.6120503352543064,16.764211914111733,-1.9610092741547978
75,29.32,16.27,12.76,76.24,75,76.24,16.27,-0.12378554198779633,-0.6189277099389816,16.516951456738795,-1.9830443826444972
76,29.32,16.23,12.8,76.53,76,76.53,16.23,-0.1232936200179235,-0.6164681000896175,16.60568442477834,-1.9751637926871344
77,29.32,16.32,12.71,75.81,77,75.81,16.32,-0.12451381820106783,-0.6225690910053391,16.396080469878385,-1.9947113675811066
78,29.32,16.33,12.71,75.79,78,75.79,16.33,-0.12454765822744365,-0.6227382911372182,16.38243939821775,-1.9952534848036472
79,29.32,16.39,12.64,75.26,79,75.26,16.39,-0.12544331629720543,-0.6272165814860271,16.23653290226418,-2.009601927081231
80,29.32,16.44,12.59,74.9,80,74.9,16.44,-0.12605045086426483,-0.6302522543213241,16.128703633225655,-2.0193282228455227
81,29.32,16.41,12.63,75.17,81,75.17,16.41,-0.1255951950439201,-0.6279759752196006,16.201770323233752,-2.0120350246036
82,29.32,16.36,12.68,75.55,82,75.55,16.36,-0.12495350406255426,-0.6247675203127713,16.313259190844263,-2.001755135082119
83,29.32,16.37,12.66,75.45,83,75.45,16.37,-0.12512247768080756,-0.6256123884040378,16.28712003510635,-2.004462092446537
84,29.32,16.55,12.49,74.07,84,74.07,16.55,-0.12744627476878087,-0.6372313738439044,15.888333624909459,-2.0416893217958694
85,29.32,16.27,12.74,76.11,85,76.11,16.27,-0.12400586168321726,-0.6200293084160863,16.49630042869444,-1.9865739041651405
86,29.32,16.55,12.49,74.11,86,74.11,16.55,-0.12737913589966066,-0.6368956794983033,15.89451561113057,-2.0406137571125638
87,29.32,16.53,12.53,74.34,87,74.34,16.53,-0.12699282944604962,-0.6349641472302481,15.95019653043841,-2.0344251277257146
88,29.32,16.39,12.62,75.19,88,75.19,16.39,-0.12556144965584368,-0.6278072482792184,16.225544631155348,-2.0114944234866154
89,29.32,16.55,12.49,74.05,89,74.05,16.55,-0.12747983918901806,-0.6373991959450903,15.885243093505741,-2.0422270238080693
90,29.32,16.57,12.47,73.9,90,73.9,16.57,-0.12773146533023777,-0.6386573266511888,15.842099421581436,-2.046258074590409
91,29.32,16.69,12.36,73.06,91,73.06,16.69,-0.12913701045964174,-0.6456850522982086,15.595011958813632,-2.0687749075634607
92,29.32,16.85,12.2,71.79,92,71.79,16.85,-0.1312500715155268,-0.6562503575776341,15.24966695165382,-2.1026261456787396
93,29.32,16.74,12.31,72.66,93,72.66,16.74,-0.1298041350336003,-0.6490206751680014,15.48573455392828,-2.079462243238277
