FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,22.46,15.13,13.91,85.19,0,85.19,15.13,-0.10838517628706115,-0.5419258814353057,19.37785268893001,-1.7363305241187197
1,22.46,15.13,13.91,85.19,1,85.19,15.13,-0.10838517628706115,-0.5419258814353057,19.37785268893001,-1.7363305241187197
2,22.46,14.79,14.24,87.82,2,87.82,14.79,-0.10380389981961957,-0.5190194990980979,20.319309297062247,-1.6629384751103056
3,22.46,14.85,14.19,87.4,3,87.4,14.85,-0.10453629881292537,-0.5226814940646268,20.157734148156507,-1.6746715069830642
4,22.46,15.14,13.9,85.12,4,85.12,15.14,-0.10850691278224278,-0.5425345639112139,19.352146887787065,-1.7382807427715292
5,22.46,15.22,13.82,84.48,5,84.48,15.22,-0.10961932054943778,-0.5480966027471889,19.133851004377323,-1.7561015152019932
6,22.46,15.17,13.87,84.9,6,84.9,15.17,-0.10888942968664415,-0.5444471484332207,19.273496726827126,-1.7444086635800393
7,22.46,15.18,13.85,84.76,7,84.76,15.18,-0.10913278165236978,-0.5456639082618489,19.23567722528199,-1.7483071620709638
8,22.46,15.12,13.92,85.28,8,85.28,15.12,-0.10822863957079656,-0.5411431978539828,19.407115817588505,-1.733822805924161
9,22.46,15.27,13.77,84.11,9,84.11,15.27,-0.1102618926830133,-0.5513094634150665,19.003907409024684,-1.766395520781873
10,22.46,15.03,14.0,85.94,10,85.94,15.03,-0.10708010819355257,-0.5354005409677628,19.645810538622396,-1.715423333260712
11,22.46,15.13,13.91,85.18,11,85.18,15.13,-0.10840256798546362,-0.5420128399273181,19.376093880487513,-1.7366091391271272
12,22.46,15.18,13.86,84.82,12,84.82,15.18,-0.10902849454486857,-0.5451424727243428,19.246187323118686,-1.7466364826087946
13,22.46,15.1,13.94,85.42,13,85.42,15.1,-0.1079850977983059,-0.5399254889915295,19.45871742876904,-1.7299212667288604
14,22.46,15.12,13.92,85.27,14,85.27,15.12,-0.1082460335489697,-0.5412301677448484,19.405355560226933,-1.7341014574544944
15,22.46,15.21,13.82,84.52,15,84.52,15.21,-0.10954982878675563,-0.5477491439337782,19.15401090767194,-1.7549882571638251
16,22.46,15.16,13.87,84.92,16,84.92,15.16,-0.10885466075362223,-0.5442733037681111,19.29031831310811,-1.743851665273028
17,22.46,15.19,13.85,84.72,17,84.72,15.19,-0.10920230083375473,-0.5460115041687736,19.215416688886826,-1.7494208593567508
18,22.46,15.24,13.8,84.32,18,84.32,15.24,-0.10989724037810651,-0.5494862018905325,19.079669834104465,-1.7605537908572664
19,22.46,15.47,13.57,82.54,19,82.54,15.47,-0.11298340013805182,-0.5649170006902591,18.477971094402076,-1.80999407021159
20,22.46,15.21,13.83,84.58,20,84.58,15.21,-0.10944558242618496,-0.5472279121309248,19.16449520345774,-1.753318230467483
21,22.46,15.37,13.66,83.26,21,83.26,15.37,-0.1117364072525805,-0.5586820362629025,18.72783389960745,-1.7900172441863396
22,22.46,15.35,13.69,83.44,22,83.44,15.35,-0.11142436175213409,-0.5571218087606704,18.784455325374754,-1.785018275269188
23,22.46,15.35,13.69,83.48,23,83.48,15.35,-0.11135500288688634,-0.5567750144344317,18.791364322304428,-1.783907146247919
24,22.46,15.39,13.65,83.11,24,83.11,15.39,-0.11199635681628382,-0.5599817840814191,18.676541620919615,-1.7941816361968668
25,22.46,15.32,13.72,83.69,25,83.69,15.32,-0.11099077883319051,-0.5549538941659525,18.866235131888168,-1.778072276907712
26,22.46,15.58,13.46,81.61,26,81.61,15.58,-0.11459103657442256,-0.5729551828721128,18.183852839324306,-1.8357484059222493
27,22.46,15.25,13.76,84.11,27,84.11,15.25,-0.1102618926830133,-0.5513094634150665,19.029998911009276,-1.766395520781873
28,22.46,15.41,13.63,82.95,28,82.95,15.41,-0.11227354568070147,-0.5613677284035073,18.623678274740392,-1.7986222018048375
29,22.46,15.35,13.69,83.49,29,83.49,15.35,-0.11133766230452101,-0.556688311522605,18.79309165780642,-1.7836293501184266
30,22.46,15.57,13.47,81.7,30,81.7,15.57,-0.11443562010009732,-0.5721781005004866,18.211320938850076,-1.833258634003559
31,22.46,15.56,13.48,81.8,31,81.8,15.56,-0.11426289337055118,-0.5713144668527559,18.24052590977342,-1.83049155179623
32,22.46,15.54,13.5,82.0,32,82.0,15.54,-0.11391731009600654,-0.5695865504800327,18.29906647420544,-1.8249553077380247
33,22.46,15.58,13.46,81.63,33,81.63,15.58,-0.11455650267790617,-0.5727825133895308,18.187239726779044,-1.8351951729000566
34,22.46,15.66,13.39,81.06,34,81.06,15.66,-0.11554000746428689,-0.5777000373214344,17.99414254001117,-1.850950919577876
35,22.46,15.57,13.47,81.75,35,81.75,15.57,-0.11434926219911792,-0.5717463109955896,18.219796118468004,-1.8318751804298692
36,22.46,15.61,13.43,81.44,36,81.44,15.61,-0.11488450248849523,-0.5744225124424761,18.11858074915081,-1.8404497298656934
37,22.46,15.58,13.46,81.62,37,81.62,15.58,-0.11457376984813555,-0.5728688492406777,18.185546261282006,-1.8354717929671316
38,22.46,15.48,13.56,82.46,38,82.46,15.48,-0.11312183194427046,-0.5656091597213523,18.45181447512382,-1.8122117477472126
39,22.46,15.58,13.46,81.65,39,81.65,15.58,-0.11452196700772405,-0.5726098350386202,18.190626788184797,-1.8346419114637391
40,22.46,15.57,13.47,81.71,40,81.71,15.57,-0.1144183493972653,-0.5720917469863265,18.213015888669016,-1.8329819573441901
41,22.46,15.71,13.33,80.62,41,80.62,15.71,-0.11629815736476581,-0.581490786823829,17.860552012685297,-1.8630964809835482
42,22.46,15.68,13.36,80.89,42,80.89,15.68,-0.1158330401064798,-0.579165200532399,17.94159586363956,-1.8556453025058062
43,22.46,15.73,13.31,80.44,43,80.44,15.73,-0.1166080351041148,-0.583040175520574,17.80672164404685,-1.868060722367919
44,22.46,15.72,13.33,80.6,44,80.6,15.72,-0.11633259622416224,-0.5816629811208112,17.845326855503032,-1.863648191511079
45,22.46,15.88,13.16,79.3,45,79.3,15.88,-0.11856666153855773,-0.5928333076927886,17.442641266455077,-1.8994379178476948
46,22.46,15.77,13.27,80.18,46,80.18,15.77,-0.11705534610353655,-0.5852767305176827,17.716188120658117,-1.8752266445786554
47,22.46,15.87,13.17,79.36,47,79.36,15.87,-0.11846375240562271,-0.5923187620281135,17.46402820974428,-1.8977893135380757
48,22.46,15.78,13.26,80.11,48,80.11,15.78,-0.11717571636493174,-0.5858785818246587,17.6928029343649,-1.8771549761662063
49,22.46,15.83,13.21,79.7,49,79.7,15.83,-0.11788022151163496,-0.5894011075581748,17.56643827316597,-1.8884411486163921
50,22.46,16.09,12.96,77.71,50,77.71,16.09,-0.12128598564090448,-0.6064299282045224,16.946987662679465,-1.9430014899672898
51,22.46,15.9,13.15,79.17,51,79.17,15.9,-0.11878956132781662,-0.5939478066390831,17.398311611050286,-1.9030087724716223
52,22.46,15.93,13.12,78.95,52,78.95,15.93,-0.11916655539320548,-0.5958327769660273,17.327948710693153,-1.9090482173991516
53,22.46,15.84,13.21,79.64,53,79.64,15.84,-0.11798324388911441,-0.589916219445572,17.544916502698015,-1.8900915671036127
54,22.46,16.0,13.04,78.36,54,78.36,16.0,-0.1201761744624007,-0.6008808723120035,17.152442916142526,-1.925222314887659
55,22.46,15.55,13.46,81.76,55,81.76,15.55,-0.11433198930550695,-0.5716599465275347,18.24600569231306,-1.8315984686742213
56,22.46,15.93,13.12,78.93,56,78.93,15.93,-0.11920081365215199,-0.5960040682607599,17.324665991861835,-1.9095970347074749
57,22.46,15.91,13.14,79.09,57,79.09,15.91,-0.1189266824235485,-0.5946334121177425,17.373727301695,-1.9052054524252469
58,22.46,15.92,13.13,79.03,58,79.03,15.92,-0.11902949904529986,-0.5951474952264992,17.352464543780027,-1.9068525747057037
59,22.46,15.78,13.26,80.09,59,80.09,15.78,-0.11721010316722419,-0.5860505158361209,17.68947515479204,-1.8777058527389314
60,22.46,15.83,13.21,79.7,60,79.7,15.83,-0.11788022151163496,-0.5894011075581748,17.56643827316597,-1.8884411486163921
61,22.46,15.83,13.21,79.68,61,79.68,15.83,-0.11791456448835823,-0.5895728224417911,17.56312570719574,-1.8889913231034987
62,22.46,15.83,13.22,79.72,62,79.72,15.83,-0.11784587635626094,-0.5892293817813047,17.569751049278857,-1.8878909392273002
63,22.46,15.81,13.23,79.84,63,79.84,15.81,-0.11763975990672122,-0.5881987995336061,17.61289118498688,-1.884588953705674
64,22.46,15.8,13.24,79.95,64,79.95,15.8,-0.11745075183269921,-0.587253759163496,17.64281080412539,-1.8815610443598412
65,22.46,15.79,13.23,79.92,65,79.92,15.79,-0.11750230589752762,-0.5875115294876381,17.649505043468935,-1.8823869404783924
66,22.46,15.82,13.2,79.66,66,79.66,15.82,-0.11794890528224618,-0.5897445264112309,17.571415524671494,-1.8895414626215836
67,22.46,15.91,13.13,79.06,67,79.06,15.91,-0.11897809333590013,-0.5948904666795006,17.368794497770686,-1.90602905524112
68,22.46,15.84,13.21,79.64,68,79.64,15.84,-0.11798324388911441,-0.589916219445572,17.544916502698015,-1.8900915671036127
69,22.46,15.77,13.28,80.19,69,80.19,15.77,-0.11703814826957576,-0.5851907413478787,17.717853542714614,-1.8749511352786037
70,22.46,15.77,13.25,80.11,70,80.11,15.77,-0.11717571636493174,-0.5858785818246587,17.704531577820756,-1.8771549761662063
71,22.46,15.78,13.26,80.06,71,80.06,15.78,-0.11726167943748066,-0.5863083971874032,17.684483866066092,-1.87853210458844
72,22.46,15.95,13.09,78.74,72,78.74,15.95,-0.11952614983678451,-0.5976307491839226,17.270832966226664,-1.9148089203852878
73,22.46,15.71,13.3,80.51,73,80.51,15.71,-0.11648754640366143,-0.5824377320183072,17.842138518670737,-1.866130493386656
74,22.46,15.85,13.17,79.45,74,79.45,15.85,-0.11830935077692693,-0.5915467538846346,17.501933757351807,-1.8953157994463694
75,22.46,15.99,13.03,78.33,75,78.33,15.99,-0.12022745477176172,-0.6011372738588086,17.15875595695055,-1.9260438254436227
76,22.46,15.91,13.11,78.99,76,78.99,15.91,-0.11909803187332704,-0.5954901593666352,17.35728656567937,-1.9079504706106991
77,22.46,15.82,13.2,79.65,77,79.65,15.82,-0.11796607485931926,-0.5898303742965962,17.569758331818015,-1.8898165192462946
