FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,21.03,15.13,13.91,85.17,0,85.17,15.13,-0.10841995942790926,-0.5420997971395463,19.374335097929723,-1.7368877500351063
1,21.03,15.13,13.91,85.17,1,85.17,15.13,-0.10841995942790926,-0.5420997971395463,19.374335097929723,-1.7368877500351063
2,21.03,15.05,13.98,85.77,2,85.77,15.05,-0.10737603797035991,-0.5368801898517995,19.588370178481867,-1.7201641282851656
3,21.03,15.29,13.75,83.92,3,83.92,15.29,-0.11059169754492518,-0.5529584877246259,18.944899641251556,-1.7716789946697014
4,21.03,14.52,14.52,89.98,4,89.98,14.52,-0.10003490658433101,-0.500174532921655,21.11367823434823,-1.6025592034809828
5,21.03,14.86,14.18,87.33,5,87.33,14.86,-0.10465834267608028,-0.5232917133804014,20.130940088090572,-1.676626649670806
6,21.03,15.06,13.98,85.73,6,85.73,15.06,-0.10744565916573046,-0.5372282958286523,19.5676712730344,-1.7212794598350019
7,21.03,14.86,14.17,87.29,7,87.29,14.86,-0.10472807891631145,-0.5236403945815572,20.123753417857017,-1.6777438242393092
8,21.03,14.84,14.19,87.44,8,87.44,14.84,-0.10446655641082864,-0.5223327820541431,20.179168471740144,-1.6735542337014748
9,21.03,14.8,14.21,87.69,9,87.69,14.8,-0.10403061842410544,-0.5201530921205272,20.281454089899075,-1.666570507154169
10,21.03,14.9,14.13,86.97,10,86.97,14.9,-0.10528588302466264,-0.5264294151233132,20.009818464216192,-1.6866798460550956
11,21.03,14.97,14.06,86.4,11,86.4,14.97,-0.10627905195293133,-0.5313952597646566,19.810226033972594,-1.7025904122859599
12,21.03,14.87,14.17,87.25,12,87.25,14.87,-0.1047978128521344,-0.5239890642606719,20.102389150483848,-1.678860961891193
13,21.03,14.63,14.38,89.0,13,89.0,14.63,-0.10174524064372836,-0.5087262032186418,20.768025539145864,-1.6299587551125283
14,21.03,14.81,14.23,87.73,14,87.73,14.81,-0.10396086100934193,-0.5198043050467096,20.27431389319086,-1.6654529933696578
15,21.03,15.05,13.99,85.83,15,85.83,15.05,-0.10727159944729975,-0.5363579972364987,19.59899077017275,-1.718491023145742
16,21.03,14.67,14.37,88.81,16,88.81,14.67,-0.10207679249180267,-0.5103839624590133,20.67401231036094,-1.6352702157186787
17,21.03,14.82,14.22,87.64,17,87.64,14.82,-0.10411781242603349,-0.5205890621301674,20.243754171192293,-1.6679673550650564
18,21.03,14.75,14.28,88.15,18,88.15,14.75,-0.10322829810257744,-0.5161414905128872,20.436861582908634,-1.6537173356032906
19,21.03,14.84,14.2,87.46,19,87.46,14.84,-0.10443168439130122,-0.5221584219565061,20.182767285038146,-1.6729955839486457
20,21.03,14.76,14.28,88.12,20,88.12,14.76,-0.10328063024361232,-0.5164031512180616,20.41691455519187,-1.6545556965026693
21,21.03,14.82,14.21,87.6,21,87.6,14.82,-0.10418756537291998,-0.5209378268645999,20.23654544268576,-1.669084797274178
22,21.03,14.84,14.2,87.47,22,87.47,14.84,-0.1044142481787767,-0.5220712408938835,20.184566712612188,-1.6727162558240027
23,21.03,14.71,14.33,88.48,23,88.48,14.71,-0.1026525892940246,-0.5132629464701229,20.555094645019913,-1.6444944804902741
24,21.03,14.63,14.41,89.12,24,89.12,14.63,-0.1015358293574953,-0.5076791467874765,20.78996225811692,-1.6266039863070747
25,21.03,14.7,14.33,88.54,25,88.54,14.7,-0.10254790495169004,-0.5127395247584502,20.580667888340074,-1.6428174373260744
26,21.03,14.6,14.43,89.33,26,89.33,14.6,-0.10116934394852461,-0.5058467197426231,20.873242458839208,-1.6207328900553644
27,21.03,14.88,14.16,87.15,27,87.15,14.88,-0.10497213738686578,-0.5248606869343289,20.07029152975253,-1.6816536409375897
28,21.03,14.95,14.09,86.6,28,86.6,14.95,-0.10593063735759618,-0.5296531867879809,19.873673504696292,-1.697008810468691
29,21.03,14.7,14.34,88.56,29,88.56,14.7,-0.10251300954433376,-0.5125650477216688,20.584305078360533,-1.642258412900227
30,21.03,14.53,14.51,89.9,30,89.9,14.53,-0.10017453283658984,-0.5008726641829492,21.083701877046213,-1.604796016042169
31,21.03,14.7,14.34,88.59,31,88.59,14.7,-0.10246066586049817,-0.5123033293024908,20.589760923094964,-1.6414198670851805
32,21.03,14.58,14.45,89.49,32,89.49,14.58,-0.10089010616440958,-0.5044505308220478,20.932632637787492,-1.6162595007538414
33,21.03,14.62,14.42,89.19,33,89.19,14.62,-0.1014136696038033,-0.5070683480190165,20.817682328139032,-1.6246469870529288
34,21.03,14.69,14.34,88.63,34,88.63,14.69,-0.10239087323514473,-0.5119543661757237,20.61173771937709,-1.6403017892270186
35,21.03,14.43,14.61,90.71,35,90.71,14.43,-0.09876084794519667,-0.4938042397259833,21.387276894572828,-1.5821487840820505
36,21.03,14.7,14.34,88.56,36,88.56,14.7,-0.10251300954433376,-0.5125650477216688,20.584305078360533,-1.642258412900227
37,21.03,14.61,14.41,89.21,37,89.21,14.61,-0.10137876642149456,-0.5068938321074727,20.836288532443593,-1.6240878380723427
38,21.03,14.44,14.58,90.56,38,90.56,14.44,-0.0990226311800751,-0.49511315590037547,21.343932935215868,-1.5863425515048029
39,21.03,14.71,14.33,88.48,39,88.48,14.71,-0.1026525892940246,-0.5132629464701229,20.555094645019913,-1.6444944804902741
40,21.03,14.83,14.2,87.53,40,87.53,14.83,-0.10430962809844027,-0.5215481404922013,20.20963704862338,-1.6710402421370132
41,21.03,14.63,14.41,89.15,41,89.15,14.63,-0.10148347544741386,-0.5074173772370693,20.7954465518871,-1.62576527666757
42,21.03,14.99,14.04,86.24,42,86.24,14.99,-0.10655772874699217,-0.5327886437349608,19.7540773099819,-1.7070548145268145
43,21.03,14.81,14.23,87.7,43,87.7,14.81,-0.10401317925325598,-0.5200658962662799,20.268903154779565,-1.6662911316371607
44,21.03,14.6,14.44,89.37,44,89.37,14.6,-0.10109953527232184,-0.5054976763616091,20.880570973732475,-1.6196145550625958
45,21.03,14.75,14.29,88.19,45,88.19,14.75,-0.10315852054025663,-0.5157926027012831,20.444108734653483,-1.6525994990549113
46,21.03,14.91,14.13,86.95,46,86.95,14.91,-0.10532074048737364,-0.5266037024368682,19.99217573038605,-1.6872382626077256
47,21.03,14.54,14.5,89.85,47,89.85,14.54,-0.10026179908874183,-0.5013089954437091,21.059289275337623,-1.6061940214016441
48,21.03,14.61,14.42,89.25,48,89.25,14.61,-0.10130895955713447,-0.5065447977856723,20.843611596252767,-1.6229695321052942
49,21.03,14.6,14.44,89.35,49,89.35,14.6,-0.10113443967953724,-0.5056721983976862,20.876906709030255,-1.6201737236661866
50,21.03,14.63,14.41,89.14,50,89.14,14.63,-0.10150092679667239,-0.5075046339833619,20.79361844915569,-1.6260448472826916
51,21.03,14.78,14.26,87.96,51,87.96,14.78,-0.10355971945588585,-0.5177985972794292,20.359027892752724,-1.6590267056832912
52,21.03,14.86,14.18,87.3,52,87.3,14.86,-0.10471064507096427,-0.5235532253548213,20.1255500632884,-1.6774645340368475
53,21.03,14.54,14.5,89.84,53,89.84,14.54,-0.10027925231737425,-0.5013962615868712,21.05744910360842,-1.6064736221243354
54,21.03,14.58,14.44,89.45,54,89.45,14.58,-0.10095991634624,-0.5047995817312,20.92529341991899,-1.6173778598667647
55,21.03,14.75,14.29,88.19,55,88.19,14.75,-0.10315852054025663,-0.5157926027012831,20.444108734653483,-1.6525994990549113
56,21.03,14.53,14.49,89.83,56,89.83,14.53,-0.1002967055375002,-0.5014835276875009,21.070811363939583,-1.606753222710753
57,21.03,14.73,14.31,88.33,57,88.33,14.73,-0.10291428717235447,-0.5145714358617723,20.498614551290437,-1.6486868805011186
58,21.03,14.73,14.31,88.33,58,88.33,14.73,-0.10291428717235447,-0.5145714358617723,20.498614551290437,-1.6486868805011186
59,21.03,14.61,14.41,89.2,59,89.2,14.61,-0.10139621803391455,-0.5069810901695727,20.83445777736677,-1.624367412903311
60,21.03,14.71,14.33,88.49,60,88.49,14.71,-0.10263514210254149,-0.5131757105127074,20.556911890409364,-1.6442149764827145
61,21.03,14.52,14.51,89.97,61,89.97,14.52,-0.10005235987516736,-0.5002617993758368,21.111835396878174,-1.6028388052001812
62,21.03,14.75,14.29,88.2,62,88.2,14.75,-0.10314107590781281,-0.515705379539064,20.44592054770984,-1.6523200360431611
63,21.03,14.95,14.09,86.58,63,86.58,14.95,-0.10596548213901709,-0.5298274106950854,19.870105224778882,-1.6975670238670537
64,21.03,14.96,14.07,86.5,64,86.5,14.96,-0.1061048539534857,-0.5305242697674285,19.84192661995137,-1.699799760334841
65,21.03,14.56,14.48,89.7,65,89.7,14.56,-0.10052359638314196,-0.5026179819157097,21.001381998958205,-1.610388014057934
66,21.03,14.7,14.34,88.56,66,88.56,14.7,-0.10251300954433376,-0.5125650477216688,20.584305078360533,-1.642258412900227
67,21.03,14.75,14.29,88.18,67,88.18,14.75,-0.10317596507648635,-0.5158798253824317,20.44229693159,-1.6528789605253114
68,21.03,14.65,14.38,88.94,68,88.94,14.65,-0.10184994347345017,-0.5092497173672508,20.72734022409225,-1.6316360944446717
69,21.03,14.64,14.4,89.05,69,89.05,14.64,-0.10165798681876977,-0.5082899340938488,20.76228209619065,-1.6285609488366917
70,21.03,14.7,14.34,88.59,70,88.59,14.7,-0.10246066586049817,-0.5123033293024908,20.589760923094964,-1.6414198670851805
71,21.03,14.59,14.45,89.45,71,89.45,14.59,-0.10095991634624,-0.5047995817312,20.910250010676044,-1.6173778598667647
72,21.03,14.71,14.33,88.48,72,88.48,14.71,-0.1026525892940246,-0.5132629464701229,20.555094645019913,-1.6444944804902741
73,21.03,14.73,14.31,88.33,73,88.33,14.73,-0.10291428717235447,-0.5145714358617723,20.498614551290437,-1.6486868805011186
74,21.03,14.79,14.25,87.84,74,87.84,14.79,-0.10376901826699346,-0.5188450913349673,20.3229218513175,-1.662379672637235
