FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,0.0,0.0,0.0,180.0,0,180.0,0.0,-0.0,-0.0,inf,-0.0
1,0.0,0.0,0.0,180.0,1,180.0,0.0,-0.0,-0.0,inf,-0.0
2,0.0,0.0,0.0,180.0,2,180.0,0.0,-0.0,-0.0,inf,-0.0
3,0.0,0.0,0.0,180.0,3,180.0,0.0,-0.0,-0.0,inf,-0.0
4,0.0,0.0,0.0,180.0,4,180.0,0.0,-0.0,-0.0,inf,-0.0
5,0.0,0.0,0.0,180.0,5,180.0,0.0,-0.0,-0.0,inf,-0.0
6,0.0,0.0,0.0,180.0,6,180.0,0.0,-0.0,-0.0,inf,-0.0
7,0.0,0.0,0.0,180.0,7,180.0,0.0,-0.0,-0.0,inf,-0.0
8,0.0,0.0,0.0,180.0,8,180.0,0.0,-0.0,-0.0,inf,-0.0
9,23.74,1.32,22.97,173.42,9,173.42,1.32,-0.0006587174285968223,-0.0032935871429841113,518.433434754111,-0.010552653206121093
10,0.0,0.0,0.0,180.0,10,180.0,0.0,-0.0,-0.0,inf,-0.0
11,0.0,0.0,0.0,180.0,11,180.0,0.0,-0.0,-0.0,inf,-0.0
12,0.0,0.0,0.0,180.0,12,180.0,0.0,-0.0,-0.0,inf,-0.0
13,0.0,0.0,0.0,180.0,13,180.0,0.0,-0.0,-0.0,inf,-0.0
14,0.0,0.0,0.0,180.0,14,180.0,0.0,-0.0,-0.0,inf,-0.0
15,0.0,0.0,0.0,180.0,15,180.0,0.0,-0.0,-0.0,inf,-0.0
16,0.0,0.0,0.0,180.0,16,180.0,0.0,-0.0,-0.0,inf,-0.0
17,0.0,0.0,0.0,180.0,17,180.0,0.0,-0.0,-0.0,inf,-0.0
18,23.74,1.9,22.89,170.5,18,170.5,1.9,-0.0013714398462768562,-0.006857199231384281,319.57582328053934,-0.021970466337355235
19,23.74,2.54,22.77,167.29,19,167.29,2.54,-0.002450384131332906,-0.012251920656664528,221.20338203060052,-0.03925515378395315
20,23.74,2.54,22.77,167.26,20,167.26,2.54,-0.0024619175378077563,-0.012309587689038781,221.19480790251393,-0.039439918955680255
21,23.74,1.9,22.89,170.51,21,170.51,1.9,-0.001368560724345558,-0.006842803621727789,319.57890435811964,-0.021924342804015836
22,23.74,3.52,22.51,162.23,22,162.23,3.52,-0.004771067609362679,-0.02385533804681339,148.32193006437728,-0.07643250310199011
