FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,23.4,15.07,13.97,85.69,0,85.69,15.07,-0.10751527673217726,-0.5375763836608862,19.54700146989072,-1.7223947332494796
1,23.4,15.07,13.97,85.69,1,85.69,15.07,-0.10751527673217726,-0.5375763836608862,19.54700146989072,-1.7223947332494796
2,23.4,14.41,14.62,90.83,2,90.83,14.41,-0.09855142738613937,-0.4927571369306968,21.44071866402604,-1.5787938667259527
3,23.4,14.33,14.71,91.49,3,91.49,14.33,-0.0973997525207064,-0.486998762603532,21.689664600717993,-1.5603440353817164
4,23.4,14.44,14.6,90.63,4,90.63,14.44,-0.09890046472767819,-0.4945023236383909,21.35690709535242,-1.5843854449374046
5,23.4,14.24,14.79,92.17,5,92.17,14.24,-0.09621354089902243,-0.4810677044951121,21.96144345993217,-1.5413409252023391
6,23.4,14.51,14.52,90.03,6,90.03,14.51,-0.09994764012483265,-0.4997382006241632,21.138165390960125,-1.601161194799819
7,23.4,14.43,14.6,90.67,7,90.67,14.43,-0.0988306560514754,-0.4941532802573769,21.379857834796315,-1.5832671099446358
8,23.4,14.29,14.75,91.81,8,91.81,14.29,-0.0968414794597434,-0.484207397298717,21.81334781420409,-1.5514005009450893
9,23.4,14.28,14.75,91.85,9,91.85,14.28,-0.09677170189742257,-0.4838585094871128,21.836883142593752,-1.5502826643967096
10,23.4,14.6,14.43,89.33,10,89.33,14.6,-0.10116934394852461,-0.5058467197426231,20.873242458839208,-1.6207328900553644
11,23.4,14.5,14.54,90.15,11,90.15,14.5,-0.0997382009112582,-0.498691004556291,21.175606436148072,-1.5978059785983565
12,23.4,14.5,14.54,90.14,12,90.14,14.5,-0.09975565414786551,-0.4987782707393275,21.173760937550156,-1.5980855794488054
13,23.4,14.45,14.58,90.52,13,90.52,14.45,-0.09909244124813249,-0.4954622062406624,21.32102475283889,-1.5874609087950824
14,23.4,14.39,14.65,91.05,14,91.05,14.39,-0.09816750686038973,-0.49083753430194865,21.512915740713648,-1.5726434599034436
15,23.4,14.28,14.76,91.87,15,91.87,14.28,-0.09673681370417408,-0.4836840685208704,21.840631879389445,-1.5497237555408687
16,23.4,14.47,14.56,90.37,16,90.37,14.47,-0.0993542326650956,-0.496771163325478,21.26236146086158,-1.5916548072948316
17,23.4,14.51,14.53,90.1,17,90.1,14.51,-0.09982546716341019,-0.49912733581705093,21.151074572668673,-1.5992039839578311
18,23.4,14.34,14.69,91.37,18,91.37,14.34,-0.09760912676485528,-0.48804563382427635,21.651389126924762,-1.5636982107729815
19,23.4,14.21,14.83,92.43,19,92.43,14.21,-0.09576012125444157,-0.47880060627220783,22.0591048878833,-1.534077142496154
20,23.4,14.41,14.62,90.81,20,90.81,14.41,-0.09858633039619674,-0.49293165198098365,21.43700384187834,-1.5793530129470719
21,23.4,14.32,14.72,91.57,21,91.57,14.32,-0.09726017597122648,-0.48630087985613235,21.72051836856973,-1.5581080190590482
22,23.4,14.17,14.87,92.78,22,92.78,14.17,-0.09514988822871193,-0.4757494411435596,22.190609550333185,-1.524301209423965
23,23.4,14.17,14.87,92.75,23,92.75,14.17,-0.0952021871478656,-0.476010935739328,22.184944213444627,-1.5251390381088068
24,23.4,14.16,14.88,92.85,24,92.85,14.16,-0.09502786261313423,-0.4751393130656711,22.22029757054432,-1.5223463590624102
25,23.4,14.18,14.86,92.7,25,92.7,14.18,-0.09528935492903573,-0.4764467746451786,22.15907752569961,-1.5265354659631523
26,23.4,14.17,14.86,92.72,26,92.72,14.17,-0.09525448738236691,-0.4762724369118345,22.179278734069612,-1.525976887865518
27,23.4,14.27,14.77,91.98,27,91.98,14.27,-0.09654493586255278,-0.48272467931276386,21.87733387505073,-1.5466498725180955
28,23.4,14.14,14.9,92.98,28,92.98,14.14,-0.09480126344062484,-0.4740063172031242,22.277911036785195,-1.51871624031881
29,23.4,14.17,14.87,92.75,29,92.75,14.17,-0.0952021871478656,-0.476010935739328,22.184944213444627,-1.5251390381088068
30,23.4,14.27,14.76,91.92,30,91.92,14.27,-0.09664959496989285,-0.48324797484946425,21.86607997855004,-1.5483265114176834
31,23.4,14.17,14.87,92.78,31,92.78,14.17,-0.09514988822871193,-0.4757494411435596,22.190609550333185,-1.524301209423965
32,23.4,14.14,14.9,92.99,32,92.99,14.14,-0.0947838338287185,-0.47391916914359244,22.27980332593846,-1.5184370179360702
33,23.4,14.11,14.92,93.19,33,93.19,14.11,-0.09443527566433726,-0.4721763783216863,22.367491252364587,-1.512853116142683
34,23.4,14.23,14.78,92.15,34,92.15,14.23,-0.09624842268180153,-0.48124211340900763,21.97388750025962,-1.5418997313624605
35,23.4,13.98,15.06,94.27,35,94.27,13.98,-0.09255434083426953,-0.4627717041713476,22.79274646565722,-1.4827205401649979
36,23.4,14.04,15.0,93.81,36,93.81,14.04,-0.0933551951401264,-0.46677597570063195,22.602805811914788,-1.4955502261448248
37,23.4,14.04,14.99,93.75,37,93.75,14.04,-0.09345968707698571,-0.46729843538492855,22.591376485349606,-1.497224186973311
38,23.4,13.97,15.06,94.31,38,94.31,13.97,-0.09248472326782278,-0.4624236163391139,22.817548151716572,-1.4816052667505208
39,23.4,14.17,14.87,92.74,39,92.74,14.17,-0.09521962041392439,-0.4760981020696219,22.183055736074742,-1.5254183190310686
40,23.4,14.2,14.84,92.52,40,92.52,14.2,-0.09560318816821353,-0.47801594084106763,22.092381052162242,-1.5315630744547808
41,23.4,13.91,15.13,94.81,41,94.81,13.91,-0.09161482371293889,-0.4580741185646944,23.01709107178074,-1.467669475881281
42,23.4,13.94,15.1,94.57,42,94.57,13.94,-0.09203229988410906,-0.4601614994205453,22.919019883552533,-1.474357444143427
43,23.4,13.76,15.27,95.96,43,95.96,13.76,-0.08961658694111929,-0.4480829347055964,23.504225501125866,-1.435657722796731
44,23.4,14.07,14.96,93.52,44,93.52,14.07,-0.09386030494192847,-0.4693015247096423,22.497048371193316,-1.503642085169694
45,23.4,14.1,14.93,93.29,45,93.29,14.1,-0.09426102174339009,-0.4713051087169504,22.403130625413507,-1.5100615683291092
46,23.4,14.19,14.85,92.61,46,92.61,14.19,-0.09544626593068156,-0.47723132965340775,22.12570524328765,-1.5290491802095185
47,23.4,14.12,14.92,93.18,47,93.18,14.12,-0.09445270199750211,-0.47226350998751054,22.348956558883202,-1.5131322859999838
48,23.4,14.25,14.78,92.09,48,92.09,14.25,-0.09635307075584748,-0.48176535377923735,21.93023574446615,-1.5435761935086767
49,23.4,14.32,14.72,91.56,49,91.56,14.32,-0.09727762275338246,-0.48638811376691227,21.71864920865452,-1.558387516509187
50,23.4,14.22,14.82,92.36,50,92.36,14.22,-0.09588218757396652,-0.4794109378698326,22.029640849660424,-1.5360326449349435
51,23.4,14.15,14.89,92.94,51,92.94,14.15,-0.0948709834665666,-0.47435491733283297,22.25381076029553,-1.5198331551343969
52,23.4,14.31,14.73,91.68,52,91.68,14.31,-0.09706826699277715,-0.48534133496388576,21.757028098150123,-1.5550336372242899
53,23.4,14.14,14.9,92.99,53,92.99,14.14,-0.0947838338287185,-0.47391916914359244,22.27980332593846,-1.5184370179360702
54,23.4,14.26,14.78,92.07,54,92.07,14.26,-0.09638795434159787,-0.48193977170798935,21.910334732989206,-1.5441350285523978
55,23.4,14.24,14.8,92.19,55,92.19,14.24,-0.09617865957761189,-0.4808932978880594,21.96520251326351,-1.5407821264333423
56,23.4,14.34,14.7,91.44,56,91.44,14.34,-0.09748699045566626,-0.4874349522783313,21.66445503604659,-1.5617415870997735
57,23.4,14.42,14.62,90.81,57,90.81,14.42,-0.09858633039619674,-0.49293165198098365,21.421402728031055,-1.5793530129470719
58,23.4,14.36,14.68,91.27,58,91.27,14.36,-0.09778361335193858,-0.48891806675969285,21.60109835795868,-1.566493485898056
59,23.4,14.4,14.64,90.92,59,90.92,14.4,-0.09839436608652005,-0.49197183043260023,21.473073819738634,-1.5762777447060512
60,23.4,14.31,14.73,91.66,60,91.66,14.31,-0.0971031587512882,-0.48551579375644094,21.753287229439902,-1.5555926031956369
61,23.4,14.09,14.94,93.37,61,93.37,14.09,-0.09412163116813996,-0.47060815584069976,22.43502394962154,-1.5078285313136022
