FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,22.28,15.26,13.78,84.17,0,84.17,15.26,-0.11015772016275749,-0.5507886008137874,19.027385162217442,-1.7647266770073748
1,22.28,15.26,13.78,84.17,1,84.17,15.26,-0.11015772016275749,-0.5507886008137874,19.027385162217442,-1.7647266770073748
2,22.28,14.67,14.36,88.78,2,88.78,14.67,-0.10212914078948741,-0.510645703947437,20.66854428382486,-1.6361088354475883
3,22.28,14.41,14.62,90.84,3,90.84,14.41,-0.09853397594703393,-0.4926698797351696,21.442576068083497,-1.5785142946714836
4,22.28,14.33,14.71,91.48,4,91.48,14.33,-0.09741719995140813,-0.48708599975704064,21.68779674061035,-1.5606235432215583
5,22.28,14.15,14.89,92.91,5,92.91,14.15,-0.09492327512838837,-0.4746163756419418,22.248137800096192,-1.5206708675567817
6,22.28,14.23,14.8,92.24,6,92.24,14.23,-0.09609145832046466,-0.48045729160232326,21.99081555187504,-1.5393851622938437
7,22.28,14.14,14.89,92.96,7,92.96,14.14,-0.09483612313899437,-0.47418061569497183,22.27412640695722,-1.5192746926866898
8,22.28,14.25,14.79,92.11,8,92.11,14.25,-0.0963181876144644,-0.48159093807232195,21.933992223961702,-1.5430173655837196
9,22.28,14.27,14.76,91.92,9,91.92,14.27,-0.09664959496989285,-0.48324797484946425,21.86607997855004,-1.5483265114176834
10,22.28,14.26,14.77,92.01,10,92.01,14.26,-0.09649260772254772,-0.4824630386127386,21.899073166414713,-1.5458115757152144
11,22.28,14.35,14.69,91.37,11,91.37,14.35,-0.09760912676485528,-0.48804563382427635,21.635551669083497,-1.5636982107729815
12,22.28,14.14,14.89,92.97,12,92.97,14.14,-0.09481869321089377,-0.47409346605446884,22.276018730438903,-1.5189954652385182
13,22.28,14.12,14.92,93.17,13,93.17,14.12,-0.09447012849964731,-0.47235064249823655,22.347061792358897,-1.5134114585643499
14,22.28,14.14,14.9,93.0,14,93.0,14.14,-0.09476640437570562,-0.4738320218785281,22.28169559784106,-1.518157798098804
15,22.28,14.02,15.02,93.96,15,93.96,14.02,-0.09309399742855945,-0.4654699871427972,22.665299506089028,-1.4913658388055224
16,22.28,14.07,14.97,93.53,16,93.53,14.07,-0.0938428846699089,-0.46921442334954444,22.498949531967586,-1.5033630124119404
17,22.28,14.12,14.91,93.13,17,93.13,14.12,-0.09453983618741484,-0.47269918093707414,22.339482543685346,-1.5145281757223856
