FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,22.05,15.13,13.91,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,22.05,15.13,13.91,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,22.05,15.67,13.35,80.86,2,80.86,15.67,-0.11588473735366252,-0.5794236867683126,17.948528778494207,-1.8564734924056734
3,22.05,16.84,12.19,71.81,3,71.81,16.84,-0.13121691123549314,-0.6560845561774656,15.262107193448559,-2.1020949179926003
4,22.05,16.8,12.16,71.8,4,71.8,16.8,-0.13123349185122327,-0.6561674592561163,15.29849560820877,-2.1023605394565967
5,22.05,17.13,11.85,69.33,5,69.33,17.13,-0.13529849979988876,-0.6764924989994437,14.63033422677402,-2.167481966794218
6,22.05,17.12,11.84,69.33,6,69.33,17.12,-0.13529849979988876,-0.6764924989994437,14.639238655048501,-2.167481966794218
7,22.05,17.56,11.43,66.12,7,66.12,17.56,-0.14048224272693424,-0.7024112136346712,13.808683015804581,-2.2505255284854866
8,22.05,17.28,11.65,67.98,8,67.98,17.28,-0.13749302188076715,-0.6874651094038357,14.304878354463032,-2.20263821052989
9,22.05,17.31,11.57,67.52,9,67.52,17.31,-0.1382360914262549,-0.6911804571312745,14.21376550161148,-2.2145421846486033
10,22.05,17.6,11.33,65.56,10,65.56,17.6,-0.1413740106234864,-0.7068700531174319,13.699003634856496,-2.264811650188252
11,22.05,17.52,11.25,65.42,11,65.42,17.52,-0.1415963383629953,-0.7079816918149764,13.74483289534699,-2.2683733405751845
12,22.05,17.75,10.93,63.27,12,63.27,17.75,-0.144978670516793,-0.724893352583965,13.269983254507805,-2.322558301679024
13,22.05,18.3,10.51,59.72,13,59.72,18.3,-0.15042262111814564,-0.7521131055907282,12.404024724158473,-2.4097703903126932
14,22.05,18.03,10.68,61.25,14,61.25,18.03,-0.14809887689193876,-0.7404943844596938,12.792900541172418,-2.372544007808859
15,22.05,17.97,10.66,61.35,15,61.35,17.97,-0.14794578602559066,-0.7397289301279533,12.85026414000075,-2.3700914921299625
16,22.05,17.92,10.67,61.54,16,61.54,17.92,-0.14765451139432018,-0.7382725569716009,12.912246531950654,-2.365425272537009
17,22.05,18.13,10.42,59.78,17,59.78,18.13,-0.15033216047971035,-0.7516608023985517,12.532530650586512,-2.4083212108849597
18,22.05,18.54,10.02,56.8,18,56.8,18.54,-0.15475632234925504,-0.7737816117462751,11.88266651936478,-2.4791962840350656
19,22.05,18.04,10.39,59.88,19,59.88,18.04,-0.15018127014158886,-0.7509063507079442,12.610250929572405,-2.4059039476682536
20,22.05,17.65,10.7,62.43,20,62.43,17.65,-0.146283195652443,-0.7314159782622149,13.235905411444708,-2.3434567943521367
21,22.05,18.13,10.21,58.77,21,58.77,18.13,-0.15184748060219555,-0.7592374030109776,12.405644367325094,-2.4325966392471727
22,22.05,18.42,9.95,56.76,22,56.76,18.42,-0.15481472617005876,-0.7740736308502938,11.958296938318957,-2.480131913244341
23,22.05,18.45,9.88,56.35,23,56.35,18.45,-0.15541181993382286,-0.7770590996691142,11.88899605834337,-2.489697355339842
24,22.05,18.12,10.16,58.55,24,58.55,18.12,-0.15217542969475598,-0.7608771484737799,12.385286088221996,-2.4378503837099905
25,22.05,18.07,10.18,58.81,25,58.81,18.07,-0.15178777122574488,-0.7589388561287244,12.453495155924417,-2.4316400950364327
26,22.05,18.54,9.81,55.76,26,55.76,18.54,-0.1562660651996937,-0.7813303259984684,11.759151533294984,-2.503382364499093
27,22.05,18.61,9.72,55.18,27,55.18,18.61,-0.15710001680557428,-0.7855000840278714,11.645246570472784,-2.5167422692253
28,22.05,18.53,9.68,55.16,28,55.16,18.53,-0.15712866988524157,-0.7856433494262078,11.69513348194584,-2.51720129156157
29,22.05,18.68,9.6,54.38,29,54.38,18.68,-0.15824067603951814,-0.7912033801975906,11.507330705174937,-2.5350156301530804
30,22.05,18.45,9.68,55.41,30,55.41,18.45,-0.1567700072006838,-0.7838500360034188,11.777316922090247,-2.5114555153549545
31,22.05,18.68,9.5,53.9,31,53.9,18.68,-0.1589196357353342,-0.794598178676671,11.452216067654383,-2.545892564480054
32,22.05,18.65,9.41,53.56,32,53.56,18.65,-0.15939806638211873,-0.7969903319105935,11.432448535722397,-2.553557023441542
33,22.05,18.48,9.48,54.29,33,54.29,18.48,-0.1583682937781012,-0.7918414688905059,11.626252255086744,-2.5370600663251808
34,22.05,18.58,9.37,53.53,34,53.53,18.58,-0.15944018067655774,-0.7972009033827887,11.47375386143858,-2.554231694438455
35,22.05,18.71,9.18,52.3,35,52.3,18.71,-0.16115270401858314,-0.8057635200929156,11.252177939519258,-2.5816663183777018
36,22.05,18.93,9.01,50.88,36,50.88,18.93,-0.16309466603018496,-0.8154733301509248,10.960948551208057,-2.612776549803563
37,22.05,18.45,9.33,53.64,37,53.64,18.45,-0.15928568201610593,-0.7964284100805297,11.570461507277372,-2.551756625898017
38,22.05,18.22,9.44,54.75,38,54.75,18.22,-0.15771451900372338,-0.7885725950186169,11.853185362271436,-2.5265865944396486
39,22.05,18.2,9.41,54.72,39,54.72,18.2,-0.15775727034222675,-0.7887863517111338,11.863160886477244,-2.5272714708824724
40,22.05,18.8,8.98,51.05,40,51.05,18.8,-0.16286419637186889,-0.8143209818593444,11.058235208643394,-2.6090844258773394
41,22.05,18.37,9.23,53.32,41,53.32,18.37,-0.15973452380747122,-0.798672619037356,11.585753118508508,-2.5589470713956888
42,22.05,18.72,8.98,51.25,42,51.25,18.72,-0.16259234721840593,-0.8129617360920296,11.129331736022358,-2.604729402438863
43,22.05,18.96,8.75,49.53,43,49.53,18.96,-0.16490498116908975,-0.8245249058454487,10.798245537850756,-2.6417777983288175
44,22.05,18.2,9.25,53.85,44,53.85,18.2,-0.15899012371043605,-0.7949506185521802,11.760339899480645,-2.5470217818411856
45,22.05,18.45,9.07,52.37,45,52.37,18.45,-0.1610559922132114,-0.8052799610660569,11.42489489909544,-2.5801169952556466
46,22.05,18.57,8.98,51.64,46,51.64,18.57,-0.16206005077065458,-0.8103002538532729,11.266195429586842,-2.596202013345886
47,22.05,18.14,9.18,53.68,47,53.68,18.14,-0.15922944647672052,-0.7961472323836025,11.780754745619747,-2.550855732557063
48,22.05,18.22,9.1,53.09,48,53.09,18.22,-0.16005597874829355,-0.8002798937414677,11.658128521781764,-2.5640967795476626
49,22.05,18.13,9.14,53.51,49,53.51,18.13,-0.15946824782030597,-0.7973412391015298,11.767514632519864,-2.5546813300813014
50,22.05,18.22,9.02,52.7,50,52.7,18.22,-0.1605988400265711,-0.8029942001328555,11.612905106768732,-2.572793417225669
51,22.05,18.34,8.97,52.13,51,52.13,18.34,-0.16138719524522727,-0.8069359762261362,11.468708676879285,-2.585422867828541
52,22.05,18.45,8.89,51.46,52,51.46,18.45,-0.16230608484538037,-0.8115304242269018,11.322104018335901,-2.6001434792229934
53,22.05,18.28,8.9,51.93,53,51.93,18.28,-0.16166237523636592,-0.8083118761818295,11.484990074196812,-2.589831251286582
54,22.05,18.58,8.7,50.2,54,50.2,18.58,-0.16401096994849557,-0.8200548497424778,11.100645022005317,-2.627455738574899
55,22.05,18.62,8.64,49.8,55,49.8,18.62,-0.16454576877239507,-0.8227288438619753,11.032317381384713,-2.636023215733769
56,22.05,18.62,8.62,49.71,56,49.71,18.62,-0.1646656658925425,-0.8233283294627125,11.022552141343168,-2.637943967598531
57,22.05,18.59,8.64,49.85,57,49.85,18.59,-0.164479090426083,-0.8223954521304149,11.05625132034414,-2.6349550286258494
58,22.05,18.42,8.73,50.68,58,50.68,18.42,-0.16336509552251766,-0.8168254776125883,11.25403917889378,-2.6171088302707326
59,22.05,18.37,8.72,50.78,59,50.78,18.37,-0.16322997708108922,-0.8161498854054461,11.297033044512299,-2.6149442328390493
60,22.05,18.69,8.56,49.22,60,49.22,18.69,-0.16531563230639637,-0.8265781615319818,10.926944912849926,-2.64835642954847
61,22.05,18.3,8.78,51.24,61,51.24,18.3,-0.16260595781701603,-0.8130297890850802,11.393695416577135,-2.6049474442285967
62,22.05,18.74,8.5,48.8,62,48.8,18.74,-0.16586894601186808,-0.8293447300593403,10.851903104226436,-2.6572205151101267
63,22.05,18.79,8.36,47.96,63,47.96,18.79,-0.16696492562145995,-0.8348246281072997,10.733492570415471,-2.6747781084557882
64,22.05,18.46,8.58,49.88,64,49.88,18.46,-0.1644390598453009,-0.8221952992265045,11.140442660723998,-2.6343137387217204
65,22.05,18.36,8.7,50.72,65,50.72,18.36,-0.16331107128543856,-0.8165553564271928,11.296725532502432,-2.616243361992726
66,22.05,18.38,8.64,50.39,66,50.39,18.38,-0.16375584599696513,-0.8187792299848256,11.247234148930374,-2.6233686528713815
67,22.05,18.42,8.45,49.27,67,49.27,18.42,-0.16524952726341885,-0.8262476363170942,11.098826506676863,-2.64729742675997
68,22.05,18.6,8.33,48.26,68,48.26,18.6,-0.16657514442835017,-0.8328757221417508,10.879169077558393,-2.6685338137421697
69,22.05,18.83,8.16,46.87,69,46.87,18.83,-0.1683655992075667,-0.8418279960378334,10.59705900082029,-2.6972168993052184
70,22.05,18.57,8.36,48.45,70,48.45,18.57,-0.16632733829897567,-0.8316366914948783,10.917666265143188,-2.6645639595495902
71,22.05,18.6,8.29,48.06,71,48.06,18.6,-0.16683520201677932,-0.8341760100838965,10.857964554141063,-2.6726999363088044
72,22.05,18.45,8.4,48.98,72,48.98,18.45,-0.16563224323571807,-0.8281612161785903,11.048605285769717,-2.6534285366362034
73,22.05,18.39,8.38,49.0,73,49.0,18.39,-0.16560590289905075,-0.8280295144952536,11.088238863200564,-2.653006564442793
74,22.05,18.47,8.37,48.75,74,48.75,18.47,-0.1659345815100069,-0.8296729075500344,11.011342333689196,-2.6582719957903103
75,22.05,18.39,8.4,49.12,75,49.12,18.39,-0.1654476931199615,-0.8272384655998074,11.1012920244545,-2.6504720437817832
76,22.05,18.5,8.34,48.56,76,48.56,18.5,-0.16618353804402566,-0.8309176902201283,10.972377079464362,-2.662260279465291
77,22.05,18.37,8.37,48.99,77,48.99,18.37,-0.16561907406682008,-0.8280953703341003,11.099696617871878,-2.653217566550458
78,22.05,18.79,8.01,46.2,78,46.2,18.79,-0.16921431738704068,-0.8460715869352033,10.552007876122634,-2.7108133645403916
79,22.05,18.76,8.01,46.26,79,46.26,18.76,-0.16913869689552063,-0.8456934844776032,10.575642124167679,-2.7096019242662406
80,22.05,18.67,8.03,46.52,80,46.52,18.67,-0.16881013303402626,-0.8440506651701312,10.655278007669999,-2.7043383312051006
81,22.05,18.49,8.02,46.9,81,46.9,18.49,-0.16832737736807993,-0.8416368868403996,10.802658205710465,-2.6966045854366403
82,22.05,18.47,8.05,47.11,82,47.11,18.47,-0.16805930057366358,-0.8402965028683178,10.83683044810115,-2.6923099951900906
83,22.05,18.6,7.94,46.21,83,46.21,18.6,-0.16920171924052008,-0.8460085962026003,10.665003948025179,-2.7106115422331314
84,22.05,18.65,7.9,45.91,84,45.91,18.65,-0.16957874493101815,-0.8478937246550907,10.60464993740907,-2.716651493794911
85,22.05,18.44,8.01,46.94,85,46.94,18.44,-0.16827638577805026,-0.8413819288902513,10.837289718074835,-2.6957877001643653
86,22.05,18.72,7.78,45.13,86,45.13,18.72,-0.17055005880645405,-0.8527502940322702,10.484796949712116,-2.7322119420793936
87,22.05,18.66,7.78,45.24,87,45.24,18.66,-0.1704138664463623,-0.8520693322318115,10.530880696324584,-2.730030140470724
88,22.05,18.44,7.89,46.32,88,46.32,18.44,-0.16906300058494228,-0.8453150029247114,10.772572601032689,-2.7083892693707754
89,22.05,18.17,7.96,47.33,89,47.33,18.17,-0.16777747765428036,-0.8388873882714017,11.04639628359392,-2.6877951920215715
90,22.05,18.52,7.79,45.61,90,45.61,18.52,-0.1699538630850765,-0.8497693154253825,10.651263035480401,-2.7226608866229256
91,22.05,18.66,7.66,44.62,91,44.62,18.66,-0.1711780904964313,-0.8558904524821564,10.46877565409638,-2.742273009752829
92,22.05,18.55,7.71,45.17,92,45.17,18.55,-0.1705005643725737,-0.8525028218628684,10.588666277795225,-2.7314190412486306
93,22.05,18.57,7.65,44.81,93,44.81,18.57,-0.17094477438599043,-0.8547238719299521,10.540538843895245,-2.7385352856635667
94,22.05,18.39,7.76,45.73,94,45.73,18.39,-0.16980404538718008,-0.8490202269359004,10.741869434079257,-2.720260807102625
95,22.05,18.49,7.66,44.98,95,44.98,18.49,-0.17073535649320248,-0.8536767824660123,10.605103277926421,-2.7351804110211035
96,22.05,18.66,7.52,43.9,96,43.9,18.66,-0.17205511116803307,-0.8602755558401652,10.397504139100324,-2.7563228809118896
97,22.05,18.63,7.47,43.68,97,43.68,18.63,-0.17232082653153422,-0.861604132657671,10.393265690292791,-2.760579641035178
98,22.05,18.88,7.34,42.52,98,42.52,18.88,-0.17370414664270672,-0.8685207332135336,10.139331339656053,-2.7827404292161617
99,22.05,18.81,7.44,43.15,99,43.15,18.81,-0.17295657298191022,-0.864782864909551,10.23876001699473,-2.7707642991702017
100,22.05,18.56,7.51,44.09,100,44.09,18.56,-0.1718247746520956,-0.859123873260478,10.474524664566836,-2.7526328899265717
101,22.05,18.62,7.45,43.59,101,43.59,18.62,-0.1724292211723331,-0.8621461058616655,10.39023519503341,-2.7623161231807765
102,22.05,18.54,7.46,43.82,102,43.82,18.54,-0.17215185805855368,-0.8607592902927683,10.459504058163928,-2.75787276609803
103,22.05,18.44,7.5,44.3,103,44.3,18.44,-0.1715692733703736,-0.8578463668518679,10.566374157050735,-2.7485397593933847
104,22.05,18.41,7.47,44.18,104,44.18,18.41,-0.17171539204983458,-0.8585769602491728,10.572224654203058,-2.75088058063835
105,22.05,18.15,7.63,45.59,105,45.59,18.15,-0.16997880288630018,-0.8498940144315008,10.874933496625019,-2.723060422238529
106,22.05,18.66,7.33,42.87,106,42.87,18.66,-0.17328992229692086,-0.8664496114846043,10.297156607121305,-2.7761045551966723
107,22.05,18.39,7.48,44.29,107,44.29,18.39,-0.17158146192652635,-0.8579073096326317,10.59522296989065,-2.748735020062952
108,22.05,18.04,7.66,46.01,108,46.01,18.04,-0.16945328113998173,-0.8472664056999086,10.98812467848959,-2.714641563862507
109,22.05,18.23,7.55,45.02,109,45.02,18.23,-0.17068599112822544,-0.8534299556411271,10.766445599840669,-2.7343895778741714
110,22.05,18.45,7.42,43.84,110,43.84,18.45,-0.17212768451578608,-0.8606384225789303,10.514507161423838,-2.757485505942893
111,22.05,18.37,7.4,43.91,111,43.91,18.37,-0.17204300792568963,-0.8602150396284481,10.569087705694994,-2.756128986969548
112,22.05,18.34,7.5,44.49,112,44.49,18.34,-0.17133727700343326,-0.8566863850171663,10.645447152102541,-2.7448231775950007
