FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,13.66,15.3,13.74,83.85,0,83.85,15.3,-0.11071317543138737,-0.5535658771569368,18.919796673977828,-1.7736250704108256
1,13.66,15.3,13.74,83.85,1,83.85,15.3,-0.11071317543138737,-0.5535658771569368,18.919796673977828,-1.7736250704108256
2,13.66,14.05,14.99,93.69,2,93.69,14.05,-0.09356418618610005,-0.4678209309305002,22.563060851781813,-1.4988982627013228
3,13.66,14.32,14.72,91.58,3,91.58,14.32,-0.09724272927253025,-0.48621364636265124,21.722387519543485,-1.5578285229459345
4,13.66,13.96,15.07,94.38,4,94.38,13.96,-0.09236290136069528,-0.46181450680347635,22.84813162291949,-1.4796536797983384
5,13.66,13.62,15.39,97.01,5,97.01,13.62,-0.08779574264686668,-0.43897871323433335,23.964068357579716,-1.4064877972028043
6,13.66,13.57,15.37,97.09,6,97.09,13.57,-0.08765717197370743,-0.4382858598685371,24.07270112092766,-1.404267895018793
7,13.66,13.65,15.32,96.6,7,96.6,13.65,-0.08850628495071336,-0.44253142475356677,23.82860177645414,-1.417870684910428
8,13.66,13.7,15.27,96.2,8,96.2,13.7,-0.08920006442939771,-0.44600032214698854,23.659256390657934,-1.4289850321589512
9,13.66,13.59,15.4,97.14,9,97.14,13.59,-0.087570577505316,-0.4378528875265799,24.045223067729935,-1.4028806516351622
10,13.66,13.6,15.39,97.04,10,97.04,13.6,-0.0877437758416993,-0.4387188792084965,24.007029308392166,-1.4056552889840228
11,13.66,13.58,15.41,97.22,11,97.22,13.58,-0.08743204607165583,-0.43716023035827917,24.07954890757049,-1.4006613780679265
12,13.66,13.48,15.51,98.0,12,98.0,13.48,-0.08608268990399347,-0.4304134495199673,24.421646953884864,-1.3790446922619752
13,13.66,13.45,15.47,97.98,13,97.98,13.45,-0.08611725762773631,-0.43058628813868155,24.47504075780543,-1.3795984671963357
14,13.66,13.49,15.49,97.89,14,97.89,13.49,-0.08627283325694325,-0.43136416628471624,24.38089940752978,-1.3820907887762308
15,13.66,13.42,15.54,98.35,15,98.35,13.42,-0.08547803299227597,-0.4273901649613798,24.605970166950303,-1.3693580885362608
16,13.66,13.39,15.53,98.45,16,98.45,13.39,-0.08530537242009982,-0.42652686210049906,24.68387488783062,-1.366592066169999
17,13.66,13.26,15.72,99.71,17,99.71,13.26,-0.08313385852922717,-0.41566929264613584,25.191077481626884,-1.3318044136382192
18,13.66,13.33,15.59,98.94,18,98.94,13.33,-0.08445999253571312,-0.4222999626785656,24.898555589216553,-1.3530490804221242
19,13.66,13.15,15.81,100.52,19,100.52,13.15,-0.08174212649067782,-0.40871063245338907,25.57626471347052,-1.3095088663806587
20,13.66,13.39,15.6,98.73,20,98.73,13.39,-0.08482216263221165,-0.42411081316105825,24.7394304929394,-1.3588510453680307
21,13.66,13.28,15.71,99.59,21,99.59,13.28,-0.08334033445956424,-0.4167016722978212,25.12716510505175,-1.335112158042219
22,13.66,13.11,15.84,100.77,22,100.77,13.11,-0.08131330354783671,-0.4065665177391835,25.708936703114894,-1.302639122836344
23,13.66,13.1,15.88,100.94,23,100.94,13.1,-0.08102190666409989,-0.4051095333204994,25.76390897834127,-1.2979709447588803
24,13.66,13.11,15.87,100.91,24,100.91,13.11,-0.08107331757645153,-0.40536658788225766,25.737149595110942,-1.2987945475747535
25,13.66,13.11,15.81,100.68,25,100.68,13.11,-0.08146763924903525,-0.4073381962451762,25.69079290727585,-1.3051115807695446
