FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,22.87,15.2,13.84,84.65,0,84.65,15.2,-0.10932394858855005,-0.5466197429427502,19.189937726085564,-1.7513696563885717
1,22.87,15.2,13.84,84.65,1,84.65,15.2,-0.10932394858855005,-0.5466197429427502,19.189937726085564,-1.7513696563885717
2,22.87,15.0,14.04,86.2,2,86.2,15.0,-0.10662739004000002,-0.5331369502000001,19.733172077632105,-1.7081707884408002
3,22.87,15.24,13.78,84.23,3,84.23,15.24,-0.11005353650331609,-0.5502676825165804,19.063983168265,-1.7630576547831238
4,22.87,15.41,13.61,82.92,4,82.92,15.41,-0.11232550800255187,-0.5616275400127593,18.61852327637823,-1.799454638200881
5,22.87,15.5,13.52,82.21,5,82.21,15.5,-0.11355426522493835,-0.5677713261246917,18.384267294001802,-1.8191393289035123
6,22.87,15.68,13.32,80.71,6,80.71,15.68,-0.11614315798279347,-0.5807157899139673,17.911384094872094,-1.8606133908843514
7,22.87,15.97,13.03,78.42,7,78.42,15.97,-0.12007359726350103,-0.6003679863175051,17.195913114610402,-1.9235790281612866
8,22.87,15.83,13.17,79.49,8,79.49,15.83,-0.11824071330709046,-0.5912035665354523,17.531666888501366,-1.894216227179589
9,22.87,15.96,13.02,78.43,9,78.43,15.96,-0.12005649892047776,-0.6002824946023888,17.208806291135296,-1.9233051127060536
10,22.87,15.91,13.05,78.73,10,78.73,15.91,-0.11954326687715565,-0.5977163343857782,17.31456690026858,-1.9150831353720335
11,22.87,15.94,13.02,78.5,11,78.5,15.94,-0.11993679344171973,-0.5996839672085986,17.242831586801277,-1.9213874309363501
12,22.87,15.98,12.98,78.16,12,78.16,15.98,-0.12051793803068045,-0.6025896901534022,17.14223108663402,-1.9306973672515007
13,22.87,15.99,12.96,78.07,13,78.07,15.99,-0.12067165032137073,-0.6033582516068536,17.116358809915514,-1.933159838148359
14,22.87,15.86,13.07,78.96,14,78.96,15.86,-0.1191494253877013,-0.5957471269385065,17.40953067253194,-1.9087737947109749
15,22.87,15.95,12.98,78.26,15,78.26,15.95,-0.12034708723691878,-0.6017354361845939,17.192271597360065,-1.9279603375354388
16,22.87,16.1,12.86,77.23,16,77.23,16.1,-0.1221037880265469,-0.6105189401327344,16.85849330351645,-1.956102684185281
17,22.87,16.08,12.83,77.2,17,77.2,16.08,-0.12215484976194674,-0.6107742488097336,16.875550847922444,-1.9569206931863867
18,22.87,15.9,13.01,78.59,18,78.59,15.9,-0.11978284269633595,-0.5989142134816797,17.302945036731618,-1.918921139995302
19,22.87,16.13,12.76,76.69,19,76.69,16.13,-0.12302195854387923,-0.6151097927193961,16.738903135970514,-1.9708117758729453
20,22.87,16.09,12.83,77.13,20,77.13,16.09,-0.12227397016638503,-0.6113698508319251,16.853299645965823,-1.9588290020654882
21,22.87,16.31,12.59,75.32,21,75.32,16.31,-0.12534202889911583,-0.6267101444955792,16.329144030458174,-2.0079793029638355
