FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,36.4,15.13,13.91,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,36.4,15.13,13.91,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,36.4,14.98,14.06,86.4,2,86.4,14.98,-0.10627905195293133,-0.5313952597646566,19.79637106770536,-1.7025904122859599
3,36.4,12.87,16.15,102.92,3,102.92,12.87,-0.07764096417519473,-0.3882048208759736,26.655000809815466,-1.2438082460866196
4,36.4,7.54,20.59,139.77,4,139.77,7.54,-0.02365420369044148,-0.11827101845220739,58.744688532126546,-0.3789403431208725
5,0.0,0.0,0.0,180.0,5,180.0,0.0,-0.0,-0.0,inf,-0.0
6,0.0,0.0,0.0,180.0,6,180.0,0.0,-0.0,-0.0,inf,-0.0
7,0.0,0.0,0.0,180.0,7,180.0,0.0,-0.0,-0.0,inf,-0.0
8,0.0,0.0,0.0,180.0,8,180.0,0.0,-0.0,-0.0,inf,-0.0
9,0.0,0.0,0.0,180.0,9,180.0,0.0,-0.0,-0.0,inf,-0.0
10,0.0,0.0,0.0,180.0,10,180.0,0.0,-0.0,-0.0,inf,-0.0
11,0.0,0.0,0.0,180.0,11,180.0,0.0,-0.0,-0.0,inf,-0.0
12,0.0,0.0,0.0,180.0,12,180.0,0.0,-0.0,-0.0,inf,-0.0
13,0.0,0.0,0.0,180.0,13,180.0,0.0,-0.0,-0.0,inf,-0.0
14,0.0,0.0,0.0,180.0,14,180.0,0.0,-0.0,-0.0,inf,-0.0
15,0.0,0.0,0.0,180.0,15,180.0,0.0,-0.0,-0.0,inf,-0.0
16,0.0,0.0,0.0,180.0,16,180.0,0.0,-0.0,-0.0,inf,-0.0
17,0.0,0.0,0.0,180.0,17,180.0,0.0,-0.0,-0.0,inf,-0.0
18,0.0,0.0,0.0,180.0,18,180.0,0.0,-0.0,-0.0,inf,-0.0
19,0.0,0.0,0.0,180.0,19,180.0,0.0,-0.0,-0.0,inf,-0.0
20,0.0,0.0,0.0,180.0,20,180.0,0.0,-0.0,-0.0,inf,-0.0
21,0.0,0.0,0.0,180.0,21,180.0,0.0,-0.0,-0.0,inf,-0.0
22,0.0,0.0,0.0,180.0,22,180.0,0.0,-0.0,-0.0,inf,-0.0
23,0.0,0.0,0.0,180.0,23,180.0,0.0,-0.0,-0.0,inf,-0.0
24,0.0,0.0,0.0,180.0,24,180.0,0.0,-0.0,-0.0,inf,-0.0
25,0.0,0.0,0.0,180.0,25,180.0,0.0,-0.0,-0.0,inf,-0.0
26,0.0,0.0,0.0,180.0,26,180.0,0.0,-0.0,-0.0,inf,-0.0
27,0.0,0.0,0.0,180.0,27,180.0,0.0,-0.0,-0.0,inf,-0.0
28,0.0,0.0,0.0,180.0,28,180.0,0.0,-0.0,-0.0,inf,-0.0
29,0.0,0.0,0.0,180.0,29,180.0,0.0,-0.0,-0.0,inf,-0.0
30,0.0,0.0,0.0,180.0,30,180.0,0.0,-0.0,-0.0,inf,-0.0
31,0.0,0.0,0.0,180.0,31,180.0,0.0,-0.0,-0.0,inf,-0.0
32,0.0,0.0,0.0,180.0,32,180.0,0.0,-0.0,-0.0,inf,-0.0
33,0.0,0.0,0.0,180.0,33,180.0,0.0,-0.0,-0.0,inf,-0.0
