FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,27.64,15.13,13.91,85.17,0,85.17,15.13,-0.10841995942790926,-0.5420997971395463,19.374335097929723,-1.7368877500351063
1,27.64,15.13,13.91,85.17,1,85.17,15.13,-0.10841995942790926,-0.5420997971395463,19.374335097929723,-1.7368877500351063
2,27.64,14.97,14.07,86.44,2,86.44,14.97,-0.10620937501868842,-0.5310468750934421,19.81735131304345,-1.7014741877993884
3,27.64,14.8,14.24,87.78,3,87.78,14.8,-0.10387366153014065,-0.5193683076507032,20.297698025627405,-1.6640560577128531
4,27.64,14.86,14.18,87.33,4,87.33,14.86,-0.10465834267608028,-0.5232917133804014,20.130940088090572,-1.676626649670806
5,27.64,14.73,14.3,88.3,5,88.3,14.73,-0.10296662440851108,-0.5148331220425554,20.49317102717465,-1.6495253230243474
6,27.64,14.78,14.26,87.96,6,87.96,14.78,-0.10355971945588585,-0.5177985972794292,20.359027892752724,-1.6590267056832912
7,27.64,14.83,14.21,87.56,7,87.56,14.83,-0.10425731627883797,-0.5212865813941898,20.215039475310206,-1.6702022067869842
8,27.64,15.01,14.03,86.12,8,86.12,15.01,-0.10676670290173707,-0.5338335145086853,19.705193185313483,-1.7104025804858278
9,27.64,14.95,14.08,86.55,9,86.55,14.95,-0.10601774794692936,-0.5300887397346468,19.86475294460562,-1.6984043221098084
10,27.64,14.95,14.09,86.59,10,86.59,14.95,-0.10594805983890075,-0.5297402991945037,19.871889355460294,-1.69728791861919
11,27.64,15.04,13.99,85.85,11,85.85,15.04,-0.10723678482857912,-0.5361839241428956,19.6161838408197,-1.7179332929538376
12,27.64,14.86,14.18,87.33,12,87.33,14.86,-0.10465834267608028,-0.5232917133804014,20.130940088090572,-1.676626649670806
13,27.64,15.05,13.99,85.84,13,85.84,15.05,-0.1072541922484271,-0.5362709612421355,19.600760947941367,-1.7182121598198021
14,27.64,14.97,14.07,86.43,14,86.43,14.97,-0.10622679453729829,-0.5311339726864914,19.815569964126137,-1.7017532484875186
15,27.64,14.99,14.05,86.28,15,86.28,14.99,-0.10648806425782696,-0.5324403212891348,19.76119135850819,-1.705938789410388
16,27.64,14.85,14.19,87.39,16,87.39,14.85,-0.10455373406931848,-0.5227686703465924,20.15593608917654,-1.6749508197904819
17,27.64,14.96,14.08,86.52,17,86.52,14.96,-0.10607001210504191,-0.5303500605252095,19.845492100646585,-1.6992415939227714
18,27.64,14.79,14.25,87.84,18,87.84,14.79,-0.10376901826699346,-0.5188450913349673,20.3229218513175,-1.662379672637235
19,27.64,15.04,14.0,85.89,19,85.89,15.04,-0.1071671529500392,-0.535835764750196,19.623269797180235,-1.716817790259628
20,27.64,14.95,14.07,86.51,20,86.51,14.95,-0.10608743312198071,-0.5304371656099035,19.85761683410249,-1.699520678614131
21,27.64,14.99,14.05,86.31,21,86.31,14.99,-0.10643581381389998,-0.5321790690694999,19.766527107008912,-1.7051017372986776
