FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,17.72,15.13,13.91,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,17.72,15.13,13.91,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,17.72,14.86,14.18,87.33,2,87.33,14.86,-0.10465834267608028,-0.5232917133804014,20.130940088090572,-1.676626649670806
3,17.72,14.81,14.22,87.68,3,87.68,14.81,-0.10404805747217526,-0.5202402873608762,20.265296058961628,-1.6668498807042476
4,17.72,14.51,14.53,90.07,4,90.07,14.51,-0.0998778269827535,-0.4993891349137675,21.14554206846922,-1.6000427882637112
5,17.72,14.82,14.2,87.54,5,87.54,14.82,-0.10429219095581005,-0.5214609547790502,20.22573274651223,-1.670760899112077
6,17.72,14.63,14.4,89.1,6,89.1,14.63,-0.1015707317311821,-0.5078536586559105,20.786306086681453,-1.6271631223335372
7,17.72,14.69,14.35,88.64,7,88.64,14.69,-0.1023734248954022,-0.511867124477011,20.61355767885113,-1.6400222668243432
8,17.72,14.45,14.59,90.54,8,90.54,14.45,-0.09905753615668561,-0.495287680783428,21.32472900529889,-1.5869017292301035
9,17.72,14.62,14.37,89.04,9,89.04,14.62,-0.10167543768689813,-0.5083771884344906,20.790241341709393,-1.628840511744108
10,17.72,14.54,14.45,89.67,10,89.67,14.54,-0.10057595546879966,-0.5028797773439982,21.026166367175104,-1.6112268066101705
11,17.72,14.53,14.48,89.8,11,89.8,14.53,-0.10034906514152238,-0.5017453257076119,21.065286871504888,-1.6075920235671886
12,17.72,14.69,14.3,88.49,12,88.49,14.69,-0.10263514210254149,-0.5131757105127074,20.586259109607298,-1.6442149764827145
13,17.72,14.49,14.48,89.94,13,89.94,14.49,-0.10010471973598,-0.5005235986798999,21.152155972069377,-1.6036776101703996
14,17.72,14.47,14.52,90.2,14,90.2,14.47,-0.09965093485847765,-0.4982546742923882,21.23092003368515,-1.5964079764328118
15,17.72,14.64,14.35,88.82,15,88.82,14.64,-0.10205934293200697,-0.5102967146600348,20.72026846170945,-1.6349906737707516
16,17.72,14.53,14.44,89.62,16,89.62,14.53,-0.10066322025358171,-0.5033161012679085,21.032140181947085,-1.612624788462379
17,17.72,14.57,14.4,89.31,17,89.31,14.57,-0.10120424807503098,-0.5060212403751548,20.91465309803796,-1.6212920541619962
18,17.72,14.64,14.33,88.78,18,88.78,14.64,-0.10212914078948741,-0.510645703947437,20.712962078238416,-1.6361088354475883
19,17.72,14.53,14.42,89.56,19,89.56,14.53,-0.10076793732277828,-0.5038396866138913,21.02109142274877,-1.614302355910908
20,17.72,14.63,14.34,88.84,20,88.84,14.63,-0.10202444362475352,-0.5101222181237676,20.738777844617044,-1.6344315868685513
21,17.72,14.54,14.41,89.48,21,89.48,14.54,-0.10090755875186752,-0.5045377937593376,20.99120395422196,-1.6165390912049176
22,17.72,14.59,14.35,89.04,22,89.04,14.59,-0.10167543768689813,-0.5083771884344906,20.83508057823568,-1.628840511744108
