FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,35.49,15.13,13.91,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,35.49,15.13,13.91,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,35.49,14.28,14.76,91.89,2,91.89,14.28,-0.096701925908535,-0.483509629542675,21.844380573462004,-1.5491648530547308
3,35.49,14.08,14.96,93.47,3,93.47,14.08,-0.09394740909680006,-0.4697370454840003,22.470763308113337,-1.505037493730737
4,35.49,14.24,14.8,92.19,4,92.19,14.24,-0.09617865957761189,-0.4808932978880594,21.96520251326351,-1.5407821264333423
5,35.49,14.39,14.65,91.03,5,91.03,14.39,-0.0982024076950007,-0.49101203847500346,21.50919573159823,-1.5732025712739113
6,35.49,14.19,14.84,92.56,6,92.56,14.19,-0.0955334435891714,-0.477667217945857,22.11627560767468,-1.5304457662985258
7,35.49,14.1,14.94,93.31,7,93.31,14.1,-0.09422617304004649,-0.47113086520023245,22.40692533684713,-1.5095032921015448
8,35.49,14.09,14.95,93.39,8,93.39,14.09,-0.09408678530436597,-0.4704339265218298,22.438821180932187,-1.5072703005759427
9,35.49,14.03,15.01,93.88,9,93.88,14.03,-0.09323329709826295,-0.4661664854913147,22.63307687935703,-1.4935974195141724
10,35.49,13.98,15.05,94.22,10,94.22,13.98,-0.09264136789152566,-0.4632068394576283,22.783184512615307,-1.484114713622241
11,35.49,13.9,15.14,94.91,11,94.91,13.9,-0.09144091831054368,-0.45720459155271836,23.053721064457665,-1.4648835113349097
12,35.49,13.68,15.35,96.6,12,96.6,13.68,-0.08850628495071336,-0.44253142475356677,23.77363038800171,-1.417870684910428
13,35.49,13.71,15.33,96.39,13,96.39,13.71,-0.08887045147124635,-0.44435225735623174,23.678070345280158,-1.4237046325693665
14,35.49,13.68,15.35,96.57,14,96.57,13.68,-0.08855829940024844,-0.44279149700124215,23.767783536723908,-1.4187039563919799
15,35.49,13.61,15.42,97.16,15,97.16,13.61,-0.08753594236461958,-0.43767971182309784,24.011957441117755,-1.4023257966812055
16,35.49,13.52,15.51,97.82,16,97.82,13.52,-0.08639385996035194,-0.4319692998017597,24.310182891694527,-1.3840296365648381
17,35.49,13.63,15.41,97.01,17,97.01,13.63,-0.08779574264686668,-0.43897871323433335,23.945569542480012,-1.4064877972028043
18,35.49,13.71,15.32,96.36,18,96.36,13.71,-0.08892248757892214,-0.4446124378946107,23.67223452255128,-1.4245382510143327
19,35.49,13.67,15.37,96.71,19,96.71,13.67,-0.08831559236998579,-0.4415779618499289,23.81337795829976,-1.4148157897671723
20,35.49,13.79,15.25,95.77,20,95.77,13.79,-0.08994646349668393,-0.44973231748341963,23.413685261044236,-1.4409423452168766
21,35.49,13.82,15.22,95.53,21,95.53,13.82,-0.09036330724112186,-0.4518165362056093,23.313886046188152,-1.447620182002772
22,35.49,13.45,15.58,98.38,22,98.38,13.45,-0.08542623015186446,-0.42713115075932223,24.554116448761786,-1.3685282070328686
23,35.49,13.52,15.51,97.82,23,97.82,13.52,-0.08639385996035194,-0.4319692998017597,24.310182891694527,-1.3840296365648381
24,35.49,13.7,15.34,96.46,24,96.46,13.7,-0.08874904577721518,-0.44374522888607587,23.70987673786094,-1.4217597133509872
25,35.49,13.56,15.48,97.57,25,97.57,13.56,-0.08682626270918127,-0.43413131354590634,24.185655246040664,-1.390956728601084
26,35.49,13.48,15.55,98.15,26,98.15,13.48,-0.08582348631982936,-0.4291174315991468,24.451238661160897,-1.3748922508436663
27,35.49,13.49,15.55,98.12,27,98.12,13.49,-0.08587531932036335,-0.4293765966018167,24.42624575936954,-1.3757226155122209
28,35.49,13.58,15.45,97.39,28,97.39,13.58,-0.08713774846520345,-0.4356887423260172,24.11288673426068,-1.3959467304125592
29,35.49,13.67,15.36,96.67,29,96.67,13.67,-0.08838493018059362,-0.4419246509029681,23.805577820777625,-1.41592658149311
30,35.49,13.46,15.58,98.35,30,98.35,13.46,-0.08547803299227597,-0.4273901649613798,24.528988109244917,-1.3693580885362608
31,35.49,13.45,15.58,98.37,31,98.37,13.45,-0.08544349732209387,-0.4272174866104693,24.552140531067582,-1.3688048270999438
32,35.49,13.61,15.42,97.15,32,97.15,13.61,-0.08755325974539307,-0.4377662987269653,24.010000290271854,-1.402603221121197
33,35.49,13.56,15.47,97.54,33,97.54,13.56,-0.08687816805572954,-0.43439084027864766,24.179766317915664,-1.3917882522527871
34,35.49,13.54,15.49,97.7,34,97.7,13.54,-0.0866013814581708,-0.43300690729085395,24.24880872496101,-1.3873541309598962
35,35.49,13.43,15.6,98.52,35,98.52,13.43,-0.08518453662190621,-0.425922683109531,24.620317554545654,-1.3646562766829375
36,35.49,13.1,15.93,101.15,36,101.15,13.1,-0.08066217674940922,-0.40331088374704605,25.806233069476086,-1.2922080715255355
37,35.49,13.24,15.79,100.02,37,100.02,13.24,-0.08260080701635181,-0.41300403508175904,25.29318822562747,-1.323264928401956
38,35.49,13.31,15.72,99.47,38,99.47,13.31,-0.08354688346734498,-0.4177344173367249,25.04361144635443,-1.3384210731468666
39,35.49,13.12,15.91,100.99,39,100.99,13.12,-0.0809362333792555,-0.4046811668962775,25.73257491435528,-1.2965984587356731
40,35.49,13.24,15.79,100.07,40,100.07,13.24,-0.08251487825829577,-0.4125743912914788,25.30318555920391,-1.3218883496978981
41,35.49,13.32,15.71,99.4,41,99.4,13.32,-0.08366740377583776,-0.4183370188791888,25.009874598500762,-1.3403518084889208
42,35.49,13.19,15.83,100.4,42,100.4,13.19,-0.08194808547494402,-0.40974042737472005,25.470471874808467,-1.3128083293086033
