FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,27.71,15.21,13.83,84.53,0,84.53,15.21,-0.10953245511750101,-0.547662275587505,19.15575821747108,-1.7547099309823662
1,27.71,15.21,13.83,84.53,1,84.53,15.21,-0.10953245511750101,-0.547662275587505,19.15575821747108,-1.7547099309823662
2,27.71,14.37,14.59,90.86,2,90.86,14.37,-0.09849907320332765,-0.49249536601663824,21.508949849964825,-1.577955152717309
3,27.71,14.43,14.56,90.55,3,90.55,14.43,-0.09904008365375999,-0.4952004182687999,21.357600306508743,-1.586622140133235
4,27.71,14.4,14.55,90.58,4,90.58,14.4,-0.09898772632255404,-0.49493863161277013,21.409874851025666,-1.5857833756873156
5,27.71,14.21,14.71,92.01,5,92.01,14.21,-0.09649260772254772,-0.4824630386127386,21.979992052876977,-1.5458115757152144
6,27.71,14.33,14.59,91.01,6,91.01,14.33,-0.09823730874864284,-0.49118654374321413,21.599998798754743,-1.5737616861532582
7,27.71,14.25,14.67,91.7,7,91.7,14.25,-0.09703337559148892,-0.48516687795744456,21.85697539392175,-1.5544746769756523
8,27.71,14.33,14.59,91.0,8,91.0,14.33,-0.09825475935627165,-0.49127379678135824,21.598130598536546,-1.5740412448874717
9,27.71,14.11,14.77,92.61,9,92.61,14.11,-0.09544626593068156,-0.47723132965340775,22.257485432972363,-1.5290491802095185
10,27.71,14.1,14.78,92.69,10,92.69,14.1,-0.09530678891787739,-0.4765339445893869,22.289255953670036,-1.5268147584643956
11,27.71,14.14,14.76,92.49,11,92.49,14.14,-0.0956554980106668,-0.47827749005333403,22.18516893673608,-1.532401078130882
12,27.71,14.1,14.8,92.76,12,92.76,14.1,-0.09518475402795659,-0.47592377013978293,22.302544459343196,-1.5248597595278646
13,27.71,14.12,14.8,92.72,13,92.72,14.12,-0.09525448738236691,-0.4762724369118345,22.261779218630966,-1.525976887865518
14,27.71,14.12,14.76,92.56,14,92.56,14.12,-0.0955334435891714,-0.477667217945857,22.231448583257553,-1.5304457662985258
15,27.71,13.86,15.04,94.7,15,94.7,13.86,-0.09180614913699592,-0.4590307456849796,23.083175720861362,-1.4707345091746746
16,27.71,13.89,15.0,94.4,16,94.4,13.89,-0.09232809718731814,-0.4616404859365907,22.973027449381107,-1.4790961169408365
