FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,21.96,15.03,14.0,85.95,0,85.95,15.03,-0.10706269859311666,-0.5353134929655833,19.647583428439585,-1.715144431461729
1,21.96,15.03,14.0,85.95,1,85.95,15.03,-0.10706269859311666,-0.5353134929655833,19.647583428439585,-1.715144431461729
2,21.96,14.32,14.71,91.54,2,91.54,14.32,-0.09731251656594808,-0.48656258282974035,21.714910862227462,-1.5589465153864883
3,21.96,14.28,14.75,91.86,3,91.86,14.28,-0.09675425775136286,-0.48377128875681424,21.83875751630344,-1.550003209176833
4,21.96,14.04,14.99,93.76,4,93.76,14.04,-0.09344227125300786,-0.46721135626503923,22.593281427928215,-1.496945185473186
5,21.96,13.88,15.16,95.03,5,95.03,13.88,-0.09123226628991177,-0.4561613314495588,23.111741676610727,-1.4615409059643865
6,21.96,13.67,15.36,96.67,6,96.67,13.67,-0.08838493018059362,-0.4419246509029681,23.805577820777625,-1.41592658149311
7,21.96,13.55,15.48,97.59,7,97.59,13.55,-0.08679166115041224,-0.4339583057520612,24.208369394460295,-1.390402411629604
8,21.96,12.9,16.13,102.7,8,102.7,12.9,-0.07801537956471627,-0.3900768978235813,26.544834470912072,-1.2498063806267545
9,21.96,12.57,16.45,105.24,9,105.24,12.57,-0.07371371767011882,-0.3685685883505941,27.809667796213176,-1.1808937570753035
10,21.96,11.87,17.11,110.53,10,110.53,11.87,-0.06493022263571845,-0.3246511131785922,30.694362446621792,-1.0401821666242095
11,21.96,11.44,17.51,113.71,11,113.71,11.44,-0.05978924161959547,-0.29894620809797734,32.61730052863267,-0.9578236507459195
12,21.96,10.96,17.94,117.15,12,117.15,10.96,-0.05436784090995239,-0.27183920454976196,34.90799591803713,-0.8709728113774373
13,21.96,10.57,18.28,119.93,13,119.93,10.57,-0.05010584225222173,-0.2505292112611086,36.91105506348043,-0.802695592880592
14,21.96,9.87,18.87,124.76,14,124.76,9.87,-0.0429859841642412,-0.214929920821206,40.84613072934558,-0.688635466311144
15,21.96,8.85,19.67,131.55,15,131.55,8.85,-0.03367266170102432,-0.1683633085051216,47.588755147786685,-0.5394360404504096
16,21.96,8.76,19.74,132.13,16,132.13,8.76,-0.03291849753177241,-0.16459248765886203,48.25252221697686,-0.5273543304589939
17,21.96,7.73,20.47,138.64,17,138.64,7.73,-0.024942743042725923,-0.12471371521362962,56.90676215650795,-0.39958274354446927
18,21.96,6.89,20.99,143.63,18,143.63,6.89,-0.019479559958894044,-0.09739779979447022,65.81476430074802,-0.3120625505414826
19,21.96,6.95,20.96,143.3,19,143.3,6.95,-0.01982243557562459,-0.09911217787812293,65.11160123518246,-0.31755541792150593
20,21.96,6.14,21.41,148.0,20,148.0,6.14,-0.015195190384357404,-0.07597595192178702,75.8811148300302,-0.2434269499574056
21,21.96,6.54,21.19,145.69,21,145.69,6.54,-0.017400007193568056,-0.08700003596784028,70.21793965692889,-0.27874811524096027
22,21.96,5.66,21.62,150.66,22,150.66,5.66,-0.012827259346149124,-0.06413629673074561,83.76686924046312,-0.20549269472530896
23,21.96,5.65,21.55,150.61,23,150.61,5.65,-0.012870052328148075,-0.06435026164074037,83.91999981254183,-0.20617823829693216
24,21.96,5.23,21.61,152.78,24,152.78,5.23,-0.011074323816843002,-0.05537161908421501,92.08477868653466,-0.17741066754582488
25,21.96,5.17,21.54,152.98,25,152.98,5.17,-0.010915200267149972,-0.05457600133574986,93.34042658918015,-0.17486150827974256
26,21.96,4.95,21.5,154.07,26,154.07,4.95,-0.010067105322537151,-0.050335526612685755,98.32542978702517,-0.16127502726704515
27,21.96,3.97,21.81,159.34,27,159.34,3.97,-0.0064309425158329825,-0.03215471257916491,128.16668976777993,-0.10302369910364438
28,21.96,2.37,22.2,167.81,28,167.81,2.37,-0.0022547237466094216,-0.011273618733047108,241.10526057406753,-0.03612067442068293
29,21.96,2.1,22.04,169.1,29,169.1,2.1,-0.0018041287303556365,-0.009020643651778182,280.93885020516825,-0.028902142260297296
30,0.0,0.0,0.0,180.0,30,180.0,0.0,-0.0,-0.0,inf,-0.0
31,21.96,1.05,21.97,174.52,31,174.52,1.05,-0.0004570405797393762,-0.002285202898696881,712.9464769012968,-0.007321790087424807
32,0.0,0.0,0.0,180.0,32,180.0,0.0,-0.0,-0.0,inf,-0.0
33,0.0,0.0,0.0,180.0,33,180.0,0.0,-0.0,-0.0,inf,-0.0
34,0.0,0.0,0.0,180.0,34,180.0,0.0,-0.0,-0.0,inf,-0.0
35,0.0,0.0,0.0,180.0,35,180.0,0.0,-0.0,-0.0,inf,-0.0
36,0.0,0.0,0.0,180.0,36,180.0,0.0,-0.0,-0.0,inf,-0.0
37,0.0,0.0,0.0,180.0,37,180.0,0.0,-0.0,-0.0,inf,-0.0
38,0.0,0.0,0.0,180.0,38,180.0,0.0,-0.0,-0.0,inf,-0.0
39,0.0,0.0,0.0,180.0,39,180.0,0.0,-0.0,-0.0,inf,-0.0
40,0.0,0.0,0.0,180.0,40,180.0,0.0,-0.0,-0.0,inf,-0.0
41,0.0,0.0,0.0,180.0,41,180.0,0.0,-0.0,-0.0,inf,-0.0
42,0.0,0.0,0.0,180.0,42,180.0,0.0,-0.0,-0.0,inf,-0.0
43,0.0,0.0,0.0,180.0,43,180.0,0.0,-0.0,-0.0,inf,-0.0
44,0.0,0.0,0.0,180.0,44,180.0,0.0,-0.0,-0.0,inf,-0.0
