FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,23.03,15.13,13.91,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,23.03,15.13,13.91,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,23.03,14.98,14.06,86.38,2,86.38,14.98,-0.10631388927455013,-0.5315694463727506,19.7928110368841,-1.703148506178293
3,23.03,15.1,13.94,85.42,3,85.42,15.1,-0.1079850977983059,-0.5399254889915295,19.45871742876904,-1.7299212667288604
4,23.03,15.33,13.7,83.58,4,83.58,15.33,-0.11118158158520063,-0.5559079079260031,18.834322143008556,-1.781128936994914
5,23.03,15.42,13.62,82.88,5,82.88,15.42,-0.11239478583950019,-0.5619739291975009,18.59902084723979,-1.800564469148793
6,23.03,15.43,13.61,82.84,6,82.84,15.43,-0.11246405763538046,-0.5623202881769023,18.5795454332361,-1.801674203318795
7,23.03,15.6,13.44,81.46,7,81.46,15.6,-0.11484998383800726,-0.5742499191900363,18.134108866604485,-1.8398967410848763
8,23.03,15.63,13.41,81.23,8,81.23,15.63,-0.11524683801661767,-0.5762341900830883,18.05891797395229,-1.846254345026215
9,23.03,15.63,13.41,81.24,9,81.24,15.63,-0.11522958854976457,-0.5761479427488229,18.060604043644688,-1.8459780085672284
10,23.03,15.75,13.3,80.36,10,80.36,15.75,-0.11674570611099955,-0.5837285305549977,17.769732558669023,-1.8702662118982127
11,23.03,16.19,12.86,76.94,11,76.94,16.19,-0.122597128875997,-0.6129856443799849,16.71414851540588,-1.9640060045934717
12,23.03,16.24,12.81,76.53,12,76.53,16.24,-0.1232936200179235,-0.6164681000896175,16.595007885733207,-1.9751637926871344
13,23.03,16.05,13.0,78.04,13,78.04,16.05,-0.12072287643582824,-0.6036143821791412,17.044646078390507,-1.9339804805019685
14,23.03,15.97,13.05,78.5,14,78.5,15.97,-0.11993679344171973,-0.5996839672085986,17.208987719545085,-1.9213874309363501
15,23.03,16.23,12.83,76.65,15,76.65,16.23,-0.12308989082609123,-0.6154494541304562,16.62482953243107,-1.9719000510339815
16,23.03,16.66,12.41,73.36,16,73.36,16.66,-0.12863573330989314,-0.6431786665494656,15.67014257389888,-2.0607444476244883
