FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,20.28,15.13,13.91,85.17,0,85.17,15.13,-0.10841995942790926,-0.5420997971395463,19.374335097929723,-1.7368877500351063
1,20.28,15.13,13.91,85.17,1,85.17,15.13,-0.10841995942790926,-0.5420997971395463,19.374335097929723,-1.7368877500351063
2,20.28,14.56,14.45,89.54,2,89.54,14.56,-0.10080284283103964,-0.5040142141551982,20.971982224258962,-1.614861542153255
3,20.28,14.38,14.64,91.02,3,91.02,14.38,-0.09821985819470866,-0.49109929097354327,21.52303356211254,-1.5734821282792326
4,20.28,14.39,14.6,90.81,4,90.81,14.39,-0.09858633039619674,-0.49293165198098365,21.46827419020864,-1.5793530129470719
5,20.28,14.33,14.68,91.36,5,91.36,14.33,-0.09762657510459781,-0.488132875522989,21.665381778610502,-1.5639777331756568
6,20.28,14.32,14.65,91.28,6,91.28,14.32,-0.09776616438064262,-0.4888308219032131,21.666309331969963,-1.5662139533778947
7,20.28,14.3,14.67,91.49,7,91.49,14.3,-0.0973997525207064,-0.486998762603532,21.7374352112229,-1.5603440353817164
8,20.28,14.29,14.7,91.64,8,91.64,14.29,-0.09713805086277053,-0.4856902543138526,21.781504625206786,-1.5561515748215837
9,20.28,14.33,14.57,90.93,9,90.93,14.33,-0.09837691506847093,-0.49188457534235464,21.58505304083546,-1.5759981793969042
10,20.28,14.25,14.71,91.82,10,91.82,14.25,-0.09682403492351366,-0.4841201746175683,21.87951877435297,-1.5511210394746888
11,20.28,14.17,14.66,91.97,11,91.97,14.17,-0.09656237878709079,-0.48281189393545393,22.037599985420123,-1.5469293081691944
12,20.28,14.18,14.79,92.39,12,92.39,14.18,-0.09582987267378884,-0.4791493633689442,22.100568723649538,-1.5351945602340973
13,20.28,14.17,14.82,92.58,13,92.58,14.17,-0.09549857211388035,-0.4774928605694017,22.15283799197102,-1.5298871252643633
14,20.28,14.37,14.65,91.12,14,91.12,14.37,-0.0980453557255179,-0.49022677862758945,21.55738132187617,-1.5706865987227967
15,20.28,14.24,14.75,92.0,15,92.0,14.24,-0.09651005032974991,-0.48255025164874954,21.929489545393462,-1.5460910062825934
16,20.28,14.08,14.94,93.39,16,93.39,14.08,-0.09408678530436597,-0.4704339265218298,22.455563840068464,-1.5072703005759427
17,20.28,14.07,14.92,93.38,17,93.38,14.07,-0.09410420814645494,-0.4705210407322747,22.47043000354426,-1.507549414506208
18,20.28,13.81,15.13,95.22,18,95.22,13.81,-0.09090197960964301,-0.454509898048215,23.27168571402439,-1.456249713346481
19,20.28,14.16,14.76,92.38,19,92.38,14.16,-0.09584731084752701,-0.47923655423763506,22.13146411325594,-1.5354739197773828
20,20.28,14.04,14.92,93.48,20,93.48,14.04,-0.09392998789495811,-0.46964993947479056,22.53993498857923,-1.504758406077229
21,20.28,14.09,14.86,93.05,21,93.05,14.09,-0.09467925951262639,-0.4733962975631319,22.37425794814929,-1.5167617373922746
22,20.28,14.06,14.91,93.36,22,93.36,14.06,-0.09413905436889035,-0.4706952718444517,22.483415405652142,-1.5081076509896234
23,20.28,14.08,14.89,93.22,23,93.22,14.08,-0.09438299768403324,-0.4719149884201662,22.423260833135817,-1.5120156228982125
24,20.28,14.25,14.65,91.56,24,91.56,14.25,-0.09727762275338246,-0.48638811376691227,21.830673019218025,-1.558387516509187
25,20.28,13.99,14.98,93.89,25,93.89,13.99,-0.09321588391254107,-0.4660794195627053,22.702994002606225,-1.4933184602789078
26,20.28,14.11,14.86,92.94,26,92.94,14.11,-0.0948709834665666,-0.47435491733283297,22.320081899974742,-1.5198331551343969
27,20.28,14.03,14.94,93.62,27,93.62,14.03,-0.09368611072544991,-0.4684305536272495,22.583511037795905,-1.5008514938217075
28,20.28,14.22,14.72,91.98,28,91.98,14.22,-0.09654493586255278,-0.48272467931276386,21.958113007000573,-1.5466498725180955
29,20.28,14.1,14.87,93.05,29,93.05,14.1,-0.09467925951262639,-0.4733962975631319,22.357588281147578,-1.5167617373922746
30,20.28,14.09,14.88,93.11,30,93.11,14.09,-0.09457469103137861,-0.47287345515689305,22.3856530082252,-1.5150865503226854
